འང-དེ	vacant
འབྱིན-པར-བྱེད-པ	{C}mire; mud; sink
འབྱོར-བ	{C}accomplish; succeed; affluence
འབྱོར-པ	{C}get accomplished
འབྱོར-པར-གྱུར-ཅིག	{C}get accomplished; foster
འབྱུང	{C}has come into being; gives rise to; come into being; depart; go off; come out of; leave (home life); brought about; origin; which has arisen; issued; manifestation; comes to be manifest; are brought along; are assembled
འབྱུང-འགྱུར	{C}be present; have at one's disposal; exist potentially; can possibly be; produce; proceeds
འབྱུང-འགྱུར-བ	{C}be present; have at one's disposal; exist potentially; can possibly be; attains; comes; come forth
འབྱུང-བ	{C}produce; has had; (has been) produced; has arisen; raised; appearance (in the world); leading forth; leaving home; (has been) begotten (by); be the offspring of becomes; stands; takes place; occurs; comes about; source; there can be; possibility; possi
འབྱུང-བ-མ-མཆིས-པ	{C}not coming into being
འབྱུང-བ-མཆིས-པ	{C}coming into being
འབྱུང-བ-མེད-པ	{C}not coming into being; non-manifestation; unmanifested; impossiblity; make impossible
འབྱུང-བ-ཡིན	{C}(became) manifest; come out of
འབྱུང-བར	{C}issued
འབྱུང-བར-འགྱུར	{C}is produced; appear; arises; goes forth; proceeds; circulate; be observed; appears; spread
འབྱུང-བར-འགྱུར-བ	{C}is produced; appear; arises; goes forth; becomes; stands; takes place; occurs
འབྱུང-པོའི-གདོན	{C}those possessed by ghosts
འབྱུང-སྟེ	{C}takes place; appears; one can see; manifest itself
འབྱུང-ཡོད	{C}source; there can be; possibility; possible origin; make possible
འཆབ-པ	{C}jealous; disparagement
འཆད	{C}teaches; speaks; says; declares; indicate
འཆད-པ	{C}teaches; indication; interrupt; cut off; perserve; carries; {GD:247} [critical] explanation
འཆད-པའི-ཚེ	{C}teaches; indication; interrupt; cut off; perserve; carries; {GD:278} theoretical explanation; {GD:528} critically speaking
འཆད-པར-བྱེད	{C}one who demonstrates
འཆད-ཚེ	{C}(is) being taught; {GD:260} point of view of critical examination
འཆག	{C}walking; coming
འཆག-པ	{C}walking; coming
འཆག-པ-ལ-དད-ཆེར-མི-འགྱུར	{C}does not walk about a great deal
འཆགས-པར-བྱེད-པ	{C}confesses his error; see their error
འཆལ-བའི-ཤེས-རབ	{C}stupid(ity)
འཆང-བ	{C}bear in mind
འཆར-བ	{C}rises
འཆི-འཕོ	{C}decease(d); fallen away from; decease
འཆི-འཕོ-བ-དང-སྐྱེ-བ-དང-མི-སྐྱེ-བ	{C}no genesis of decease and rebirth
འཆི-འཕོ-བ-ཡང-མ-ཡིན	{C}no decease
འཆི-འཕོ-དང-སྐྱེ-བ	{C}decease and rebirth
འཆི-བ	{C}dies
འཆི-བ-མེད-པའི-སྒོ	{C}'the door to the' undying
འཆི-བའི-དུས-བྱས-པ	{C}have died; (when he) has died
འཆི-བའི-དུས-བྱས-པར-གྱུར-ན	{C}have died; (when he) has died
འཆི-བའི-གནས-སྐབས-ཀྱི-བར-དུ	{C}(until) his death
འཆི-མེད	{C}deathless
འཆིང-བ	bind; fetter; · {C}imprisonment; bond; bondage; joined together by
འཆིང-བར-འགྱུར	{C}is bound
འཆོས	{T} to make, build
འདའ	{C}pass beyond; pass by; transcend(s); step above; should pass above; passes above; move away from
འདའ-བ	{C}depart from; stray away from; transcending; pass beyond; pass by; transcend(s); go beyond; step above; should pass above; passes above; move away from
འདའ-བར-འགྱུར	{C}depart from; stray away from; transcending; pass beyond; pass by; transcend(s); go beyond; step above; should pass above; passes above; move away from
འདའ-བར-བྱ-བ	{C}a matter of rising above
འདའ-བར-བྱེད	{C}depart from; stray away from; transcending; pass beyond; pass by; transcend(s); go beyond; step above; should pass above; passes above; move away from
འདའ-བར-མི-བྱ-བ	{C}a matter of not rising above
འདབ	{C}leaf; petal
འདབ-ཆགས	{C}bird (on its wings)
འདབ-ཆགས-བྱ	{C}bird (on its wings)
འདབ-གཤོག-ཟད	{C}with feeble wings
འདབ-མ	{C}foliage
འདམ-ལ-ཆགས	{C}attached to mud
འདམ-ལས	{C}mud
འདམ-ལས-བརྒ-བ	{C}mud
འདས	{C}pass beyond; pass by; transcend; past; passed beyond; gone beyond
འདས-བྱས-ནས	{C}more than; overpowering; after rising above; having passed beyond; beyond; passes beyond all bounds
འདས-དུས-སྔོན-གྱི	{C}gone by in the past period of time
འདས-ནས	{C}more than; overpowering; after rising above; having passed beyond; beyond; passes beyond all bounds; in the course of; even for a day; after the passing away; after the lapse of
འདས-པ	{C}passed beyond; gone beyond; overcome; transcend; escape
འདས-ཤིང	{C}passed beyond; gone beyond; past; having escaped from
འདེའི-རིགས-ཅན	{C}is of the same kind; of like kind
འདེབས-པ	{C}(manner of) attack; the wielding of
འདེགས-པ	{C}suspend; get rid of; throw up; take out of; add to; lift; lift up
འདེས-པ	{C}well-behaved
འདི-དག	{C}this; in
འདི-དག-གཞན-པ	{C}belonging to this and the other worlds
འདི-ལ	{C}this; from that; from it; from this; thence; for that reason; than him
འདི-ལས	{C}thereupon
འདི-ལྟ-སྟེ-དཔེར-ན	{C}that is
འདི-ལྟར	{C}so; as; and; with this kind of start
འདི-ལྟར-འདས-པ	{C}Thus-was-said
འདི-སྙམ-དུ-སེམས	{C}it occurs
འདི-སྙེད-དུ-ཆེས-ལྕི-སྟེ	{C}so serious
འདོད	{C}concern; love; learnt; learn of; known; is understood; regarded; considered; longing; aspire for; plan; until he wishes; one who desires; just as he plans; one who is eager; long for; temptation; wish for; intention; intent; purpose; attempt (to hurt)
འདོད-བསྐྱེད-ན	{C}generate longing for
འདོད-ཆགས	{C}lust; attachment; greed; hues; dye
འདོད-ཆགས-བྲལ-བ	{C}dispassion; withdrawal; distaste; without greed; free from greed
འདོད-ཆགས-ཆོས-ལས-སྤྱོད-པ	{C}preoccupied with matters of greed
འདོད-ཆགས-དང-བྲལ-བ	{C}without greed; turned away from greed
འདོད-ཆགས-དང-བྲལ-བ-མེད-པ	{C}becomes not dispassionate
འདོད-ཆགས-དང-བྲལ-བའི-ས	{C}stage of turning away from passion
འདོད-ཆགས-དང-བྲལ-བར-འགྱུར-བ	{C}become dispassionate
འདོད-ཆགས-དང-བྲལ-བར-བགྱི-བ	{C}dispassion; withdrawal; distaste
འདོད-ཆགས-དང-བྲལ-བར-བྱེད	{C}become dispassionate
འདོད-ཆགས-པ-མེད-ཅིང	{C}not impassioned
འདོད-ཆགས-པར-བྱེད	{C}become impassioned
འདོད-ཆུང	{C}fewness of wishes
འདོད-པ	{C}longing; long for; aspire to be; zeal; zealous; zest; temptation; wish for; look for; seek; considered; desired; is considered/regarded; can be desired; just as he plans; desirous; until he wishes; profitable; admitted; intent; intention; purpose; atte
འདོད-པ-བསྐྱེད	{C}long for
འདོད-པ-བསྐྱེད-པ	{C}seek; look; wish; wish for
འདོད-པ-བཞིན	{C}as one desires
འདོད-པ-བཞིན-མ	{C}not as one desires
འདོད-པ-ཆུང	{C}a man of few wishes
འདོད-པ-ལ-ལོག-པར-གཡེམ-པར-བྱེད	{C}go wrong about sense-desires
འདོད-པ-ལ-ལོག-པར-གཡེམ-པར-མི-བྱེད	{C}not go wrong about sense-desires
འདོད-པ-ལ-མངོན-པར-ཆགས-པ	{C}great love for sensuous things
འདོད-པ-མ-མཆིས-པ	{C}free from longing; does not long for
འདོད-པ-ན-སྤྱོད-པ	{C}of the realm of sense-desire
འདོད-པ-ཉུང	{C}a man of few wishes
འདོད-པ-ཉུང-པ	{C}a man of few wishes
འདོད-པའི-ལས-ཅན	{C}plausible lies(?)
འདོད-པའི-ཡོན-ཏན	{C}attributes of the desire realm; sense-quality; sense-pleasure
འདོད-པར-བྱ	{C}seek; look for; wish; wish for
འདོད-པར-བྱ-བ	{C}to be envied; enviable
འདོད-པས-ལོག-པར-གཡེམ-པ	{C}wrong conduct as regards sensuous pleasures
འདོད-པས-ལོག-པར-སྤྱོད-པ	{C}wrong conduct as regards sensuous pleasures
འདོག-པ	{C}proclaims; reveals; shows; makes known
འདོག-པར-མཛད	{C}verbally expressed; expressed by words
འདོགས	make known; bind; attach
འདོགས-པ	make known; bind; attach
འདོགས-པར-མཛད-དོ	{C}arranges; build; spreads out; makes known
འདོགས-པར-མི-བྱེད	{C}without conceiving
འདོམ	{C}fathom
འདོམས-ཀྱི-སྦ-བ-ནུབ-པའི-མཆོག	{C}sexual organs
འདོམས-ཤིང	{C}instruct
འདོན-པར-འདོད-པ	{C}wants to extricate
འདོར	{C}renounces; cast away; rejects; emits; cast off; come up; let go; abandon; would discard; let loose; lose; fling away; give up; throw out; eject; part from; spurns
འདོར-བ	{C}renounces; gives away; abandons; deserts; rejection; which rejects; which ceases toiling; cast away; rejects; emits; cast off; come up; let go; abandon; would discard; let loose; throw away
འདོར-བ-མེད-པ	{C}non-repudiation
འདོར-བ-མེད-པ-སྟོང-པ-ཉིད	{C}emptiness of non-repudiation
འདོར-བར-འགྱུར	{C}throws back; abandons; part from; spurns
འདོར-བར-བགྱིད-པ	{C}which rejects;  which ceases toiling
འདོར-བར-བྱེད	{C}cut oneself off from
འདྲ	{C}comparable; equal; similar to; as if it were just
འདྲ-བ-གཞན-བྱུང	{C}tapering; {GD:527} the arising of similar other moments
འདྲ-བ-གཞན-བྱུང-འཁྲུལ-རྒྱུ	{GD:513} the arising of similar other [moments] as a cause of mistake
འདྲ-བར	{C}comparable; equal; similar to; as if it were just
འདྲ-བར-འགྱུར	{C}comparable; equal; similar to; as if it were just
འདྲ-རིང-བར-འཚམ	{C}tapering
འདྲེ-བ-མེད-པ	{C}non-commingling; uncontaminated
འདྲེ-བའི-བཟོ	{C}wooden apparatus
འདྲེ-བར	{C}contaminated
འདྲེག	{C}lift; lift up; suspend; get rid of; throw up; take out of; add to
འདྲེན-པ	{C}guide; leader; leader of men
འདྲེས-པ	{C}contaminated; contamination; intertwined; {GD:142} indeterminate
འདྲེས-པར-གནས	{C}contaminated dwelling
འདྲེས-པར-གནས-པ	{C}contaminated dwelling; dweller in contamination
འདྲི	{C}asks questions; questions; hopes that; enquires whether
འདྲི-བ	{C}asks questions; questions; hopes that; enquires whether
འདྲི-བའི-གཞི	{C}foundation; basis; source; substratum; sustain; based; referring to; canvas
འདྲི-བར-བྱ	{C}questions; asks questions; hopes that; enquires whether
འདྲི-ཞིང	{C}write; copy (out)
འདྲིས	{C}fornicate (?); intimacy; familiarity
འདྲིས-བ	{C}asks; questions
འདྲིས-བྱེད	{C}intimacy; familiarity
འདྲིས-པ	{C}intimacy; familiarity; habit
འདྲིས-པ-ཤེས-པ	{C}cognition of mastery
འདྲིས-པ-ཡེ-ཤེས	{C}cognition of mastery
འདྲིས-པར-བྱེད-ལ	{C}gains mastery over
འདུ	{C}rise
འདུ-འཛི	{C}lead astray; seduce; entertainment; noise; din; close contact; close commerce with
འདུ-འཛི-ལ-དགའ-བའི-གཏམ	{C}(talk [with kathā]) one is fond of in society
འདུ-འཛི-མེད-པ	{C}uncontaminated; unmixed; exclusively
འདུ-འཛི-སྤངས-པ	{C}avoid society
འདུ-འཛིའི-གནས	{C}place where one meets society
འདུ-འཛིར-གྱུར-པ	{C}where one meets society
འདུ-བ	{C}the ability to attract; applies oneself; be engaged in; be joined to; practice; tenable (to say); logical (to equate)
འདུ-བ-མེད	{C}unconjoined; it is not tenable (to say); not logical (to equate); applies oneself; be engaged in; be joined to; practice
འདུ-བར-འགྱུར-བ	{C}meet
འདུ-བྱེད	{C}the compounded; compounded/conditioned (events/things); formative forces; karma-formations
འདུ-བྱེད-ཀྱི-མཚན-མ	{C}the sign of something compounded
འདུ-བྱེད-སྣ-ཚོགས-རྣམ-པ-དུ-མ	{C}(the manifold) misfortunes of the karma-formations
འདུ-མི-བྱེད	{C}unconditioned
འདུ-ཤེས	{C}perception; notion; mental associations; ideation; motivation; conviction; cognize; perceive
འདུ-ཤེས-མེད-འདུ-ཤེས-མེད-མིན-སྐྱེ-མཆེད	sense-field of neither cognition nor non-cognition
འདུ-ཤེས-མེད-པ-ཡིན	{C}no act of perceiving
འདུ-ཤེས-ཐམས-ཅད-དང-མཐུན-པ-ཐུན-མོང-ངོ	{C}the very cream of all beings
འདུད	{C}humility
འདུག	{C}seated; sits; to be; becomes (still more) determined; wills; change by magic; take his stand on; fixed; insists on; sustains; stand up to
འདུག-བྱེད-ཅིང	{C}having abided; having stood
འདུག-ཅིང	{C}when he has established; having abided; having stood
འདུག-པ	{C}sits down; seated; sitting; dwell
འདུག-པར	{C}seated; sitting
འདུལ-བ	{C}self-discipline; overpower; subdue
འདུལ-བ-མེད-པ	{C}does not discipline; one who needs further discipline
འདུལ-བ-ཉིད-པ	{C}fact of disciplining
འདུན	{C}zealous; keen
འདུན-པ	{C}desire-to-do; will-power; impetus; zeal; zest
འདུན-པ-དང-ལྡན-པ	{C}zealous; keen
འདུན-པ-ཟློག-པར-བྱེད-དེ	{C}deter
འདུན-པའི-རྩ-བ-ལས-བྱུང-བ	{C}rooted in the desire-to-do
འདུས-བྱ	{C}conditioned; effected
འདུས-བྱས	{C}conditioned; effected
འདུས-མ-བྱས	{C}unconditioned; not effected; free from conditions; not brought about
འདུས-མ-བྱས-ཀྱིས	{C}drew their strength from; brought about (from); brought forth; derives its dignity; exalts; one discerns; discerned; exalted; derived from; come forth
འདུས-མ-བྱས-ཀྱིས-རབ-ཏུ-ཕྱེ-བ	{C}brought forth from the unconditioned
འདུས-མ-བྱས-པ	{C}unconditioned; not effected; free from conditions; not brought about
འདུས-མ-བྱིས-པ	{C}to be uncompounded
འདུས-པ	{C}brought together; come together; present; assembly; group; disorder of the humours; collection; congregation; laid out in letters; incidence; inherent; arising from a disorder of the humours; contained
འདུས-པ-ལས-བྱུང-བའི-ངོ-བོ-ཉིད	{C}own-being acting in causal connection
འདུས-པ-ལས-གྱུར-པ	{C}which result from a disorder of the humours
འདུས-པར	{C}contained; embodied in; comprised; incorporated; comprehended
འདུས-པར-འགྱུར	{C}embodied in; comprised; incorporated
འཛམ-བུའི-གླིང	{C}of Jambu-dvīpa
འཛངས-པ	{C}discern(ing)
འཛེག-པ-ཡིན-པ	{C}ascending on
འཛིན	{C}will take up; to gain; grasps at; grasped
འཛིན-འཚལ	{C}wants to win
འཛིན-ཅིང-བཞག-ན	{C}bear in mind; preserve; carries
འཛིན-དུ-འཇུག-པ	{C}persuade to; catch hold of
འཛིན-མེད	{C}nothing to grasp; ungraspable
འཛིན-པ	{C}grasper; receiver; take up; learn; learning; seize; taking hold of; studying; grasp at; take notice; holds; bearing in mind; bear in mind; preserve; carries; seizes; seizure; appropriation; grasping; planet; get hold of; takes hold of; gains; wins; sei
འཛིན-པ-མེད-པ	{C}absence of seizing; freedom
འཛིན-པར-འགྱུར-བ	{C}graspable; bear in mind; preserve; keep in mind; carries; persuade to; catch hold of
འཛིན-པར-བྱེད-པ	{C}receiver
འཛིན-རྣམ	{GD:602} that which has the aspect of the apprehended; subjectal aspect
འཛིན-སྟངས-ཀྱི-ཡུལ	{GD:247} object of the mode of apprehension; apprehended object
འཛུད-པ	{C}exhorts to; settles in
འཛུམ-དམུལ-སྣུལ	{C}with smiling face
འཛུམ-པ-མཛད-དོ	{C}manifests a smile
འགག	be stopped/obstructed/destroyed/ceased/halted
འགག-པ	{C}stopped; destroyed; obstructed
འགགས	{C}is stopped
འགལ-བ	{C}obstruction; conflict
འགལ-བའི-གཏན-ཚིགས	{GD:276} contradictory evidence, a form of faulty reasoning
འགལ-བར-བྱེད	 {C}opposes; to obstruct; contradict; bring into conflict with|{C}opposes; to obstruct; contradict; bring into conflict with 
འགལ-བར-བྱེད-པ-བྱ-བ	{C}opposes; to obstruct; contradict; bring into conflict with
༅འགལ-བར-བྱེད།-འགལ-བར-མི-བྱེད	{C}opposes; to obstruct; contradict; bring into conflict with
འགོ-བའི-ནད	{C}misfortune; troublesome
འགོད	{C}passing away; fall; establishment
འགོད-པ	{C}enjoining; set going
འགོད-པར-བྱེད	{C}set going
འགོག-པ	{C}which stops; inadmissible; refrain; repudiation
འགོག-པ-མེད-པ	{C}not stopped
འགོག-པར-བྱེད	{C}rejects
འགྲམ	{C}riverbank; shore
འགྲམ-པ	{C}jaws
འགྲས-པ	{C}one who has offended; offend
འགྲིབ	{C}is diminished;  fails of; avoids; desists; diminish; decrease; lose; fail to win; failure; diminution; decrease; waning; loss
འགྲིབ-མེད	{C}do not diminish
འགྲིབ-པ	{C}removal; take away; diminution; loss; never fails; is decreased; is diminished; fail
འགྲིབ-པ-མེད	{C}cannot diminish
འགྲིབ-པ-མེད-པ	{C}cannot diminish
འགྲིབ-པར-བགྱིད-པ	{C}which takes away
འགྲིབ-པར-མ-བྱས-པ	never diminish; will never lose again
འགྲོ	{C}move away into; passing on; to pass on; transmigrates; pass away from; come along; approach; submit to; come to; going (to); motion; walk; pursue; they will go away; courses; walks; coursing; destiny; birth; going; route; going out; entrance; descent;
འགྲོ-བ	{C}goes; go away; walk; go through; come to; journey; the journey will bring to; the world; to pass on; transmigrates; pass away from; come along; going out
འགྲོ-བ-དྲུག	six destinies
འགྲོ-བ-ལྔར-འཁོར-བ	{C}with its five places of rebirth
འགྲོ-བ-མེད-དོ	{C}disconnect
འགྲོ-བའི-དོན	 weal of the world|{C}weal of the world 
འགྲོ-བའི-དོན-དུ	{C}weal of the world
འགྲོ-བར	{C}motion; pursue; walk; going (to)
འགྲོ-བར-འདུ-ཤེས-པས	{C}with the constant thought of getting away
འགྲོ-བར-འགྱུར	{C}move along; move onto; travel; walk along; are brought along; are assembled; come forth; hurl; throw; shoot; cast off/away; reject; move into; set out for
འགྲོ-བར-བགྱིད-པ	{C}which causes to go; what makes go away
འགྲོ-བར-བྱ-བའི-ཕྱིར	{C}to induce to depart; go away
འགྲོ-བར-བྱེད-པ	{C}move forward
འགྲོ-དོན	 {C}weal of the world|{C}weal of the world 
འགྲོ-དོན-རབ-ཏུ-འདོད-པ	{C}keen on the welfare of the world
འགྲོ-ལ-སྙིང-བརྩེར-ལྡན-པའི-ཕྱིར	{C}compassionate for the world
འགྲོ-མེད	{C}not going; without a resort; cannot do anything
འགྲོ-ན	{C}functions; proceed; go away; set out for; take their leave
འགྲོ-ཉིད	{C}moving towards
འགྲོ-ཕན	{C}well-disposed towards the world
འགྲོ-ཞིང	{C}last long; pursue; follow after; complies with; imitate; come to; go with; go likewise
འགྲོགས-པ-མ-ཡིན	{C}they do not meet; do not achieve a synthesis; is not in touch
འགྲོང	{C}establish; stood firm; stand (just now); standing; abide; abiding; steadfast; established remains; continuous
འགྲུབ-པ	{C}accomplish; accomplished; accomplishment; (reach) consummation; creation; total reality; comes to completion
འགྲུབ-པར-འགྱུར-བ	{C}accomplishment; (reach) consummation; creation; achieves; comes to completion
འགུལ-བ	{C}is moved along
འགྱེད-པ	contention; disputation; wrangling; dispute{C}
འགྱེད-པར-བྱེད	{C}quarrel with
འགྱེལ-བ	{C}fall; falling
འགྱོད-པ	{C}regrettable; remorse; regretful; one who regrets
འགྱུར	{C}becoming; evolution; transformation; change; provide; is; approach; come to; run through; get to; implies; undergo; bear; admits of; will become; come to; incur; attains; gains; bring about; grow; gone (to); reached; (is) conducive to; lead to (a rebir
འགྱུར-བ	{C}transformation; evolution; come to; incur; alteration; source; there can be; possible origin; make possible
འགྱུར-བ-མེད-པ	{C}irreversible; does nothing; without an agent; not effected; not brought about; free from conditions; without modification; immutability; immutable
འགྱུར-བ-མེད-པར-མཉམ-པ	{C}equal in remaining unaffected by change
འགྱུར-བ-མི-སླུ-བ-མོད-ཀྱི	{C}go back on; break one's word/promise
འགྱུར-བའི-ཆོས-ཅན	{C}liable to reversal
འགྱུར-ཏེ	{C}will lead to
འགྱུར-ཞིང	{C}approach; come to; run through; get to; implies; undergo; bear; admits of
འཇའ	{C}rainbow
འཇའ-ཚོན	{C}the hues of the rainbow
འཇལ	{C}assessment; what measures
འཇལ-བ	{C}comparing; comparison; weighing up; ponder; weigh (up); examine; compare; deliberate; consider
འཇལ-བར-འགྱུར	{C}comparing; comparison; weighing up; ponder; weigh (up); examine; compare; deliberate; consider
འཇམ	{C}low; dull; weak; supple
འཇམ-པ	{C}low; dull; weak; supple; tender(ness); smooth
འཇམ-པོར-སྨྲ	{C}soft in speech
འཇིག	{C}dies; break; break up; broken by; is broken up
འཇིག-མེད	{C}not crumbling
འཇིག-པ	{C}destruction; to be easily broken; crumble; passing away; fall; breaking (up); breaks (up); is (not) broken by; is broken; {GD:319} perishable
འཇིག-པ-མེད-པ	{C}it cannot be overturned; idefatigability
འཇིག-པའི-བདག-ཉིད-ཅན-ཡིན-པའི-ཕྱིར	{C}the (false) view that there are beings
འཇིག-པའི-ཆོས-ཅན	{C}by its nature a disturbance (or wrong?); subject to passing away
འཇིག-པར-འགྱུར-བ	{C}breaks (up); is (not) broken by; is broken
འཇིག-པར-བགྱིད-པ	{C}remove; something to be undone
འཇིག-པར-བྱེད	{C}draws back; withdraws
འཇིག-རྟེན	{C}living world; world-system; worldly
འཇིག-རྟེན-གནས-པ	{C}this our position in the world; fabrication of the world; stay in the world; sojourn in the world
འཇིག-རྟེན-གྱི	{C}worldly
འཇིག-རྟེན-གྱི-དོན-བྱེད-པ	{C}promoter of the world's weal
འཇིག-རྟེན-གྱི-ཐ-སྣད	{C}worldly conventional expression
འཇིག-རྟེན-གྱི-ཐ-སྙད-དང-བརྡའ-ཙམ-གྱི-ཕྱིར	{C}on account of agreed symbols and worldly conventions
འཇིག-རྟེན-གྱི-ཐ-སྙད-ལ-བརྟེན-ནས	{C}in reference to the conventional expressions current in the world
འཇིག-རྟེན-ལ-གྲགས-པ	{GD:158} reknown to the world
འཇིག-རྟེན-ལས-འདས-པ	{C}transcending the world
འཇིག-རྟེན-མགོན-པོ	{C}savior of the world
འཇིག-རྟེན-མཁྱེན-པ	{C}world-knower
འཇིག-ཚོགས-ལ-ལྟ-བ	reifying view; · {C}(false) view of individuality
འཇིགས-བཅས-ཟིལ-གྱིས-གནོན	{C}overcome by fear
འཇིགས-པ	{C}fear(ful); peril; breaking up; trembling
འཇིགས-པ-བསྟན-ཕྱིར	{C}in order to cause fear
འཇིགས-པ-བྱེད-པར-བྱེད-དོ	{C}generate fear
འཇིགས-པ-ཆེན-པོ-མི-བཟད-པ	{C}great fears and terrors
འཇིགས-པ-དང-སྐྲག-པ-དང-དངང-བ	{C}fearful and terrible things
འཇིགས-པ-མེད-པ	{C}breaking up; versed in; self-confident
འཇིགས-པ-མེད-པའི-སྒྲ	{C}the fearless roar
འཇིགས-པ-མི-བཟད-པ	{C}fear and terror
འཇིགས-པར-བྱེད	{C}draws back; withdraws
འཇོ-སྒེག	{C}musical show
འཇོག	{C}let drop; throw/put down; lays aside
འཇོག-པར-བྱེད	method; procession; setting out
འཇོག-ཞིང	{C}(touches) places
འཇོམས	{C}having dispelled; having destroyed
འཇོམས-པ	{C}forsaking; loss; conquer; subdue; conqueror; charm; magical formula; sacking; is sacked
འཇུ-བར	{C}uphold; look for support in; catch hold of; hangs on to; find support on; seek (for) rebirth in; bases his rebirth on
འཇུག	{C}march on to; which reaches; enters (into); descend; come back to; alight; fathoms; enter on; go into; views; step on; moves into; assail
འཇུག-པ	{C}produce; productive; arising; find satisfaction; strides forth; entrance; descent; depart; descend; fall into; enter into; enter on; depart; functions; proceed; go away; set out for; take their leave; forms (habit); frequents; proceeds; takes place; mo
འཇུག-པ-ཆད-པ	{C}his course cut off
འཇུག-པའི-རྟེན-ལ	{C}support; source
འཇུག-པའི-ཚེ	{GD:528} practical activities
འཇུག-པར-བྱ	{C}should plunge into
འཇུག-ཡུལ	{GD:247}  object of application
འཁོད-པར-འཕགས	{C}distinguished
འཁོར	{C}repeated rebirths; wander about in birth-and-death; wander about; assembly; wheel
འཁོར-འགྱུར-བ	{C}wander about (in birth-and-death)
འཁོར-བ	{C}transmigration; birth-and-death
འཁོར-བ-ཇི-སྲིད	{C}as long as the samsaric world lasts
འཁོར-བ-ན-གནས-པ	{C}subject to birth-and-death
འཁོར-བ-ན-རྒྱུ-བ	{C}bound up with samsara; 'which afflict on the plane of samsara'; belonging to samsara
འཁོར-བ-ན-སྤྱོད-པ	{C}bound up with samsara; 'which afflict on the plane of samsara'; belonging to samsara
འཁོར-བ-ཟད-ཀྱི-བར-དུ	{C}throughout the round of birth-and-death
འཁོར-བའི	{C}becoming
འཁོར-བའི-འཁོར-ལོ	{C}the wheel of birth-and-death
འཁོར-བའི-ཆོས-ཅན	{C}subject to wandering about in birth-and-death
འཁོར-བའི-རྒྱུན	{C}the flood of birth-and-death
འཁོར-བར-འགྱུར-བ	{C}wander about (in birth-and-death)
འཁོར-བར-འཁོར-ནས	{C}after he has wandered about
འཁོར-དང-ལྟུང-བ	{C}assembly-hall
འཁོར-གསུམ-རྣམ-པར-དག-ཉིད	{C}three-fold purity
འཁོར-གསུམ-རྣམ-པར-དག-པ	{C}three-fold purity
འཁོར-གསུམ-ཡོངས-སུ-དག-པ	{C}three-fold perfect purity
འཁོར-གྱི-དཁྱིལ-འཁོར	{C}circle of the assembly
འཁོར-ལོ-རིན-ཆེན	{C}precious wheel
འཁོར-ལོས-མཚན	{C}lines depicting a wheel stamped on
འཁོར-ལོས-སྒྱུར-བའི-རྒྱལ-པོ	{C}universal monarch
འཁོར-ལུར-བྱེད-པར	{C}one who prefers a communal life
འཁོར-རྒྱ-མཚོ-མི-འཁྲུགས-པ	{C}to an assembly vast like the ocean and imperturbable
འཁྲེན-པ	{C}mean; meanness; niggardly; jealousy
