འབྲས-བུ	མཚན་ཉིད།་༡.་བསྐྱེད་བྱ།་༢.་ཕན་གདགས་བྱ།
བྱང-སེམས-ཀྱི-ལམ	མཚན་ཉིད།་ཐེག་ཆེན་གྱི་ཐར་པར་བགྲོད་པའི་གོ་སྐབས་ཕྱེ་ཤུལ་དུ་གྱུར་པའི་བྱང་སེམས་ཀྱི་མངོན་རྟོགས།
བྱང-སེམས-སོ-སྐྱེའི-ལམ	མཚན་ཉིད།་མོས་སྤྱོད་ཀྱི་སས་བསྡུས་པའི་བྱང་སེམས་ཀྱི་མཁྱེན་པ།
བྱས-པ	མཚན་ཉིད།་སྐྱེས་པ།
བྱེ-བྲག	མཚན་ཉིད།་ཁྱབ་བྱེད་དུ་འཇུག་པའི་རང་གི་རིགས་ཡོད་པ་ཅན་གྱི་ཆོས།
ཆོས	མཚན་ཉིད།་རང་གི་ངོ་བོ་འཛིན་པ
ཆོས-ཀྱི-བདག-མེད-ཕྲ-མོ	མཚན་ཉིད།་ཆོས་ཐམས་ཅད་སྒོ་བློ་གནོད་མེད་ལ་སྣང་བའི་དབང་གྱིས་བཞག་པ་མ་ཡིན་པར་ཡུལ་རང་གི་ཐུན་མོང་མ་ཡིན་པའི་སྡོད་ལུགས་ཀྱི་ངོས་ནས་གྲུབ་པས་སྟོང་པ
ཆོས-ཀྱི-བདག-མེད-རགས-པ	མཚན་ཉིད།་༡.་ཕྱི་རོལ་དོན་དུ་གྲུབ་པས་སྟོང་བ།་༢.་བཟུང་འཛིན་རྫས་གཞན་གྱིས་སྟོང་བ།
ཆུ	མཚན་ཉིད།་བརླན་ཞིང་གཤེར་བ
ཅུང-ཟད-ལྐོག-གྱུར	མཚན་ཉིད།་བློ་རིགཟ་ཚུར་མཐོང་རྣམས་ཀྱིས་ཐོག་མར་དངོས་སྟོབས་ཀྱི་རྟགས་ལ་བརྟེན་ནས་ངེས་པར་རྟོགས་དགོས་པའི་ཆོས
དབང-མངོན	མཚན་ཉིད།་རང་གི་ཐུན་མོང་མ་ཡིན་པའི་བདག་རྐྱེན་དབང་པོ་གཟུགས་ཅན་པ་ལས་སྐྱེས་པའི་རྟོག་པ་དང་བྲལ་ཞིང་མ་འཁྲུལ་བའི་རིག་པ།
དབང-ཤེས	མཚན་ཉིད།་རང་གི་ཐུན་མོང་མ་ཡིན་པའི་བདག་རྐྱེན་དབང་པོ་གཟུགས་ཅན་པ་ལ་བརྟེན་ནས་སྐྱེ་བའི་རིག་པ།
དེ-བྱུང-འབྲེལ	མཚན་ཉིད།་ཁྱོད་དེ་དང་ཐ་དད་གང་ཞིག་ཁྱོད་དེ་ལས་བྱུང་བ།
དེ-རང-བདག-གཅིག-འབྲེལ	མཚན་ཉིད།་ཁྱོད་དེ་དང་ཐ་དད་གང་ཞིག་དེ་རང་བདག་ཉིད་གཅིག་པའི་སྒོ་ནས་འབྲེལ་བ་གྲུབ་པ།
དགག-པ	མཚན་ཉིད།་རང་འཛིན་རྟོག་པས་རང་གི་དགག་བྱ་དངོས་སུ་བཅད་པའི་ཚུལ་གྱིས་རྟོགས་པར་བྱ་བ།
དགག-པ-དངོས-སུ-རྟོགས-པའི-ཚད-མ	མཚན་ཆིད།་དགག་པའི་རྣམ་པ་ཤར་ནས་དགག་པ་ལ་གསར་དུ་མི་བསླུ་བའི་རིག་པ
དགེ-བ	མཚན་ཉིད།་ལུང་དུ་བསྟན་པ་གང་ཞིག་རང་འབྲས་རྣམ་སྨིན་བདེ་བ་འབྱིན་བྱེད་ཀྱི་རིགས་སུ་གནས་པ།
དངོས-འགལ	མཚན་ཉིད།་རྣམ་བཅད་ཡོངས་གཅོད་གང་ཞིག་གཉིས་དང་གཉིས་མ་ཡིན་གྱི་ཕུང་གསུམ་སེལ་བ།
དངོས-མེད-ཀྱི-ཆོས	མཚན་ཉིད།་དོན་བྱེད་ནུས་སྟོང་གི་ཆོས
དངོས-པོ	མཚན་ཉིད།་དོན་བྱེད་ནུས་པ
དངོས-པོའི-འབྲས-བུ	མཚན་ཉིད།་དངོས་པོའི་བསྐྱེད་བྱ
དངོས-པོའི-བརྒྱུད-འབྲས	མཚན་ཉིད།་དངོས་པོའི་བརྒྱུད་ནས་བསྐྱེད་བྱ
དངོས-པོའི-བརྒྱུད-རྒྱུ	མཚན་ཉིད།་དངོས་པོའི་བརྒྱུད་ནས་སྐྱེད་བྱེད
དངོས-པོའི-བྱེ-བྲག	མཚན་ཉིད།་ཁྱོད་དངོས་པོ་ཡིན།་ཁྱོད་དངོས་པོ་དང་བདག་གཅིག་དུ་འབྲེལ།་ཁྱོད་མ་ཡིན་ཞིང་དངོས་པོ་ཡང་ཡིན་པའི་གཞི་མཐུན་པ་དུ་མ་གྲུབ་པ།
དངོས-པོའི-དངོས-འབྲས	མཚན་ཉིད།་དངོས་པོའི་དངོས་སུ་བསྐྱེད་བྱ
དངོས-པོའི-དངོས-རྒྱུ	མཚན་ཉིད།་དངོས་པོའི་དངོས་སུ་སྐྱེད་བྱེད
དངོས-པོའི-ལྷན-ཅིག-བྱེད-རྐྱེན	མཚན་ཉིད།་དངོས་པོ་རང་གི་རྫས་རྒྱུན་མ་ཡིན་པར་རྫས་སུ་གཙོ་བོར་སྐྱེད་བྱེད
དངོས-པོའི-མཚན-ཉིད	མཚན་ཉིད།་དངོས་པོའི་རྫས་ཡོད་ཆོས་གསུམ་ཚང་བ
དངོས-པོའི-ཉེར-ལེན	མཚན་ཉིད།་དངོས་པོ་རང་གི་རྫས་རྒྱུན་དུ་གཙོ་བོར་སྐྱེད་བྱེད
དངོས-པོའི-རྒྱུ	མཚན་ཉིད།་དངོས་པོའི་སྐྱེད་བྱེད
དངོས-རྒྱུ	མཚན་ཉིད།་དངོས་སུ་སྐྱེད་བྱེད
དངོས-སྟོབས-ཀྱི-རྗེས-དཔག	མཚན་ཉིད།་རང་གི་རྟེན་དངོས་སྟོབས་ཀྱི་རྟགས་ཡང་དག་ལ་བརྟེན་ནས་རང་གི་གཞལ་བྱ་ཅུང་ཟད་ལྐོག་གྱུར་ལ་མི་སླུ་བའི་ཞེན་རིག
དངོས-སྟོབས-རྗེས-དཔག	མཚན་ཉིད།་རང་གི་རྟེན་དངོས་སྟོབས་ཀྱི་རྟགས་ཡང་དག་ལ་བརྟེན་ནས་རང་གི་གཞལ་བྱ་ཅུང་ཟད་ལྐོག་གྱུར་ལ་མི་སླུ་བའི་ཞེན་རིག
དོན-དམ-བདེན-པ	མཚན་ཉིད།་མདོ་སྡེ་པའི་ལུགས་ལ།་དོན་དམ་པར་དོན་བྱེད་ནུས་པའི་ཆོས།
དོན-གཅིག	མཚན་ཉིད།་གཞི་མཐུན་སྲིད་པ་གང་ཞིག་ཁྱབ་པ་སྒོ་བརྒྱད་ངེས་པ།
དོན-གྱི-གཞན-སེལ	མཚན་ཉིད།་མ་ཡིན་དགག་གི་གཞན་སེལ་ཡང་ཡིན།་དོན་དམ་པར་དོན་བྱེད་ནུས་པ་ཡང་ཡིན་པའི་གཞི་མཐུན་པར་དམིགས་པ།
དོན-རང-མཚན-གྱི-གཞན-སེལ	མཚན་ཉིད།་མ་ཡིན་དགག་གི་གཞན་སེལ་ཡང་ཡིན།་དོན་དམ་པར་དོན་བྱེད་ནུས་པ་ཡང་ཡིན་པའི་གཞི་མཐུན་པར་དམིགས་པ།
དོན-སྤྱི	མཚན་ཉིད།་བུམ་འཛིན་རྟོག་པ་ལ་བུམ་པ་མ་ཡིན་པ་ལས་ལོག་པར་སྣང་བའི་སྒྲོ་བཏགས་ཀྱི་ཆ
དྲིའི-སྐྱེ-མཆེད	མཚན་ཉིད།་སྣ་ཤེས་ཀྱི་མྱོང་བྱ།
དུ-བའི-དངོས-རྒྱུ	མཚན་ཉིད།་དུ་བའི་དངོས་སུ་སྐྱེད་བྱེད།
གང-ཟག	མཚན་ཉིད།་ཕུང་པོ་ལྔ་པོ་གང་རུང་ལ་བརྟེན་ནས་བཏགས་པའི་སྐྱེས་བུ།
གང-ཟག-གི-བདག-མེད-ཕྲ-མོ	མཚན་ཉིད།་གང་ཟག་རང་རྐྱ་ཐུབ་པའི་རྫས་ཡོད་ཀྱིས་སྟོང་པ
གང-ཟག-གི-བདག-མེད-རགས-པ	མཚན་ཉིད།་གང་ཟག་རྟག་གཅིག་རང་དབང་ཅན་གྱིས་སྟོང་པ
གཅིག	མཚན་ཉིད།་སོ་སོ་བ་མ་ཡིན་པའི་ཆོས
གྲགས-པའི-རྗེས-དཔག	མཚན་ཉིད།་རང་གི་རྟེན་གྲགས་རྟགས་ཡང་དག་ལ་བརྟེན་ནས་རང་གི་གཞལ་བྱ་སྒྲ་བྱུང་གྲགས་པ་ལ་མི་སླུ་བའི་ཞེན་རིག
གྲུབ-བདེ-གཅིག	མཚན་ཉིད།་གྲུབ་པ་དུས་མཉམ།་གནས་པ་དུས་མཉམ།་འཇིག་པ་དུས་མཉམ།
གྲུབ-མཐའ	སྒྲ་བཤད།་ལུང་རིགས་གང་རུང་ལ་བརྟེན་ནས་ཐག་བཅད་ཅིང་གྲུབ་པའམ་དམ་བཅས་པའི་དོན་དེ་ཉིད་རང་གི་བློ་ངོར་ཚུལ་དེ་ལས་གཞན་དུ་འདོར་མེད་པས་ན།་གྲུབ་པའི་མཐའ་ཞེས་བརྗོད་པ
གཞལ-བྱ	མཚན་ཉིད།་ཚད་མས་རྟོགས་པར་བྱ་བ།
གཞི-གྲུབ	མཚན་ཉིད།་ཚད་མས་གྲུབ་པ།
གཟུགས	མཚན་ཉིད།་གཟུགས་སུ་རུང་བ།
གཟུགས-འཛིན-དབང-མངོན	མཚན་ཉིད།་རང་གི་ཐུན་མོང་མ་ཡིན་པའི་བདག་རྐྱེན་མིག་དབང་དང།་དམིགས་རྐྱེན་གཟུགས་ལ་བརྟེན་ནས་སྐྱེས་པའི་རྟོག་པ་དང་བྲལ་ཞིང་མ་འཁྲུལ་པའི་རིག་པ།
གཟུགས-ཀྱི-སྐྱེ-མཆེད	མཚན་ཉིད།་མིག་ཤེས་ཀྱི་བཟུང་བྱ།
ཀ-བ	མཚན་ཉིད།་གདུང་འདེགས་དོན་བྱེད་ནུས་པ
ཀུན-བརྟགས	མཚན་ཉིད།་ཀུན་བརྟགས་གཞན་དབང་ཡོངས་གྲུབ་གསུམ་པོ་གང་རུང་གང་ཞིག་རྣམ་དག་གི་དམིགས་པ་མཐར་ཐུག་པ་མིན་ཞིང་དོན་བྱེད་མི་ནུས་པ།
ཀུན-རྫོབ-ཀྱི-བདེན-པ	མཚད་ཉིད།་དོན་དམ་པར་དོན་བྱེད་མི་ནུས་པའི་ཆོས།
ཀུན-རྫོབ-བདེན-པ	མཚད་ཉིད།་དོན་དམ་པར་དོན་བྱེད་མི་ནུས་པའི་ཆོས།
ལམ	མཚན་ཉིད།་རང་འབྲས་བྱང་ཆུབ་ཏུ་བགྲོད་པའི་གོ་སྐབས་ཕྱེ་ཤུལ་དུ་གྱུར་པའི་ལམ་ཞུགས་ཀྱི་མཁྱེན་པ།
ལྕེ-ཤེས	མཚན་ཉིད།་རང་གི་ཐུན་མོང་མ་ཡིན་པའི་བདག་རྐྱེན་ལྕེ་དབང་པོ་དང་དམིགས་རྐྱེན་རོ་ལ་བརྟེན་ནས་སྐྱེ་བའི་རིག་པ
ལྕེའི-དབང-པོ	མཚན་ཉིད།་རང་འབྲས་ལྕེའི་རྣམ་ཤེས་ཀྱི་ཐུན་མོང་མ་ཡིན་པའི་བདག་རྐྱེན་བྱེད་པའི་ཆ་ནས་བཞག་པའི་ནང་གི་གཟུགས་ཅན་དྭང་བ
ལྡན-མིན-འདུ-བྱེད	མཚན་ཉིད།་༡.་བེམ་ཤེས་གང་རུང་མ་ཡིན་པའི་དངོས་པོ།་༢.་གཟུགས་ཤེས་གང་རུང་མ་ཡིན་པའི་དངོས་པོ།་༣.་བེམ་ཤེས་གང་རུང་མ་ཡིན་པའི་འདུས་བྱས།
ལྡོག-ཆོས-ཕུང-སུམ-ཙམ-པོ-བ	མཚན་ཉིད།་ཁྱོད་གཞི་གྲུབ།་ཁྱོད་ཁྱོད་རང་མ་ཡིན།་ཁྱོད་མ་ཡིན་པ་ཁྱོད་ཡིན།་ཁྱོད་ཀྱི་ལྡོག་པ་ལྡོག་ཆོས་ཕུང་སུམ་ཙམ་པོ་བ་དང་མི་འགལ་བ་ཡང་ཡིན་པའི་གཞི་མཐུན་པར་དམིགས་པ།
ལྡོག-ཆོས-ཕུང-སུམ-ཙམ-པོ-བའི-རྗེས-མཐུན	མཚན་ཉིད།་ཁྱོད་གཞི་གྲུབ།་ཁྱོད་ཁྱོད་རང་མ་ཡིན།་ཁྱོད་མ་ཡིན་ཁྱོད་ཡིན།་ཁྱོད་ཀྱི་ལྡོག་པ་ལྡོག་ཆོས་ཕུང་སུམ་ཙམ་པོ་བའི་རྗེས་མཐུན་དང་མི་འགལ་བ་ཡང་ཡིན་པའི་གཞི་མཐུན་པར་དམིགས་པ།
ལྡོག-པ-རིགས-གཅིག	མཚན་ཉིད།་གང་ཟག་གང་གིས་ཡིད་གཏད་པས་མཐོང་ཙམ་ཉིད་ནས་འདི་དང་འདི་འདྲའོ་སྙམ་པའི་བློ་ངང་གི་སྐྱེད་ནུས་པའི་ཆོས།
ལྷན-ཅིག-བྱུང-བའི-རྒྱུ	མཚན་ཉིད།་ཕན་ཚུན་དུས་མཉམ་རྫས་ཐ་དད་ཀྱང་ཡིན།་ཕན་ཚུན་སྐྱེ་བ་ལ་གེགས་མི་བྱེད་པ་ཡང་ཡིན་པའི་གཞི་མཐུན་པར་དམིགས་པ།
ལྷན-ཅིག-མི-གནས-འགལ	མཚན་ཉིད།་རྒྱུན་བཅད་བྱ་གཅོད་བྱེད་ཀྱི་སྒོ་ནས་མི་མཐུན་པར་གནས་པ།
ལྗོན-ཤིང	མཚན་ཉིད།་ཡལ་ག་ལོ་འདབ་དང་ལྡན་པ
ལྐོག-གྱུར	མཚན་ཉིད།་༡་བསྡུས་གྲྭ་ལས།་རང་འཛིན་རྟོག་པས་ལྐོག་ཏུ་གྱུར་པའི་ཚུལ་གྱིས་རྟོགས་པར་བྱ་བ།
ལོག-ཤེས	མཚན་ཉིད།་རང་གི་འཇུག་ཡུལ་ལ་འཁྲུལ་བའི་རིག་པ།
ལུས-ཀྱི-དབང-པོ	མཚན་ཉིད།་རང་འབྲས་ལུས་ཤེས་ཀྱི་ཐུན་མོང་མ་ཡིན་པའི་བདག་རྐྱེན་བྱེད་པའི་ཆ་ནས་བཞག་པའི་ནང་གི་གཟུགས་ཅན་དྭངས་བ།
ལུས-ཤེས	མཚན་ཉིད།་རང་གི་ཐུན་མོང་མ་ཡིན་པའི་བདག་རྐྱེན་ལུས་ཀྱི་དབང་པོ་དང་དམིགས་རྐྱེན་རེག་བྱ་ལ་བརྟེན་ནས་སྐྱེ་བའི་རིག་པ།
མ-འཁྲུལ-བའི-ཤེས-པ	མཚན་ཉིད།་རང་གི་སྣང་ཡུལ་ལ་མ་འཁྲུལ་བའི་རིག་པ།
མ-བྱས-པའི-ཆོས	མཚན་ཉིད།་མ་སྐྱེས་པའི་ཆོས།
མ-ཡིན-དགག-གི-གཞན-སེལ	མཚན་ཉིད།་རང་ཞེས་བརྗོད་པའི་སྒྲས་རང་གི་དགག་བྱ་བཀག་ཤུལ་དུ་རང་འཛིན་རྟོག་པའི་གཞལ་བྱར་འཕངས་པ་ཡང་ཡིན།་སྒྲུབ་པ་ཡང་ཡིན་པའི་གཞི་མཐུན་པ་ཡོད་པ་ཡང་ཡིན།་དགག་པ་ཡང་ཡིན་པའི་གཞི་མཐུན་པར་དམིགས་པ།
མེ	མཚན་ཉིད།་ཚ་ཞིང་སྲེག་པ།
མི-དགེ-བ	མཚན་ཉིད།་ལུང་དུ་བསྟན་པ་གང་ཞིག་རང་འབྲས་རྣམ་སྨིན་སྡུག་བསྔལ་འབྱིན་བྱེད་ཀྱི་རིགས་སུ་གནས་པ།
མི-རྟག-པ	མཚན་ཉིད།་སྐད་ཅིག་མ།
མི-སློབ-ལམ	མཚན་ཉིད།་ཉོན་སྒྲིབ་སྤངས་པའི་ཆ་ནས་བཞག་པའི་མཁྱེན་པ།
མིག-གི-དབང-པོ	མཚན་ཉིད།་རང་འབྲས་མིག་ཤེས་ཀྱི་ཐུན་མོང་མ་ཡིན་པའི་བདག་རྐྱེན་བྱེད་པའི་ཆ་ནས་བཞག་པའི་ནང་གི་གཟུགས་ཅན་དྭངས་བ།
མིག-ཤེས	མཚན་ཉིད།་རང་གི་ཐུན་མོང་མ་ཡིན་པའི་བདག་རྐྱེན་མིག་དབང་དང་དམིགས་རྐྱེན་གཟུགས་ལ་བརྟེན་ནས་སྐྱེ་བའི་རིག་པ།
མངོན-གྱུར	མཚན་ཉིད།་༡.་བསྡུས་གྲྭ་ལས།་མངོན་སུམ་གྱི་ཚད་མས་དངོས་སུ་རྟོགས་པར་བྱ་བ།་༢.་བློ་རིག་ལས།་ཚུར་མཐོང་རྣམས་ཀྱིས་ངེས་པར་རྟགས་ལ་བརྟེན་ནས་རྟོགས་པར་བྱ་བ་མ་ཡིན་པའི་ཆོས།
མངོན-སུམ	མཚན་ཉིད།་རྟོག་པ་དང་བྲལ་ཞིང་མ་འཁྲུལ་བའི་རིག་པ
མངོན-སུམ-གྱི-ཚད-མ	མཚན་ཉིད།་རྟོག་པ་དང་བྲལ་ཞིང་མ་འཁྲུལ་བའི་གསར་དུ་མི་སླུ་བའི་རིག་པ
མངོན-སུམ-ལྟར-སྣང	མཚན་ཉིད།་རང་གི་སྣང་ཡུལ་ལ་འཁྲུལ་བའི་རིག་པ
མཐོང-ལམ	མཚན་ཉིད།་བདེན་པ་མངོན་རྟོགས
མཚན-ཉིད	མཚན་ཉིད།་རྫས་ཡོད་ཆོས་གསུམ་ཚང་བ།
མཚོན-བྱ	མཚན་ཉིད།་བཏགས་ཡོད་ཆོས་གསུམ་ཚང་བ།
མཚུངས-ལྡན-གྱི-རྒྱུ	མཚན་ཉིད།་ཕན་ཚུན་མཚུངས་ལྡན་རྣམ་པ་ལྔ་མཚུངས་ཀྱང་ཡིན།་ཕན་ཚུན་སྐྱེ་བ་ལ་གེགས་མི་བྱེད་པ་ཡང་ཡིན་པའི་གཞི་མཐུན་དུ་དམིགས་པ།
ནང-གི-བེམ-པོ	མཚན་ཉིད།་སྐྱེས་བུའི་རྒྱུད་ཀྱིས་བསྡུས་པའི་རྡུལ་དུ་གྲུབ་པ།
ནང-གི-གཟུགས	མཚན་ཉིད།་སྐྱེས་བུའི་ཤེས་རྒྱུད་ཀྱིས་བསྡུས་པའི་གཟུགས།
ངོ-བོ-གཅིག-པ	མཚན་ཉིད།་ངོ་བོ་སོ་སོ་བ་མ་ཡིན་པའི་ཆོས
ཉན-ཐོས-ཀྱི-མི-སློབ-ལམ	མཚན་ཉིད།་ཉན་ཐོས་ཀྱི་ལམ་གྱི་བགྲོད་པ་མཐར་ཕྱིན་པའི་མངོན་རྟོགས།
ཉན-ཐོས-ཀྱི-མཐོང-ལམ	མཚན་ཉིད།་རང་འབྲས་ཉན་ཐོས་ཀྱི་སྒོམ་ལམ་མ་སྐྱེས་གོང་གི་ཉན་ཐོས་ཀྱི་བདེན་པ་མངོན་རྟོགས
ཉན-ཐོས-ཀྱི-མཐོང-ལམ-བར-ཆད-མེད-ལམ	མཚན་ཉིད།་ཉོན་སྒྲིབ་ཀུན་བཏགས་ཀྱི་དངོས་གཉེན་དུ་གྱུར་པའི་ཉན་ཐོས་ཀྱི་བདེན་པ་མངོན་རྟོགས།
ཉན-ཐོས-ཀྱི-མཐོང-ལམ-མཉམ-བཞག-ཡེ-ཤེས	མཚན་ཉིད།་རང་ཡུལ་དུ་གྱུར་པའི་གང་ཟག་གི་བདག་མེད་ལ་རྩེ་གཅིག་ཏུ་མཉན་པར་བཞག་པའི་ཉན་ཐོས་ཀྱི་བདེན་པ་མངོན་རྟོགས།
ཉན-ཐོས-ཀྱི-མཐོང-ལམ-རྗེས-ཐོབ-ཡེ-ཤེས	མཚན་ཉིད།་ཉན་ཐོས་ཀྱི་མཐོན་ལམ་བར་ཆད་མེད་ལམ་དང་རྣམ་གྲོལ་ལམ་གང་རུང་མ་ཡིན་པའི་ཉན་ཐོས་ཀྱི་མཐོང་ལམ་ཡང་ཡིན།་རང་འདྲེན་བྱེད་ཀྱི་རྣམ་གྲོལ་ལམ་རྫོགས་རྗེས་སུ་བྱུང་བའི་ཆ་ནས་བཞག་པའི་ཉན་ཐོས་ཀྱི་བདེན་པ་མངོན་རྟོགས།
ཉན-ཐོས-ཀྱི-སྦྱོར-ལམ	མཚན་ཉིད།་རང་འབྲས་ཉན་ཐོས་ཀྱི་མཐོང་ལམ་མ་སྐྱེས་གོང་གི་ཉན་ཐོས་ཀྱི་དོན་མངོན་རྟོགས།
ཉན-ཐོས-ཀྱི-སྒོམ-ལམ	མཚན་ཉིད།་ཉན་ཐོས་ཀྱི་རྗེས་ལ་མངོན་རྟོགས
ཉན-ཐོས-ཀྱི-སྒོམ-ལམ-བར-ཆད-མེད-ལམ	མཚན་ཉིད།་རང་གི་ངོས་སྐལ་གྱི་སྤང་བྱ་སྒོམ་སྤང་ཉོན་སྒྲིབ་ཀྱི་དངོས་གཉེན་དུ་གྱུར་པའི་ཉན་ཐོས་ཀྱི་རྗེས་ལ་མངོན་རྟོགས
ཉན-ཐོས-ཀྱི-སྒོམ-ལམ-མཉམ-བཞག-ཡེ-ཤེས	མཚན་ཉིད།་རང་ཡུལ་དུ་གྱུར་པའི་བདག་མེད་ལ་རྩེ་གཅིག་ཏུ་མཉམ་པར་བཞག་པའི་ཉན་ཐོས་ཀྱི་རྗེས་ལ་མངོན་རྟོགས
ཉན-ཐོས-ཀྱི-ཚོགས-ལམ	མཚན་ཉིད།་རང་འབྲས་སྦྱོར་ལམ་མ་སྐྱེས་གོང་གི་ཉན་ཐོས་ཀྱི་ཆོས་མངོན་རྟོགས།
ཕན-ཚུན-སྤང-འགལ	མཚན་ཉིད།་རྣམ་བཅད་ཡོངས་གཅོད་ཀྱི་སྒོ་ནས་མི་མཐུན་པར་གནས་པ།
ཕྱིའི-བེམ-པོ	མཚན་ཉིད།་སྐྱེས་བུའི་རྒྱུད་ཀྱིས་མ་བསྡུས་པའི་རྡུལ་དུ་གྲུབ་པ།
ཕྱིའི-གཟུགས	མཚན་ཉིད།་སྐྱེས་བུའི་ཤེས་རྒྱུད་ཀྱིས་མ་བསྡུས་པའི་གཟུགས།
རང-ལས-ངེས-ཀྱི-ཚད-མ	མཚན་ཉིད།་རང་གི་གཞལ་བྱའི་བདག་ཉིད།་མཐར་ཐུག་པ་ཡུལ་སྟེང་དུ་གནས་པ་མེད་པར་རང་ཉིད་མི་འབྱུང་བ་ལ་ངེས་པ་རང་སྟོབས་ཀྱིས་འདྲེན་ནུས་པའི་གསར་དུ་མི་སླུ་བའི་རིག་པ།
རང-ལྡོག-གཅིག-པ	མཚན་ཉིད།་རང་ལྡོག་སོ་སོ་བ་མ་ཡིན་པའི་ཆོས༎
རང-ལྡོག-ཐ-དད	མཚན་ཉིད།་རང་ལྡོག་སོ་སོ་བའི་ཆོས།
རང-མ-ཡིན-པའི-ལྡོག-ཆོས	མཚན་ཉིད།་ཁྱོད་གཞི་གྲུབ།་ཁྱོད་ཁྱོད་རང་མ་ཡིན།་ཁྱོད་མ་ཡིན་པ་ཁྱོད་མ་ཡིན།་ཁྱོད་ཀྱི་ལྡོག་པ་རང་མ་ཡིན་པའི་ལྡོག་ཆོས་དང་མི་འགལ་བ་ཡང་ཡིན་པའི་གཞི་མཐུན་པར་དམིགས་པ།
