ཀ-དག	primordial purity
རྒོལ-བ	adversary; attack; dispute; opponent;
རྒྱ-ཆེན-སྤྱོད-པའི-སྲོལ	Tradition of the Vast Activity
རྒྱ-ཆེར-རོལ-པ	Vast Display
རྒྱན-སྟུག-པོ	Dense Ornamentation
རྒྱན-སྟུག-པོ-བཀོད-པ	Array of Dense Ornamentation
རྒྱལ-དཔོགས-པ	Followers of Jaimini
རྒྱལ-བ-པ	Jains
རྒྱལ-བའི-ཡུམ	Mother of the Victorious Ones
རྒྱལ-བྱེད	Conquering
རྒྱུ	cause
རྒྱུ-འབྲས	causality
རྒྱུད	continuum; stream of being; tantra
རྒྱུད-བླ-མ	Supreme Continuity
རྒྱུན	continuity
སྒོ-ང-ཕྱེད-ཚལ-བ	Split-egg-system
སྒོམ	cultivation; meditation; training
སྒོམ-ལམ	path of cultivation
སྒྱུ-མ	illusion
སྒྲ-དོན	word object
སྒྲ-བློ	word concept
སྒྲིབ-པ	obscuration
སྒྲུབ-ཆོས	established property; property of the probandum; property to be established
སྒྲུབ-པ	accept; establish; prove
སྒྲུབ-བྱ	probandum
སྒྲོ-འདོགས	superimposition
བརྒྱུད-པ	lineage
བརྒྱུད-འཛིན	lineage holder
ངེས-པ	ascertain; certainty; certify
ངེས-པར-གཟུང-བ	determine
ངེས-ཤེས	certainty
དངོས	actual; direct; explicit
དངོས-སྟོབས-ཀྱི-རིགས-པ	reasoning by the power of fact
དངོས-པོ	entity
དངོས-པོར-ལྟ-བ	view of entities
དངོས-འཛིན	apprehension of entity; grasping at entity; identify
དངོས-གཟུང-བ	identify
མངོན-གྱུར	evident
མངོན-དུ-བྱེད-པ	actualize
མངོན-ཤེས	superknowledge
སྔགས	mantra; speech
ཅེར-པུ-པ	Nudist
གཅིག-དུ-བྲལ-གྱི-རིགས-པ	reasoning into absence of one and many
ཆ	aspect; part; quality
ཆད-ལྟ	view of annihilation
ཆུད-མི-ཟ-བའི-རྫས	substance of no dissipation
ཆེད-དུ-བརྗོད-པ	Purposeful Expressions
ཆོས	Dharma; phenomena; property
ཆོས-ཀྱི-བདག	self of phenomena
ཆོས-ཀྱི-དབྱིངས	basic space
ཆོས-ལྔ	five principles
ཆོས-ཅན	phenomenon; subject
ཆོས-ཉིད	intrinsic nature
ཆོས-ཉིད-ཀྱི-རིགས-པ	reasoning of intrinsic nature
ཆོས-དང-ཆོས-ཉིད-རྣམ-པར-འབྱེད-པ	Distinguishing Between Phenomena and their Intrinsic Nature
ཆོས-ཡང-དག-པར-སྡུད-པ	Authentically Compiling Phenomena
ཆོས-ལ-དམིགས-པའི-རྙིང-རྗེ	compassion observing phenomena
འཆད-ཉན	exposition and study
འཆད-པ	communicate; explain; teach
འཇམ-དཔལ-རྩ-རྒྱུད	Root Tantra of Manjushri
འཇིག-རྟེན-པ	mundane being
འཇིག-རྟེན-ལས-འདས-པའི-ལེའུ	Chapter on What Transcends the World
འཇིག-ལྟ	view of the transitory collection
འཇུག-ཡུལ	object of application; object of engagement
འཇོག-པ	classify; posit; set forth;
རྗེ	lord
རྗེས-འགྲོ	concomitance
རྗེས-མཐུན	approximation; assimilation
རྗེས-དཔག	inference
རྗེས-སུ-འཇུག-པ	pursue
རྗོད-བྱེད	expresser; expressing
ཉན-ཐོས	Listener
ཉམས-ལེན	experiential application
ཉི-ཚེ-བ	limited
ཉོན-མོངས	affliction
ཉོན-མོངས-པའི-སྒྲིབ-པ	obscuration of affliction
གཉེན-པོ	antidote; remedy
མཉམ-གཞག	meditative equipoise
རྙེད-དོན	the meaning discovered
སྙིང-རྗེ	compassion
སྙིང-རྗེ-ཆེན-པོ-ལ-འཇུག-པའི-མདོ	Sutra of Entry into Great Compassion
སྙོམ-འཇུག	serenity
ཏིང-ངེ-འཛིན-རྒྱལ-པོ	King of Absorption
གཏགས-པ	call; designate; impute
གཏན-ཚིག	argumentation; logical argument
གཏན-ལ-ཕབ	ascertain; reach certainty concerning; reach conclusion; reach decisive insight into; resolve
བཏགས-པ-བ	designated; imputed; nominal
རྟག-པར-སྨྲ-བ	proponent for permanence
རྟགས	evidence
རྟགས-འགོད-པ	arrangement of the root evidence
རྟགས-ལྟར-སྣང	seeming evidence
རྟེན-དང-བརྟེན-པ	the supports and the supported
རྟེན-ནས-བཏགས-པ	dependent imputation
རྟེན-འབྲེལ	dependent origination; link of dependency
རྟེན-འབྲེལ-ཆེན-མོའི-རིགས-པ	reasoning of the great interdependency
རྟོག-གེ	dialectician; intellectualist
རྟོག-པ	concept; examine; thought
རྟོག-པ-ལ-ཕན-པའི-ཡལ-ག	Branches that Improve Thought; The
རྟོག-པའི-གཟུག-བརྙན	conceptual reflection
རྟོགས-པ	realization; understanding
རྟོན-པ-བཞི	four reliances
ལྟ-ངན	inferior view; unfortunate belief; wrong view
ལྟ-བ	belief; view
ལྟ-བའི-སྙིང-པོ	Core of the View
ལྟོ-ལྡིར	round bellied
ལྟོས-ནས-གཞག-པ	posited in mutual dependency
ལྟོས-པའི-རིགས-པ	reasoning of dependency
སྟོང-པ-ཉིད	emptiness
བརྟུལ-ཞུགས	yogic discipline
ཐ-སྙད-གྲུབ-པ	Establishment of the Conventional
ཐབས	means; method
ཐབས-བྱུང	outcome of method
ཐམས-ཅད-མཁྱེན-པ	omniscience
ཐལ-འགྱུར	Consequence
ཐལ-འགྱུར-བ	Consequentialist
ཐུབ-པ	Capable One
ཐེག-ཆེན-གྱི-བཀའ-སྤྱི	general teachings of the great vehicle
ཐེག-པ-ཆེན-པོ	Great Vehicle
ཐེག-པ-དམན-པ	Inferior Vehicle; Lesser Vehicle
ཐོབ-པ	acquisition
ཐོས-པ	learn; listen
མཐའ	extreme
མཐའ-གཅིག-ཏུ	one-sidedly; unequivocally
མཐར-ཐུག	absolute; final
མཐོང-ལམ	path of seeing
འཐད-པ	feasible; justifiable; justified; of rationale; reasonable; rational
འཐད-པ-སྒྲུབ-པའི-རིགས-པ	reasoning establishing feasibility
དང-བའི-དད-པ	inspired faith
དངས-པ	clear; subtle
དད-པ	faith
དམ-པ	authentic; genuine; sacred; true
དུས-རྒྱུར-སྨྲ-བ	Proponent of Time Being the Cause
དེ-ཁོ-ན-ཉིད	essential nature; nothing but thatness
དེ-ཉིད	essential nature; thatness
དེ-བྱུང-གི-འབྲེལ-བ	causal relationship; relationship of origination
དེ-མ-ཐག-རྐྱེན	immediately preceding condition
དོན	[external] object; meaning; object
དོན-གྱི-རྣམ-བཅད	import of the meaning; meaning elimination
དོན-དམ-པ	ultimate
དོན-དུ-གཉེར-བ	pursue
དོན-ལྡོག	meaning contradistinction
དོན-བྱེད-ནུས-པ	capable of performing a function; functional
དོན-སྨྲ-བ	proponent of objects
དོལ-པོ-པ	Dolpopa
དྲེན-པ-བྱེད-པ-བསློབ-པའི-འཁོར-ལོ	Wheel of Training Producing Recall
གདགས-གཞི	basis for designation; basis for imputation
བདག-རྐྱེན	ruling condition
བདག-ཏུ-ལྟ-བ	belief in self
བདུད	demon
བདུད-རྩིའི-ཐིག-པ-གསང-བ	Secret Drop of Elixir
བདེ-བ	pleasure
བདེན-པ-གཉིས	two truths
མདོ	sutra
མདོ-དགོངས-པ-ངེས-འགྲེལ	Sutra of the Definitive Explanation of the Intent
མདོ-ཏིང-ངེ-འཛིན-དམ-པ	Sutra of the Sacred Absorption
མདོ-སྡེ	Sutra-section
མདོ-སྡེ-པ	Sutra Follower
མདོ-སྡེའི-དབུ-མ	Middle Way of Sutra Reliance
མདོ-མྱང-འདས-ཆེན-པོ	Sutra of the Great Transcendence of Suffering
འདུ-བ	inherence
འདུ-བྱེད	conditioning; formation
འདུ-ཤེས	conception; perception
འདུས-པ	aggregation; condensation; conglomeration
འདུས-བྱས	conditioned
འདུས-མ-བྱས	unconditioned
འདོད-པ	assert; hold; wish
འདོད-པའི-དད-པ	aspiring faith
རྡུལ	materiality; particle
རྡུལ-ཕྲ-རབ	most subtle particle
རྡུལ-ཕྲན	particle
ལྡན-མིན-འདུ-བྱེད	non-concurrent formation
ལྡོག-ཁྱབ	reverse pervasion
ལྡོག-པ	contradistinction; halt; reverse
སྡུག-བསྔལ	pain; suffering
སྡེ-སྣོད	[scriptural] vessel
ནུས-པ	energy; power
གནད	crucial point; key point
གནས-བརྟན	Elder
གནས-ཚུལ	abiding condition; abiding mode
གནས-ལུགས	abiding way; way of abiding
གནོད-པ	discredit; flawed; harm; impair
གནོད-མེད-དུ-གྲུབ-པ	established unimpaired; flawlessly established
རྣམ-ཀུན-མཆོག-ལྡན	endowed with all supreme aspects
རྣམ-མཁྱེན	omniscience
རྣམ-གྲངས-པའི-དོན-དམ	categorized ultimate
རྣམ-གྲངས-མ-ཡིན-པའི-དོན-དམ	uncategorized ultimate
རྣམ-བཅས-པ	Proponent of Features
རྣམ-འཇོག-གི-རྒྱུ	cause of categorization
རྣམ-པ-གཏོད-བྱེད-ཀྱི-ཡུལ	object transmitting features
རྣམ-པར-དཀར-བ	sublime; unblemished
རྣམ-པར-ཐར-པ	liberation; life example
རྣམ-འཕྲུལ	magical manifestation
རྣམ-བྱང	complete purification
རྣམ-གཞག	category; classification; presentation; principle; terminology
རྣམ-རིག-སྨྲ-བ	Proponent of Awareness
རྣལ-མ	natural
སྣང-བཏགས-གཅིག-ཏུ-བསྲེས-པ	mixing up the apparent and the designated as [if these were] one
སྣང-བ	appearance; experience; manifest
སྣང-ཚུལ	apparent condition; seeming
སྣང-ཡུལ	appearing object
དཔྱད-པ	analysis; determine; investigation
དཔྱད-པ-གསུམ-ཀྱི-དག-པ	verified by threefold investigation
དཔྱད-བཟོད	withstanding investigation
སྤང-རྟོག	relinquishment and realization
སྤང-བྱ	discard
སྤོབས-པ	eloquent courage
སྤྱི	universal
སྤྱི-དོན	general meaning; survey
སྤྱོད-པ-པ	Ritualist
སྤྱོད-ཡུལ	domain; object; object of activity; sphere of activity
སྤྲོས-པ	constructs
སྤྲོས-བྲལ	freedom from constructs; simplicity
ཕ-རོལ-དུ-ཕྱིན-པ	transcendence
ཕ-རོལ-པོ	adversary
ཕར-ཕྱིན-དྲུག	six transcendences
ཕལ-པོ-ཆེ	Great Host
ཕུར-བུའི-རྒྱུད-སྡེ-དྲུག	Six Tantras of Bahaspati
ཕྱི-དོན	external object; external objectivity; outer object
ཕྱི-རོལ	external; outer
ཕྱི-རོལ-པ	Non-Buddhist
ཕྱིན-ཅི-མ-ལོག-པ	unmistaken
ཕྱིན-ཅི-ལོག-པ	mistaken
ཕྱོགས	factor; position; side
ཕྲིན-ལས	enlightened activity
འཕག-པ	elevated; exalted; noble
འཕག-ཡུལ	Noble Land
བག-ཆགས	habitual tendency
བག-ཡོད	carefulness
བར	interstice; space in between
བེམ-པོ	matter
བྱ-བ-བྱེད-པའི-རིག-པ	reasoning of performance
བྱང-ཆུབ	enlightenment
བྱང-ཆུབ-ཀྱི-ཡན-ལག	factors of enlightenment
བྱང-ཆུབ-ཀྱི-སེམས	mind of enlightenment; mind set upon enlightenment
བྱིས-པ	childish; immature
བྱེ-བྲག	particular
བྱེ-བྲག-སྨྲ-བ	Proponent of Differences
བྲམ-ཟེ	Brahmin
བླ-དགས	designation
བླུན-སྒོམ	meditation of stupidity
བློ	conceptual mind; intellect; mind
བློ-གྲོས	intelligence
བློ-གྲོས-རྒྱ-མཚོས-བསྟན-པ	Requested by SAgaramati
བློ-གྲོས-མི-ཟད-པས-སྟན-པ	Taught by Akshayamati
བློ-དོན-མཐུན	mind in accord with fact
བློ-ལྡན	intelligent
དབང-ཆེན-དགྱེས-རབ-རྡོ-རྗེ	Wangchen Gyerab Dorje
དབང-པོ	faculty; lord
དབང-པོའི-མངོན-སུམ	direct perception of the senses; sensory direct perception
དབང-ཕྱུགས	Almighty; Ishvara; lord;
དབང-ཕྱུགས-ནག-པོའི-རྒྱུད-དྲུག-ཅུ-པ	Sixty-fold Tantra of Ishvarakala
དབུ-མ	Middle Way
དབུ-མ-སྙིང-པོ	Core of the Middle Way
དབུ-མ-ཐལ-འགྱུར	Middle Way of Consequence
དབུ-མ-རྣལ-འབྱོར-སྤྱོད-པ	Middle Way of Yogic Action
དབུ-མ-སྣང-བ	Light of the Middle Way
དབུ-མ-སྨྲ-བ	proponent of the Middle Way
དབུ-མ-རྩ-བ-ཤེས-རབ	Root Knowledge of the Middle Way
དབུ-མ-ལ-འཇུག-པའི-རང-འགྲེལ	Auto-commentary on Entering the Middle Way
དབུ-མའི-བསྟན-བཅོས	Treatise of the Middle Way
དབུ-མའི-ཤེས-རབ-ལ-འཇུག-པ	Entry into the Knowledge of the Middle Way
དབུས-དང-མཐའ-རྣམ-པར-འབྱེད-པ	Discerning the Middle and the Extremes
འབྱེད-པ	differentiate; discern; discriminate; distinguish
འབྲས-བུ	effect; fruition; result
འབྲེལ-བ	relationship
སྦྱིན-བདག	benefactor
མ-ངེས-པའི-རྟགས	indeterminate evidence
མ-དམིགས-པའི-རྟགས	evidence of non-observation
མ-ཡིན-དགག	predicative negation
མི-རྟོག-པ	non-conceptual
མི-ལྡན-རྣམ-གཅོད	preclusion of lack of possession
མི-འཕྲོགས-པའི-ཤེས-རབ	inalienable insight
མུ-སྟེགས-པ	extremist
མེད-རྐྱང	bare non existence; plain absence
མེད-དགག	existential negation
མེད-པ	absence; non-existence
མོས-པ	[devoted] interest
མྱ-ངན-ལས-འདས-པ	transcendence of suffering
དམིགས-རྐྱེན	observed condition
དམིགས-པ	focus; observation
དམིགས-པ-མེད-པའི-རྙིང-རྗེ	compassion beyond observation
རྨོང-པ	delusion; stupidity; stupor
སྨོན-ལམ	aspiration; prayer
སྨྲ-བ	explication; hold; posit; proponent; propound; speak; teach
ཙོ-བོ	main [principle]; principal
བཙུན	purity {btsun pa'i yon tan}
རྩོད-པ	argument; debate; dispute; objection
རྩོད-པ-སྤོང-བ	relinquishment of dispute
རྩོམ-པ	form
ཚད-མ	valid cognition; validity;
ཚད-མ-གྲུབ-པ	Establishment of Validity
ཚད-མ-རྣམ-འགྲེལ	Commentary on Valid Cognition
ཚད-མས-གྲུབ-པ	established by valid cognition; established with validity
ཚིག-རྐང	verse
ཚིག-བཅད	stanza; verse
ཚིག-གསལ	Lucid Words
ཚུར-མཐོང	confined perception
ཚུལ	approach; character; mode; system; tradition; way
ཚུལ-གཉིས	Two Approaches
ཚུལ-བཞིན	correct; genuine
ཚེ-ལ-དབང-ཐོབ	gaining mastery over life
ཚོགས-པ	assemblage; collection
ཚོར-བ	sensation
མཚན-ཉིད	characteristic; defining characteristic; definition
མཚན-ཉིད-ལྔ-ཅུ-པ	Fifty Characteristics
མཚན-ཉིད-པ	actual; fully qualified; genuine
མཚན-མ	attribute; characteristic
མཚན-གཞི	illustration
མཚོན-བྱ	definiendum
འཛིང-སྟངས	mode of apprehension; mode of grasping
འཛིན-པ	apprehend; grasp; seize
རྫུ-འཕྲུལ	miraculous power
ཞག-ལྔ-པ	Five Days
ཞི-བའི-རྒྱུད	Tantra of Peace
ཞི-བའི-མཛེས-པའི-སྦྱར-བ	Applications of the Beauty of Peace
ཞིག-པ-དངོས-པོ	entity of disintegratedness
ཞུང-ཕྱི-མོའི-དབུ-མ	Middle Way of the Original Scriptures
ཞེན-པ	attachment; conception
ཞེན-པ-བཞི-བྲལ	Parting from the Four Attachments
གཞན-ལྡན-རྣམ-གཅོད	elimination of possession elsewhere
གཞན-དབང	dependent [nature]
གཞན-སེལ	other-exclusion
གཞི-གྲུབ	basic establishment; established basis
གཞི-ལྡོག	basis contradistinction
གཞུང	scripture
བཞག-པ	classify; posit; set forth
བཞད-པ-རྡོ-རྗེ	Laughing Vajra
བཞེད-པ	affirm; assert; posit
ཟག-བཅས	defiling
ཟང-ཐལ	unimpededness
ཟུང-འཇུག	unity
ཟླ-བ-སྒྲོན-མེའི-ཏིང-ངེ-འཛིན	Absorption of Moon Lamp
ཟླ-བ-སྒྲོན-མེའི-མདོ	Moon Lamp SUtra
ཟློག-པ	reverse; turn back
གཟི	agate
གཟུང-འཛིན	apprehended and apprehender
གཟུང-འཛིན-གྲངས-མཉམ	Equal Number of Objective and Subjective Features
བཟང	excellence {bzang po'i yon tan}
བཟོད-པ	acceptance; forbearance; patience
འོད-པ	appropriate; justified
འོད-གསལ	clarity; luminosity
ཡང-དག-པ	authentic; real
ཡང-དག-པའི-ཀུན-རྫོབ	authentic relative
ཡང-དག-པའི-མཐ	authentic limit
ཡང-དག-པར-རྫོགས-པའི-སངས-རྒྱས	authentically and perfectly Enlightened One
ཡང-སྲིད	re-existence
ཡབ-དང-བུའི-སྦྱར-བ	Application of the Father and Son
ཡབ-སྲས-མཇལ-བ	Meeting of Father and Son
ཡིད-ཆེས	confidence; conviction; trust
ཡིད-ཆེས-པའི-དད-པ	faith of confidence
ཡིད-བཞིན-རིན-པོ-ཆེའི-མཛོད	Wish-fulfilling Precious Treasury
ཡིད-ལ-མི-བྱེད-པ	mental non-doing
ཡིན-ལུགས	actual condition; way of being
ཡུལ	object
ཡུལ-ཅན	subject
ཡེ-ཤེ	wakefulness
ཡེ-ཤེས-སྣང-བ-རྒྱན-གྱི-མདོ	Sutra of the Ornament of the Appearances of Wakefulness
ཡོང-འགྲུབ	thoroughly established [nature]
ཡོངས-གཅོད	determination
ཡོད-པ	being; existent; present
ཡོན-ཏན	quality
ཡོན-ཏན-རིན-པོ-ཆེ-སྡུད-པ	Gathering of Precious Qualities
རགས-པ	coarse
རང-འགྲེལ	Auto-commentary
རང-རྒྱུད	Autonomy
རང-རྒྱུད-པ	Autonomist
རང-ལྡོག	self contradistinction
རང-སྣང	personal appearance; personal experience; self-appearance
རང-མཚན	specifically characterized phenomenon; specific characteristic
རང-མཚན-གིས-གྲུབ-པ	established by its specific characteristics
རང-བཞིན	nature
རང-བཞིན-མེད-པ	absence of nature; without nature
རང-བཞིན-འོད-གསལ	natural clarity
རང-རིག	self-aware[ness]
རང-རིག-རང-གསལ	self-aware self-clarity
རང-སངས-རྒྱས	Self-realized Buddha
རང-གསལ	self clarity
རིག-པ	awareness
རིག-འཛིན	knowledge holder
རིགས-མཐུན-པ	concordant type; same type
རིགས-པ	logic; rational; reason; reasoning
རིགས-པ-ཅན	Logicians
རིགས-པ-དྲུག-ཅུ-པ	Sixty Stanzas of Reasoning
རིགས-པའི-གནས	discipline of learning; science
རིགས-པའི-ལམ	path of reason; path of reasoning;
རིགས-པས-འགྲུབ-པ	confirmed by logical inquiry; established by reasoning;
རིགས-མི-ཐུན-པ	different type; discordant type
རིན-ཆེན-ཕྲེང-བ	Jewel Garland
རིམ-ལྔ	Five Stages
རིལ-པོ-གཅིག	single whole
རུང-བ	appropriate; befitting; feasible; functional as; practicable; suitable
རེས-འཇོག	alternating
རོལ-པ	play; revel
རློམ-པ	arrogant assumption; assume; presumption
ལ-ཟླ-བ	decisive resolving
ལང-ཀར-གཤེགས-པ	Ascent onto Lanka
ལས	action; karma; karmic action
ལུགས	approach; system; tradition; way
ལུང-གིས-གྲུབ-པ	established by scriptural authority
ལུང-བསྟན	prophesy
ལེགས-བཞད	excellent statement
ལོ-མ-ཅན-གྱི-གསང-ཚིག	Leafy Spells
ལོག-པ	neutralize; recede; reverse; withdraw
ཤན-འབྱེད	distinguish
ཤིང-རྟའི-སྲོལ	chariot way
ཤིང-རྟའི-སྲོལ-ཕྱེ-བ	to open a chariot way
ཤུགས-ཀྱིས	implicitly
ཤེས-བརྗོད-འཇུག-གསུམ-གྱི-ཐ-སྙད-ཅན	conventionality of cognition; expression; and engagement
ཤེས-འདོད-ཆོས-ཅན	subject concerning which knowledge is sought
ཤེས-པ	cognition
ཤེས-བྱ	object of cognition; knowable
ཤེས-བྱ-སྒྲིབ-པ	obscuration of cognition
ཤེས-བྱ-ལྔ	five topics
ཤེས-བྱའི-ཁོངས	realm of objects of cognition; realm of the knowable
ཤེས-རབ	insight; knowledge
ཤེས-རབ-ཀྱི-ཕ-རོལ-དུ-ཕྱིན-པ	transcendent knowledge; Transcendent Knowledge
ས	ground
ས-སྐྱ-པཎ-ཌི-ཏ	Sakya Pandita
ས-བཅད	headline; topic heading
སངས-རྒྱས	Buddha; Enlightened One
སད-མི-བདུན	seven men to be tested
སུན-འབྱིན-པ	discredit; disprove
སེམས-ཅན	sentient being
སེམས-ཅན-ལ-དམིགས-པའི-རྙིང-རྗེ	compassion observing sentient beings
སེམས-པ	attraction
སེམས-དཔའ-ཆེན-པོ	great heroic mind
སེམས-བྱུང	mental state
སེལ-བ	dispel; exclude
སོ-སོ-སྐྱེ-བོ	ordinary being
སོ-སོ-རང-རིག-པའི-ཡེ-ཤེ	wakefulness of individual self-awareness
སོ-སོར-རྟོགས-པ	discriminating knowledge
སོ-སོར-བརྟགས-འགོགས	analytical cessation
སོ-སོར-བརྟགས-མིན-ཀྱི-འགོགས-པ	non-analytical cessation
སློབ-དཔོན	master
གསང-ཚིག	spell
གསལ-སྣང	clear appearance; clear experience
ལྷག-པའི-ལྷ	supreme deity
ལྷག-བསམ	superior intent
ལྷན-ཅིག-བྱེད-རྒྱུ	co-operating cause
ལྷན-ཅིག-མི-གནས-འགལ	incompatibility of non coexistence
ལྷུན-གྲུབ	spontaneous presence
