ཀ-ངོས	cylinder
ཁ-པར-ཚོགས-འདུ	conference call
ཁ-པར-ཨང-གྲངས	phone number
ཁ-པར-ཨང-དེབ	phone book
ཁ-པར	phone
ཁ-ཕྱེ-བའི-ཡིག-ཆ-མང-དྲགས	too many files opened
ཁ-ཕྱོགས-བསྐྱར-བསྒྲིགས	redirection
ཁ-ཕྱོགས	direction
ཁ-ཕྲལ	separate; split
ཁ-བརྡ-ཁང	chat room
ཁ-བརྡ-འགོ-འཛུགས	opens chat
ཁ-བརྡ	chat
ཁ-བྱང-གི-ཚན-བྱང	title bar
ཁ-བྱང-ཡི-གེ	caption text
ཁ-བྱང-ཡིག-ཕྲེང	title line
ཁ-བྱང-རྣམ-གཞག	title format
ཁ-བྱང-སྒྲོམ-བུ	title box
ཁ-ཞེང-ཆེ-ཤོས	max size
ཁ-ཟུམ-རིགས-གྲས	encapsulated type
ཁ-ཟུམ-རེས-འཁོར	closed loop
ཁ-འབྱེད-དུས-ཚོད	up time
ཁ-འབྱེད-མཁན	open by
ཁ-འབྱེད-སྟངས	open with
ཁ-འབྱེད	open
ཁ-རྒྱག	close
ཁ-རྒྱག-བཞིན-པ	shutting down
ཁ-རྒྱག-སྲུང-བ	closed guard
ཁ-སྐད-ངོས-འཛིན	spoken-language identification
ཁ-སྐོང	fill
ཁ-སྐོང-དཔེ-རྣམ	fill pattern
ཁ-སྒྱུར-དབྱུ-གུ	joystick
ཁ-སྒྱུར-བཟོ-ལས-འཕྲུལ-མི	manipulating industrial robot
ཁ-སྒྱུར-བཤེར-དཔྱད	manipulation detection
ཁ-སྣོན	append
ཁག-སྦྲེལ-དྲ-རྒྱ	partially connected network
ཁབ-ལེན-གསོག-ཆས	magnetic storage
ཁམ-པ	brown
ཁར-ནོ-རི-མོ	karnaugh map
ཁས-མི-ལེན	don't accept
ཁས-ལེན-བརྡ-རྟགས	enabling signal
ཆོག-འཐུས-བརྡ-རྟགས	enabling signal
ཁས-ལེན	accept
ཁཱ-ཀློག-ཆས	card reader
ཁཱ-ཁུང-བརྟོལ-ཆས	card puncher
ཁཱ-དབྱིབས-སྡུད-ཐགས	magnetic tape cassette
ཁཱ-ཕྲེང-སྟར	card row
ཁཱ-འདྲེན-ཆས	card feed
ཁཱ-རིགས-དགར-འཕྲུལ-འཁོར	card sorter
ཁཱ-རྒྱུ-ལམ	card path
ཁཱ-རྩེག-པ	card deck
ཁཱ-ལེན-སྒམ	card stacker
ཁཱ-སྐྱེལ-སྒམ	card hopper
ཁཱ-སྒྲོམ	pocket
ཁཱ-སྟར	card column
ཁཱ	card
ཁུང-བརྟོལ-ཁཱ	punched card
ཁུང-བརྟོལ-གནས	punch position; punching position
ཁུང-བརྟོལ-ཐགས	punched tape
ཁུང-བརྟོལ-འཁོར	punch
ཁུང-བརྟོལ-རྒྱུ-ལམ	punch path
ཁུང-བརྟོལ-སྟེགས	punch station
ཁུང-བུའི-དཔེ-ཚུལ	hole pattern
ཁུང-ལྷན-ཡོ-ཆས	spot punch
ཁུང-སྙིགས	chad
ཁུངས-གནས-ཡུལ	source address
ཁུངས-དཀར-ཆག	source directory
ཁུངས-དཔེ-དུམ	source module
ཁུངས-བགོ-བཤའ	resource allocation
ཁུངས-བྱ-རིམ	source program
ཁུངས-ཚབ-ཨང	source code
ཁུངས-ཚབ-ཨང-སྐྱེད-སྒྲུབ-ཆས	source code generator
ཁུངས-ཡིག-ཆ	source file
ཁུངས-ཡིག-རྐྱང	source text
ཁུངས-ཡིག-སྐྱེད-སྒྲུབ	generate objective file
ཁུངས	source
ཁུལ-ཁུང	zone punch
ཁུལ-ཁོངས-ཐོབ-པ	get zones
ཁུལ-ཁོངས-མིང	zone name
ཁུལ-ཁོངས	region; area
ཁུལ-དགར-རྣམ-གཞག-བཟོ-བ	format partition
ཁུལ-ཚན	partition
ཁུལ-ཨང	area code
ཁེ-དབང-འཆར-འགོད	opportunistic planning
ཁེ-ལས	enterprise
ཁེགས	blocked
ཁོ-ལཱ-གདན	koala pad
ཁོ-ཧོ-ནན-རྟེན-འཕྲོ	kohonen map
ཁོངས-གཏོགས	slave
ཁོངས-མི-ལེན-མཁན	member recipient
ཁོངས-མི	members
ཁོངས-མིང	domain name
ཁོངས-མིང-ཞབས-ཞུ-ཆས	name server
ཁོངས-མིའི-ཟིན-ཐོ	member record
ཁོངས	domain
ཁོམ-དུས	when idle
ཁོར-ཡུག	environment
ཁོར-ཡུག-གྱོང-གུད-དུས-ཚོད	environmental loss time
ཁོར-ཡུག-ཆ-རྐྱེན	environmental condition
ཁོར-ཡུག-ཞིབ-བརྗོད	environment description
ཁོར-ཡུག-འགྱུར-ཚད	environment variables
ཁོར-ཡུག-སྒྲིག-འགོད	environment
ཁྱད-ཆ-ཆེར-སྐྱེད-ཆས	differential amplifier
ཁྱད-ཆོས-འགྲེལ-བརྗོད	characteristic description
ཁྱད-ཆོས	characteristics
ཁྱད-དབང-ཆུང-ཤོས	minimum privilege
ཁྱད-དབང-བཀའ-བརྡ	privileged instruction
ཁྱད-པར-ཨང-སྒྲིག	differential encoding
ཁྱད-པར	specific
ཁྱད-རྟགས-བར-གསེང	significant interval
ཁྱད-རྟགས-འཆར-བརྙན	feature map
ཁྱད-རྟགས-རྣམ-པ	significant condition
ཁྱད-རྟགས-ལ-ལྟོས-པའི-སྐད-གདངས-ཤན-འབྱེད	feature-based speech recognition
ཁྱད-རྟགས-སྐད-ཅིག-མ	significant instant
ཁྱབ-ཁོངས-གཏན-འཁེལ	range specification
ཁྱབ-ཁོངས-གི-དཔེ-དབྱིབས	domain model
ཁྱབ-ཁོངས-ཤེས-རིག	domain knowledge
ཁྱབ-ཁོངས	span; scope; range
ཁྱབ-ཆུང-དྲ-རྒྱ	local area network
ཁྱབ-ཆུང-དྲ-རྒྱའི-གནས-ཡུལ-རྐྱང-པ	LAN individual address
ཁྱབ-ཆུང-དྲ-རྒྱའི-གླིང-ཡོངས-གནས-ཡུལ	LAN global address
ཁྱབ-ཆུང-དྲ-རྒྱའི-དྲ-སྒོ	LAN gateway
ཁྱབ-ཆུང-དྲ-རྒྱའི-མང-བསྒྲགས	LAN multicast
ཁྱབ-ཆུང-དྲ-རྒྱའི-ཚོ-གནས-ཡུལ	LAN group address
ཁྱབ-ཆུང-དྲ-རྒྱའི-ཚོ-བསྒྲགས	LAN multicast
ཁྱབ-ཆུང-དྲ-རྒྱའི-ཞབས-ཞུ-ཆས	LAN server
ཁྱབ-ཆུང-དྲ-རྒྱའི-རྒྱང-བསྒྲགས-གནས-ཡུལ	LAN broadcast address
ཁྱབ-ཆུང-དྲ-རྒྱའི-རྒྱང-བསྒྲགས	LAN broadcast
ཁྱབ-ཆེན-དྲ-རྒྱ	wide area network
ཁྱབ-ཚུལ-གཞི-གྲངས-མཛོད	distributed database
ཁྱབ-ཚུལ-གྱི-གཞི-གྲངས-སྒྲིག-གཅོད	distributed data processing
ཁྱབ-ཚུལ	distribution
ཁྱབ-འགྲེམས-གོ-རིམ	transmittal step
ཁྱབ-འགྲེམས-དོན-རྐྱེན	transmittal event
ཁྱབ-འགྲེམས-བརྒྱུད-གཏོང	transmittal
ཁྱབ-འདུས	implication
ཁྱབ-འབྲིང-དྲ-རྒྱ	metropolitan network
ཁྱིམ-མཚེས-མངོན-སྟོན-བྱེད	show neighbors
ཁྱིམ-མཚེས	neighbor
ཁྱིམ-སྤྱོད	home use
ཁྱུ-ཚོགས	cluster
ཁྱེར-བདེའི-རྩིས-འཁོར	portable computer
ཁྱོན-བསྡོམས-རྩོལ-ནུས	total function
ཁྱོན-བསྡོམས	sum; total; grand total
ཁྱོན-ཡོངས-ཆ-འཕྲིན	global info
ཁྱོན-ཡོངས-བཀའ	global commands
ཁྱོན-ཡོངས-སྒྲིག-འགོད	global settings
ཁྱོན-ཡོངས	global
ཁྲ-མིག	pane
ཁྲིད-པང	deflector
ཁྲོ-ཅང-ཤིང-རྟ	trojan horse
ཁྲོབ	entropy
ཁྲོམ-ལམ	street
གང-མཐོང-དེ-ཐོབ	WYSIWYG
གང-རུང	any
གཅིག-གྱུར	unified
གཅིག-པུ	only one
གཅིག-བརྒལ-གནས-ཡུལ-འཚོལ-ཐབས	one-ahead addressing
གཅིག-མཐུན-ཁྱབ-འགྱུར	consistent generalization
གཅིག-མཐུན-འདྲེན-སྤྱོད	uniform referencing
གཅིག-མཐུན-འབྲེལ-ཡོད-ཚད	coincidental cohesion
གཅིག-ཟུང-གསབ-ཨང	ones complement
གཅིག-རྡེབ	click
གཅིག-ལ-གཅིག-སྣོན-པའི-གནས-ཡུལ-བཀའ-བརྡ	one-plus-one address instruction
གཅུན-སྡོམ-ལ-བརྟེན-པའི-ཁྱབ-འགྱུར	constraint-based generalization
གཅུན-སྡོམ	constraint
གཅུན-སྲོལ	constraint rule
གཅོད-ཚིག	assertion
གཅོད-ཚེག	breakpoint
གཅོད-ས	breakpoint
གཅོད-སའི-བཀའ-བརྡ	breakpoint instruction
གཅོད-སར-མཚམས-འཇོག	breakpoint halt
གཉིས-གོང-འགྲིལ-གྲངས-ཕྲེང	binary digit string
གཉིས-གོང-འགྲིལ-གྲངས-འགོད-ཐབས	binary notation
གཉིས-གོང-འགྲིལ-ཆ-འགྲིག-འཕྲིན-ལམ	symmetric binary channel
གཉིས-གོང-འགྲིལ-ལུགས-ཀྱི-བཤེར-འཚོལ	binary search
གཉིས-གོང-འགྲིལ-ལུགས-ཀྱི-འཇལ-ཚད	binary unit
གཉིས-གོང-འགྲིལ-ལུགས-གྲངས-ཀ	binary digit
གཉིས-གོང-འགྲིལ-ལུགས-གྲངས	binary numeral
གཉིས-གོང-འགྲིལ-ལུགས-ཡིག-རྟགས	binary character
གཉིས-གོང-འགྲིལ-ལུགས-སྟོན-གྲངས-ཀྱི-ཐུང-བཅད-ཕྱིར-གཤོལ	truncated binary exponential backoff
གཉིས-གོང-འགྲིལ-ལུགས-སྡེ-ཚན	binary cell
གཉིས-གོང-འགྲིལ-ལུགས-ཨང-རྩིས-ལུགས-རྩིས	binary arithmetic operation
གཉིས-གོང-འགྲིལ-ལུགས	binary
གཉིས-གོང-འགྲིལ-སྒྲིག-ཨང-གྲངས-འགོད-ཐབས	binary-coded notation
གཉིས-གོང-འགྲིལ	binary
གཉིས-གོང-འདྲིལ-གྲངས-ཀའི-བརྡ-རྟགས	binary digital signal
གཉིས-གོང-འདྲིལ-ལུགས-བརྡ-རྟགས	binary signal
གཉིས-ཕྱོགས-ཆ-ཚང-བརྒྱུད-གཏོང	full-duplex transmission
གཉིས-ཕྱོགས-བརྒྱུད-གཏོང	duplex transmission
གཉིས-བལྟོས-གསབ-ཨང	twos complement
གཉིས-ལྔ-མཉམ-བསྲེས-གོང-འགྲིལ-ལུགས-ཨང-རྟགས	biquinary code
གཉུག-ལྷུ	component
གཉུག-སྐད	metalanguage
གཏག-རྡེབ-པར-འཁོར	impact printer
གཏག-རྡེབ-མིན-པའི-པར-འཁོར	nonimpact printer
གཏན-ཁེལ-བྱས-པའི-གྲངས-ཐང	limit value
གཏན-གནས-བཅོལ-ཆས	fixed-point register
གཏན-གྲངས-རིམ-འཇུག	fixed-count iteration
གཏན-དུ-ཐོ-མ-འགོད	never register
གཏན-ནས-མིན	never
གཏན-ཚིགས-ཀྱི-ལྟ-སྤྱོད-ཚོད-འཛིན	logical access control
གཏན-ཚིགས-གཉུག-ལྷུ	logic element
གཏན-ཚིགས-གདུབ-བུ	logical ring
གཏན-ཚིགས-གནས-སྤོ	logical shift; logic shift
གཏན-ཚིགས-གཤིབ-སྡུར	logical comparison
གཏན-ཚིགས-ངན-པ	malicious logic
གཏན-ཚིགས-ཅན-གྱི-བྱ-རིམ-ཇུས-འགོད	logic programming
གཏན-ཚིགས-ཇུས-འགོད	logic design
གཏན-ཚིགས-དཔེ-རྣམ	logical schema
གཏན-ཚིགས-ཕྲེང-ལམ-ཚོད-འཛིན-བུ-རིམ	logical link control sublayer
གཏན-ཚིགས-བཀའ-བརྡ	logic instruction
གཏན-ཚིགས-བྱ-ཡུལ	logical object
གཏན-ཚིགས-མཚོན-རྟགས	logic symbol
གཏན-ཚིགས-ཟིན-ཐོ	logical record
གཏན-ཚིགས-འགྱུར-ཚད	logic variable
གཏན-ཚིགས-འབར-མདེལ	logic bomb
གཏན-ཚིགས-འབྲེལ-ཡོད-ཚད	logical cohesion
གཏན-ཚིགས-ཡོ-ཆས	logic devices
གཏན-ཚིགས-རི-མོ	logic diagram
གཏན-ཚིགས-རིགས-གྲས	logical type
གཏན-ཚིགས-རིམ-པ	logical level
གཏན-ཚིགས-རྟེན-འབྱུང-གྲངས	logic function
གཏན-ཚིགས-ལུགས-རྩིས	logic operation
གཏན-ཚིགས-ལྷུ-ཆས	logic unit
གཏན-ཚིགས-སྣོན-རྩིས	logical add
གཏན-ཚིགས-སྦྲེལ-ལམ-གྱི-ཚོད-འཛིན-རིགས-གྲས	logical link control type
གཏན-ཚིགས-སྦྲེལ-ལམ-ཚོད-འཛིན-གྲོས-མཐུན	logical link control protocol
གཏན-ཚིགས	logical
གཏན-འཁེལ-ཚད	certainty factor
གཏན-འཇགས-གསོག-ཆས	permanent storage
གཏན-འཇགས-རྟེན-འབྱུང-གྲངས-འབྱུང-ཆས	fixed function generator
གཏན-འཇགས-རྨང-གྲངས-གྲངས-ལུགས	fixed radix numeration system
གཏན-འཇགས-སྡུད-སྡེར	fixed disk
གཏན-འཇགས	fixed; permanent
གཏིང-ཚད-དང-ཐོག-བཤེར-འཚོལ	depth-first search
གཏུབ-གཅོད-ཧེ-བག	truncation error
གཏུབ-གཅོད	truncation
གཏུམ-པ	encapsulation
གཏོགས-གཤིས-ཁོངས	property field
གཏོགས-གཤིས-གྲངས-ཐང	property value
གཏོགས-གཤིས-འབྲེལ-བ	attribute relationship
གཏོགས-གཤིས-རིགས	attribute class
གཏོགས-གཤིས-ཤོག-ངོས	property page
གཏོགས-གཤིས	attribute; property
གཏོང	send
གཏོང-ཆས	player
གཏོང-བ	play; send
གཏོང-བའི-དུས-ཚོད	play time
གཏོང-མཁན	sender
གཏོང-མཚམས-འཇོག-པ	stop sending
གཏོང-འཁོར	player
གཏོང-སྒམ	out-basket
གཏོར-བཤིག-ཀློག-འདོན	destructive read
གཏོར-མིན-ཀློག-འདོན	nondestructive read
གདགས-སྲིབ-ཡིག-རྟགས	sign character
གདགས-སྲིབ-རྟགས	sign
གདམ-ཁོངས	selection range
གདམ-གསེས	filter
གདམ-གསེས-བརྡ-རྟགས	selection signal
གདམ-གསེས-མྱུར-པོ	fast select
གདམ-བྱ	alternate select
གདམ-ཚན-མཐེབ-གཅུས	option button
གདམ-ཚན-ཡིག-དུམ	option field
གདམ-ཚན-ཤོག-ངོས	option page
གདམ-ཚན-སྒྲོམ-བུ	group box
གདམ-ཚན	option
གདུབ-དབྱིབས-དྲ-རྒྱ	ring network
གདུབ-དྲ	ring network
གདུབ-བུ	ring
གདུབ-སྒུག-དུས-ཚོད	ring latency
གདེང-འཇོག-ཞུ-ཐོ	evaluation report
གདེང-འཇོག-རྟེན-འབྱུང-གྲངས	evaluation function
གདེང-འཇོག-སྒྲིག-ཆས	valuator device
གདོང-གཏུག	conflicts
གདོང-གཏུག-སེལ-བ	conflict resolution
གདོང-ཐུག	collision
གདོང-ཐུག-བཙན-སྐུལ	collision enforcement
གདོང-ཛར	volume label
གདོང-འཛར-ཡིག-དུམ	label field
གདོང-འཛར	label
གདོད-དཔེ	prototype
གདོད-སྐད-ནང-འཇུག	input primitive
གནད-དོན-བར-སྟོང	problem space
གནད-དོན-མཚན-འཇོག	problem definition
གནད-དོན-ཞིབ-བརྗོད	problem description
གནད-དོན-སྡུད-དབྱེ	problem reduction
གནད-བསྡུས	abstract
གནད-ཚིག	keywords
གནད-འགག	critical
གནད-ཡིག	keyword
གནད-ཡིག-གཙོ-བོ	primary key
གནད-ཡིག-ཕལ-པ	secondary key
གནད-ཡིག-བཤེར-འཚོལ	search key
གནས-༦༤-ལག-རྩལ	64 bit technology
གནས-༨	8 bits
གནས-ན-ཡིག-ཚིགས	n-bit byte
གནས-༡༦	16 bits
གནས-གང-རུང	anywhere
གནས-གཡར-གྲངས	borrow digit
གནས-གོང-འགྲིལ-གྲངས	carry digit
གནས-གོང-འགྲིལ-སོར-བཞག-སྣོན-ཆས	carry-save adder
གནས-ངེས-ཆས	locator
གནས-ངེས-དུས-ཚོད	positioning time
གནས-ངེས-རིགས-གྲས	fixed-point type
གནས-ངེས-སྒྲིག-ཆས	locator device
གནས-ངེས	locate
གནས-བདག-སྐད-བརྡ	host language
གནས-བརྒྱད-མ	octet
གནས-བརྒྱད-ཡིག-ཚིགས	bit byte
གནས-བརྗེ	transposition
གནས-བསྐྱར-ངེས-བྱ-རིམ	relocatable program
གནས-བསྐྱར-ངེས-རུང-བའི-གནས-ཡུལ	relocatable address
གནས-བསྐྱར-ངེས	to relocate
གནས-མང-ལྟ-སྤྱོད-དྲ-རྒྱ	multiple access network
གནས-མང-ལྟ-སྤྱོད	multiple access
གནས-ཚད-རིས-དབྱིབས	coordinate graphics
གནས-འགྱུར-བཅོལ-ཆས	index register
གནས-འགྲིལ	carry
གནས-འཚོལ-ནུས-པ	addressability
གནས-འཚོལ-རྒྱུན-འགལ	addressing exception
གནས-འཚོལ	addressing
གནས-འཛུགས	to set
གནས-ཡུན	lifetime
གནས-ཡུལ-ཨཱིཌ	address ID
གནས-ཡུལ-ཎལྡན-བཀའ-བརྡ	n-address instruction
གནས-ཡུལ-ཁག	address part
གནས-ཡུལ-ཁྱབ-ཁོངས	address range
གནས-ཡུལ-གཅིག-རྐྱང-བཀའ-བརྡ	single-address instruction
གནས-ཡུལ-གཙོ-བོ	home address
གནས-ཡུལ-གསུམ-ལྡན-བཀའ-བརྡ	three-address instruction
གནས-ཡུལ-ངོ-མ	real address
གནས-ཡུལ-ཆ-ལྡན-བཀའ-བརྡ	two-address instruction
གནས-ཡུལ-དོ-དམ	address administration
གནས-ཡུལ-བཀའ-བརྡ	address instruction
གནས-ཡུལ-བགོ-བཤའ	address assignment
གནས-ཡུལ-བཟོ-བཅོས	address modification
གནས-ཡུལ-བར-སྟོང	address space
གནས-ཡུལ-མང-པོའི-བཀའ-བརྡ	multiaddress instruction
གནས-ཡུལ-འཚོལ-ཐབས	addressing method
གནས-ཡུལ-འཚོལ-རུང-ཅན	addressability
གནས-ཡུལ-རེའུ-མིག	address table
གནས-ཡུལ-རྣམ-གཞག	address format
གནས-ཡུལ-ལྟར-འདོན-སྤྱོད	call by address
གནས-ཡུལ-སྒྱུར-བའི-བྱ-རིམ	address translator
གནས-ཡུལ-སྒྲིག-པ	to address
གནས-ཡུལ-སྟོང-པ	null address
གནས-ཡུལ-སྤོ-ཡོ-ཚད	address offset
གནས-ཡུལ	address
གནས-རིས	bitmap
གནས-ལྟར-མཚོན-ཐབས	positional representation
གནས-ས-ལྟར-འདོན-སྤྱོད	call by location
གནས-ས	location; position
གནས-སའི-དེབ-ཏུ-སྣོན-འཇུག-བྱེད-པ	add to address book
གནས-སའི-དེབ	address book
གནས-སྐབས-ཡིག-ཆ	temporary file
གནས-སྒྲིག-རུང-གསོག-ཆས-མེད-པའི-རྩིས-ཆས	calculator without addressable storage
གནས-སྒྲིག-རུང-གསོག-ཆས-ཡོད-པའི-རྩིས-ཆས	calculator with addressable storage
གནས-སྒྲིག-རུང-གསོག-ཆས	addressable storage
གནས-སྟངས-རེའུ-མིག	state diagram
གནས-སྟངས-སྒྱུར-བའི-དཔེ-རིས	state transition diagram
གནས-སྤོ-བཅོལ-ཆས	shift register
གནས-སྤོ	shift
གནས-སྦྲེལ	to bind
གནས	bit
གནོད-མེད-སྐྱོན	failsafe
གནོན-མཐེབ	push button
གནོན-ཤུགས-ཚོད-ལྟ	stress test
གནོན-སྡོད	press and hold
གནོན	press; click
གབ-ཐིག	hidden line
གབ-ཡིག	hidden character
གབ-ཡིབ	blanking
གཙང-བཤེར	purge
གཙང-སེལ	clear
གཙེར-སྒྲ-འཕར-བརྡ	noise burst signal
གཙེར-སྒྲ	noise
གཙོ-རྐང-བྱ-རིམ	body stub
གཙོ-ལས	master task
གཞན-གསོག	save as
གཞན-ཉར-ཡིག-ཆ	save as file
གཞན-ཉར	save as
གཞན-དབང-གློག-ལམ-ལྐོག-ཉན	passive wiretapping
གཞན-དབང-ཚིག-ཐོ	passive vocabulary
གཞན-དབང-འཇིགས-སྐུལ	passive threat
གཞན-དབང-ས-ཚིགས	passive station
གཞན-འགུལ-ལིང-ཚེ-མངོན-ཆས	passive matrix display device
གཞན-འགུལ-ལིང-ཚེ-མངོན-སྟོན	passive matrix display
གཞི-གདན-མེད-པ	no shading
གཞི-གྲངས-ཀྱི-གཏོགས-གཤིས	data attribute
གཞི-གྲངས-ཀྱི-གྲ-སྒྲིག	preparation of data
གཞི-གྲངས-ཀློག-པ	read data
གཞི-གྲངས-ཁུག	packet
གཞི-གྲངས-ཁུངས	data source
གཞི-གྲངས-གནད-འགག-ཡི-གེ	database key
གཞི-གྲངས-གཞི-རྒྱུ	data element
གཞི-གྲངས-གསང-སྡོམ	data encryption
གཞི-གྲངས-གྲ-སྒྲིག-དང-སྒྲིག-གཅོད	preparation and handling of data
གཞི-གྲངས-གློག-ལམ-ནང-གསལ-རང-བཞིན	data circuit transparency
གཞི-གྲངས-གློག-ལམ-མཇུག-སྦྲེལ-སྒྲིག-ཆས	data circuit-terminating equipment
གཞི-གྲངས-གློག-ལམ	data circuit
གཞི-གྲངས-ངོས-འཛིན	data validation
གཞི-གྲངས-ཆ-ཚང	data integrity
གཞི-གྲངས-ཆད-ས	data breakpoint
གཞི-གྲངས-ཆེ-ཆུང	data size
གཞི-གྲངས-ཐང	data value
གཞི-གྲངས-ཐུམ-བུ	datagram
གཞི-གྲངས-ཐུམ-བུའི-ལས-དོན	datagram service
གཞི-གྲངས-ཐོབ-ལེན	data acquisition
གཞི-གྲངས-དངུལ-ཁང	data bank
གཞི-གྲངས-དངོས-བཀོལ-བྱ-རིམ	database utility
གཞི-གྲངས-དཔེ-དབྱིབས-ལག-ཆ	data modeling facility; DMF
གཞི-གྲངས-དཔེ-དབྱིབས	data model
གཞི-གྲངས-དབྱེ-ཞིབ	data analysis
གཞི-གྲངས-དབྱེ-འབྱེད	data authentication
གཞི-གྲངས-དོ-དམ	data management
གཞི-གྲངས-དྲ-རྒྱ	data network
གཞི-གྲངས-ནང-འཇུག	data entry
གཞི-གྲངས-ནང-འཇུག-ས-ཚིགས	data input station
གཞི-གྲངས-ཕྱོགས-བསྡུས	data collection
གཞི-གྲངས-ཕྲེང-ལམ	data link
གཞི-གྲངས-བཀོད-སྤྱོད-སྐད-བརྡ	data manipulation language; dml
གཞི-གྲངས-བདེ-འཇགས	data security
གཞི-གྲངས-བཟོ-བཅོས	change data
གཞི-གྲངས-བར-ཁུལ	data buffer
གཞི-གྲངས-བར-འཇུག	insert data
གཞི-གྲངས-བར-རྫས	data medium
གཞི-གྲངས-བརྒྱུད-གཏོང	data transmission
གཞི-གྲངས-བརྒྱུད-གཏོང-དུས-རིམ	data transfer phase
གཞི-གྲངས-བརྒྱུད-སྐྱེལ	data transfer
གཞི-གྲངས-བརྗེ-ཆས	data switching exchange
གཞི-གྲངས-བརྗེ-སྒྱུར	data transform
གཞི-གྲངས-བརྡ-རྟགས-ཕྱོད	data signaling rate
གཞི-གྲངས-བསྐྱར-འཛུགས	data reconstruction
གཞི-གྲངས-བསྐྱར-སྒྲིག	data reconstitution
གཞི-གྲངས-བྱ-ཡུལ	data object
གཞི-གྲངས-མང-སྤྱོད-ཆས	data multiplexer
གཞི-གྲངས-མཐའ-སྣེའི-སྒྲིག-ཆས	data terminal equipment
གཞི-གྲངས-མཚད-ཉིད-སྐད-བརྡ	data definition language; data description language; DDL
གཞི-གྲངས-མཚོན-པའི-རིགས-གྲས	types of data representation
གཞི-གྲངས-མཛོད-ཀྱི-དོ-དམ-པ	database administrator; dba
གཞི-གྲངས-མཛོད-ཀྱི-དོ-དམ-སྐད-རིགས	database administration language; dal
གཞི-གྲངས-མཛོད-ཀྱི-དོ-དམ	database administration
གཞི-གྲངས-མཛོད-ཀྱི-སྒྲིག-གཅོད-བྱ-རིམ	database handler
གཞི-གྲངས-མཛོད-དཔེ-རྣམ	database schema
གཞི-གྲངས-མཛོད-དོ-དམ-རྒྱུད-ཁོངས	database management system; dbms
གཞི-གྲངས-མཛོད-བཟོ	create database
གཞི-གྲངས-མཛོད-བུ-དཔེ-རྣམ	database subschema
གཞི-གྲངས-མཛོད-ཡིག-ཆའི-སྒྲིག-འཛུགས	database file organization
གཞི-གྲངས-མཛོད-རྩིས-འཁོར	database machine
གཞི-གྲངས-མཛོད-སྐད-བརྡ	database language
གཞི-གྲངས-མཛོད	database
གཞི-གྲངས-མིང	data name
གཞི-གྲངས-ཚབ-ཨང	data code
གཞི-གྲངས-ཚབ-ཨང-ཚོགས-སྤྱི	data code set
གཞི-གྲངས-ཚིག-མཛོད-རྒྱུད-ཁོངས	data dictionary system
གཞི-གྲངས-ཚིག-མཛོད-སྒྲིག-ཆས	data dictionary facilities
གཞི-གྲངས-ཚོགས-སྤྱི	data set
གཞི-གྲངས-ཚོར-སྐྱོན	data-sensitive fault
གཞི-གྲངས-ཞིབ-ཐོ	data inventory
གཞི-གྲངས-ཞིབ-བརྗོད	data description
གཞི-གྲངས-ཞིབ-བཤེར	data check
གཞི-གྲངས-ཟིན-ཐོ	data record
གཞི-གྲངས-ཟུང-སྦྱོར	data coupling
གཞི-གྲངས-འགྱུར-སླ-བའི-རང-བཞིན	data volatility
གཞི-གྲངས-འདུ-ཚང	data sink
