ཀུན-ཉོན	Affliction
འདུས-མ-བྱས-བཞི	four unconditioned things
འདུས-མ-བྱས-གསུམ	three unconditioned things
འདོད-ཆགས	Attachment, as one of the six root disturbances
འདོད-པའི-འདོད-ཆགས	Attachment of desire
འདོད-ཡོན-ལྔ	five sense pleasures
འདོད-སྲེད	desirous craving
རྡུལ-ཕྲ-རབ	most subtle atoms
རྡུལ-ཕྲན	particle
ལྡན-མིན	non-concurrences; see also: non-concurrent formation - {ldan min 'du byed}
ལྡན-མིན-འདུ-བྱེད	non-concurrent formations
ལྡན-མིན-འདུ-བྱེད-ཀྱི-གཞི	nonconcurrent formation basis, as one of the fivefold basis of knowables
ལྡན-མིན-འདུ-བྱེད-ཉེར-བཞི	twenty-four non-concurrent formations
ལྡོག-པ	 disengagement|oppositions 
ལྡོག-པ-ཐ-དད	different opposites
སྡུག-བསྔལ	pain
སྡུག-བསྔལ-གྱི-གཞན-དབང	dependency of suffering
སྡུག-བསྔལ-གྱི-གཞི-བདུན	seven bases of suffering
སྡུག-བདེན	truth of suffering, as interdependent links
བསྡུས-པ-ལས-གྱུར-པའི-གཟུགས	Inferred form
ནང-གི-སྐྱེ-མཆེད-དྲུག	 inner six sources, as one of the twelve links|inner six sources 
ནང-གི-ཁམས	inner elements
ནང-གི-ཆོས	origination of inner phenomena
ནང-གི-རྟེན-འབྲེལ	inner interdependence
ནམ-མཁའ	Space, as one of the eight unconditioned things
ནམ-མཁའ-མཐའ-ཡས-པའི-སྐྱེ-མཆེད	sphere of infinite space
ནམ-མཁའི-ཁམས	space element
གནས-དོན-ལུས	environment, sense objects, and a body
གནས-པ	Subsistence, as one of the fourteen non-concurrent formations
རྣམ-བཅད	elimination
རྣམ-པར-བཅད-པ	eliminated
རྣམ-པར-འབྱེད-པ	discrimination
རྣམ-པར-མི-འཚེ-བ	Non-aggression, as one of the eleven virtuous mental states
རྣམ-པར-སྨིན-པའི-ཀུན-གཞི	All-ground of maturation
རྣམ-པར-སྨིན-པའི-ཀུན-གཞིའི-རྣམ-ཤེས	All-ground consciousness of maturation
རྣམ-པར-འཚེ-བ	Hostility, as one of the twenty subdisturbances
རྣམ-པར-གཡེང-བ	Distraction, as one of the twenty subsidiary disturbances
རྣམ-པར-རིག-བྱེད-ཀྱི-གཟུགས	Perceptible forms
རྣམ-པར-རིག-བྱེད-མིན-པའི-གཟུགས	imperceptible forms
རྣམ-པར-ཤེས-པ-དྲུག	six [collections of] cognitions
རྣམ-པར-ཤེས-པའི-ཁམས-བདུན	seven consciousness elements
རྣམ-པར-ཤེས-པའི-ཕུང-པོ	consciousness aggregate
རྣམ-སྨིན	ripening, as one of the three occurrences
རྣམ-སྨིན-དང-རྒྱས-བྱུང	ripening and development
རྣམ-ཤེས	 consciousness, as compared with cognitive act and mental faculty|consciousness, as one of the twelve links 
རྣམ-ཤེས-ཀྱི-ཕུང-པོ	Aggregate of consciousnesses
རྣམ-ཤེས-ཀྱི-ཕུང-པོ-ལས-ཁམས-བདུན	seven elements from the aggregate of consciousness, as of the eighteen elements
རྣམ-ཤེས-མཐའ-ཡས-པའི-སྐྱེ-མཆེད	sphere of infinite consciousness
རྣམ-ཤེས-ཚོགས-བརྒྱད	div. eight collections of cognitions
སྣང-བ-གཟུགས-ཀྱི-གཞི	form basis of appearance, as one of the fivefold basis of knowables
སྣང-ཡུལ	Apparent object, as one of the four types of objects
དཔག-ཚད	league
དཔྱོད-པ	Discernment, as one of the four variables
སྤྱི	generality
ཕན-ཚུན-ཐོགས-པ-དང-བཅས-པའི-ཁམས	mutually obstructive elements
ཕན-ཚུན-སྤང-འགལ	Mutually exclusive opposition
ཕུང-པོ	Aggregates
ཕྱི-ནང-གི-ཆོས	outer and inner phenomena
ཕྱི-མི-སྐྱེ-བའི-བཟོད-པ	Acceptance of future non-origination
ཕྱིའི-སྐྱེ-མཆེད-དྲུག	outer six sources
ཕྱིའི-ཁམས	outer elements
ཕྱིའི-ཆོས	origination of outer phenomena
ཕྱིའི-རྟེན-འབྲེལ	outer interdependence
ཕྲ-རབ-ཆ-མེད-ཀྱི-རྡུལ	most subtle and partless atoms
ཕྲག-དོག	Envy, as one of the twenty subsidiary disturbances
འཕགས-པ	Noble being
འཕགས-ལམ-བརྒྱད	eightfold noble path
འཕགས-ལམ-མངོན-བྱུང	Actualization of the path of noble beings
འཕངས-འབྲས-ཀྱི-རྣམ-ཤེས	consciousness of the impelled result
འཕངས-འབྲས-ཀྱི-ཡན-ལག	links of the propelled result
འཕེན-པའི-ཡན-ལག	propelling links
འཕེན-བྱེད-ཀྱི-རྣམ-ཤེས	impelling consciousness
བག-མེད-པ	heedlessness, as one of the twenty subsidiary disturbances
བག-ཡོད-པ	conscientiousness, as one of the eleven virtuous mental states
བེམ-པོ	matter
བེམ-ཤེས-ལྡན-མིན	matter, mind and non-concurrences
བྱ-བ-རྫོགས-པའི-སྐད-ཅིག	moment of completing an act
བྱུང-བ-གསུམ	three occurrences
བྱེ-བྲག	Instances
བྱེ-བྲག-ཕྱེད-པའི-ཐ-སྙད	designation of differentiation
བྱེད-པ-པོ-རྟག-པ	permanent creator
བླ-མེད-བྱང-ཆུབ	unexcelled enlightenment
བློ	 cognitive act | four types of cognition| four types of mind | mind |cognition 
བློ-འགལ	mental opposition
བློའི-གཞན-སེལ	mental other-exclusion
དབང-རྟེན	sense faculties
དབང-པོ-ལྔ	five sense faculties
དབང-པོ-རྟེན-བཅས	faculty with support
དབང-པོའི-ཁམས-ལྔ	five elements of the sense faculties, as of the eighteen elements
དབང-ཕྱུག	Almighty, as creator
དབང-འབྱོར-བའི-གཟུགས	Mastered forms
དབྱིབས-ཀྱི-གཟུགས	Shape-forms
འབྱོར-འབྲེལ-བ	Connected link, as one of the ten non-concurrent formations
འབྲས-གཟུགས-བཅུ-གཅིག	eleven resultant forms
འབྲེལ-བ	relationship
མ-ཆགས-པ	Non-attachment, as one of the eleven virtuous mental states
མ-རྟོགས-པའི-བློ	two kinds of not understanding, as one of four types of cognition
མ-ཐོབ-པ	dispossession, as one of the fourteen non-concurrent formations
མ-དད-པ	Lack of faith, as one of the twenty subsidiary disturbances
མ-ཞི-བ	restlessness
མ-ཟིན-པའི-འབྱུང-བའི-རྒྱུ-ལས-བྱུང-བའི-སྒྲ	Sounds originating from unconscious elemental causes
མ-རིག-པ	 Ignorance, as one of the six root disturbances|Ignorance, as one of the twelve links 
མི-དགེ-བའི-སེམས-བྱུང	non-virtuous mental states
མི-རྟག-པ	Impermanence, as one of the fourteen non-concurrent formations
མི-གཡོ-བ	Non-transference
མི-གཡོ-བའི-ལས	non-transferring actions
མི-སློབ-པའི-ས	state of non-learning
མིག-གི-སྐྱེ-མཆེད	eye source, as one of the twelve sources
མིག-གི-ཁམས	eye element, as one of the eighteen elements
མིག-གི-རྣམ-པར-ཤེས-པ	visual cognition, as one of the six collections
མིག-གི-རྣམ-ཤེས-ཀྱི-ཁམས	eye consciousness element, as one of the eighteen elements
མིག-གི-དབང-པོ	eye faculty
མིང-གི-ཚོགས	category of names, as one of the fourteen non-concurrent formations
མིང-བཞི	four names
མིང-བཞིའི-ཕུང-པོ	four name aggregates
མིང-གཟུགས	name-and-form, as one of the twelve links
མེ-ཁམས	fire element
མེད-པ-གསལ-སྣང	nonexistent vivid presence
མེད-མ-ཡིན-དུ-དགག-པ	refuting identity as being absent
མོས-པ	adherence, as one of the five object determining mental states, alt: interest
དམིགས-པ-དང-བཅས-པའི-ཁམས	elements with focus
རྨུགས-པ	Lethargy, as one of the twenty subsidiary disturbances
གཙོ-བོ-སེམས-ཀྱི-གཞི	chief mind basis, as one of the fivefold basis of knowables
རྩ-ཉོན-དྲུག	ten root disturbances
རྩ-བའི-ཉོན-མོངས-པ-དྲུག	six root disturbances
བརྩོན-འགྲུས	diligence, as one of the eleven virtuous mental states
ཚད-མེད-པའི-འདུ-ཤེས	immeasurable perception
ཚིག-གི-ཚོགས	category of words, as one of the fourteen non-concurrent formations
ཚུལ-ཁྲིམས-དང-བརྟུལ-ཞུགས-མཆོག-འཛིན	Holding a discipline or ritual to be paramount, as one of the five beliefs
ཚོགས-དྲུག	six collections [of consciousness/ cognition]
ཚོགས-པ	Gathering, as one of the ten non-concurrent formations
ཚོར-བ	 sensation, as one of the twelve links|sensations 
ཚོར-བ-བཏང-སྙོམས	indifferent sensation
ཚོར-བ-ཟང-ཟིང-བཅས-པ	turbulent sensations
ཚོར-བའི-ཕུང-པོ	Aggregate of sensations
མཚན-ཉིད-མཚོན-བྱ-མཚན-གཞི-གསུམ	characteristic, the characterized, and the characteristic basis
མཚན-མ	distinguishing marks
མཚན-མ-དང-བཅས-པའི-འདུ-ཤེས	perceptions with marks
མཚན-མ-མེད-པའི-འདུ-ཤེས	markless perception
མཚན-མེད-ཀྱི-དབྱིངས-ཀྱི-འདུ-ཤེས	perception of markless space
མཚན-གཞི	characteristic basis
མཚུངས-ལྡན-མིན-པའི-འདུ-བྱེད	non-concurrent formations
མཚོན-བྱ	characterized
འཚིག-པ	Spite, as one of the twenty subsidiary disturbances
འཛིན-པ	 Apprehension|holder 
རྫས-སུ-ཡོད-པ	substantial existence
ཞི-གནས	calm abiding
ཞེ-སྡང-མེད-པ	Non-aggression, as one of the eleven virtuous mental states
ཞེན-པ-རྟེན-པའི-ཚོར-བ	sensations that support clinging
ཞེན-ཡུལ	taken object, as one of the four types of objects
གཞན-འགྱུར-བཞི	four variables
གཞན-སེལ	other-exclusion
གཞུ-འདོམ	fathom
ཟག-བཅས-ཀྱི-ཕུང-པོ	defiling aggregates
ཟག-བཅས-ཉེར-ལེན-གྱི-ཕུང-པོ	Aggregates that perpetuate defilements
ཟག-མེད-ཀྱི-ཁམས	nondefiling elements
ཟང-ཟིང-མེད-པའི-ཚོར-བ	sensations free from turbulence
ཟིན-པའི-འབྱུང-བའི-རྒྱུ-ལས-བྱུང-བའི-སྒྲ	Sounds originating from conscious elemental causes
གཟུགས	 Form | form, as one of name-and-form|Visible forms 
གཟུགས-ཀྱི-སྐྱེ-མཆེད	visible form source
གཟུགས-ཀྱི-ཁམས	element of visible form, as one of the eighteen elements
གཟུགས-ཀྱི-མཐའ	finality of form
གཟུགས-ཀྱི-ཕུང-པོ	 aggregate of forms|form aggregate 
གཟུགས-ཀྱི-ཕུང-པོ-ལས-ཁམས-བཅུ	ten elements from the aggregate of forms, as of the eighteen elements
གཟུགས-ཅན-གྱི-ཁམས-བཅུ	elements having physical form
གཟུང-བ	held
གཟུང-ཡུལ	held object, as one of the four types of objects
ཡང-དག-པར-རྟོགས-པ	Correct understanding, as one of four types of cognition
ཡང-དག-པར-བླངས-པ-ལས-བྱུང-བའི-གཟུགས	Forms resulting from a fully taken promise
ཡན-ལག-བཅུ-གཉིས	twelve links
ཡི-གེའི-ཚོགས	category of letters, as one of the fourteen non-concurrent formations
ཡིད	 cognitive act| mental faculty, as compared with cognitive act and consciousness |Mind 
ཡིད-ཀྱི-སྐྱེ-མཆེད	mind source
ཡིད-ཀྱི-ཁམས	mind element, as one of the eighteen elements
ཡིད-ཀྱི-རྣམ-པར-ཤེས-པ	mental cognition, as one of the six collections
ཡིད-ཀྱི-རྣམ-ཤེས-ཀྱི-ཁམས	mind consciousness element, as one of the eighteen elements
ཡིད-ཀྱི-དབང-པོ	mental faculty
ཡིད-བདེ	mental pleasure
ཡིད-བྱེད	Attention, as one of the five ever-present mental states
ཡིད-མི-བདེ	mental pain
ཡིད-ཤེས	 mental cognition | mental cognitions|mind consciousness 
ཡིད-ཤེས-རྟོག-མེད	mental cognition without concepts
ཡིན-ཡོད-དུ-སྒྲུབ-པ	establishing identity as being present
ཡུལ	 four types of objects|Location, as one of the ten non-concurrent formations 
ཡུལ-གྱི-ཁམས-ལྔ	five elements of the sense objects, as of the eighteen elements
ཡུལ-ཅན	perceiver-subject
ཡུལ-དུས-རྣམ-པ	place, time and kind
ཡུལ-ཡུལ-ཅན	subject and object
ཡོངས-གཅོད-དུ-གྲུབ-པ	exclusively established
གཡོ	Hypocrisy, as one of the twenty subsidiary disturbances
རང-གར-གནས-པ	self-sufficient abiding
རང-རྒྱལ-བསེ-རུ-ལྟ-བུ	rhinoceros-like pratyekabuddhas
རང-རྒྱུད-ཀྱི-ཚོར-བས-ཟིན-པའི-ཁམས	nine elements embraced by personal sensation
རང-མཚན	individual characteristic
རང-མཚན-པ	intrinsically existent
རང-རིག-པ	individually self-cognizant
རང-རིག-པས-ཉམས-སུ-མྱོང-བའི-ཐ-སྙད	designation being made from experiencing with self-cognizance
རི-བོང-གི-རྡུལ	rabbit particle
རིལ-པོ	whole
རིས-མཐུན-པ	similar class, as one of the fourteen non-concurrent formations
རེག-པ	 contact, as one of the twelve links|Contact, as one of the five ever-present mental states 
རེག-བྱ	Textures
རེག-བྱའི-ཁམས	element of textures, as one of the eighteen elements
རོ	Tastes
རླུང-ཁམས	wind element
ལམ-བདེན	 true paths|truth of path, as interdependent links 
ལས-ཀྱི-ཀུན-ནས-ཉོན-མོངས-པ	Affliction of karma
ལས-ཀྱི-གཞན-དབང	dependency of karma
ལས-འདུ-བྱེད-པ	formations of karma
ལུག-གི-རྡུལ	sheep particle
ལུགས-འབྱུང-གི-རྟེན-འབྲེལ	interdependent links in progressive order
ལུང-མ-བསྟན	undetermined
ལུས-ཀྱི-ཁམས	body element, as one of the eighteen elements
ལུས-རྒྱས-པའི-རྒྱུ-བཞི	four causes for bodily development
ལུས-ཚོར	physical sensations
ལུས-ལ-སྲེད-པ	physical craving
ལེ-ལོ	Laziness, as one of the twenty subsidiary disturbances
ལེན-པ	grasping, as one of the twelve links
ལོག-རྟོག	Misunderstanding, as one of four types of cognition
ལོག-པར-ལྟ-བ	Perverted belief, as one of the five beliefs
ལོག-འཚོ	perverted livelihood
ཤིན-ཏུ-སྦྱང-བ	Pliancy, as one of the eleven virtuous mental states
ཤེས-བརྗོད-འཇུག-གསུམ	cognizing, describing or engaging
ཤེས-པ	mind
ཤེས-བྱ	 knowable things| objects of knowledge |knowables 
ཤེས-བྱ-ཐམས-ཅད-ཀྱི-ཡུལ-ཅན	perceiver-subject of all knowable things
ཤེས-བྱ-གཞི-ལྔ	fivefold basis of knowables
ཤེས-བྱེད	cognitive acts
ཤེས-བཞིན	Alertness
ཤེས-བཞིན-མིན-པ	Inattention, as one of the twenty subsidiary disturbances, alt: (non-alertness)
ཤེས-བཞིན-མེད-པ	Non-alertness, as one of the 20 subsidiary disturbances
ཤེས-རབ	Discrimination, as one of the five object determining mental states
ཤེས-རབ-ཉོན-མོངས-ཅན	disturbed discrimination
སངས-རྒྱས-ཆོས-ཀྱི-སྐུ	dharmakaya of buddhahood
སའི-ཁམས	earth element
སེམས	cognitive acts
སེམས-ཀྱི-ས-མང-བཅུ	ten general mind bases
སེམས-ཁམས-བདུན	seven mental elements
སེམས-ཁེགས-པའི-གནས-སྐབས	occasion of blocked cognition
སེམས-ཅན-དུ-སྟོན-པ-དོན-རྗོད-པར-བྱེད-པའི-སྒྲ	Animate sounds expressing a meaning
སེམས-དང-མཚུངས-ལྡན-གྱི-འདུ-བྱེད	 formations concurrent with mind|formations concurrent with mind 
སེམས-དང-མཚུངས-པར-ལྡན-པ-མིན-པའི-འདུ-བྱེད	formations not concurrent with mind
སེམས-པ	 Attraction, as one of the five ever-present mental states|Apprehension 
སེམས-བྱུང	mental states
སེམས-བྱུང-ཀུན-འགྲོ-ལྔ	five ever-present mental states
