འལ-འོལ	{འལ་ལེ་འོལ་ལེ} vague/ imprecise
འདོད-ཡོན	'dod pa'i yon tan; {འདོད་པའི་ཡོན་ཏན} sense stimulus/ pleasure/ experience
འདོད-པའི-དོན	desired aim/ goal
འདོད-པའི-ཁམས	desire realm
འདོད-པའི-ཡོན-ཏན	sense stimulus/ pleasure/ experience
འདོད-པའི-དད-པ	faith based on desire (to emulate)
འདོད-འཇོའི-བ	magical cow that provides all that is wished for/ desirable
འདོད-ཡོན-གྱི-སྣང-བ	(pleasureable) sense perceptions
འདོད-ཡོན-གྱི-སྣམ-བུ	stylobate/ projecting ledge (of mansion) for offering goddesses
འདོགས-པ	/ gdag/ btags/ thogs pa - to apply/ attach (a label); to designate/ label; to refer to
འདོན-པ	{བཏོན་པ} to elicit/ cause to emerge/ eject; to shed
འདྲ-འབག	{འབག} likeness; mask
འདྲ-བ	. . . (dang) 'dra ba - similar/ analogous to . . . ; approximation of . . . ; comparable to . . . ; - what is, in effect, . . .
འདྲེ	demon
འདྲེན-པ	(to) guide/ lead; to serve (feast)
འདྲེས-པ	to confuse/ muddle/ mix (things) up; confused/ confounded; adulterated
འདྲིལ-བ	to roll/ twirl/ spin; to roll/ coil up; to blend
འདྲིས-པ	be well acquainted; to be well acquainted (with)/ apprised of/ informed about
འདུ-འཛི	busyness
འདུ-བ	{འདུས་པ} to come together/ gather; {འདུས་པ} to come together/ gather/ be subsumed/ unite; isc. to be found (in); isc. to be embraced by (with instrumental). (in)congruity [?]; to be subsumed
འདུ-བྱེད	(pre)disposition; mental state; conditioning/ volitional/ formative patterns/ factors [fourth of mind-body aggregates]; mental patterning (formation of) karmic patterning [second of twelve links of interdependent connection]
འདུ-ཤེས	perception; idea; concept
འདུ-འཕྲོད-པ	sexual contact
འདུ-བྱེད-པ	to create/ form (karmic) patterns/ conditioning factors
འདུ-བྱེད-ཀྱི-ཕུང-པོ	aggregate of conditioning factors/ volitional patterns/ factors/ states
འདུ-འབྲལ-མེད-པ	(used as noun phrase) unity beyond union or separation; unity beyond things coming together/ uniting and then separating (re more than one factor) not/ without coming together/ uniting with or separating from; not/ without ever joining with or separating from (re one factor) without/ involving no/ not subject to union or separation; not forming or disintegrating; not made or unmade
འདུ-ཤེས-ཀྱི-ཕུང-པོ	aggregate of perceptions
འདུ-ཤེས-གསུམ-ལྡན	endowed/ infused with/ within the context of three authentic perceptions
འདུ-ཤེས-མེད-པ	without/ devoid of perception
འདུ-ཤེས-མེད-འདུ-ཤེས-མེད-མིན-སྐྱེ-མཆེད	realm of neither perception nor nonperception
འདུག-པ	to stay/ remain; to turn out to be
འདུག-ཚུལ	mode of presence [?]; the way in which (something) is present
འདུལ-བ	to guide/ tame/ control; tamed (as in animals); monastic/ ethical codes; restraint
འདུན-པ	(purposeful) intent(ion)/ will
འདུས-བྱས	composite (factor/ phenomenon); compounded (of causes and conditions); isc. created through circumstances
འདུས-པ	{འདུ་བ} to come together/ gather/ be subsumed/ unite; isc. to be found (in); isc. to be embraced by (with instrumental)
འདུས-མ-བྱས	uncompounded (of causes and conditions); noncomposite (factor/ phenomenon); isc. unmade
འདུས-མ-བྱས-པ	uncompounded (of causes and conditions); noncomposite (factor/ phenomenon); isc. unmade
འཛད-མེད	{ཟད་མེད} inexhaustible
འཛད-པ	{ཟད་པ} to become exhausted/ depleted; isc. to (be) resolve(d); isc. to revert
འཛིན-ཆགས	reifying attachment
འཛིན-མེད	{འཛིན་པ་མེད་པ} without reifying concepts/ concept(ualization)
འཛིན-པ	{ཟིན་པ} (process of) (subjectively oriented) fixation/ perception/ conceptualization; reification/ reifying concepts; to reify/ conceive (of)/ apprehend/ conceptualize (as a subject); to invest with; to perceive; isc. to perceive/ think in terms of . . .; isc. to misconstrue/ misperceive; isc. reifying perceptions
འཛིན-རྟོག	reifying thinking/ thought(s)/ concept(s)
འཛིན-རྩོལ	efforts at reification/ reifying; reifying effort(s)
འཛིན-ཡུལ	reified object
འཛིན-ཞེན	fixating concepts; conceptualization/ reification and fixation
འཛིན-པ-མེད-པ	without reifying concepts/ concept(ualization)
འཛིན-པའི-སེམས	subjective mind; reified mind
འཛོལ-བ	to be confused (with); to be incompatible (with); to be at cross purposes; to be unreconciled (with)
འཛོམ-པ	to converge/ come together
འཛུད-པ	{གཟུད་པ} to enter (into)/ engage in
འགའ-ཤས	some/ a few (people)
འགག	significance/ significant point/ implication
འགག-འགྱུར	process that causes cessation of prior influences; {འགག་འགྱུར་གྱི་ལམ} process that causes cessation of prior influences
འགག-བསྡམ	{འགག་སྡོམས་པ} to discern the implications of . . . ; to determine the significance of . . . ; to distil the essentials (of); isc. to highlight; isc. to reduce (to)
འགག-མེད	ceaseless/ unceasing; isc. unimpeded
འགག-པ	{དགག་པ} to deny/ negate/ refute. isc. anything that could cease
འགག-པའི-མཐའ	limitation of cessation; extreme/ limitation of cessation
འགག-བསྡུ-བ	to focus on
འགག-པ-མེད-པ	ceaseless/ unceasing; isc. unimpeded
འགགས-མེད	ceaseless/ unceasing; isc. unimpeded
འགགས-པ-མེད-པ	ceaseless/ unceasing; isc. unimpeded
འགལ-འདུ	contradiction; contradiction and/ or incongruity
འགལ-འཁྲུལ	confusion; stubbornness and confusion
འགལ-བ	. . . dang 'gal ba - to be incompatible with/ mutually exclusive; to subvert. contradiction; to contradict/ be at odds with
འགལ-རྐྱེན	adverse/ counterproductive circumstance/ condition
འགལ-བསྡུད-པ	to summarize the contradictions [in a debate/ argument]
འགལ-སྡུད-པ	to summarize the contradictions [in a debate/ argument]
འགེགས-པ	{བཀག་པ,་དགགས་པ} to hinder/ obstruct/ thwart
འགོད-པ	{བཀོད་པ} to establish/ place
འགོག-མེད	unobstructed/ unimpeded/ unhindered
འགོག-པ	to cease; cessation; to refute; refutation
འགོག-པའི-སྙོམས-འཇུག	meditative equipoise of cessation
འགོག-པའི-བདེན-པ	truth of cessation (of suffering)
འགོག-པ-ཆོས-ཤེས	{འགོག་པ་ལ་ཆོས་ཤེས་པ} knowledge of the phenomenon of the cessation of suffering [specifically in the desire realm]
འགོག-པ-ཆོས-བཟོད-པ	{འགོག་པ་ལ་ཆོས་ཤེས་པའི་བཟོད་པ} patient acceptance producing knowledge of the phenomenon of the cessation of suffering [specifically in the desire realm]
འགོག-པ-རྗེས-བཟོད	{འགོག་པ་ལ་རྗེས་སུ་ཤེས་པའི་བཟོད་པ}; {འགོག་པ་ལ་རྗེས་སུ་ཤེས་པའི་བཟོད་པ} patient acceptance producing subsequent knowledge of the cessation of suffering [specifically in the two higher realms]
འགོག-པ-རྗེས-ཤེས	{འགོག་པ་ལ་རྗེས་སུ་ཤེས་པ} subsequent knowledge of the cessation of suffering [specifically in the two higher realms]
འགོག-པ-མེད-པ	unobstructed/ unimpeded/ unhindered
འགོལ-བ	to deviate/ go astray/ err
འགོམས-པ	to become accustomed to; isc. pattern
འགོང-པོ	shape-shifting/ insidious demon
འགོར-བ	to (be) delay(ed)
འགྲོ-འདུལ	to guide/ tame beings; guide/ tamer of beings
འགྲོ-བ	. . . du 'gro ba - to come to . . .. to go (about); being(s); isc. to be
འགྲོ-དོན	welfare of beings
འགྲོ-དྲུག	six kinds of ordinary beings; (beings of/ in) the six states (of ordinary being)
འགྲོ-མཁན	agent going (out of existence)
འགྲོ-ས	destination to which (something) goes
འགྲོ-ཡུལ	destination; destination to which (something) goes
འགྲོ-བ-རིགས-དྲུག	six kinds of ordinary beings; (beings of/ in) the six states (of ordinary being). six classes/ states of ordinary being(s)
འགྲོ-བའི-མཐའ	limitation of going; extreme/ limitation of going
འགྲོ-བའི-ས	destination to which (something) goes
འགྲོ-བའི-ཡུལ	destination to which (something) goes
འགྲོགས-པ	to associate/ be in intimate contact (with)
འགྲོལ-བ	freedom; to become free(d)/ find freedom; isc. to cease/ disappear; [in cases of shar gnas grol gsum, or where common decency dictates] freed; [in other cases of rang grol, etc.] free
འགྲོས	mode/ manner; gait/ stance [in dance]; isc. dance
འགྲུབ-པ	to have ever existed; to be accomplished/ realized/ attained/ ensured/ brought about; to come about; to gain attainment; to be confirmed/ proven/ established; to be finished/ completed; isc. to serve/ function (as); isc. to be in its own right/ to be a given; isc. to allow for/ ensure; isc. to be valid/ convincing
འགུག-པ	{བཀུག་པ} to summon (premptorily)
འགུལ-བ	to become aroused/ vascillate
འགྱེད-པ	to send forth/ issue forth/ emerge
འགྱིང-བག	dignity/ majesty; dignified/ majestic bearing
འགྱིང-སྟབས	dignified bearing/ stance [in dance]
འགྱོད-པ	regret
འགྱུ-འཕྲོ	stirring and proliferation [of thoughts]
འགྱུ-བ	(mind/ mental states of) stirring; to stir
འགྱུ-བྱེད	isc. what would otherwise cause (mind) to stir
འགྱུར-བ	(to) change/ become; to mean that/ imply
འགྱུར-བས	. . . r 'gyur bas/ nas - this means/ entails/ implies that . . .
འགྱུར-མེད	changeless(ness)
འགྱུར-བ-མེད-པ	changeless(ness)
འགྱུར-བ-མེད-པའི-ཆོས-དབྱིངས	changeless basic space of phenomena
འཇའ-ལུས	rainbow body; {འཇའ་ལུས་འཕོ་བ་ཆེན་པོ} (supreme transference that is) rainbow body
འཇལ-བ	to determine/ assess/ compare/ evaluate/ weigh/ fathom
འཇིག-ལྟ	'jig tshogs la lta ba; {འཇིག་ཚོགས་ལ་ལྟ་བ} view of/ to view the perishable collection [of the mind-body aggregates to be a self with ultimate existence]; to view with naïve realism; to regard the transitory aggregates of the body-mind to be real
འཇིག-མེད	imperishable/ indestructible
འཇིག-པ	{བཞིག་པ,་བཞིག་པ} - to be destroyed/ disintegrate; (phase of) destruction; isc. to collapse. {བཤིག་པ} to destroy/ do away with/ tear down; to disintegrate/ be destroyed/ be subject to destruction/ (be) undermine(d); isc. to eliminate
འཇིག-པའི	. . . subject to destruction
འཇིག-རྟེན	(ordinary/ perishable) world (system)/ universe
འཇིག-ཚོགས	perishable/ transitory aggregates
འཇིག-ཚོགས-ལ-ལྟ-བ	{འཇིག་ལྟ} view of/ to view the perishable collection [of the mind-body aggregates to be a self with ultimate existence]; to view with naïve realism; to regard the transitory aggregates of the body-mind to be real
འཇིག-པ-མེད-པ	indestructible; imperishable/ indestructible
འཇིག-རྟེན-པ	worldly/ mundane (person)
འཇིག-རྟེན-ཆོས-མཆོག	(phase of) highest worldly experience
འཇིག-རྟེན-པའི-སྒོམ-བྱུང	(factor) born of mundane states of meditation
འཇིག-རྟེན-ལས-འདས-པ	transcendent/ transmundane
འཇིགས-པ	to be afraid/ terrified; fear(ful consequence)
འཇིགས-རུང	{འཇིགས་སུ་རུང་བ} fearsome [one of the nine moods of dance (form)]
འཇིགས-སུ-རུང-བ	{འཇིགས་རུང} fearsome [one of the nine moods of dance (form)]
འཇོ-བ	milk; to milk; to dispense/ yield
འཇོག-པ	{ག།་བཞག་པ} to classify/ consider (as being)/ assign/ place; to rest/ settle; to affirm; isc.to drop/ let go of / set aside/ disregard
འཇོག-སྒོམ	(intuitive) resting/ settling meditation
འཇོམས-པ	vanquish; to overcome/ vanquish/ conquer
འཇུག-པ	to engage/ enter/ begin/ become involved; to infuse (i.e., with blessings); involvement/ function(ing)/ operation; isc.to merge with/ gain access
འཇུག-པའི-སེམས	bodhicitta/ awakening mind/ attitude of involvement
འཇུག-པའི-སེམས-བསྐྱེད-པ	to give rise to/ arouse bodhicitta as involvement
འཇུར-སེམས	{འཇུར་བུའི་སེམས} ordinary compulsive mind; compulsions of ordinary mind; finicky/ overly critical mind
འཇུར-བུའི-སེམས	{འཇུར་སེམས} ordinary compulsive mind; compulsions of ordinary mind; finicky/ overly critical mind
འཁེངས-པ	to fill up/ become filled with
འཁོན-འཛིན	rancor
འཁོར	retinue/ entourage; secondary figures in a mandala
འཁོར-འདས	samsara and nirvana
འཁོར-བ	cyclic existence/ samsara; to be caught up in/ move through/ circle in samsara
འཁོར-གསུམ	three focal points; subject, object, and their interrelationship
འཁོར-ལོ	wheel; chakra/ focal center of subtle energy; encircling ring; isc. (mandala) circle; isc. ongoing/ continuous principle/ state
འཁོར-འདས-འུབ-ཆུབ	all-embracing consummation/ completion of samsara and nirvana
འཁོར-འདས-སུ-སྣང-ཙམ	what simply manifests as samsara and nirvana
འཁོར-འདས-རུ-ཤན	{འཁོར་འདས་རུ་ཤན་དབྱེ་བ} (delineating) the gap between samsara and nirvana
འཁོར-ལོ-བར-པ	middle turning of the wheel [of Buddhadharma]
འཁོར-ལོ-ཐ-མ	final turning of the wheel [of Buddhadharma]
འཁོར-ལོ-དང-པོ	first turning of the wheel [of Buddhadharma]
འཁོར-གསུམ-རྣམ-དག	threefold total/ comprehensive purity/ freedom; total purity/ freedom of/ from subject, object, and their interrelationship
འཁོར-གསུམ-ཡོངས-དག	{འཁོར་གསུམ་རྣམ།་ཡོངས་དག།་གྲོལ} threefold total/ comprehensive purity/ freedom; total purity/ freedom of/ from subject, object, and their interrelationship
འཁོར-བ-དོང-སྤྲུགས	{འཁོར་བ་དོང་ནས་སྤྲུགས་པ} to dredge/ stir up the pit of cyclic existence (from its depths)
འཁྲུལ-འཛིན	confusing/ erroneous perceptions/ inferences
འཁྲུལ-འཁོར	vicious circle of confusion; machinations (of . . . )
འཁྲུལ-གཞི	ground of confusion
འཁྲུལ-པ	(state of) confusion; to be confused/ mistaken; to (mis)perceive due to confusion
འཁྲུལ-རྣམ	{འཁྲུལ་པའི་རྣམ་པ} specific form imposed by (a state of) confusion
འཁྲུལ-རྟོག	confusing thinking/ thought (pattern)s/ concept; thought (pattern)s based on confusion
འཁྲུལ-སྣང	(sensory) appearances/ perceptions based on/ due to/ resulting from/ arising from (states of) confusion; sensory appearances perceived in confusion
འཁྲུལ-པའི-གཞི	ground of confusion
འཁྲུལ-པའི-རྣམ-པ	specific form imposed by (a state of) confusion
འཁུར-བ	pastry
འཁྱམས-པ	to wander
འཁྱིལ-བ	to converge/ be encompassed (within)/ come together/ coalesce/ merge; to dwell innately; isc. to be encompassed/ embraced
འཁྱོལ-བ	to reach/ arrive at; isc. to be resolved
འཁྱུད-པ	to embrace
འོ-ཅོག	(noun +) {འོ་ཅོག} in its/ their entirety; all possible . . . ; all . . . that there is/ are
འོ-མ	milk
འོ-ན	well, . . . ; you might respond/ protest/ argue that . . .
འོད	light; luminosity; isc. illumination/ illuminating
འོད-གསལ	(state of) utter lucidity (of being/ mind)*; utterly lucid
འོད-ལྔ	five(-colored) light(s)
འོད-ཕུང	mass of light
འོད-ཟེར	light ray/ beam
འོད-གསལ-བ	(state of) utter lucidity (of being/ mind)*; utterly lucid
འོད-འཕྲོ-བ	the radiating one [4th spiritual level/ bhumi]
འོད-བྱེད-པ	the illuminating one/ illumination [3rd spiritual level/ bhumi]
འོད-ལྟར-སྣང-བ	arising (in a manner) consistent with light/ luminosity*
འོད-ཀྱི-སྣང-བ	luminous vision/ manifestation
འོད-དཔག-མེད	Amitabha/ Limitless Illumination
འོག-འགྱུ	subliminal mental stirring
འོག-གཞི	underlying ground (of mansion)
འོག-མིན	pinnacle pure realm; pure realm of Akanishtha/ Pinnacle Under Nothing
འོལ-མ-སེ	pearl(-colored)
འོང-བ	to come
འོང-བའི-མཐའ	limitation of coming; extreme/ limitation of coming
འོས-པ	suitable; (to be) suitable/ fitting/ valid
འཕགས-པ	superior; spiritually advanced/ realized (person) (arya); to be exalted/ raised above
འཕགས-ཡུལ	holy land/ country (of India)
འཕགས-པའི-ཡུལ	holy land/ country (of India)
འཕེལ-བ	to increase/ flourish
འཕེན-པ	to propel/ direct (toward)
འཕོ-བ	transference of consciousness; to transfer/ shift; isc. shift in perspective/ paradigm shift
འཕོ-མེད	transitionless/ without transition
འཕོ-བ-ཆེན-པོའི-སྐུ	enlightened form (resulting from) supreme transference of consciousness
འཕོ-འགྱུར-བ	to undergo transition or change
འཕོ-འགྱུར-མེད-པ	without transition or change [KOT: 'pho ba=gzhan du 'gro ba; 'gyur ba=brtan po med pa]
འཕྲད-པ	to meet/ come together/ encounter; to hit on
འཕྲལ-བ	{ཕྲལ་བ,་དབྲལ་བ} to be separated (off from)/ parted with; to (be) isolate(d from)
འཕྲལ-དུ	{འཕྲལ་གྱི} immediate(ly)
འཕྲལ-གྱི	{འཕྲལ་དུ} immediate
འཕྲལ-གྱིས	{འཕྲལ་དུ} immediate(ly)
འཕྲང	impasse; narrow confines/ defile
འཕྲང-བསལ-བ	to remove/ dispel constraints (to . . . ); isc. (to be) free of any constraints
འཕྲོ-འདུ	complexity and simplicity; being complex or simple; to complicate or simplify; proliferation and/ or reduction/ subsiding/ resolution (of thoughts); shining forth and reconverging (of lights rays in visualizations); complication and/ or simplification; isc. multiply and dwindle
འཕྲོ-བ	{འཕྲོས་པ} to shine forth/ radiance (intrans.); to unfold
འཕྲོ-གཞི	ground for the unfolding (of . . . )
འཕྲོས-པ	{འཕྲོ་བ} to shine forth/ radiance (intrans.); to unfold
འཕྲུལ	magic
འཕྲུལ-མཚན-བཞི-བཅུ	forty secondary emanations (of Padmasambhava)
འཕྱང-ཆེན-པོ	important/ major criteria
འཕྱར-བ	to brandish/ hold aloft
འཕྱོ-བ	to stir/ surge/ course/ flow; playful stirring/ gentle surging
འཕྱུགས-མེད	without blunder/ mishap
འཕྱུགས-པ	blunder/ mishap
འཐད-པ	to follow logically/ be reasonable/ (be) entail(ed)/ be tenable; rationale; reasonable; logically consistent; logical consistency/ proof; feasability; underlying logic
འཐས-པ	hard/ solid (seeming)
འཐིབས-པ	(to be) torpid; torpor
འཐིམ-པ	to dissolve/ be absorbed (into)
འཐོམ-ཡོ-རེ-བ	bewildered/ dazed/ dumfounded
འཐོན-པ	to emerge/ come forth/ issue; to make an entrance (in dance)
འཐོར-ལུང	incomplete oral transmission [KNT]
འཚལ	please . . . ; I ask for/ (you) to . . .
འཚང-རྒྱ-བ	to awaken to buddhahood/ enlightened being
འཚིག-པ	malice
འཚོ-བ	livelihood
འཚོ-སྐྱོང-བ	to foster/ nurture/ encourage
འཚོལ-བ	{ཚོལ་བ,་བཙལ་བ} to seek/ look for/ search for
འཚུབས-པར	vigorously
འུབ-ཆུབ	{འུབ་ཀྱིས་ཆུབ་པ} to encompass/ embrace fully; (to embrace) the whole/ in one fell swoop; to be thoroughly perfect; all-encompassing/ all-embracing; fully embraced/ encompassed; isc. to consummate
འུབ-ཀྱིས-ཆུབ-པ	to encompass/ embrace fully; (to embrace) the whole/ in one fell swoop; to be thoroughly perfect; all-encompassing/ all-embracing; fully embraced/ encompassed; isc. to consummate
འུབ-ཀྱིས-འདུ-བ	to subsume/ include fully
འུག-ཕྲུག-པ	follower of Uluka (=Kanada)
ཨ-ཕྱི	grandmother
ཨ-ཏི-ཡོ-ག	atiyoga; (ninth of nine yanas)
ཨ-ནུ-ཡོ-ག	anuyoga; (eighth of nine yanas)
ཨར-གཏད	{ཨར་ལ་གཏད་པ} to focus intently
ཨར-སངས	fundamentally cleared away
ཨར-ལ-གཏད-པ	{ཨར་གཏད} to focus intently
བE-དུར-ཡ	gemstone (in general)
བ-མེན	{བ་མེན་གྱི་རབ༹་བ} (horn of) a wild gayal ox
བབ-སོ	mainstream line of transmission
བབས	innate abiding; natural condition/ circumstance(s)
བབས-པ	{འབེབས་པ} to come (down)
བབས-ཀྱིས-གྲུབ	innately/ inherently ensured/ so/ present
བབས-ཀྱིས-འགྲུབ-པ	innately/ inherently ensured/ so/ present
བག-ཆགས	habit(ual) pattern(ing)
བག-དྲོ	cheerful/ joyful; pleasing
བག-མེད	heedless/ reckless/ careless(ness)
བག-ཡངས	easy-going; carefree
བག-ཡོད	heedful/ careful(ness)
བག-མེད-པ	heedless/ reckless/ careless(ness)
བག-ཆགས-སྣ-ཚོགས-པའི-ཀུན-གཞི	ground of all experience as a multiplicity of habitual patterning/ patterns
བག-ཆགས-ལུས-ཀྱི-ཀུན-གཞི	ground of all ordinary experience as the embodiment of habitual patterning
བག-ཆགས-ཡང-དག-བཅོམ-པ	authentic overcoming of habitual patterning/ patterns
བག-དྲོ-བ	cheerful/ joyful; pleasing
བག-ལ-ཉལ-བ	(to be) latent (as a) potential
བན-བུན	{བན་ནེ་བུན་ནེ} disconnected
བན-ནེ-བུན-ནེ	disconnected
བང-ཁང	storehouse; {བང་མཛོད} storehouse
བང-མཛོད	{བང་ཁང} storehouse
བར	middle; interval
བར-ཆད	obstacle - (inanimate); obstructor (animate)
བར-དོ	intermediate state; intermediate state/ interval (between death and rebirth)
