ཀུད	{ཀུད} ND.gives as the present of {བཀུ}.
ཀློག	Present: {ཀློག} KYT, KYN, TD, LZ, CD, ND, DK, DS, TC.\nPast: {བླགས} (see note).{བཀླགས} KYT, KYN, TD, LZ, CD, ND, DK, DS, TC.{ཀླགས} CD.\nFuture: {བཀླག} KYT, KYN, TD,\nTD has {བཀྲག་བྱ} as the future, but this is obviously a mistake. LZ, CD, ND, DK, DS, TC.{ཀླག} CD.\nImperative: {ཀློགས} KYT, KYN, TD, LZ, CD, ND, DK, DS, TC.{ལྷོགས} (KYN), (ND).\nVoluntary:KYT, KYN, TD, CD, ND, DS, TC, (Tournadre & Dorje 2003: 117), (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 117), (Hackett 2003).\nCharacteristic Example: {མདོ་སྔ་སོགས} TD.{བཀའ་བསྟན་དང་ཡི་གེ་སོགས} LZ.{ཡི་གེ} ND.\nMeaning: To read CD, DK. To read aloud DS, TC.\nNote: Root given as klag < *s-'-lhag (Chang 1971: iv.12), *g + lhag (Hahn 1999).\nNote: This form was first noted by (Nobel 1955) it is discussed in (de Jong 1974) who finds the forms {པླགས} , {ཕླགས} , and {པླཧགས} as well. (Hahn 1999) suggests the inflection {ཀློག} , {བླགས} , {ཀླག} , {ལྷོགས}. 
དཀག	Present: {དཀག} DS.\nPast: {དཀག} [DS].\nFuture: {དཀག} [DS].\nIntransitive:DS.\nMeaning: (of a melted liquid ) To solidify in the process of cooling DS.
དཀའ	Present: {དཀའ} ND.\nPast: {དཀའ} [ND].\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To be difficult (Hackett 2003).
དཀུ	Present: {དཀུ} DS, TC.\nPast: {དཀུ} [DS], TC.\nFuture: {དཀུ} [DS], TC.\nImperative: - TC.\nIntransitive:DS, TC.\nSyntax: [Abs, Obl.] (Hackett 2003).\nMeaning:To drip, come down, fall DS.1. To brew, exude. 2. To fall. 3. (archaic) To remain, be left behind TC.
དཀོནད	Present: {དཀོནད} LZ.\nPast: {དཀོནད} LZ.\nFuture: {དཀོན} LZ.\nImperative: {དཀོནད} LZ.\nCharacteristic Example: {འཇིག་རྟེན་སོགས་སུ} LZ.\nMeaning: To appear (ngag dbang tshul khrims 1997).
དཀྱུ	Present: {དཀྱུ} LZ, CD (archaic), DK, DS, TC.{འཁྱུས} ND.\nPast: {དཀྱུས} LZ, ND, DK, DS, TC.\nFuture: {དཀྱུ} LZ, ND, DK, DS, TC.\nImperative: {དཀྱུས} LZ, ND, DK, DS, TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: {འཁྱུས} NWH\nCharacteristic Example: {རྟ་སོགས} LZ.{བྲོས་པའི} ND.\nMeaning: 1. To run a race 2. To wring out; to filter (Sch.) 3. To caper about (Ja) CD. To race, to run away DK. To race (a horse, mule, &c.) DS. To control, ride a horse TC.\nNote: see note at {འཁྱུས}.
དཀྱུད	Present: {དཀྱུད} CD.\nMeaning: To forget CD.
དཀྲི	Present: {དཀྲི} LZ, CD, ND, DK, DS, TC.{བཀྲི} CD.\nPast: {དཀྲིས} LZ, CD, ND, DK, DS, TC.\nFuture: {དཀྲི} LZ, ND, DK, DS, TC.\nImperative: {དཀྲིས} LZ, ND, DK, DS, TC.- ND.\nInvoluntary: ND. Voluntary: DS, TC, (Hoshi 2003).\nTransitive:CD, DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: {འཁྲི} [CD] (Chang 1971: v.6), (Duff). {འཁྲིལ} (Chang 1971: v.6).\nCharacteristic Example: {དར་སོགས་ཀྱིས} LZ.{དར་སོགས} ND.\nMeaning: 1. (archaic) To conduct one's pupil from one stage of learning to another stage. 2. To wind; to wrap around. 3. To ensnare CD. To wind, to wrap up; to roll up DK. To bind something with string or rope DS. 1. To bind, to tie. 2. To cover, impose, accuse, deprecate TC.
དཀྲིག	Present: {དཀྲིག} LZ, DK, DS, TC.\nPast: {དཀྲིགས} LZ, DK, DS, TC.\nFuture: {དཀྲིག} LZ, DK, DS, TC.\nImperative: {ཁྲིགས} LS. {དཀྲིགས} DK, DS, TC.\nVoluntary: DS, TC.\nTransitive:DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCausative of: {འཁྲིག} (Duff).\nCharacteristic Example: {དུ་སྤྲིན་སོགས} LZ.\nMeaning: To make overcast; to gather clouds [sic], to pile up DK. To fill up (with clouds, smoke &c.) DS.To obscure TC.
དཀྲུག	Present: {དཀྲུག} LZ, CD, DK, DS, TC. \nPast: {དཀྲུགས} LZ, DK, DS, TC. \nFuture: {དཀྲུག} LZ, DK, DS, TC.\nImperative: {དཀྲུགས} LZ, DK, DS, TC.\nVoluntary: DS, TC, (Hoshi 2003).\nTransitive:DS, TC. \nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: {འཁྲུག} [CD] (Chang 1971: v.6) (Gyurme 1992: 258) (Duff).Cognate with: {སྤྲུག} (Chang 1971: v.6)\nCharacteristic Example: {ཞོ་དང་ཐུགས་སོགས} LZ.\nMeaning: To disturb, put in motion; to turn, turn on a lathe CD. To stir up; to disturb; to agitate; to disunite; to create differences by instigation DK. 1. To stir, churn (a kind of liquid with a stick). 2. To be unharmonious, disagreeable. 3. To finish, conclude DS. 1. To disturb, stir, churn. 2. To agitate, disrupt. 3. To carve by turning on a lathe TC.\nNote: Root given as dkrug < *b-krug (Chang 1971: v.6).\nNote: Compare {དཀྲོག}.
དཀྲུམ	Present: {དཀྲུམ} LZ, DK, DS, TC.\nPast: {དཀྲུམས} LZ, DK, DS, TC.\nFuture: {དཀྲུམ} LZ, DK, DS, TC.\nImperative: {དཀྲུམས} LZ, DK, DS, TC.\nVoluntary: DS, TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {ཅོང་ཞི་སོགས} LZ.\nMeaning: To break; to crack DK. To break into bits DS. To break (fragile objects) TC.
དཀྲོག	Present: {དཀྲོག} LZ, CD, ND, DK, DS, TC. {དཀྲོགས} CD.\nPast: {དཀྲོགས} LZ, ND, DK, DS, TC. \nFuture: {དཀྲོག} LZ, ND, DK, DS, TC.\nImperative: {དཀྲོགས} LZ, ND, DK, DS, TC. - ND.\nVoluntary:ND, DS, TC, (Hoshi 2003). Involuntary:ND.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nActive of: {སྐྲོག} (Chang 1971: v.6). Causative of: {འཁྲོག} (Gyurme 1992: 258) [Duff].\nCharacteristic Example: {ཞོ་སོགས} LZ. {སྟོ་དང་བྱ་སོགས} (dkrogs) NDB.{ཞོ་དང་བྱ་སོགས} (dkrogs) NDA. {ཞོ} (-) ND.\nMeaning: 1. To churn; to agitate, mingle, trouble. 2. To rouse; scare up; to wag, e.g. the tail (Ja) CD. To stir up; to churn; to give a feeling of surprise to; to disturb; to open. DK. 1. To stir, churn. 2. To startle, surprise DS. 1. To churn, agitate, stir. 2. To disturb TC.\nNote: Root given as dkrog < b-krog (Chang 1971: v.6). \nNote: Compare {དཀྲུག} 
དཀྲོལ	 see {འཁྲོལ}|{དཀྲོལ} LZ, DK, TC. give as the present to {འཁྲོལ}  
བཀན	Present: {བཀན} LZ, ND, CD, DS, TC.\nPast: {བཀནད} LZ, ND. {བཀན} [DS], TC. \nFuture: {བཀན} LZ, ND. [DS]. TC.\nImperative: {བཀནད} LZ, ND. - ND.{བཀན} TC.\nVoluntary: ND, TC, (Hoshi 2003). Involuntary:ND\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {ལུས་དང་ཐལ་མོ་སོགས} LZ. {ལག་པར་སོགས} (bkand) NDB.{ལག་པ་སོགས} (bkand) NDA.{ལག་པས} (-) ND. \nMeaning: 1. To up-root, turn up anything by applying a stick at its foot or root. 2. To bend. 3. To put; to press; to apply (Ja). 4. To hold fast; to extend (Cs). CD. 1. To raise up. 2. To firmly press DS. 1. To turn face upwards. 2. To hold firmly, to press down. 3. To neglect TC.
བཀུ	 see {འཁུས}|Present: {བཀུ} LZ, CD, DS, TC. {ཀུད} ND.\nPast: {བཀུས} LZ, CD, ND, DS, TC.\nFuture: {བཀུ} LZ, ND, DS, TC.\nImperative: {ཀུས} LZ, ND. {བཀུས} DS, TC.\nVoluntary:LZ, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nResultative of: {སྐུད} NWH.\nDenominative of: {ཁུ་བ} 'juice'NWH\nCharacteristic Example: {སྨན་གྱི་ཁུ་བ་སོགས} LZ. {སྨན་དང་སྣུམ་སོགས} ND.\nMeaning: To make extract of a drug by drawing out the juice CD. To extract juice by boiling DS.To extract a medicinal infusion TC. 
བཀུར	 {བཀུར} CD gives as a present to {འཁུར} |Present: {བཀུར} LZ, CD, DS, TC.{འཁུར} ND, DK\nPast: {བཀུརད} LZ, ND, DK. {བཀུར} [DS], TC.\nFuture: {བཀུར} LZ, ND, DK, [DS], TC.\nImperative: {བཀུར} LZ, TC.{ཁུརད} ND, DK.\nVoluntary: TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {མཆོག་དང་གོང་དུ} LZ.{གཙུག་ཏུ} ND.\nMeaning: I. To pay homage or reverence; to esteem. 2. To slander, to blaspheme CD. To respect, venerate DK. To respect DS.To make offering, serve, respect TC. 
བཀོང	 Present: {བཀོང} DS.\nPast: {བཀོང} [DS].\nFuture: {བཀོང} [DS].\nIntransitive:DS \nMeaning: To be wrinkled DS. | see {འགོང}|Present: {བཀོང} LZ, DS, TC. {ཀོང} DK.\nPast: {བཀོངས} LZ, DK. {བཀོང} [DS], TC.\nFuture: {བཀོང} LZ, DK, [DS], TC.\nImperative: {བཀོང} LZ, TC. {ཀོངས} DK.\nVoluntary: TC.\nTransitive:DS, TC. \nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {སྦ་སོགས} LZ. \nMeaning: To break the pride of somebody; to cause to become a coward DK. To discourage, intimidate, humble DS. To frighten, intimidate, discourage TC.\nNote: Compare {འཁོང} and {འགོང}  
བཀོན	 see {འཁོན}|{བཀོན} LZ, TC. give as the present of {འཁོན}. 
བཀོལ	 see {འཁོལ}|{བཀོལ} LZ, TC. give as the present of {འཁོལ}  
བཀྱོན	Present: {བཀྱོན} LZ, CD, DK, DS, TC.\nPast: {བཀྱོནད} LZ, DK. {བཀྱོན} [DS], TC.\nFuture: {བཀྱོན} LZ, DK, [DS], TC.\nImperative: {བཀྱོན} LZ, TC. {བཀྱོནད} DK.\nVoluntary: TC.\nTransitive:DS, TC. \nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {ཚིག་གམ་བཀས} LZ.\nMeaning: To beat, to chastise CD. To scold; to admonish DK. (honorific) To speak roughly to someone DS. (honorific) To scold, reprimand TC.
བཀྲ	Present: {བཀྲ} ND.\nPast: {བཀྲ} [ND].\nMeaning: To be beautiful, clear, multicolored (CD, TC list as an adjective).
བཀྲགས	Past (?): {བཀྲགས} (Tournadre & Dorje 2003: 228).\nVoluntary:(Tournadre & Dorje 2003: 228).\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 228).\nMeaning: To roast, grill (Tournadre & Dorje 2003: 228).\nNote: (Tournadre & Dorje 2003: 228) imply a connection to {སྲེག} 
བཀྲབ	 see {འཁྲབ}|Present: {ཀྲབས} LZ. {བཀྲབ} CD, DS, TC.\nPast: {བཀྲབས} LZ.CD, DS, TC. \nFuture: {བཀྲབ} LZ.DS, TC.\nImperative: {ཀྲོབས} LZ. {བཀྲབས} DS. {བཀྲོབས} TC.\nVoluntary:DS, TC. \nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {འཁོར་དང་གྲོགས་སོགས} LZ.\nMeaning: To choose or select from among many CD. (archaic) To select from among many DS. To choose, select TC. 
བཀྲལ	Present: {བཀྲལ} CD, TC. {འགྲེལ} DK.\nPast: {བཀྲལ} TC. {བཀྲལད} DK.\nFuture: {བཀྲལ} DK, TC. \nImperative: {བཀྲོལ} TC. {འགྲེལད} DK.\nVoluntary:TC.\nTransitive:TC.\nDenominative of: {ཁྲལ} 'tax'NWH.\nMeaning: To appoint CD. To share tax payment DK. To impose (a tax) TC. 
བཀྲི	 see {འཁྲིད}|{བཀྲི} LZ, CD (archaic), TC. give as the present of {འཁྲིད}  
བཀྲུག	{བཀྲུག} (Chang 1971: v.6), (Ja) give as an alternate or erroneous present to {དཀྲུག}. 
བཀྲེས	Present: {བཀྲེས} CD (archaic), DK, TC.\nPast: {བཀྲེས} DK, TC.\nFuture: {བཀྲེས} DK, TC. \nImperative: {བཀྲེས} DK. - TC.\nInvoluntary:TC.\nIntransitive:TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nDenominative of: {བཀྲེས} 'hunger' NWH.\nMeaning: To be hungry CD, TC. To feel hungry DK.
བཀྲོས	Present: {བཀྲོས} CD, DK.\nPast: {བཀྲོས} DK.\nFuture: {བཀྲོས} DK.\nImperative: {བཀྲོས} DK.\nMeaning: To choose; to select. CD, DK.
རྐམ	Present: {བརྐམ} LZ, [CD], TC. {རྐོམ} ND. {རྐམ} [CD (archaic)], DK, DS. \nPast: {བརྐམ} LZ, TC. {བརྐམས} ND, DK, DS.\nFuture: {བརྐམ} LZ, ND, DK, DS, TC.\nImperative: {བརྐམ} LZ. {རྐམས} DK. {རྐོམས} ND, DS. - TC.\nVoluntary:ND, DS.Involuntary:TC.\nIntransitive:DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: {ཟས་ནོར་སོགས་ལ} LZ.{འདོད་ལ} ND.\nMeaning:To desire, long for (as a child for sweets) DS. To be attached to, to yearn forTC.
རྐུ	Present: {རྐུ} TD, LZ, CD, ND, DK, DS, TC.\nPast: {བརྐུས} TD, LZ, CD, ND, DK, DS, TC.\nFuture: {བརྐུ} TD, LZ, CD, ND, DK, DS, TC.\nImperative: {རྐུས} TD, LZ, CD, ND, DK, DS, TC.\nVoluntary:TD, CD, ND, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nDenominative of: {རྐུན་མ} 'thief'NWH.\nCharacteristic Example: {གཞན་གྱི་ནོར་སོགས} TD. {གཞན་ནོར་སོགས} LZ. {རྐུན་མ} ND. \nMeaning: To steal; to rob. CD. To steal; to take away unlawfully DK. To steal, to take by sleight the property of another which has not been given or paid for TC.
རྐོ	Present: {རྐོ} KYN, TD, LZ, CD, ND, DK, DS, TC. {རྐོད} CD.\nPast: {བརྐོས} KYN, TD, LZ, CD, ND, DK, DS, TC.\nFuture: {བརྐོ} KYN, TD, LZ, ND, DK, DS, TC.\nImperative: {རྐོས} KYN, TD, LZ, CD, ND, DK, DS, TC.\nVoluntary:KYN, TD, LZ, CD, ND, DK, DS, TC, (Hoshi 2003).\nIntransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nDenominative of: {རྐ} 'furrow' (Beyer 1992: 112 n.11).\nCharacteristic Example: {ཁྲོན་པ་སོགས} TD. {ས་དང་དཔར་སོགས} LZ. {ས་དྲང་སྤར་སོགས} ND.\nMeaning: 1. To dig, dig out; to hoe. 2. To engrave; turn up; till CD. To inscribe; to dig; to engrave; to print DK. To dig (a hole in the ground &c.) DS 1. To dig, excavate. 2. To carve out letters and designs (in stone, wood &c.) TC.
རྐོན	Present: {རྐོན} DK.\nPast: {བརྐོནད} DK.\nFuture: {བརྐོན} DK.\nImperative: {རྐོནད} DK.\nDenominative of: {རྐོན} 'a net, trap' NWH.\nMeaning: To trap or catch in a trap. DK\nNote: From colloquial data (Chang 1971: vii.16) hypothesizes a verb *bskon 'to cause to get caught, hung up i.e. to hang on a peg' as the causative of *khon or *'khon 'to get caught, hung up'. Perhaps DK confirms her hypothesis.
རྐོམ	{རྐོམ} ND. gives as the present of {རྐམ} 
རྐྱག	{རྐྱག} (CD). gives as a present to {སྐྱག} 
རྐྱལ	Present: {རྐྱལ} LZ, CD, DS, TC.\nPast: {བརྐྱལ} LZ. {རྐྱལ} DS, TC.\nFuture: {རྐྱལ} LZ, DS, TC.\nImperative: {རྐྱོལད} LZ. {རྐྱོལ} DS, TC.\nVoluntary:LZ, DS, TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {ཆུ་བོ} LZ.\nMeaning: To swim, to amuse oneself by swimming (Ja) CD. To swim DS, TC. 
རྐྱོང	Present: {རྐྱོང} TD, LZ, CD, ND, DK, DS, TC.\nPast: {བརྐྱངས} TD, LZ, CD, ND, DK, DS, TC.\nFuture: {བརྐྱང} TD, LZ, CD, ND, DK, DS, TC.\nImperative: {རྐྱོངས} TD, LZ, ND, DK, DS, TC.\nVoluntary:TD, ND, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nDenominative of: {རྐང} 'foot' (Beyer 1992: 84 n. 15).\nCharacteristic Example: {ཡན་ལག་སོགས} TD. {ཞབས་སོགས} LZ. {ཡན་ལག} ND. \nMeaning: To stretch, extend, stretch forth (one's hands to a person), put out (the tongue); spread; distend (the wings, a curtain) CD. To stretch out one's arms; to extend DK. To extend, stretch (the feet, hands &c.) DS. To stretch, spread out, extend TC.\nNote: Related to {རྒྱོང} (Duff).
ལྐུགས	Present: {ལྐུག} DK. {ལྐུགས} DS, TC. \nPast: {ལྐུགས} DK, [DS], TC.\nFuture: {ལྐུག} DK. {ལྐུགས} [DS]. TC. \nImperative: {ལྐུགས} DK. - TC.\nInvoluntary:TC, (Hoshi 2003).\nIntransitive:DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nDenominative of: {ལྐུག} 'dumb, mute' NWH.\nMeaning: To become foolish; to become dumb DK. To become unable to speak clearly DS. To be dumb, to be unable to talk, to loose one's voice TC.
སྐད	Present: {སྐད} CD, DS.\nPast: {སྐད} [DS].\nFuture: {སྐད} [DS].\nTransitive:DS.\nDenominative of: {སྐད} 'language, speech' NWH.\nMeaning: To say, tell, relate CD. The written equivalent of {ཞེས} and {ཟེར} which mark the end of quoted speech DS.
སྐམ	Present: {སྐམ} DK, (Gyurme 1992: 258), (Hoshi 2003).\nPast: {བསྐམས} DK.{སྐམ} (Hoshi 2003).\nFuture: {བསྐམ} DK.\nImperative: {སྐམས} DK.\nInvoluntary:(Hoshi 2003).\nIntransitive:(Gyurme 1992: 249).\nMeaning: To make thirsty DK. To dry up, dry out (Gyurme 1992: 249), (Hoshi 2003).\nNote: Compare {སྐེམ} 
སྐར	Present: {སྐར} CD.\nPast: {བསྐར} CD.\nImperative: {སྐོར} CD.\nVoluntary:CD.\nMeaning: To hang up; to weigh. CD.
སྐུ	{སྐུ} DK gives as an alternate present to {སྐུད}.
སྐུག	Present: {སྐུག} DS, TC.\nPast: {བསྐུགས} DS, TC. \nFuture: {བསྐུག} DS, TC.\nImperative: {སྐུགས} DS, TC. \nInvoluntary:DS, TC. \nIntransitive:DS, TC. \nSyntax: [Erg. Abs.] (Hackett 2003).\nMeaning: For the winner not comply with the game of taking wealth, after a dispute over victory and defeat DS. To make a bet, to bet, to gambol TC.
སྐུང	Present: {སྐུང} LZ, CD, ND, DK, DS, TC.\nPast: {བསྐུངས} LZ, CD, ND, DK, DS, TC.\nFuture: {བསྐུང} LZ, CD, ND, DK, DS, TC.\nImperative: {བསྐུངས} LZ, ND, DS, TC.\nVoluntary: ND, DS, TC.\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {དབེན་པ་སོགས་སུ} LZ. {སྦེད་པའི} ND.\nMeaning: To hide in the ground, to bury, to inter CD. To hide; to keep secret DK. 1. To hide away. 2. To write the symbol 'X' as a substitute for following words which are repeated in lines of verse, or other expression DS. To hide, conceal TC.
སྐུད	Present: {སྐུད} TD, LZ, CD, ND, DK, DS, TC. {སྐུ} DK. \nPast: {བསྐུས} TD, LZ, CD, ND, DK, DS, TC.\nFuture: {བསྐུ} TD, LZ, CD, ND, DK, DS, TC.\nImperative: {སྐུས} TD, LZ, CD, ND, DK, DS, TC.\nVoluntary:TD, CD, ND, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: {བཀུ} NWH.\nCharacteristic Example: {སྣུ་མ་སོགས} TD, ND. {སྨན་སོགས} LZ. \nMeaning: To smear, to besmear; to daub CD. To anoint; to apply oil or ointment DK. To put (dye, oil &c.) on the surface of something DS. To apply, put on, cover, smear TC.
སྐུམ	Present: {སྐུམ} TD, LZ, CD, ND, DK, DS, TC.\nPast: {བསྐུམས} TD, LZ, CD, ND, DK, DS, TC.\nFuture: {བསྐུམ} TD{ཊཌ་སེཨེམས་ཏོ་ཧབེ༹་དསྐུམ་བྱ་ཨས་ཐེ་ཕུ༹ཏུརེ,་བུཏ་བསྐུམ་མུསཏ་བེ་མེཨནཏ} , LZ, CD, ND, DK, DS, TC.\nImperative: {སྐུམས} TD, CD, ND, DK, DS, TC. {སྐུམ} LZ. \nVoluntary:TD, CD, ND, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: {འཁུམ} (Chang 1971: v.i), (Gyurme 1992: 258), (Beyer 1992: 116).\nCharacteristic Example: {ཡན་ལག་སོགས} TD, LZ. {རྐང་ལག་སོགས} LZ.\nMeaning: To contract; to be drawn up; to be paralyzed CD. To withdraw, to draw in; to make shorter or smaller; to contract; to conceal DK. The opposite of produce, extend DS. 1. To contract, bend, pull in. 2. To conceal, to obfuscate TC.
སྐུར	Present: {སྐུར} KYN, CD, ND, DK, DS, TC.\nPast: {བསྐུརད} KYN, [CD], ND, DK, {བསྐུར} DS, TC.\nFuture: {བསྐུར} KYN, ND, DK, DS, TC. \nImperative: {སྐུརད} KYN, ND, DK, {སྐུར} DS, TC.\nVoluntary:KYN, ND, DS, TC, (Tournadre & Dorje 2003), (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: {འཁུར} (Gyurme 1992: 259). \nCharacteristic Example: {དབང་དང་འགན} ND.\nMeaning: To bestow, give, send CD. To make someone carry; to send; to cause to venerate on, to make someone pay respect DK. 1. To deliver to the place of delivery by entrusting (a thing, letter &c.) with another person, post office. 2. For something to be carried (on the water, wind &c.) DS. 1. To send, dispatch. 2. To give, bestow, entrust, assign TC.
སྐུལ	Present: {སྐུལ} KYN, TD, LZ, CD, ND, DK, DS, TC.\nPast: {བསྐུལད} KYN, TD, LZ, ND, DK. {བསྐུལ} CD, DS, TC.\nFuture: {བསྐུལ} KYN, TD, LZ, CD, ND, DK, DS, TC.\nImperative: {སྐུལད} KYN, TD, LZ, ND, DK. {སྐུལ} DS, TC. \nVoluntary: KYN, TD, CD, ND, DS, TC, (Hoshi 2003).\nTransitive:DS, TC.\nSyntax: [Erg. Abs] (Hackett 2003).\nCharacteristic Example: {ཆོས་བསྐུལ་སོགས} TD {ཐུག་རྒྱུད་ལས་སོགས་ལ} LZ. {ལས་ལ་དང་དགེ་ལ} ND.\nMeaning: To excite; to exhort, admonish, enjoin CD. To induce; exhort, urge; to request to do something; to persuade DK. To motivate, incite DS. 1. To induce, compel, persuade. 2. To incite, motivate TC.
