འབའ-ཞིག	kevala. n^anyatra
འབྲས-བུའི-རྫས-རགས-པ	sthUla-phala-dravya
འབྲས-བུའི-མཆོག-དགྲ-བཅོམ-པ-ཉིད	agra-phalam arhattva-phalam. agra-phalam arhattvam. agra-phale arhattve
འབྲས-བུའི-དངོས-པོ	phala-bhAva
འབྲས-བུའི-བདེན-པ	phala-satya
འབྲས-ཆན-དང-ཟན-དྲོན	odana-kulmASa
འབྲས-ཆན-དང-ཟན-དྲོན-གྱིས-ཉེ-བར-གསོས-པ	odana-kulmAS^opacita
འབྲས-ཆན-དང-ནས-ཆན-དང-ཟན-དྲོན	odana-kulmASa
འབྲས-ཆན-འབྲུམ-བུ	odana-pulAka
འབྲེལ-པ	saMbaddha. saMbandha. sahita; pratibaddha. anugata. anuSakta. upanibaddha
འབྲེལ-པའི-གཏམ	saMkathA. sAMkathya
འབྲེལ-པའི-གཏམ-རྣམ-པར-གཏན-ལ-འབེབས-པ	sAMkathya-vinizcaya
འབྲེལ-བར-རྒྱུན-དུ-སྐྱེ-བ	samaH-santaty-utpAdaH
འབྲེལ-བའི-སེམས	pratibaddha-citta
འབྲེལ-པ-མ-ཡིན-པ	niranubandha. a-saMbaddha
འབྲེལ-པ-མེད-པ	niSpratibaddha. an-anuzliSTa
འབྲེལ-པ-མེད-པའི-སེམས	niSpratibaddha-cittatA
འབྲེལ-པ-མེད-པའི-དཔེ-ཉེ-བར-སྒྲུབ-པ	ananuzliSTa-dRST^ant^opasaMhAratA
འབྲེལ-པར-བཅས-པ	s^anubandha
འབྲེལ-པར-འགྱུར-བ	avabaddha. upagata
འབྲི-བ	kArzya. lekhayitum. hAna. apacaya
འབྲི-བ-དང-མཐུན-པའི-ཆོས	hAna-bhAgIyA dharmAH
འབྲི-བར-བྱེད-པ	kArzyam Apadyate
འབྲིང	madhya; madhyama
འབྲིང-པོ	madhya
འབྲིང-གི-གནས-སྐབས	madhy^avasthA
འབྲིང-པོའི-འབྲིང-པོ	madhya-madhya
འབྲིང-པོའི-ཆུང-ངུ	madhya-mRduka
འབྲིང-པོའི-ཆེན-པོ	madhy^adhimAtra
འབྲིང-དུ-སྐྱོ-བ	madhya-saMvega
འབྲིར-བཅུག-པ	lekhayitvA
འབྲིར-འགྱུར-བ	hrAsa
འབྲོག-དགོན-པ	aTavI-kAntAra; dAvI
འབྲུ	dhAnya
འབྲུ-མར	taila
འབྲུ-གཞན-གྱི-རོ	avaradhAnya-rasa
འབྲུ-བར-བྱེད-པ	vi-/likh:vilikhanti
འབྲུ-མར-དང-སྲེ-མོག-གི-བརྟུལ-ཞུགས	nakula-vrata
འབྲུ-མར-གྱི-རོ	taila-rasa
འབྲུ-བསྡུས-པ	dhAnya-parigraha
འབྲུའི-ཆང	surA-maireya
འབྲུའི-དངོས-པོ	dhAnya-vastu
འབྲུའི-རྣམ-པ	sasya-jAti
འབྲུག-སྒྲ	megha-rava
འབྲུག-སྒྲ-གྲག-པ	megha-stanita-zabda
འབྲུག-སྒྲ-ཆེན-པོ	mahA-megha-rava
འབུ	kRmi
འབུ-མཆུ-རྣོན	nyaGkuTA
འབུ-མ-ཞུགས-པ	a-saMjAta-kRmi
འབུ-ཞུགས-པ	saMjAta-kRmi
འབུད-པ	kampyamAna
འབུལ-བ	dAna. pratyAkhyAna. pradAna. vikSepa
འབུལ-ཞིང-འདོགས-པར-བྱེད-པ	utsRjayaty Aropayati
འབུལ-བར-མི-བྱེད-པ	na-pratyAkhyAti. a-pratyAkhyAna
འབུལ-བར-བྱེད-པ	nir-/yA:niryAtayati
འབུམ	zata-sahasra
འབུམ-ཕྲག	zata-sahasra
འབུམ-འགྱུར-དུ-བསྒྲེས-པ	zata-sahasra-guNa
འབུམ-འགྱུར-དུ-བསྟན-པ	zata-sahasra-guNaM samAkhyAtam
འབྱང-བར-འགྱུར-བ	vyantI-bhAva
འབྱེ-བ	vibheda
འབྱེད-པ	bheda. vicaya. vi-/bhaj:vibhajati
འབྱེད-སྤྱད	viSkambhana
འབྱེད-པ-མི-མང-བ	a-bheda-bahula
འབྱིན-པ	niz-/car:nizcArayiSyati. pra-/muc:pramuJcati. pramokSa. sarga. uddharaNa. /krand:krandante. /sRj:sRjati. /sR:sRjati. /syand:syandante
འབྱིན-པར-མི-བྱེད-པ	n^oddharati
འབྱིན-པར-བྱེད-པ	ud-/hR:uddharati. /cyu:cyAvayati
འབྱིན-པ-པོ	sraSTR
འབྱོར-འབྲེལ	yoga
འབྱོར-བ	saMpatti; yukta. samarpita
འབྱོར-པ	saMpatti. samRddhi; udaya. vRddhi
འབྱོར-པ-དང-རྒུད-པ	saMpatti-vipatti
འབྱོར-པ-དང-རྒུད-པ-ལས-གྱུར-པའི-འགྱུར-བ	sampatti-vipatti-kRtaM vipariNAmam
འབྱོར-པ-དམ-པ	parA samRddhiH
འབྱོར-པ-ཆེན-པོ	mah^odaya
འབྱུང-བ	pravRtti. bhUta. utpatti. utpanna. utpAda; nir-/gam:nirgacchanti. nis-/car:nizcarati. pratyupasthita. prabhava. prAdurbhAva. prA-dur-/bhU:prAdurbhavati. prAdur-/bhU:prAdurbhavanti. bhava. saMbhava. samutthita. samudaya. ut-/pad:utpadyate. ut-/pad:utpadyante. ud-/pad:utpadyate. upanipAta
འབྱུང-པོ	bhUta
འབྱུང-བའི-ལུས	bhUta-kAya
འབྱུང-བ-ལས-གྱུར-པ	bhautika
འབྱུང-བ-ལས-གྱུར-པའི-ལུས	bhautika-kAya
འབྱུང-བ-མེད-པ	a-saMbhava
འབྱུང-བ-མེད-ཅིང-རྣམ-པར-འཇིག-པ-མེད-པ	a-saMbhav^avinAzatA
འབྱུང-བ-དང-ནུབ-པར-འགྱུར-བ	samuday^astaMga
འབྱུང-བ-ལ-སྲེད-པ	bhava-tRSNA
འབྱུང-བ-ཆེན-པོ	mahA-bhUta. mahA-bhautika
འབྱུང-བ-ཆེན-པོ-བཞི	cAtur-mahAbhautika
འབྱུང-བ-ཆེན-པོ-རྣམ-པར-འགྱུར-བ	mahA-bhUta-vipariNAma
འབྱུང-བ-ཆེན-པོ-བཞི-པོ-དག	catvAri mahA-bhUtAni
འབྱུང-བ-ཆེན-པོ-བཞི-པོ-དག-རྒྱུར-བྱས-པ	catvAri mahA-bhUtAny upAdAya
འབྱུང-བ-ཆེན-པོ-བཞི-དག-རྒྱུར-བྱས-པའི-གཟུགས	catvAri mahA-bhUtAny upAdAya rUpam
འབྱུང-བ-ཆེན-པོ-བཞི-ལས-བྱུང-བ	cAtur-mahA-bhUtika
འབྱུང-བ-ཆེན-པོའི-ཕན-པ-དང-གནོད-པ	mahA-bhUt^anugrah^opaghAta
འབྱུང-པོས-བརླམས-པ	bhUta-samAvezatA
འབྱུང-ཞིང-འཇིག-པ	utpanna-bhagna
འབྱུང-ངོ-ཅོག	utpann^otpanna
འབྱུང-པོ-དང-གདོན-པ	bhUta-graha
འབྱུང-བར-གྱུར-པ	prAdurbhAva
འབྱུང-བར-བྱེད-པ	anupravartaka
འབྱུང-བར-མི-འགྱུར-བ	na pravartante. n^otpadyante. prAdurbhAvo na bhavati. an-utpAda. a-prAdur-bhAva. a-saMbhava
འབྱུང-བར-འགྱུར-བ	niz-/car:nizcarati. pra-/vRt:pravartate. prAdur-bhAvo bhavati. prAdurbhAvo bhavati. prA-dur-/bhU:prAdurbhavati. prAdur-/bhU:prAdurbhavanti. saM-/bhU:saMbhavanti. utpAda. ud-/pad:utpadyate. ud-/sthA:uttiSThate. /pat:pAtayati. /bhU:bhavati. /muc:mucyate
འཆའ-བར-བྱེད-པ	pra-/jJA:prajJapayanti. /klRp:kalpayati. /khAd:khAdati
འཆབ-པ	praticchanna. praticchAdanatA
འཆབ-པར-བྱེད-པ	chad:chAdayati. prati-/chad:praticchAdayati. vi-ni-/guh:vinigUhati
འཆད-པ	uddeza
འཆག-པ	caMkrama
འཆག-པ-དང-སྡོད-པའི-སྡུག-བསྔལ	caMkrama-sthAna-duHkha
འཆག-པ-དང-འདུག-པ	caMkrama-niSadyA. caMkrameNa niSadyayA
འཆགས	saMjJapti
འཆགས-པ	vivarta; caMkrama. dezayat. avakrAnti. vivartamAna
འཆགས-སུ-གཞུག-པ	saMjJaptiM pratigRhNAti
འཆགས-པའི-ཚེ	caMkrama-mAna
འཆགས-པའི-བསྐལ-པ	vivarta-kalpa
འཆགས-པར-འགྱུར-བ	vi-/vRt:vivartate
འཆལ-བ	duH. dauH
འཆལ-བའི-ཚུལ-ཁྲིམས	dauHzIlya
འཆལ-བའི-ཚུལ-ཁྲིམས-ཀྱི-གཞིར-གྱུར-པ	dauHzIlya-nidAna-bhUta
འཆལ-བའི-ཚུལ-ཁྲིམས-ཀྱི-དྲི-མ	dauHzIlya-mala
འཆལ-བའི-ཤེས-རབ	dauSprajJa
འཆང-བ	dhAraNatA. dhAraNa. parigraha. /dhR:dhArayati. /dhR:dhArayanti
འཆང-བར-བྱེད-པ	/dhR:dhArayati
འཆར-ཀ	abhyudgamana
འཆི-འཕོ	cyuti
འཆི-བ	maraNa; mRta. mriyamANa. uparati
འཆི-བའི-བདུད	maraNa-mAra
འཆི-བའི-ཚེ	mAraN^antika. mriyamANa
འཆི-བའི-སྡུག-བསྔལ	maraNa-duHkha
འཆི-བའི-སྲིད-པ	maraNa-bhava
འཆི-བའི-འཇིགས-པ	maraNa-bhaya
འཆི-བའི-དུས-བྱས-ནས	kAlaM kRtvA
འཆི-བའི-དུས-ལས-འདས-པ	kAla-gata
འཆི-བའི-དུས-ལ-བབ-པར-གྱུར-པ-དེའི-ཚེ	maraNa-kAla-samaye
འཆི-བའི-དུས-བྱེད-པ	kAlaM karoti. kAla-kriyA. maraNaM kAla-kriyA
འཆི-བའི-དུས-བྱེད-པར-འགྱུར-བ	kAlaM karoti. kAlaM kurvanti
འཆི-བའི-དུས-བྱེད-པར-འགྱུར-པ	kAlaM karoti
འཆི-བའི-ཆོས-ཅན	maraNa-dharmaka. maraNa-dharman
འཆི-བའི-ཆོས-ཅན-ཉིད	maraNa-dharmatA
འཆི-བའི-ཆོས-ཅན-འཆི-བ	maraNa-dharmakasya maraNam
འཆི-འཕོའི-ཚེ	cyuti-kAla
འཆི-བར-མི-བྱེད-པ	na vinipAtayati
འཆི-བར-འགྱུར-བ	vadham anuprApnuvanti. /mR:mriyate
འཆི-བར-འགྱུར-བའི-རྐྱེན	pratyayA maraNasya
འཆི-ཞིང-དུས-བྱེད-པ	maraNa-kAla-kriyA
འཆི-འཕོ-བ	cyavana. cyuti. /cyu:cyavate. vyayamAna
འཆི-འཕོ-བ-ན	cyavamAna
འཆི-འཕོ-བ-དང-སྐྱེ-བ	cyuty-utpatti. cyuty-upapatti
འཆི-འཕོ-བ-དང-སྐྱེ-བ-ཤེས-པ	cyuty-upapAda-jJAna
འཆི-འཕོ-བ-དང-སྐྱེ-བ-མཁྱེན-པ	cyuty-upapatti-jJAna
འཆི-འཕོ-བ-དང-སྐྱེ-བ-མཁྱེན-པའི-སྟོབས	cyuty-upapatti-jJAna-bala
འཆི-འཕོ-བ-དང-ལྟུང-བའི-སྡུག-བསྔལ	cyavana-patana-duHkha
འཆི-འཕོ-ཞིང-སྐྱེ-བ	cyuty-upapAda
འཆི-འཕོ-བར-འགྱུར-བ	cyutir bhavati. /cyu:cyavate
འཆི-འཕོ-དང-སྐྱེ-བ	cyuty-upapAda
འཆི-འཕོ-དང-སྐྱེ-བ-མཐོང-བ	cyuty-upapAda-darzana
འཆི-བ-ཉིད	cyavanatA
འཆི-བ-ལས-གྱུར-པའི-འགྱུར-བ	maraNa-kRto-vipariNAmaH
འཆི-བ-བཟང-བ	bhadrakaM maraNam
འཆི-བ-ལ-ཐུག-པ-ཙམ-གྱི-སྡུག-བསྔལ	maraNa-mAtraM-duHkham
འཆིང-བ	bandhana
འཆིང-བ-མཐའ-དག-ཡོད-པ	sakala-bandhana
འཆིང-བ-མ-ཚང-བ	vikala-bandhana
འཆིང-བར-བྱེད-པ	/bandh:badhnAti
འཆོ-འཕོ-བ-དང-སྐྱེ-བ-མཁྱེན-པའི-སྟོབས	cyuty-upapAda-jJAna-bala
འཆོག-ཏུ-དབུལ-པོ	parama-daridra
འཆོལ-བ	prayojana
འཆོས-པ	prati-/kR:pratikaroti
འཆུམས-པ	gRddha. niyanti
འཆུམས-པར-བྱེད-པ	niyanti
འཆུམས-པ-མེད-པ	a-gRdhra
འདའ-ཞིང	atikramya
འདའ-བར-བྱེད-པ	ati-/nam:atinAmayati
འདའ-བར-འགྱུར-བ	abhi-/vRt:abhivartante
འདབ-ཆགས	pakSI zakuniH
འདམ	mRttika
འདམ-བུ	naDa
འདམ-བུ-དང-ནགས-ཚུལ-ཐིབས-པོ	naSa-vana-gahana
འདམ-བུ-ལྟར-མཐོ-བ	unnata
འདམ-བུ-ལྟར-མཐོ-བར-གྱུར-པ	unnata
འདར-བ	pravepamAna
འདར-འདར-པོ	gadgada
འདར-འདར-པོ-མེད-པ	a-gadgada
འདས-པ	atIta; pareNa. samatikrama. ativRtti. atikramya. atikrAnta. atyaya. abhyatIta. vyatikrAnta
འདས-པ-དང-མ-བྱོན-པ-དང-ད-ལྟར-བྱུང-བ	atIt^anAgata-pratyutpanna
འདས-པ-དང-མ-འོངས-པའི-དུས	atIte apy adhvany anAgate 'pi
འདས-པ-དང-མ-འོངས-པ-རྫས-སུ-ཡོད-པར-སྨྲ-བ	atIt^anAgata-dravya-sad-vAda
འདས-པ-དང-མ-འོངས-པ-དང-ད-ལྟར-བྱུང-བ	atIt^anAgata-pratyutpanna
འདས-པ-དང-མ-འོངས-པ-དང-ད-ལྟར-བྱུང-བའི-དུས-རྣམ-པར-རིག-པར-བྱེད-པ	atIt^anAgata-pratyutpanna-kAla-vijJapti
འདས-པ-ཉིད-ནས	atyayAt
འདས-པ-མ-ཡིན-པ	a-samatikrAnta
འདས-པའི-དུས	atItam adhvAnam. atIte 'dhvani
འདས-པའི-ལས	atItaM karma
འདས-པའི-དུས-ན	atIte-adhvani
འདས-པའི-ཤེས-བྱ	atItasya jJeyasya
འདས-པའི-འོག-ཏུ	uparate
འདེབས-པ	upanikSepaNa
འདེགས-པ	ud-/dhR:uddharati
འདི	yad uta. idam
འདི-དུ	iha
འདི-ལ	atra. iha
འདི-ལས	ataH
འདི-ལྟར	tathA hi; yataz ca. iti. evam
འདི-ནས	itaH
འདི-སྐད-དུ	yathA. Aha
འདི-སྐད-ཅེས-བརྗོད-པར-བྱ	idaM syAd vacanIyaH
འདི-སྐད-ཅེས-བརྗོད-པར-བྱ-སྟེ	idaM syAd vacanIyaH
འདི-ན-ལ-ལ	ihaikatya
འདི-ཡོད-པས-འདི-འབྱུང-བ	asmin sat^idaM bhavati
འདི-ཡོད-པས-འདི-འབྱུང-ལ-འདི-སྐྱེས-པས-འདི-སྐྱེ-བ	asmin sat^idaM bhavaty asy^otpAdAd idam utpadyate
འདི-དང-འདི-ལྟ-བུར	evaM c^aivaJ ca
འདི-དང-གཞན-དུ	ih^amutra
འདི-དང-གཞན-དུ-བདེ-བར-འགྱུར-བའི-སྦྱིན-པ	ih^amutra-sukhaM dAnam
འདི-དང-གཞན-དུ-བདེ-བར-འགྱུར-བའི-བཟོད-པ	ih^amutra-sukhA kSAntiH
འདི-དང-གཞན-དུ-བདེ-བར-འགྱུར-བའི-ཚུལ-ཁྲིམས	ih^amutra-sukhaM zIlam
འདི-དང-གཞན-དུ-བདེ-བར-འགྱུར-བའི-བརྩོན-འགྲུས	ih^amutra-sukhAM-vIryam
འདི-དང-གཞན-དུ-བདེ-བར-འགྱུར-བའི-དོན-སྤྱོད-པ	ih^amutra-sukh^artha-caryA
འདི-དང-གཞན-དུ-བདེ-བར-འགྱུར-བའི-སྙན-པར-སྨྲ-བ	ih^amutra-sukhA priya-vAditA
འདི-དང-གཞན-དུ-བདེ-བར-འགྱུར-བའི-ཤེས-རབ	ih^amutra-sukhA prajJA
འདི-དང-གཞན-དུ-བདེ-བར-འགྱུར-བའི-བསམ-གཏན	ih^amutra-sukhaM dhyAnam
འདི-ལྟ-བུ	IdRza; iti. evaM-rUpa
འདི-ལྟ-སྟེ	yad uta; tad-yathA. yath^api tad
འདི-ལྟ-སྟེ-དཔེར-ན	tad-yathA
འདི-ལྟ-བུ-དང-ལྡན	yad-rUpa
འདི-ལྟ-བུ-དང-མཐུན-པ	evaM-bhAgIya
འདི-ལྟ-བུའི-ཚུལ-གྱིས	evaM-rUpa
འདི-འདྲ-བ	IdRza
འདི-སྙམ-དུ-སེམས	evaM bhavati
འདི-སྙམ-དུ-སེམས-མངོན-པར-འདུ-བྱས-ཏེ	evaM cittam abhisaMskRtya
འདི-ལས-བཟློག-པ	etad-viparyaya
འདི-ལས-ཕྱི-རོལ-པའི-མུ-སྟེགས-ཅན-རྣམས	ito bAhyakeSu tIrthikeSu
འདི-ལས-གོང-ན-ཡང-མེད-པ	n^ata uttari
འདི-ལས-གོང-ན-མེད-པ	na ata uttari
འདི-ལས-ལྷག-པ-ཡང-མེད-པ	n^ato bhUyaH
འདི-ལས-ལྷག-པ-མེད-པ	na ato bhUyaH
འདི-ལས-མེད-པ	na ataH
འདི-ལྟར-འདི-ན	yath^ap^ih^aikatyaH
འདི-ལྟར-གྱུར-པ-ཉིད	tathA-bhUtatA
འདིའི-བདེ-བ	iha-sukha
འདིར-ཟད-དེ	etAvat
འདོད-ཆགས	rAga; rajaska
འདོད-ཆེན	icchA
འདོད-ཆེས	spRhayamAna-rUpa
འདོད-པ	kAma. spRhA. ruci. abhiprAya. abhipreta. abhilASa. arthika. arthitva. icchA. iSTa. eSin; kAnta. kAmatA. nizcikIrSatA. prati-kAGkSaNatA. prati-/kAGkS:pratikAGkSati. prArthanA. prArthayamAna. spRhayamANa. sammata. abhi-/laS:abhilaSati. abhilASin. arthin. A-/kAGkS:AkAGkSamANa. AzAvat. /iS:icchati. Ipsita. utkaGThA. eSana
འདོད-པའི-གཞི	kAmatA-nidhAna
འདོད-པའི-ཁམས	kAma-dhAtu
འདོད-པའི-ཕྱིར	kAmatayA. nimittam. arthinaH
འདོད-པའི-ཀུན-ནས-ཉོན-མོངས-པ	kAma-saMkleza
འདོད-པའི-སྤྱོད-པ	kAma-caryA
འདོད-པའི-སྤྱོད-པ-གྱ-ནོམ-པ-དག	praNItAyAM kAma-caryAyAm
འདོད-པའི-ཁམས-ཉིད-དུ-སྐལ-བ-མཉམ-པའི-ཁམས	kAma-dhAtau-sabhAge dhAtau
འདོད-པའི-ཁམས-སུ-སྐྱེས-པ	kAma-dhAt^upapanna
འདོད-པའི-འདུན-པ	kAma-cchanda
འདོད-པའི-འདུན-པས-ཀུན-ནས-དཀྲིས-པའི-སྡུག-བསྔལ	kAma-cchanda-paryavasthAna-duHkha
འདོད-པའི-དབང-ཕྱུག	kAm^ezvara
འདོད-པའི-བདེ-བ	kAma-sukha
འདོད-པའི-ལེན-པ	kAm^opAdAna
འདོད-པའི-བསོད-ནམས	kAma-sukhallikA
འདོད-པའི-བསོད-སྙོམས	kAma-sukhallikA
འདོད-པའི-བསོད-ཉམས-ལ-རྗེས-སུ-བརྩོན-པར-བྱེད-པ	kAma-sukhallik^anuyukta
འདོད-པའི-བསོད-སྙོམས-ཀྱི-མཐའ	kAma-sukhallik^anta
འདོད-པའི-འཆིང-བ-རྣམས-སྤངས-པ	kAma-bandhanAni prahINAni
འདོད-པའི-ལོངས-སྤྱོད	kAma-paribhoga
འདོད-པའི-ཡོན-ཏན	kAma-guNa
འདོད-པའི-ཡོན-ཏན-ལྔ-པོ-དག	paJcabhiH kAma-guNaiH
འདོད-པའི-རྟོག-པ	kAma-vitarka. kAma-saMkalpa
འདོད-པའི-སྲེད-པ	kAma-tRSNA
འདོད-པའི-སྡུག-བསྔལ	prArthanA-duHkha
འདོད-པའི-སྲིད-པ	kAma-bhava
འདོད-པའི-འབྲས-བུ	iSTa-phala
