འབའ-འཛར	(PH) vajra [arch. spelling]
འཁོར-མོ-འཇིག-གི-ཡུལ-དུ-བདུད	(PH) the demons of the surrounding transient world
འཁྲུལ-འཁོར	(PH) yantra; device; magic wheel; machine; yogic exercises
འཁྲུལ-འཁོར-བསྲེ-བ-བརྒྱ-བརྒྱད-པ	(PH) Hundred and Eight Combined Yogic Exercises
འཁྲུངས-དཔེ	(PH) formulary
འཁུན-བུ	(PH) sigh; sighing
འཁྱགས-རུམ	(PH) ice-slip
འཁྱར-འཁྱོར	(PH) crooked
འོད-འཁོར	(PH) nimbus
འོད-འཕྲོ	(PH) light-rays
འོད-འཕྲོད-བ	(PH) The Radiant [the fourth bodhisattva ground]
འོད-གསལ-གྱི-ལྷ	(PH) Ābhāsvara gods
འོད-སྟོང-ཅན	(PH) the possessor-of-a-thousand-lights (the Sun)
འོད-སྟོང-ལྡན-པ	(PH) the possessor-of-a-thousand-lights (the Sun)
འོད-ཟེར-ཅན	(PH) Mārīcī
འོད-ཟེར-གོ-ཆ	(PH) [Nepali King] Aṃśuvarman
འོག-ཁང	(PH) cellar
འོག-མ-འོག-མ	(PH) lower and lower
འོག-ཏུ	(PH) after; later
འོལ-ཕྱི	(PH) unclear
འོན-ཀྱང	(PH) moreover; however
འོན-ཏེ	(PH) or else; yet
འོས-པ	(PH) suitable; worthy
འོས-པ-ཉིད	(PH) most suitable; most appropriate
འཕགས-མ-སྒྲོལ-དཀར	(PH) Ārya White Tara
འཕང	(PH) height
འཕང-ཐང	(PH) high ground; top soil
འཕེལ-བཞིན	(PH) intensifying
འཕེལ-བཞིན-པ	(PH) intensifying
འཕོ-ཆགས	(PH) desire for emission
འཕོ-ཆུང	(PH) small movement
འཕྲལ	(PH) adventitious; immediately; temporary
འཕྲལ-དུ	(PH) daily; every day
འཕྲལ-ཕུགས	(PH) superficially or ultimately
འཕྲང	(PH) dangerous passage
འཕྲེང-བ	(PH) attachment
འཕྲིག	 (PH) quiver; tremble|(PH) doubt 
འཕྲོས	(PH) elaboration; indication; mention
འཕྲོས-དོན	(PH) extension of the meaning; subsidiary topics
འཕྲོས-གླེང	(PH) conversation
འཕྲུལ-འཁོར	(PH) machinery; engine; magical wheel
འཐད-པ	(PH) correct reasonings; correctness; feasibility
འཚམས-ཤིག	(PH) accordingly
འཚམས-ཤིག-ནས	(PH) accordingly
འཚིག	(PH) spite
འཚོ-བ-ནར-མ	(PH) general support [provided by the laity to the ordained sangha of food and so forth]
འཚོར-བ	(PH) sensation; experience
འུ-རང	(PH) I
འུན-ཤིང-ཀོང-ཇོ	(PH) [Chinese princess] Wencheng
ཨ-ལི	(PH) the vowels
ཨ-ཝ-དྷཱུ-ཏི-པ	(PH) Avadhutipa [Maitripa]
བ-བྱུང-སྣ-ལྔ	(PH) five various products of a cow
བ-དན-དཀར-པོ	(PH) a white banner
བ-ལང-གི-རྗེས	(PH) a cow's footprint
བ-ལང-གི-རྨིག-རྗེས	(PH) a cow's footprint
བ-སུ-མི-ཏྲ	(PH) Vasumitra
བ-ཞོ	 (PH) cow's yogurt|(PH) cow's yogurt 
བད-དམ	(PH) almond
བད-ཀན	(PH) phlegm
བད-ས	(PH) Vatsa [kingdom]
བད-ས-ལ	(PH) Vatsa [kingdom]
བག	(PH) attention; care; caution
བག-ཅན	(PH) conscientious
བག-ཆགས-བརྟན	(PH) stable predispositions
བག-ཆགས-བརྟན-བྱུང-གི-རིག-པ	(PH) a knower that arises from stable karmic predispositions
བག-དང-ལྡན	(PH) conscientiousness
བག-དང-ལྡན-པ	(PH) conscientiousness
བག-མེད	(PH) non-conscientiousness; carelessness; unconcerned
བཻ-དཱུརྱ	(PH) lapis lazuli; vaiḍūrya
བཻདཱུརྱ	(PH) lapis lazuli; vaiḍūrya
བལ-པོའི-མཐིལ	(PH) central Nepal
བན-ལོག	(PH) defrocked monk
བར	(PH) upto
བར-འདའ-བ	(PH) beings who have transcended the intermediate-state 
བར-འགའ	(PH) sometimes
བར-བར-དུ	(PH) interspersed
བར-ཆད-བཅུ-དྲུག	(PH) sixteen obstacles
བར-ཆད-བདུད	(PH) Vigṅa-mārā
བར-ཆེད	(PH) interruption
བར-ཆོད-པའི-ཚད-མའི-འབྲས-བུ	(PH) the interrupted results of valid cognition
བར-དུ	(PH) until; throughout; while
བར-མ-ཆད-དུ	(PH) uninterruptedly
བར-མ-དོར	(PH) prematurely
བར-ཤོད-འོག-མ	(PH) lower storey
བར-སྐབས	(PH) between sections; interstitial
བཅའ-སྒ	(PH) dried ginger
བཅས-རང	(PH) transgressions [of vows] and natural [offenses]
བཅོམ-ལྡན-འདས-དཔལ-བརྩེགས-རྒྱལ-པོ	(PH) the Transcendent Victor Śrīkūṭa-rāja
བཅོམ-ལྡན-འདས-དཔལ-བརྩེགས-རྒྱལ-པོ-དེ-བཞིན-གཤེགས-པ	(PH) the Tathāgata; the Transcendent Victor Śrīkūṭa-rāja
བཅོམ-ལྡན-འདས-སཱ-ལའི-དབང-པོའི-རྒྱལ-པོ-འབྱུང-བ	(PH) the Transcendent Victor Sālendra-rājācāra
བཅོམ-ལྡན-བདེ-གཤེགས	(PH) the Transcendent Victor; the One-Gone-to-Bliss
བཅོས-མིན-གྱི-མྱོང-བ	(PH) non-artificial experience 
བཅུ	(PH) ten
བཅུ-བཅུ	(PH) ten each
བཅུ-དྲུག-ཆ	(PH) full-moon-like (lit. having all 16 parts ("lunar digits") [of the full moon])
བཅུ-གསུམ-རྡོ-རྗེ-འཛིན-པའི-ས	(PH) thirteenth ground vajra-holder
བདག	(PH) self; ″I″
བདག-འཛིན	 (PH) grasping at a self; conception of a self|(PH) grasping at a self; conception of a self 
བདག-འཛིན-འཁྲུལ-པ	(PH) mistaken grasping at a self; mistaken conception of a self
བདག-འཛིན-གྱི-ཞེན-ཡུལ	(PH) conceived object of self-grasping
བདག-འཛིན-ལྷན-སྐྱེས	(PH) innate conception of a self
བདག-དབང-སོགས	(PH) a self which is independent and so on [i.e.; and permanent; unitary]
བདག-མེད-པའི-ལྟ-བ-རྣམ-པར-དག-པ	(PH) the correct view of selflessness
བདག-པོ	(PH) dominant [condition]; master; sovereign; lord
བདག-པོར-འཛིན-པ	(PH) conception of ownership; conception of sovereignty
བདག-པོས-ཡོངས-སུ-འཛིན-པ	(PH) conception of ownership; conception of sovereignty
བདག-ཏུ-འཛིན-པ	(PH) conception of a self
བདམས-བསྒྲིགས	(PH) collection of articles
བདེ-བ	(PH) bliss; abiding
བདེ-བ-དང-ཡིད-བདེ-བ	(PH) bliss and mental happiness
བདེ-བ-རྒྱུན-མི-འཆད	(PH) uninterrupted bliss
བདེ-བླགས-ཏུ	(PH) easily
བདེ-ཅན	(PH) Sukhāvatī [name of a Buddhist Pure Land]
བདེ-ཅན-བདེ-བ	(PH) bliss of Sukhāvatī
བདེ-ཆེན-ལམ-བཟང	(PH) excellent path of great bliss
བདེ-གསལ	(PH) bliss and clarity
བདེ-གསལ-ཆ	(PH) factor of bliss and clarity
བདེ-ལེགས	(PH) goodness; auspiciousness
བདེ-མང	(PH) much happiness; many forms of happiness
བདེ-སྟོང-ལོངས-སྤྱོད-རྫོགས-སྐུ	(PH) Emanation Body of bliss-and-emptiness
བདེན-འཛིན	(PH) conception of true existence
བདེན-དངོས	(PH) truly [existent] thing(s)
བདེན-པ-རེ-རེ	(PH) each of the [Four Noble] Truths
བདེན-པའི-ངག	(PH) true speech
བདེན-སྟོང-སྒྱུ-མ-ལྟ-བུ	(PH) being like an illusion and empty of true existence
བདེར-གཤེགས	(PH) sugata
བདོག-པའི-རྟེན	(PH) personal offerings
བདུད-བཞི	(PH) four devils (māra)
བདུད-རྩི-སྣ-ལྔ	(PH) five various [types of] nectars
བདུད-རྩི-ཐབ-སྦྱོར	(PH) Āmṛtakuṇḍalī
བདུན-ཕྲག	(PH) week
བེམ-ཤེས-ལྡན-མིན-འདུ-བྱེད	(PH) matter; consciousness; and non-associated compositional factors
བགེགས-གཏོར	(PH) "Gektor" [torma offering to an obstructing being]
བགེགས-རིགས	(PH) types of obstructing spirits
བྷར-མ	(PH) Burma; Burmese
བི-ཀྲ-མ-ལ-ཤི-ལ	(PH) Vikramalaśila
བི-ཀྲ-མ-ཤི-ལ	(PH) Vikramalaśila
བི-ཀྲ-མའི-ལོ	(PH) Vikrama year
བཀའ-བློན-རོགས	(PH) Assistant Cabinet Minister
བཀའ-བསྒོ-བ	(PH) order; command
བཀའ-དྲིན-གཟོ-བ	(PH) grateful; one who remembers kindness
བཀའ-ལུང	(PH) power
བཀའ-རབ-འབྱམས-པ	(PH) Rap-jam-pa [degree]
བཀའ-རྒྱ-དམ-པོ	(PH) tight seal of secrecy
བཀའ-རྟགས	 (PH) signifier of the Word [of the Buddha]|(PH) decree; command; sealed order 
བཀའ-རྟགས-ཀྱི-ཕྱག-རྒྱ-བཞི	(PH) four seals that are the signifiers of the Word [of the Buddha]
བཀག-པ	(PH) negation; that which is forbidden
བཀྲ-བ	(PH) shining; beautiful; variegated
བཀྲ-བའི-སྐད-འབྱིན	(PH) producing a beautiful sound (n. of a bird)
བཀྲ-མི-ཤིས-པ	(PH) bad luck
བཀྲེན	(PH) poor
བཀྲོས-ཕོར	(PH) engraving
བཀུར-རྙེད	(PH) wealth and respect
བླ	(PH) payment
བླ-བརྒྱུད-གསོལ-འདེབས	(PH) supplication to the gurus of the lineage
བླ-དྭགས-ཚིག	(PH) synonym
བླ-ཁག	(PH) monastic head; monastic leader
བླ-མ	(PH) lama; unsurpassed
བླ-མ-དབུ-མཛད	(PH) chant master
བླ-མ-ཁྱད-ཆོས-གསུམ-ལྡན	(PH) guru endowed with the three distinguishing features
བླ-མ-སྤྱན-རས-གཟིགས	(PH) Spiritual Master; Avalokiteśvara
བླ-མའི-གནས-གསུམ	(PH) The Lama's three points [brow; throat; and heart]
བླ-ན	(PH) above
བླ-ཕྱག	(PH) treasurer
བླ-ཕྱག-ཟུར-པ	(PH) former treasurer
བློ-གྲོས	(PH) intellect; intelligence; thought
བློ-གྲོས-ཆེན-པོ	(PH) Mahāmati [p.n. a bodhisattva, who is the main interlocuter in the Laṅkāvatāra-sūtra]
བློ-གྲོས-ལྡན	(PH) intelligent
བློ-གྲོས-མཚོ	(PH) Sagaramati
བློ-གྲོས-རྒྱ-མཚོ	(PH) Sagaramati
བློ-གཏེར-རྒྱལ-བ	(PH) victorious treasury of wisdom [epithet of Mañjuśrī]
བློ-གཟུ-བོ	(PH) open-minded
བློ-ལྡན-བྱང-ཆུབ-སེམས-དཔའ	(PH) intelligent bodhisattvas
བློ-ལྡན-བྱང-ཆུབ-སེམས-དཔའ-ས-བཞི-བ	(PH) intelligent bodhisattvas of the fourth ground
བློ-ལྷན-སྐྱེས	(PH) an innate awareness
བློ-མ-བདེ	(PH) unhappy
བློ-ངོ	(PH) perspective
བློ-སེམས-མཚོ	(PH) Bodhisattva Rakṣita
བློའི-དབང-པོ-ལྔ	(PH) five mental faculties
བློན-འབངས	(PH) attending minister
བློན-པོ-རིན-ཆེན	(PH) precious minister
བླུན-པ	(PH) dull; foolish; stupid; deluded
བླུན-པོ	(PH) dull; foolish; stupid; deluded
བླུན-རྨོངས	(PH) confused fool
བོད	(PH) Tibet; vocative case; imperative verbal form
བོད-ཁམས-གླིང-དགུ	(PH) Nine regions of Tibet
བོད-པ	(PH) vocative case
བོད-པའི-ཚིག	(PH) word in the vocative case
བོད-སྔ-མ-ཁ-ཅིག	(PH) an earlier Tibetan [scholar]
བོད-སྤྱི	(PH) all of Tibet; Tibet in general
བོད-ཡིག	(PH) Tibetan script; Tibetan letters
བོང-ཆེ	(PH) vast; massive
བོང-ཚོད	(PH) dimension; size
བྲག-བརྐོས-རི-མོ	(PH) petroglyphs
བྲག-མཐོ	(PH) rocky hill
བྲག-སྲིན-མོ	(PH) rock ogress
བྲམ-ཟེ-རྐང-མིག	(PH) the Brahmin Akṣapāda (a.k.a.; Gautama)
བྲན	(PH) servant; slave
བྲན-མོ-རྒན-མོ	(PH) old maid servant; old (female) servant
བརྡའ-ཆད	(PH) terminology
བརྡའ-སྤྲོད-ཀུན-བཤད-ཀྱི-བཏགས-མིང	(PH) grammatical name; Sanskritic name as a grammarian [on the completion of the course of study of the three grammatical systems the successful student was given a grammatical name under which he wrote any works dealing with philological studies; literature; mathematics and astronomy; and medicine.]
བརྒྱ-ལམ	(PH) rare
བརྒྱ-ལམ-ན	(PH) rarely; occasionally
བརྒྱད-ཅུ-རྩ-གཅིག	(PH) eighty-one
བརྒྱད-ཀ	(PH) all eight
བརྒྱུད-འཛིན-ཆོས-བདག	(PH) master who holds the lineage transmission
བརྒྱུད-ནས-སྐྱེད-བྱ	(PH) that which is indirectly produced
བརྒྱུད-པའི-བྱིན-རླབས	(PH) the blessings of the lineage
བརྗེད-མེད	(PH) unforgetful
བརྗེད-ངེས	(PH) forgetfulness
བརྗེད-པ-མེད-པ	(PH) unforgetful
བྲོད	(PH) pleasure
བརྟག-པ	(PH) ritual text
བརྟན-པོ	(PH) firm; stable
བརྩེགས-མ	(PH) piled up; piled one on top of the other
བརྩེར	(PH) merciful
བརྩོན-ཞིང-འཚོལ-བ	(PH) effort and searching
བརྟུལ-ཞུགས-འཛིན-པ	(PH) one who holds the vows of conduct (vrata)
བརྟུལ-ཞུགས-པ	(PH) holder of vows of conduct (vrata)
བྲུ-ཤ	(PH) Brushal (Gilgit)
བསམ-གཏན	(PH) concentration
བསམ-གཏན-གྱི-གནས-རིས	(PH) Concentration Realms
བསམ-གཏན-གྱི-གནས-རིས-བཞི	(PH) four Concentration Realms
བསམ-གཏན-གྱི-ས	(PH) levels of concentrations
བསམ-གཏན-གྱི-སྡོམ-པ	(PH) concentration discipline
བསམ-གཏན-གྱི-སྐྱོན-བརྒྱད	(PH) eight faults of concentration
བསམ-གཏན-གྱི-ཡན-ལག-ལྔ	(PH) five concentration factors
བསམ-གཏན-ལས-ལངས-པའི-འདོད-སེམས	(PH) a mind of the desire realm of one who has arisen from a concentration
བསམ-གཏན-ཕྱི-མ-གསུམ	(PH) last three concentrations
བསམ-ཁྲལ	(PH) misgiving; concern
བསམ-པ-ལྷུན-གྲུབ-མ	(PH) Prayer That Fulfills All Aspirations
བསམ-པ-ཐག-པ	(PH) unusual attitude; earnest intention
བསམ-པའི-ཡོན-ཏན	(PH) qualities of intention
བསམ-སྦྱོར	(PH) thoughts and actions
བསམ-ཡས	(PH) Sam-ye [Temple]
བསམ-ཡས-མི-འགྱུར-ལྷུན-གྱིས-གྲུབ-པ	(PH) Samye Mi-gyur Hlun-gyi-drup-pa [Temple] ("spontaneous fulfillment of unchanging limitless aspirations")
བསེ-ཡབ	(PH) tamarind
བསྒོ-བ	(PH) command; order
བསྒྲུབ-བྱ	 (PH) that which is to be proven (probandum); thesis|(PH) that which is to be proven (probandum); thesis 
བསྒྲུབ-པར-བྱ-བ	(PH) that which is to be proven (probandum); thesis
བསྒྱུར-བཅོས	(PH) correction; corrected translation
བཤའ-རི	(PH) slaughterhouse
བཤང-གཅི	(PH) feces and urine
བཤར-སྒོམ	(PH) reviewing meditation; glance meditation
བཤས-ར	(PH) slaughterhouse
བཤེས-གཉེན	(PH) virtuous friend; spiritual teacher
བསྐལ-པ-རྫོགས-ལྡན	(PH) age of perfection [first of the four ages of the aeon]
བསྐོལ-བའི-ཐང	(PH) decoction (of)
བསྐོལ-ཐང	(PH) decoction (of)
བསྐོར-མགོ	(PH) computational sequence
བསྐུལ-བའི-སྤང-བ	(PH) offense of encouraging [gifts]
བསྐུལ-བྱེད	(PH) Cunda
བསྐུལ-བྱེད-རྡོ-རྗེ-མ	(PH) Cundavajrī
བསྐུལ-ཚིག	(PH) imperative [grammatical term]
བསྐྱང-ནུལ	(PH) clay-floor
བསྐྱར-ཟློས	(PH) repeated; repetition
བསྐྱེད-དང-རྫོགས-པ-ཟུང-འཇུག	(PH) union of generation and completion [stages]
བསླབ-གསུམ	(PH) Three Trainings
བསླབ-གསུམ-འབྲས-བུ-དང-བཅས-པ-ལྷག-ཚུལ-གྱི-ཁྱད-པར	(PH) the feature of an enhancement of the three trainings together with their fruit
བསླུ-བྲིད	(PH) deceptive seduction; alluring spell
བསླུ-བྲིད-ཚིག	(PH) deceptively seductive words
བསླུ-ཡོན	(PH) ransom
བསྔགས-ལྡན	(PH) Kaṇḍaka
བསྔོ-བ	(PH) dedication
བསྙེན-བཀུར-བྱ-བ	(PH) object of respect; object of veneration
བསྙེན-སྒྲུབ-ལས-གསུམ	(PH) prior approximation; attainment; and actitives
བསོད-སྙོམས-ཆེན-པོ	(PH) "the great almsman" (en epithet of Śākyaśrībhadra)
བསོད-སྙོམས-ཀྱི-ཞལ-ཟས	(PH) alms food
བསྲབ-མོ	(PH) diminishment
བསྲབ-པའི-ས	(PH) ground of diminishment
བསྟབས-པ	(PH) that which is offered
བསྟན-པ	(PH) one who is oriented [a certain way]
བསྟན-པ-ཉིད	(PH) indication; implication; this very demonstration
བསྟན-ཕ	(PH) instructional lineage
བསྟོས	(PH) treatise; composition; work
བཏགས-འཛིན-རྟོག-པ	(PH) conception of the true existence of subjects (i.e., persons) as being imputedly existent
བཏགས-འཛིན-རྟོག-པ-དགུ	(PH) the nine conceptions of the true existence of subjects (i.e.; persons) as being imputedly existent
བཙག	(PH) red ochre
བཙན	(PH) a disease-causing demon; force; power; strength
བཙན-འཛུལ-པ	(PH) attacker
བཙན-པོ	(PH) king; ruler; emperor
བཙོ-བླག-མ	(PH) washer woman
བཙོ-མ	(PH) refined; purified; purified [substance]
བཙུན-ཁྲལ	(PH) monastery
བཙུན-པ	(PH) practical application
བཏུང-བ-ཞིམ-པོ	(PH) pleasant drink
བུ-ག-ཅན	(PH) with holes
བུ-ལོན-གྱི-དཔང	(PH) guarantee on a loan
བུ-སློབ-ཀུན	(PH) all my disciples
བུའི-འོད-གསལ	(PH) 'son' clear light
བུད-མེད-ཆོལ	(PH) confused woman
བུལ-མྱུར	(PH) quick or slow
བུམ-པ-བཟང	(PH) the good vessel
བྱ-བྱེད	(PH) activities
བྱ-རྫོགས	(PH) completed action
བྱ-རྒོད-ཀྱི-ཕུང-པོའི-རི	(PH) Vulture Peak Mountain
བྱ-རོག-དང-ཏ-ལའི-ཚུལ	(PH) the manner of [the parable of] the crow and the palmyra fruit
བྱ-ཐབས	(PH) opportunity; recourse; course of action
བྱམས-དགོན	(PH) Protector Maitreya
བྱམས-པ-མཐོང-གྲོལ	(PH) byams pa mthong grol (n. of a diety)
བྱང-ཆུབ-གསུམ-གྱི-ཁང-བཟང	(PH) the good houses of the three enlightenments
བྱང-ཆུབ-ཀྱི-ཕྱོགས-ཀྱི-སུམ-ཅུ-རྩ-བདུན	(PH) thirty-seven branches of enlightenment
བྱང-ཆུབ-ཀྱི-ཕྱོགས-སུམ-ཅུ-རྩ-བདུན	(PH) thirty-seven branches of enlightenment
བྱང-ཆུབ-ཕྱོགས-མཐུན-ཆོས	(PH) phenomena/doctrines that are harmonies with enlightenment
བྱང-ཆུབ-སེམས-དཔའ-སེམས-དཔའ-ཆེན-པོ-ལགས-ན-རིན-པོ-ཆེ	(PH) the Bodhisattva-mahāsattva Ratnapāṇi
བྱང-ཆུབ-སྤྱོད	(PH) bodhisattva deeds
བྱང-གི-གཏུམ-མོ	(PH) ″inner heat″ (caṇḍālī) north [left] channel at the heart
བྱང-ངོས	(PH) north side; northern direction
བྱང-སེམས-ས-བཅུ-པ	(PH) ten stages of the bodhisattva
བྱང-སེམས-ས-བཅུ-པ-པ	(PH) a tenth ground Bodhisattva
བྱས-ཟིན	(PH) result
བྱེ	(PH) sand
བྱེ-བ-ཁྲག-ཁྲིག-འབུམ-ཕྲག	(PH) ten billion trillion (lit. ten million ten billion hundred thousands; i.e.; 10^^22)
བྱེ-བ-ཁྲག-ཁྲིག-ཕྲག-འབུམ	(PH) ten billion trillion (lit. ten million ten billion hundred thousands; i.e.; 10^^22)
བྱེ-བ-སྟོང-ཕྲག	(PH) ten billion
བྱེ-རིག	(PH) Nyāya-Vaiśeṣika
