སྐུ-མ-རྙོངས-པ	Fifty-seventh of the eighty minor marks.
རྣམ-ཤེས-མཐའ-ཡས-སྐྱེ-མཆེད-ལ-གནས-པ	 Eighth of the eight sense fields of mastery. See also note http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-209.| Eighth of the eight sense fields of mastery. See also note http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-209. |Eighth of the eight sense fields of mastery. See also note http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-209. 
རྣམ-ཤེས-མཐའ-ཡས-སྐྱེ-མཆེད-བསྒྲུབས-ཏེ-གནས-པ	 Fifth of the eight aspects of liberation.\none achieves and abides in the sense field of infinite consciousness, thinking, ‘Consciousness is infinite.’| Fifth of the eight aspects of liberation.\none achieves and abides in the sense field of infinite consciousness, thinking, ‘Consciousness is infinite.’ |Fifth of the eight aspects of liberation.\none achieves and abides in the sense field of infinite consciousness, thinking, ‘Consciousness is infinite.’ 
ནམ-མཁའ-མཐའ-ཡས-སྐྱེ-མཆེད-ལ-གནས-པ	 Seventh of the eight sense fields of mastery. See also note http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-209.| Seventh of the eight sense fields of mastery. See also note http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-209. |Seventh of the eight sense fields of mastery. See also note http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-209. 
ནམ-མཁའ-མཐའ-ཡས-སྐྱེ-མཆེད-བསྒྲུབས-ཏེ-གནས-པ	 Fourth of the eight aspects of liberation.| Fourth of the eight aspects of liberation. |Fourth of the eight aspects of liberation. 
ཞི-གནས	 Meditation of peaceful stability.| Meditation of peaceful stability. | Meditation technique to calm the mind. | One of the basic forms of Buddhist meditation, which focuses on calming the mind. Often presented as part of a pair of meditation techniques, with the other technique being “insight.” | The first of the two main branches of Buddhist meditation, aiming at rendering the mind stable, subtle, and pliable. | “Mental quiescence” is a general term for all types of mind-practice, meditation, contemplation, concentration, etc., that cultivate one-pointedness of mind and lead to a state of peacefulness and freedom from concern with any sort of object. It is paired with “transcendental analysis” or “insight,” which combines the analytic faculty with this one-pointedness to reach high realizations such as the absence of self (see “transcendental analysis”). “Mental quiescence” and “transcendental analysis” were coined by E. Obermiller in his invaluable study “Prajṅa Pāramitā Doctrine, as Exposed in the Abhisamayālaṃkāra of Maitreya” (Acta Orientalia, Vol. XI [Heidelberg, 1932], pp. 1-134). |The first of the two main branches of Buddhist meditation, aiming at rendering the mind stable, subtle, and pliable. 
རྡོ-རྗེ-དགྱེས-གནས-སྐྱོབ	 A bodhisattva in the Buddha Akṣobhya's retinue in this tantra.| A bodhisattva in the Buddha Akṣobhya's retinue in this tantra. |A bodhisattva in the Buddha Akṣobhya's retinue in this tantra. 
ཆོས-གནས-པ-ཉིད	 A synonym for emptiness, and the expanse of reality (dharmadhātu).| A synonym for emptiness, and the expanse of reality (dharmadhātu). |A synonym for emptiness, and the expanse of reality (dharmadhātu). 
སེམས-མེད-པར-གནས-པ	 Name of the seventy-third meditative stability.| Name of the seventy-third meditative stability. |Name of the seventy-third meditative stability. 
ཆོས-རྣམས-ཀྱི-ཆོས-གནས-པ-ཉིད	 A synonym for emptiness, and the expanse of reality (dharmadhātu).| A synonym for emptiness, and the expanse of reality (dharmadhātu). |A synonym for emptiness, and the expanse of reality (dharmadhātu). 
དེ-བཞིན-ཉིད-ལ-གནས-ཤིང-སེམས-མེད-པ	 Name of the 108th meditative stability.| Name of the 108th meditative stability. |Name of the 108th meditative stability. 
གནས	 Also translated here as “abode,” and “resting place.”| Also translated here as “sanctuary,” and “abode.” | In “The Chapter on Going Forth,” Kalyāṇamitra reads this as an abbreviation of “reliable instructor” (Tib. {gnas kyi slob dpon}). A reliable monk is one who has passed ten years as a monk and possesses five qualities and is thus fit to guide new monks, grant ordination, and instruction. In “The Chapter on Going Forth,” the Buddha says a monk who has been ordained five years may be considered “reliable” enough to travel without a reliable instructor between monsoons. Though the text does not address the issue, a monk of five years ordination would not, in ordinary circumstances, serve as a reliable instructor. |Also translated here as “sanctuary,” and “resting place.” 
གནས-གཙང-མ	 A form-realm paradise that is never destroyed during the cycles of the destruction and creation of the universe.| A form-realm paradise that is never destroyed during the cycles of the destruction and creation of the universe. | Name for the five highest levels of existence within the form realm. | The five highest of the paradises that consitute the realm of form, which is above the paradises of the realm of desire in which our world is situated. |Name for the five highest levels of existence within the form realm. 
གནས-གཙང-མའི-རིས	 These realms and abodes denote the hierarchy of the gods who, in the manner of human beings and antigods, partake of the higher realms (svarga, {mtho ris}) of rebirth, but nonetheless remain trapped within cyclic existence. The gods altogether comprise (i) six god realms within the world system of desire, commencing with Catur­mahā­rāja­kāyika and Trayas­triṃśa, and concluding with Yāma, Tuṣita, Nirmāṇa­rata, and Para­nirmita­vaśa­vartin; (ii) the twelve Brahmā realms, extending from Brahmakāyika through Brahmapurohita, Mahā­brahmā, Parī­ttābha, A­pramāṇābha, Ābhāsvara, Parītta­śubha, A­pramāṇa­śubha, Śubha­kṛtsna, An­abhraka, and Puṇya­prasava to Bṛhat­phala, which are attained corresponding to lesser, middling, and higher degrees of the four meditative concentrations; and (iii) the five Pure Abodes at the pinnacle of the world system of form, extending from Avṛha, through Atapa, Su­dṛśa, and Sudarśana to Akaniṣṭha. See also http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-1427 and http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-1582. This hierarchy is conveniently illustrated in the form of a chart. See, for example, Dudjom Rinpoche (1991): 14–15.| These realms and abodes denote the hierarchy of the gods who, in the manner of human beings and antigods, partake of the higher realms (svarga, {mtho ris}) of rebirth, but nonetheless remain trapped within cyclic existence. The gods altogether comprise (i) six god realms within the world system of desire, commencing with Catur­mahā­rāja­kāyika and Trayas­triṃśa, and concluding with Yāma, Tuṣita, Nirmāṇa­rata, and Para­nirmita­vaśa­vartin; (ii) the twelve Brahmā realms, extending from Brahmakāyika through Brahmapurohita, Mahā­brahmā, Parī­ttābha, A­pramāṇābha, Ābhāsvara, Parītta­śubha, A­pramāṇa­śubha, Śubha­kṛtsna, An­abhraka, and Puṇya­prasava to Bṛhat­phala, which are attained corresponding to lesser, middling, and higher degrees of the four meditative concentrations; and (iii) the five Pure Abodes at the pinnacle of the world system of form, extending from Avṛha, through Atapa, Su­dṛśa, and Sudarśana to Akaniṣṭha. See also http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-1427 and http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-1582. This hierarchy is conveniently illustrated in the form of a chart. See, for example, Dudjom Rinpoche (1991): 14–15. |These realms and abodes denote the hierarchy of the gods who, in the manner of human beings and antigods, partake of the higher realms (svarga, {mtho ris}) of rebirth, but nonetheless remain trapped within cyclic existence. The gods altogether comprise (i) six god realms within the world system of desire, commencing with Catur­mahā­rāja­kāyika and Trayas­triṃśa, and concluding with Yāma, Tuṣita, Nirmāṇa­rata, and Para­nirmita­vaśa­vartin; (ii) the twelve Brahmā realms, extending from Brahmakāyika through Brahmapurohita, Mahā­brahmā, Parī­ttābha, A­pramāṇābha, Ābhāsvara, Parītta­śubha, A­pramāṇa­śubha, Śubha­kṛtsna, An­abhraka, and Puṇya­prasava to Bṛhat­phala, which are attained corresponding to lesser, middling, and higher degrees of the four meditative concentrations; and (iii) the five Pure Abodes at the pinnacle of the world system of form, extending from Avṛha, through Atapa, Su­dṛśa, and Sudarśana to Akaniṣṭha. See also http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-1427 and http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-1582. This hierarchy is conveniently illustrated in the form of a chart. See, for example, Dudjom Rinpoche (1991): 14–15. 
དགའ-ལྡན-གྱི-གནས	 One of the heavens of Buddhist cosmology, counted among the six heavens of the desire realm, it is home of future Buddha Maitreya.| One of the heavens of Buddhist cosmology, counted among the six heavens of the desire realm, it is home of future Buddha Maitreya. |One of the heavens of Buddhist cosmology, counted among the six heavens of the desire realm, it is home of future Buddha Maitreya. 
གནས-ལ-རྟེན-པ-མེད-པ	 Name of the thirty-second meditative stability.|Name of the thirty-second meditative stability. 
མེ-ཏོག-སྣ-ཚོགས-གནས	 A bodhisattva.|A bodhisattva. 
ཐུབ-པའི-དྲང-སྲོང-རྣམས-ཀྱི-གནས	 A place, described in the opening lines of this sūtra as being on Khalatika mountain, but not mentioned elsewhere in the Kangyur except (as {thub pa'i drang srong chen po'i gnas}) in the Vimala­prabha­paripṛcchā (Toh 168) in connection with the Gomasalagandha stūpa in Khotan.|A place, described in the opening lines of this sūtra as being on Khalatika mountain, but not mentioned elsewhere in the Kangyur except (as {thub pa'i drang srong chen po'i gnas}) in the Vimala­prabha­paripṛcchā (Toh 168) in connection with the Gomasalagandha stūpa in Khotan. 
ཚངས-པའི-གནས	 Love, compassion, joy, equanimity.| Love, compassion, joy, equanimity. | The four qualities that are said to result in rebirth in the paradise of Brahmā and were a practice already prevalent before Śākyamuni’s teaching: limitless love, compassion, rejoicing, and equanimity. | The four qualities that are said to result in rebirth in the paradise of Brahmā, and were a practice already prevalent before Śākyamuni’s teaching, are limitless love, compassion, rejoicing, and equanimity. |Love, compassion, joy, equanimity. 
ཤུ-བ	Symptom that may be evidence of an illness considered an impediment to ordination.\nSee also http://read.84000.co/translation/UT22084-001-001.html#UT22084-001-001-1011.
སྨོན-པ-མེད-པ	 Meditative concentration which views nirvāṇa, which is the complete pacification of the aggregates; the third of the Three Doors of Liberation. | The absence of any conceptual goal that one is focused upon achieving, knowing that all composite phenomena create suffering. One of the three doorways to liberation. | Third of the Three Doors of Liberation (see glossary). Objectively, it is equivalent to voidness; subjectively, it is the outcome of the holy gnosis of voidness as the realization of the ultimate lack of anything to wish for, whether voidness itself, or even Buddhahood. See “emptiness.” | lacking aspiration| lacking aspiration |The absence of any conceptual goal that one is focused upon achieving, knowing that all composite phenomena create suffering. One of the three doorways to liberation. 
མཚན-མ-མ-མཆིས-པ	The absence of the conceptual identification of perceptions. Knowing that the true nature has no attributes, such as color, shape, etc. One of the three doorways to liberation.
མཚན-མ-མེད-པ	 Also translated here as “without mental images.” | In ultimate reality, there is no sign, as a sign signals or signifies something to someone and hence is inextricably involved with the relative world. We are so conditioned by signs that they seem to speak to us as if they had a voice of their own. The letter “A” seems to pronounce itself to us as we see it, and the stop-sign fairly shouts at us. However, the configuration of two slanted lines with a crossbar has in itself nothing whatsoever to do with the phenomenon made with the mouth and throat in the open position, when expulsion of breath makes the vocal cords resonate “ah.” By extending such analysis to all signs, we may get an inkling of what is meant by “signlessness,” which is essentially equivalent to voidness, and to “wishlessness” (see entry). Voidness, signlessness, and wishlessness form the “Three Doors of Liberation.” | Meditative concentration which views the five aggregates, the basis for the conception of a self, as faulty; the second of the three doors of liberation.| The absence of the conceptual identification of perceptions. Knowing that the true nature has no attributes, such as color, shape, etc. One of the three doorways to liberation. |The absence of the conceptual identification of perceptions. Knowing that the true nature has no attributes, such as color, shape, etc. One of the three doorways to liberation. 
ལྡོག-པ	In Buddhist logic, the term “distinguishing counterpart” (vyāvṛtti, {ldog pa}) denotes a given phenomenon that conceptually appears to be the opposite of a phenomenon of a dissimilar class but is not actually existent, such as the idea of a specific form that appears in conceptual thought.
བདེ-བ-དང-སྡུག-བསྔལ-ཐམས-ཅད-ལ-མངོན-པར-དགའ-བ-མེད-པ	 Name of the ninety-third meditative stability.| Name of the ninety-third meditative stability. |Name of the ninety-third meditative stability. 
བདག-མེད-པ	 This describes actual reality, as finally there is no enduring person himself or thing itself, since persons and things exist only in the relative, conventional, or superficial sense, and not in any ultimate or absolute sense. To understand Buddhist teaching correctly, we must be clear about the two senses (conventional/ultimate, or relative/absolute), since mistaking denial of ultimate self as denial of conventional self leads to nihilism, and mistaking affirmation of conventional self as affirmation of ultimate self leads to absolutism. Nihilism and absolutism effectively prevent us from realizing our enlightenment, hence are to be avoided. | without self| without self |This describes actual reality, as finally there is no enduring person himself or thing itself, since persons and things exist only in the relative, conventional, or superficial sense, and not in any ultimate or absolute sense. To understand Buddhist teaching correctly, we must be clear about the two senses (conventional/ultimate, or relative/absolute), since mistaking denial of ultimate self as denial of conventional self leads to nihilism, and mistaking affirmation of conventional self as affirmation of ultimate self leads to absolutism. Nihilism and absolutism effectively prevent us from realizing our enlightenment, hence are to be avoided. 
བདག-མེད	 Selflessness denotes the lack of inherent existence in self-identity and also, more subtly, in all physical and mental phenomena. Also translated here as “non-self” or “absence of self.”| The absence of any enduring, singular, or independent essence in individuals or phenomena. | The view that there is no self existing independent of the five psycho-physical aggregates. Also translated here as “selflessness” and “absence of self.”\nabsence of self | lack of an inherent substance |The view that there is no self existing independent of the five psycho-physical aggregates. Also translated here as “selflessness” and “absence of self.”\nabsence of self 
ཏིང-ངེ-འཛིན	 A general term for the practice of meditative absorption aimed at developing profound states of concentration. | A generic name for the one hundred and eleven meditative stabilities enumerated in the present text.\nmeditative stabilities| A generic name for the one hundred and eleven meditative stabilities enumerated in the present text.\nmeditative stabilities | A mind focused one-pointedly on an object of concentration. | A state of meditative concentration or absorption. | Concentration of total mental equanimity which is such a powerful mental state it can be turned to accomplish amazing results. | One of the synonyms for the meditative state, literally “a completely focused state.” | One of the synonyms for the meditative state, meaning a completely focused state. | Placing the mind on an object of attention, or sometimes more generally, a meditative state. | See “absorption.” | State of mental absorption or one-pointed concentration. |A state of meditative concentration or absorption. 
སྙོམ-འཇུག	 One of the synonyms for the meditative state. The Tibetan translation interpreted it as sama-āpatti, which brings in the idea of “equal,” or “level,” whereas it may very well be like “samādhi,” sam-āpatti, with the similar meaning of concentration. Unlike samādhi, however, it also occurs with the meaning of “completion,” “attainment,” and “diligent practice.”| One of the synonyms for the meditative state. The Tibetan translation interpreted it as sama-āpatti, which brings in the idea of “equal,” or “level,” whereas it may very well be like “samādhi,” sam-āpatti, with the similar meaning of concentration. Unlike samādhi, however, it also occurs with the meaning of “completion,” “attainment,” and “diligent practice.” | “Absorption” has been translated as “meditation,” “contemplation,” “attainment,” etc., and any of these words might serve. The problem is to establish one English word for each of the important Sanskrit words samāpatti, dhyāna, samādhi, bhāvanā, etc., so as to preserve a consistency with the original. Therefore, I have adopted for these terms, respectively, “absorption,” “contemplation,” “concentration” and “realization” or “cultivation,” reserving the word “meditation” for general use with any of the terms when they are used not in a specific sense but to indicate mind-practice in general. |“Absorption” has been translated as “meditation,” “contemplation,” “attainment,” etc., and any of these words might serve. The problem is to establish one English word for each of the important Sanskrit words samāpatti, dhyāna, samādhi, bhāvanā, etc., so as to preserve a consistency with the original. Therefore, I have adopted for these terms, respectively, “absorption,” “contemplation,” “concentration” and “realization” or “cultivation,” reserving the word “meditation” for general use with any of the terms when they are used not in a specific sense but to indicate mind-practice in general. 
སྒྱུ-མ-ལྟ-བུའི-ཏིང-ངེ-འཛིན	 The realization that all phenomena are illusory and empty, which occurs when a bodhisattva understands the unborn nature of phenomena.|The realization that all phenomena are illusory and empty, which occurs when a bodhisattva understands the unborn nature of phenomena. 
བསམ-གཏན	 Four levels of meditation within the Form Realm.\nSee also note http://read.84000.co/translation/UT22084-044-005.html#UT22084-044-005-208. | Generally one of the synonyms for meditation, referring to a state of mental stability. The specific four dhyānas are four successively subtler states of meditation that are said to lead to rebirth into the corresponding four levels of the form realm, which are composed of seventeen paradises. | Literally “stability of mind,” denotes specific levels of concentration attained by the sustained practice of calm abiding (śamatha). | Meditative concentration is defined as the one-pointed abiding in an undistracted state of mind free from afflicted mental states. It is an advanced form of calm abiding, where often both calm abiding and penetrative insight may be present in perfect union. Four states of meditative concentration are identified as being conducive to birth within the world system of form, each of which has three phases of intensity. However, in the context‌ of the Great Vehicle, meditative concentration is the fifth of the six transcendent perfections. See also “four meditative concentrations” and http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-170. | One of the synonyms for meditation, referring to a state of mental stability. | One-pointed concentration in which the mind is undistracted and untainted by the afflictions.| One-pointed concentration in which the mind is undistracted and untainted by the afflictions. | See “absorption.” | Sometimes translated as “absorption” or “meditative absorption,” this is one of several similar but specific terms for particualr states of mind to be cultivated. Dhyāna is the term often used in the context of eight successive stages, four of form and four formless. |Four levels of meditation within the Form Realm.\nSee also note http://read.84000.co/translation/UT22084-044-005.html#UT22084-044-005-208. 
མཐར-གྱིས-གནས-པའི-སྙོམས-པར-འཇུག-པ-དགུ	 See http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-178.\nnine serial steps of meditative absorption | The four concentrations, the four formless states, and the equilibrium of cessation.| The four dhyānas, the four formless absorptions, and the absorption of cessation. |See http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-178.\nnine serial steps of meditative absorption 
ཅི-ཡང-མེད-པའི-སྐྱེ-མཆེད-ཀྱི-སྙོམས-འཇུག	 Third of the four meditative absorptions.| Third of the four meditative absorptions. |Third of the four meditative absorptions. 
འདུ-ཤེས-མེད-མིན-གྱི-སྙོམས-འཇུག	 Fourth of the four meditative absorptions.| Fourth of the four meditative absorptions. |Fourth of the four meditative absorptions. 
ནམ-མཁའ-མཐའ-ཡས-སྐྱེ-མཆེད-ཀྱི-སྙོམས-འཇུག	 First of the four meditative absorptions.| First of the four meditative absorptions. |First of the four meditative absorptions. 
རྣམ-ཤེས-མཐའ-ཡས-སྐྱེ-མཆེད-ཀྱི-སྙོམས-འཇུག	 Second of the four formless meditative absorptions.| Second of the four formless meditative absorptions. |Second of the four formless meditative absorptions. 
དབང-པོ-དང-སྟོབས-དང-བྱང-ཆུབ-ཀྱི-ཡན-ལག-དང-རྣམ-པར-ཐར-པ-དང-བསམ-གཏན-དང-ཏིང-ངེ-འཛིན-དང-སྙོམས-པར-འཇུག-པའི-ཀུན-ནས-ཉོན-མོངས-པ-དང-རྣམ-པར-བྱང-བ-དང-ལྡང-པ-ཤེས-པ-ཡང-དག-པ-ཇི-ལྟ-བ-བཞིན-དུ-རབ-ཏུ-ཤེས-པ	 Eighth of the ten powers of the tathāgatas.\ndefinitively know all the afflicted and purified mental states, and their emergence, associated with the meditative concentrations, aspects of liberation, meditative stabilities, and formless absorptions\ndefinitive knowledge of all the afflicted and purified mental states and their emergence, with respect to the faculties, powers, branches of enlightenment, aspects of liberation, meditative concentrations, meditative stabilities, and formless absorptions| Eighth of the ten powers of the tathāgatas.\ndefinitively know all the afflicted and purified mental states, and their emergence, associated with the meditative concentrations, aspects of liberation, meditative stabilities, and formless absorptions\ndefinitive knowledge of all the afflicted and purified mental states and their emergence, with respect to the faculties, powers, branches of enlightenment, aspects of liberation, meditative concentrations, meditative stabilities, and formless absorptions |Eighth of the ten powers of the tathāgatas.\ndefinitively know all the afflicted and purified mental states, and their emergence, associated with the meditative concentrations, aspects of liberation, meditative stabilities, and formless absorptions\ndefinitive knowledge of all the afflicted and purified mental states and their emergence, with respect to the faculties, powers, branches of enlightenment, aspects of liberation, meditative concentrations, meditative stabilities, and formless absorptions 
མི-གཡོ-བ	 Also means unmoving, immovable. | Another name for Caṇḍa­mahā­roṣaṇa. | Referring to actions, this term signifies the actions of beings in the subtle god-realms of form and formlessness that can only lead to rebirth in the same realm in the next life. | The eighth bodhisattva bhūmi.| The eighth bodhisattva bhūmi. | The eighth bodhisattva level; see also Acala (the masculine form), another name of the deity Caṇḍa­mahā­roṣaṇa. |Also means unmoving, immovable. 
མི-གཡོ-བ-ནག-པོ	 Acala corresponding to Buddha Akṣobhya in the center of the maṇḍala.|Acala corresponding to Buddha Akṣobhya in the center of the maṇḍala. 
མི-གཡོ-བ-ལྗང-གུ	 Acala corresponding to Buddha Amoghasiddhi in the north of the maṇḍala.|Acala corresponding to Buddha Amoghasiddhi in the north of the maṇḍala. 
མི-གཡོ-བ-དམར-པོ	 Acala corresponding to Buddha Amitābha in the west of the maṇḍala.|Acala corresponding to Buddha Amitābha in the west of the maṇḍala. 
མི-གཡོ-བ-གཀར-པོ	 Acala corresponding to Buddha Vairocana in the east of the maṇḍala.|Acala corresponding to Buddha Vairocana in the east of the maṇḍala. 
མི-གཡོ-བ-སེར-པོ	 Acala corresponding to Buddha Ratnasambhava in the south of the maṇḍala.|Acala corresponding to Buddha Ratnasambhava in the south of the maṇḍala. 
མི-གཡོ	 The eighth bodhisattva bhūmi.|The eighth bodhisattva bhūmi. 
མེ	 A rākṣasī known only from this sūtra.|A rākṣasī known only from this sūtra. 
སློབ-དཔོན	 A spiritual teacher, meaning one who knows the conduct or practice (carya) to be performed. It can also be a title for a scholar, though that is not the context in this sūtra. | A spiritual teacher, meaning one who knows the conduct or practice (caryā) to be performed. It can also be a title for a scholar, though that is not the context in this sūtra. | Along with the position of preceptor, this is one of two official positions created by the Buddha to ensure that new monks would receive sufficient training. The Buddha specified five types of instructor: instructors of novices, instructors who inquire into confidential matters, officiants, givers of instruction, and recitation instructors.| Teacher (sometimes more specifically the deputy or substitute of the upādhyāya). |Along with the position of preceptor, this is one of two official positions created by the Buddha to ensure that new monks would receive sufficient training. The Buddha specified five types of instructor: instructors of novices, instructors who inquire into confidential matters, officiants, givers of instruction, and recitation instructors. 
ཉེ-བར-གཞག-པ	 To look after a novice ward or apprentice.| To look after a novice ward or apprentice. |To look after a novice ward or apprentice. 
གཟུང-བ	 To look after a novice ward or apprentice.| To look after a novice ward or apprentice. |To look after a novice ward or apprentice. 
བཟོད-པ	 Forbearance, tolerance, acceptance. | The capacity to accept or tolerate experiences which ordinary beings cannot tolerate. It is the preparatory step to profound insight into reality. It also refers to the third stage of the path of joining ({sbyor lam}; prayogamārga).\nacceptance | Third of the four aspects of the path of preparation, also translated here as “acceptance.” However, in the context‌ of the transcendent perfections, tolerance is the third of the six transcendent perfections.| Third of the four aspects of the path of preparation.\nAlso translated here as “tolerance.” |The capacity to accept or tolerate experiences which ordinary beings cannot tolerate. It is the preparatory step to profound insight into reality. It also refers to the third stage of the path of joining ({sbyor lam}; prayogamārga).\nacceptance 
ཡོངས-སུ-གཟུང-བ-མེད-པ	 without acceptance| without acceptance |without acceptance 
བརྒྱད-པའི-ས	 Name of the third level attainable by bodhisatatvas. See note http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-1282.|Name of the third level attainable by bodhisatatvas. See note http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-1282. 
མི-སྐྱེ-བའི-ཆོས-ལ-བཟོད-པ	 An attainment characteristic of the effortless and spontaneous wakefulness of the 8th ground of the bodhisattvas. | Here we are concerned with the “intuitive tolerance of the birthlessness (or incomprehensibility) of all things” (anutpattika­dharma­kṣānti or anupalabdhi­dharma­kṣānti). To translate kṣānti as “knowledge” or “conviction” defeats entirely the Skt. usage and its intended sense: In the face of birthlessness or incomprehensibility (i.e., the ultimate reality), ordinary knowledge and especially convictions are utterly lost; this is because the mind loses objectifiability of anything and has nothing to grasp, and its process of coming to terms may be described only as a conscious cancellation through absolute negations of any false sense of certainty about anything. Through this tolerance, the mind reaches a stage where it can bear its lack of bearings, as it were, can endure this kind of extreme openness, this lack of any conviction, etc. There are three degrees of this tolerance—verbal (ghoṣānugā), conforming (anulomikī), and complete. See Introduction, http://read.84000.co/translation/UT22084-060-005.html#UT22084-060-005-19, and Lamotte, Appendice, Note III. | See “tolerance of the birthlessness of things.”| See “tolerance of the birthlessness of things.” | The forbearance to accept and understand the non-arising of phenomena, attained by a bodhisattva on the 8th level (see note http://read.84000.co/translation/UT22084-062-018.html#UT22084-062-018-183). |An attainment characteristic of the effortless and spontaneous wakefulness of the 8th ground of the bodhisattvas. 
ཡོངས-སུ-ཟིན-པ	 Also translated here as “accepted.”|Also translated here as “favored.” 
དངོས-གྲུབ	 An accomplishment that is the goal of sādhana practice; a supernatural power or ability. | An accomplishment that is the goal of sādhana. | The mundane and transcendent abilities that are conferred through the perfection of yogic practices.| The mundane and transcendent abilities that are conferred through the perfection of yogic practices. |An accomplishment that is the goal of sādhana. 
གྲངས-དག-འདེབས	As in to account for the income and allocations of a monastery.
རྨད-བྱུང	One of the nine aspects of the Dharma according to this sūtra. More commonly there are said to be twelve that include these nine.
ཡོན-ཏན-ཐམས-ཅད-ཀྱི-ཚོགས-སུ-གྱུར-པ	Name of the seventy-second meditative stability.
སྨོན-ལམ-བསམ-གྱིས-མི-ཁྱབ-པ-ཁྱད-པར-དུ-འཕགས-པའི-རྒྱལ-པོ	 A buddha countless eons in the past.|A buddha countless eons in the past. 
ཆོས-ཉིད-ཀྱིས-ཐོབ-པ	 The acquisition of vows through direct insight into the nature of reality rather than through formal ceremony.|The acquisition of vows through direct insight into the nature of reality rather than through formal ceremony. 
