འབྲས-བུ	Definition: (1) that which is produced; (2) that which benefits
མ-བྱས-པའི-ཆོས	Definition: unproduced phenomenon
མ-ཡིན-དགག-གི-གཞན-སེལ	that which is observed as a common locus of: · (1) there existing a common locus of (a) being projected in place of its object of negation as an object of comprehension by the conceptual consciousness apprehending it and (b) being a positive phenomenon · (2)
མེ	Definition: hot and burning
མི-དགེ-བ	Definition: for one: revealed in scripture, and abiding in the type which brings forth suffering as a fruition which is its own effect
མི-རྟག-པ	Definition:momentary
མི-སློབ-ལམ	Definition: an exalted knower that is posited from the viewpoint of having abandoned the afflictive obstructions
མིག-གི-དབང-པོ	Definition: clear inner form qualified by acting as the uncommon empowering condition of its own effect, an eye consciousness
མིག-ཤེས	Definition: an awareness which arises in dependence on its own uncommon empowering conditions, an eye sense power, and an observed object condition, a form
མངོན-གྱུར	Def.: (1) (Collected Topics): an object realized explicitly by a direct valid cognition; (2) (Awareness and Knowledge): a phenomenon which is not an object an ordinary being definitely must realize in dependence upon a sign/reason
མངོན-སུམ	Def.: a non-mistaken knower that is free from conceptuality{JKA}
མངོན-སུམ-གྱི-ཚད-མ	Def.: a new, incontrovertible, non-mistaken knower that is free from conceptuality
མངོན-སུམ-ལྟར-སྣང	Def.: an awareness mistaken with respect to its appearing object
མཐོང-ལམ	Def.: clear realization of truth
མཚན-ཉིད	Def.: triply qualified substantial existent
མཚོན-བྱ	Definition: a triply qualified imputed existent
མཚུངས-ལྡན-གྱི-རྒྱུ	Def.: Those which are observed as common loci of being associated with the five types of mutual association and not acting as an obstacle to the production of each other.
ནང-གི-བེམ-པོ	Definition: atomically established within the continuum of beings
ནང-གི-གཟུགས	Definition: form included/contained within the mental continuum of beings
ངོ-བོ-གཅིག-པ	Def.: phenomena that are not of different entities
ཉན-ཐོས-ཀྱི-མི-སློབ-ལམ	Definition: a clear realizer of one who has completed the progress of a Hearer's path
ཉན-ཐོས-ཀྱི-མཐོང-ལམ	Definition: Hearer clear realizer of truth that arises before its own effect, a Hearer path of meditation; · {T} Hearer's clear realizer of truth prior to generating its effect, a Hearer's path of meditation
ཉན-ཐོས-ཀྱི-མཐོང-ལམ-བར-ཆད-མེད-ལམ	Definition: Hearer's clear realizer of truth that is an actual antidote to the artificial afflictive obstructions
ཉན-ཐོས-ཀྱི-མཐོང-ལམ-མཉམ-བཞག-ཡེ-ཤེས	Definition: Hearer clear realizer of truth which is set in one-pointed meditative equipoise on its object, the selflessness of persons
ཉན-ཐོས-ཀྱི-མཐོང-ལམ-རྗེས-ཐོབ-ཡེ-ཤེས	Definition: Hearer's clear realizer of truth which is posited from the viewpoint of: (1) being a Hearer's path of seeing which is neither an uninterrupted path nor a path of release of a Hearer's path of seeing; and (2) arises after the completion of the
ཉན-ཐོས-ཀྱི-སྦྱོར-ལམ	Definition: Hearer clear realizer of meaning that arises before its own effect, a Hearer path of seeing
ཉན-ཐོས-ཀྱི-སྒོམ-ལམ	Definition: Hearer subsequent clear realizer
ཉན-ཐོས-ཀྱི-སྒོམ-ལམ-བར-ཆད-མེད-ལམ	Definition: a Hearer's subsequent clear realizer that serves as an actual antidote to its own respective objects of abandonment, these being the afflictive obstructions which are to be abandoned by the path of meditation
ཉན-ཐོས-ཀྱི-སྒོམ-ལམ-མཉམ-བཞག-ཡེ-ཤེས	Definition: Hearer's subsequent realizer that is posited from the viewpoint of being set in one-pointed meditative equipoise on its object, selflessness
ཉན-ཐོས-ཀྱི-ཚོགས-ལམ	Definition: Hearer's clear realizer of doctrine that arises before the path of preparation that is its own effect
ཕན-ཚུན-སྤང-འགལ	Definition: abiding as not [existing] in common from the point of view of the one being the eliminator and eliminated
ཕྱིའི-བེམ-པོ	Definition: atomically established, and not contained within the continuum of a being
ཕྱིའི-གཟུགས	Definition: form not included/contained within the mental continuum of a being
རང-ལས-ངེས-ཀྱི-ཚད-མ	Def.: a new incontrovertible knower that is able to induce, through its own power, ascertainment that it by itself would not give rise to if the final nature of its own object of comprehension did not abide in the object
རང-ལྡོག-གཅིག-པ	Definition: phenomena that are not distinct self isolates
རང-ལྡོག-ཐ-དད	Definition: phenomena that are distinct self isolates
རང-མ-ཡིན-པའི-ལྡོག-ཆོས	Def.: that which is observed as a common locus of: it is an established base; it is not itself; non-it is not it; and its isolate is non-contradictory with isolate phenomenon that is not itself
རང-མ-ཡིན-པའི-ལྡོག-ཆོས-ཀྱི-རྗེས-མཐུན	Def.: an observed common locus between: its being an established base; its not being itself; non-its not being it; and its isolate being non-contradictory with isolate phenomenon that is not itself
རང-མཚན	Def.: (1) a phenomenon which is established through its own characteristic nature, without being merely designated by terms or thought; (2) established from the side of its object's own uncommon mode of subsistence, without being merely imputed by terms o
རང-ཉིད-དགག-པ-ཡིན-པ	Def.: (1) that which is realized by the conceptual conciousness apprehending it in the manner of explicitly eliminating its object of negation; or: (2) that which is explicitly realized by the conceptual consciousness apprehending it from the viewpoint of
རང-ཉིད-ཀུན-འགྲོའི-རྒྱུ	Def: an afflicted phenomenon that is a producer of a later afflicted phenomenon-- which is its effect--on the same ground as it
རང-ཉིད-ལྷན-ཅིག-བྱེད-རྐྱེན	Definition: that which is the main producer of its own cooperative effect without being [contained within] the continuum of its substantial entity
རང-ཉིད-མེད-དགག-གི-གཞན-སེལ	Def.:
རང-ཉིད-ཉེར-ལེན-ཡིན-པ	Definition: that which is the main producer of its substantial effect as the continuum of its substantial entity
རང-ཉིད-སྐལ-མཉམ-ཀྱི-རྒྱུ	Def: That which produces a later thing--of the same type as itself--as like itself
རང-རྒྱལ-གྱི-ལམ	Def.: Solitary Realizer's clear realizer that serves to open the passageway for the opportunity of progressing toward a Solitary Realizer's liberation
རང-རྒྱལ-གྱི-མི-སློབ-ལམ	Definition in Svātantrika: a Solitary Realizer's exalted knower that involves a state of having abandoned all of the conception consciousnesses conceiving objects apprehended to be external objects
རང-རྒྱལ-གྱི-སྦྱོར-ལམ	Definition: a Solitary Realizer's clear realization of meaning that arises after the completion of the path of accumulation, which is its substantial cause, and is generated prior to the Solitary Realizer path of seeing, which is its effect
རང-རྒྱལ-གྱི-ཚོགས-ལམ	Definition: a Solitary Realizer's clear realizer of doctrine that is generated prior to the Solitary Realizer path of preparation that is its own effect
རང-རིག	Definition: that which has the aspect of the apprehended
རང-ཡིན-པའི-ལྡོག-ཆོས	Definition: an observed common locus between: its being an established base; its being itself; not-its being it; and its isolate being non-contradictory with isolate phenomenon that is itself
རང-ཡིན-པའི-ལྡོག-ཆོས-ཀྱི-རྗེས-མཐུན	Def.: an observed common locus between: its being an established base; its being itself; not-its being it; and its isolate being non-contradictory with concordance with isolate phenomenon that is itself
རྫས-ཆོས	Definition: an observed common locus between: its being an established base; its being itself; not-its not being it; and its isolate not being contradictory with substantial phenomenon
རྫས-ཆོས-ཀྱི-རྗེས-མཐུན	Definition: that which is observed as a common locus of: it is an established base; it is itself; non-it is not it; and its isolate is not contradictory with concordance with substantial phenomenon
རྫས-གཅིག	Definitions: (1) they appear to direct perception; and they do not appear as separate; (2) phenomena that are produced as not separate by way of entity
རྫས-རིགས-གཅིག	Definition: different composed products that are produced from one substantial cause
རྫས-ཡོད	Definition: [a phenomena] whose identification need not depend on identifying another phenomena {T}
རེག-བྱའི-སྐྱེ-མཆེད	Definition: object felt by a body consciousness
རྒྱུ	Def.: (1) producer; (2) benefitter
རྒྱུ-ཚོགས-པ	this is out of place: the causal nexus which has the fitness to produce its effect, the nature of a thing
རྒྱུད-འགལ	Def.: Those which are not explicitly harmed and harmer and of which a common locus does not exist check Perdue
རྒྱུན	Def.: [Ke-drup (mkhas grub)]: a time which possesses multiple moments as its parts
རིགས-གཅིག-པ	Definition: phenomena that are not distinct types
རིགས-སྤྱི	Def.: a phenomenon that is concomitant with many [phenomena] having its type
རྗེས-དཔག	Definition: a determinative knower which, depending on its basis, a correct sign, is incontrovertible with regard to its object of comprehension, a hidden phenomenon{TAK 4b.2}
རྗེས-སུ-དཔག-པའི-ཚད-མ	Definition: a knower that is new and incontrovertible with respect to its object of comprehension, a hidden phenomenon, in dependence upon its basis, a correct sign
རྐྱེན	Def.: assister
རླུང	light and moving
རྣ-བའི-དབང-པ	Definition: clear inner form qualified by acting as the uncommon empowering condition of its own-effect, an ear consciousness
རྣ-ཤེས	Definition: an awareness which arises in dependence upon its own uncommon empowering conditions, an observed sound and ear sense-power
རྣལ-འབྱོར-མངོན-སུམ	Definition: a non-conceptual non-mistaken exalted knower in the continuum of a Superior that is produced from a meditative stabilization which is a union of calm abiding and special insight and which has become its own uncommon empowering condition
རྣམ-མཁྱེན-གྱི-གཞལ-བྱ	Definition: object of comprehension by an omniscient consciousness
རྣམ-སྨིན-གྱི-རྒྱུ	Definition: That which is included within non-virtue and contaminated virtue
རོའི-སྐྱེ-མཆེད	Definition: object experienced by a tongue consciousness
རྟག-པ	Definition: a common locus between being a phenomenon and not being momentary
རྟོག-བྲལ	Definition: free from being a determining knower that apprehends a sound [generality] and a meaning [generality] as suitable to be mixed
རྟོག-མེད-ཀྱི-ཤེས-པ	Definition: an awareness that is free from being a determining knower that apprehends a sound [generality] and a meaning [generality] as suitable to be mixed
རྟོག-པ	Definition: a determining knower that apprehends a sound [generality] and a meaning [generality] as suitable to be mixed
རྟོག-པའི-སྣང-ཡུལ	that phenomena which is cognized through its mere appearing {GD:547}
ས	Def.: (1) (ground that is within the set of tangible objects that are elements:) hard and obstructive; (2) (ground that is within the set of the two, grounds and paths:) a clear realizer of one who has entered a path which serves as the basis of the many
སྦྱོར-ལམ	Definition: clear realization of meaning
སེལ-འཇུག	Def.: Jay-dzün-ba: [mind] which engages its object having divided it into parts; \n Pan-chen: [mind] which engages its object through the power of terminology
སེམས	Def.: that which has similarity with mental factors that arise as its [i.e., a main mind's] accompaniers
སེམས-བསྐྱེད	Def.: a special cognition that is induced by its cause, the aspiration seeking others' welfare, and has similarity with its accompanier, the desire for enlightenment {T}
སེམས-བྱུང	Def.: that which has similarity/paralellism with the mind having it as an accompanier
སྒོམ-ལམ	Def.: subsequent clear realizer
སྒོམ-ལམ-པའི-མཁྱེན-པ	Syn.: path of meditation; subsequent clear realizer
སྒྲ-འཛིན-དབང-མངོན	Def.: a non-mistaken non-conceptual knower produced in dependence upon its own uncommon proprietary/empowering condition, the ear sense power, and observed object condition, a sound
སྒྲའི-སྐྱེ-མཆེད	Def.: object heard by an ear consciousness
སྒྲོ-འདོགས	Def.: an awareness viewing that object which is its object of observation as more than it [is]
སྒྲུབ-འཇུག-གི-བློ	Def.: an awareness engaging its object by the power of the thing
སྒྲུབ-བྱེད-འཕེན-པའི-ཐལ-འགྱུར-ཡང-དག	Def.: that which (1) is a correct consequence and (2) implies its opposite meaning
སྒྲུབ-པ	Def. of positive phenomenon: a phenomenon which is not an object of comprehension by the conceptual consciousness apprehending it through explicitly eliminating its object of negation
ཤེས-བྱ	Definition: that which is suitable to be taken as an object of an awareness
ཤེས-བྱའི-དོན-སྤྱི	Def.: that superiposed factor which, although not one with object of knowledge, is apprehended—by the conceptual consciousness apprehending object of knowledge—to be one with object of knowledge {T}
ཤེས-པ	Definition: clear and knowing
ཤིན-ཏུ-ལྐོག-གྱུར	Definition: a phenomenon which an ordinary being must definitely realize initially in dependence upon a sign of belief
སྐབས-འདིར-བསྟན-གྱི-ཡིད-མངོན	Def.: a non-conceptual non-mistaken other-knower indicated on this occasion that arises from its own uncommon empowering condition, a mental sense power
སྐུར-འདེབས	Def.: an awareness that views that object which is its object of observation as less than that [i.e., as less than it is]
སྐྱེས-བུ-འབྲིང-གི-ལམ	Def.: an attitude that is posited from the standpoint of mainly seeking liberation for the sake of oneself alone, from the viewpoint of having turned the mind away from the marvels of cyclic existence
སྐྱེས-བུ-ཆེ-འབྲིང-ཐུན-མོང-གི-ལམ	Def.: an attitude (1) which is an object of practice of both beings of great and middling capacities and (2) in which it is necessary initially to train the mind in order to produce a path of a being of great capacity in one's continuum
སྐྱེས-བུ-ཆེན-པོའི-ལམ	Def.: an attitude that is posited from the standpoint of having come under the influence of great compassion seeking [to attain] an exalted knower-of-all-aspects for the sake of other sentient beings' attaining Buddhahood
སྐྱེས-བུ-ཆུང-འབྲིང-ཐུན-མོང-གི-ལམ	Def.: an attitude (1) which is an object of practice of the three [types of] beings and (2) in which it is necessary initially to train the mind in order to produce a path of [a being of] middling capacity in one's continuum
སྐྱེས-བུ-ཆུང-ངུ-ཁྱད-པར-ཅན-གྱི-ལམ	Def.: an attitude that is posited from the standpoint of seeking mainly mere high status within a future cyclic existence for one's own sake alone
སྣ-དབང	Definition: clear inner form, qualified by acting as the uncommon empowering condition of its own effect, a nose consciousness
སྣ-ཤེས	Definition: an awareness which arises in dependence upon its own uncommon empowering condition, a nose sense-power, and an observed object condition, a scent
སྣང-ལ-མ-ངེས-པའི-བློ	Definition: a knower to which the specifically characterized phenomenon that is its object of engagement clearly appears but which is unable to induce ascertainment with respect to it
སྔོན-འཛིན-མངོན-སུམ-གྱི-བདག-རྐྱེན	Def.: main direct producer of a direct perception apprehending blue under its own power
སྔོན-འཛིན-མངོན-སུམ-གྱི-དེ-མ-ཐག-རྐྱེན	Def.: a knower that is the main direct producer of a direct perception apprehending blue only as a luminous and knowing experiential entity
སྔོན-འཛིན-མངོན-སུམ-གྱི-དམིགས-རྐྱེན	Def.: main direct producer of a direct perception apprehending blue as having the aspect of blue
སྙན-ཐོས-ཀྱི-མཐོང-ལམ-རྣམ-གྲོལ-ལམ	Definition: a Hearer clear realizer of truth which is a path of release that abandons the artificial afflictive obstructions
སྙན-ཐོས-ཀྱི-སྒོམ-ལམ-རྣམ-གྲོལ-ལམ	Definition: a Hearer's subsequent clear realizer that is a path of release that involves a state of having abandoned the afflictive obstructions that are to be abandoned by the path of meditation, these being the respective objects of abandonment by the u
སོ-སོའི-སྐྱེ-བོ	Def.: a person who has not attained the Superior's of any of the three vehicles
སྤྱི	Definition: a phenomenon which encompasses its manifestations; a phenomenon which is concomitant with its manifold individuals {GD:268}
སྤྱི-མཚན	Definition of generally charcterized phenomenon: a phenomenon which is not established as a specifically characterized [phenomena], but is merely designated by terms and conceptuality
ཐ-དད	Def.: phenomena that are different
ཐལ-འགྱུར	Def.: stated as a consequence
ཐལ-འགྱུར-ཡང-དག	Def.:
ཐེ-ཚོམ	Def.: (1) a knower which by its own power has doubts in two directions; or: (2) an awareness having qualms with respect to its object
ཐེག-ཆེན-གྱི-ལམ	Def.: a Great Vehicle exalted knower that is included within either that which causes progress toward the Great Vehicle enlightenment or that which has already progressed to it
ཐེག-ཆེན-གྱི-མི-སློབ-ལམ	Def.: a final exalted knower that involves a state of having completely abandoned the two obstructions
ཐེག-ཆེན-གྱི-མཐོང-ལམ-བར-ཆད-མེད-ལམ	Def.: a Great Vehicle clear realizer of truth that serves as the actual antidote to the artificial conception of true existence which is its corresponding object of abandonment
ཐེག-ཆེན-གྱི-མཐོང-ལམ-རྗེས-ཐོབ-ཡེ-ཤེས	Def.: (1) an exalted knower of one who has risen from the path of release of a Great Vehicle path of seeing and (2) a Great Vehicle clear realizer of the truth which manifestly occurs in the continuum of persons who possess it in their continuums
ཐེག-ཆེན-གྱི-མཐོང-ལམ-རྣམ-གྲོལ-ལམ	Def.: a Great Vehicle clear realizer of truth that is distinguished by [being a state that involves] having abandoned the artificial obstructions to omniscience
ཐེག-ཆེན-གྱི-སྒོམ-ལམ	Def.: a Great Vehicle subsequent clear realizer
ཐེག-ཆེན-གྱི-སྒོམ-ལམ-བར-ཆད-མེད-ལམ	Def.: a Great Vehicle subsequent clear realizer that serves as the actual antidote to the innate conception of true existence which is its respective object of abandonment
ཐེག-ཆེན-གྱི-སྒོམ-ལམ-བར-ཆད-མེད-ལམ-ཆུང-ངུའི-ཆུང-ངུ	Def.: an uninterrupted path of a Great Vehicle path of meditation that is an actual antidote to the great of the great innate conceptions of true existence which are its respective objects of abandonment
ཐེག-ཆེན-གྱི-སྒོམ-ལམ-མཉམ-བཞག-ཡེ-ཤེས	Def.: that which is (1) a one-pointed meditative equipoise on any of the three selflessnesses that are its objects and (2) a Great Vehicle subsequent clear realizer occurring in a manifest manner in a continuum of a person who possesses it in his or her c
ཐེག-ཆེན-གྱི-སྒོམ-ལམ-རྣམ-གྲོལ-ལམ	Def.: a Great Vehicle subsequent clear realizer that involves a state of having been liberated from the innate conception of true existence which is the respectve object of abandonment by the uninterrupted path that induces it
ཚད-མ	Definition: 1) a new and incontrovertible knower{GCT}, 2) that which contradicts and eliminates a false super-imposition by an unmistaken mode of apprehension with respect to a previously unrealized true thing {Cha-ba, GD:640}
ཚད-མིན-གྱི-ཤེས-པ	Definition: an awareness that is not new and incontrovertible
ཚོགས-ལམ	Definition: clear realization of doctrine
ཚོགས-སྤྱི	Def.: a coarse form which is an aggregation of its many parts {T}; the aggregate of several singles {GD:176}; extended matter that is composed of several parts {GD:176}
ཡིད-ཆེས-རྗེས-དཔག	Def.: a determinative knower that--in dependence upon its basis, a correct sign of belief--is non-mistaken with respect to its object of comprehension, a very hidden phenomenon
ཡིད-དབང	Definition: a mind that is an immediately preceeding condition of the empowering condition of its own uncommon effect, a mental consciousness
ཡིད-དཔྱོད	Definition: A knower which, although it one pointedly determines the phenomenon which is its main object of observation, does not get at an object with respect to which superimpositions have been eliminated
ཡིད-མངོན	Definition: an awareness that is non-mistaken and free from conceptuality which arises from its own uncommon empowering condition, a mental sense power
ཡིད-ཤེས	Definition: an awareness that arises in dependence upon its own uncommon empowering condition, a mental sense power
ཡིན-པ-མི-སྲིད-པ	Definition: its occurence does not exist
ཡིན-པ-མི-སྲིད-པའི-ཤེས-བྱ	Definition: its occurrence does not exist; and it is suitable as an object of an awareness
ཡིན-པ-སྲིད-པ	Definition: its occurrence is possible
ཡིན-པ-སྲིད-པའི-ཤེས-བྱ	Def.: its occurrence is possible; and it is suitable as an object of an awareness
ཡོད-པ	Definition: observed by a valid cognizer (or: by valid cognition)
ཡོངས-གྲུབ	Def.: a suchness that is an emptiness of either of the two selves {T}
ཡུལ	Definition: an object of knowledge by an awareness
