འམ	[C]vA; [C]athavA-api
འབྲས-བུ	phalatva. phala; [C,L,MSA,MV]phalatva. phala; [MSA]phalatva. phala
འབྲས-གནས	phala-stha; phala-sthita
འབྲས-མཆོག	[MSA]agra-phala
འབྲས-པུ	phala
འབྲས-ཡོད	[C]avandhya
འབྲས-བུ-འབྱིན	[MSA](√phal): phalasi
འབྲས-བུ-ཆེ	vRhatphala; bRhatphala
འབྲས-བུ-ལྔ	[MV]paJca-phala
འབྲས-བུ-མྱོང	[MSA]phalAnubhUti
འབྲས-བུ-ཐོབ	[C]phala-prApta
འབྲས-བུ-སྐྱེ-བ	[MSA]phalodaya
འབྲས-བུ-སྐྱེ-བའི-སྙོམས-འཇུག	*kAryasamApatti
འབྲས-བུ-ཡང-དག-པར-འགྲུབ-པ	[MSA]phala-samudAgama
འབྲས-བུ-ཡོད-པ	[MSA]abandhya
འབྲས-བུ-ཡོད-པར	[C]amogha(m); [C]avandhya
འབྲས-བུ-འཕེལ-བ	[MSA]phala-vRddhi
འབྲས-བུ-སངས-རྒྱས-ཉིད-མངོན-པར-འགྲུབ-པ	[MSA]buddhatva-phalAbhinirvartana
འབྲས-བུ-རྣམ-པ-བཞིའི-སྒྲིབ-པ	[MSA]phalAvaraNa (catur-vidha-)
འབྲས-བུ-མེད-པ	[MV]niSphala
འབྲས-བུ-འབྱོར-བ	[MSA]phala-samRddhi
འབྲས-བུ-མ-ཐོབ	[MV]aprApte-phala
འབྲས-བུ-ལྔ-བསྟན-པ	[MSA]paJca-phala-saMdarzana
འབྲས-བུ-ཐོབ-པའི-ཁྱད-པར	[MSA]phala-prApti-vizeSa
འབྲས-བུ-ཆོས-སྐུ	*phaladharmakAya
འབྲས-བུ-བྱང-ཆུབ-ཆེན-པོ	[MSA]mahA-bodhi-phala
འབྲས-བུ-ལ-གནས-པ	[N]phala-sthita
འབྲས-བུ-ལ-ཞུགས-པ	[N]phala-pratipannaka
འབྲས-བུ-ལྟར-འཚོ-བར	[C]phalopajIvya
འབྲས-བུ-ཆེ-བ	[MV]mahA-phala; vRhatphala
འབྲས-བུ-འཛིན-པའི-ཡོན-ཏན	[MSA]phala-parigraha-guNa
འབྲས-བུ-མངོན-པར-འགྲུབ-པ	[MSA]phalAbhinirvartana (e.g.: buddhatva-phalAbhinirvartana)
འབྲས-བུ-ཐུན-མོང-འདོད-པ-ཡིད-ལ-བྱེད	[MSA]sAdhAraNa-phalecchA-manasikAra
འབྲས-བུ-འབྱུང-བ	[MSA]phalodaya
འབྲས-བུ-ཆེན-པོ	[MSA]mahA-phala
འབྲས-བུའི-དོན	[MSA]phalArtha
འབྲས-བུའི-སྒོ-ནས-རིགས-ཁྱད-པར-བྱ-བ	[MSA]phalato gotra-vizeSaNaM
འབྲས-བུའི-ཐེག-པ	phala-yAna
འབྲས-བུའི-ངོ-མཚར-ཆེ-བ	[MSA]phalAzcarya
འབྲས-བུའི-གཏན-ཚིགས	[GD:278] kAryahetu
འབྲས-བུའི-དངོས-པོར-མེད	[MSA]phala-bhAvenAsat
འབྲས-མཆོག-ལྡན-པ	[MSA]parama-phalADhya
འབྲེལ-བ	[L]saMbaddha; [C]anubaddha; [C]avanaddha; [C]baddha; [C]saMbandha; [C]pinaddha
འབྲེལ-པ	saMbaddha. saMbandha. sahita; [LCh,MSA,MV]saMbaddha. saMbandha. sahita; [C]pratibandha; [MSA]abhisaMbandha; [MSA]lalitA; [MSA]zliSTa(tva); [MSA]saMbaddha. saMbandha. sahita; [MSA]saMbaddha. saMbandha. sahita; [MV]saMyoga
འབྲེལ-པའི-དབང	[MSA]saMbandha-vaza
འབྲེལ-བར-མ-ཡིན-པ	[C]asaMbandha
འབྲེལ-བ-བརྟག-པའི-རབ-ཏུ-བྱེད-པ	saMbandha-parIkSA-vRtti
འབྲེལ-བ-མེད-པའི-དོན	asamgatArtha
འབྲེལ-པས-སྡུག-བསྔལ-ཉིད	[MV]saMbandha-duHkhatA
འབྲི	[MSA]vyaya; Unatva; nyUna
འབྲི-བ	[MSA]Unatva; [MSA]nyUna
འབྲི-བ-ལ-བརྟེན-པ	[C]hIna-bhAgIya
འབྲི-དང-འཕེལ	[MV]hAnivRddhi
འབྲི-བར-མི-འགྱུར	[MSA]na ... avahIyate
འབྲི-ཞིང-འཕེལ-བ	[MV]hAnivRddhi
འབྲིང	madhya; [LCh,C,L,MSA]madhya; [MSA]vimadhyama
འབྲིང-བ	[MSA]madhya
འབྲིང-པོ	madhya; [MSA]madhya
འབྲིང-གི-འབྲིང	madhyamadhya
འབྲིང-གི-ཆེན-པོ	madhyAdhimAtra
འབྲིང-གི-ཆུང-ངུ	madhyamRdu
འབྲོག-མེ-ཤོར-བའི-གནོད-པ	[C]agnidAhe vartamAne
འབྲོག-དཀོན-པ	[C]aTavI-kAntAra
འབྲོག-དགོན-པ	aTavI-kAntAra; [C]aTavI-kAntAra
འབྲུ	dhAnya; [C]dhAnya; [C]yavA
འབྲུ-མར	taila; [L]taila
འབྲུག-གི	[C]jUmUta
འབྲུག-གི-སྒྲ-དབྱངས	[MSA]megha-svara-ghoSA
འབུ-ཅན-གྱི	[C]niruttamaka (=vipaDumaka); [C]vidhUtaka
འབུལ	(upa √gam): [MSA]upagamayati; [MSA]upagama
འབུམ	zata-sahasra; [L]zata-sahasra
འབུམ-ཕྲག	zata-sahasra; [L]zata-sahasra; [MSA]zata-sAhasrika
འབྱེད-པ	[N]racayati
འབྱེད-པར-བྱེད-པར-འགྱུར-ཏེ	[C]bhedaM prakSipati
འབྱིན	'bras bu 'byin = (√phal): [MSA]phalasi
འབྱིན-པ	[C]uddharati; [C]janayitrI; [MSA]udbheda (e.g.: udaka-dhAraNa-udbheda); [MV]dAna; [MSA]tshig ... 'byin pa = vacana
འབྱིན-པར-འགྱུར-རོ	[C]uddharati
འབྱོར	vibhutA
འབྱོར-འབྲེལ	yoga
འབྱོར-བ	saMpatti; [LCh]saMpanna; [MSA]saMpatti; [C,MSA]samRddhi; [MSA]vibhutva; [MSA]vibhUti; [MSA]zliSTa; [MSA]aupayika; saMpad
འབྱོར-པ	saMpatti. samRddhi; [MSA]vibhutva; [MSA]vibhUti; [MSA]aupayika; [MSA,MV]saMpatti. samRddhi; [MSA]saMpatti. samRddhi; [MSA]zliSTa; [C]samRdhyayati; saMpad
འབྱོར-རྒྱུ	[MSA]vibhutA-hetu
འབྱོར-བའི-དུས	[MSA]saMpatti-kAla
འབྱོར-བའི-ཡེ-ཤེས	[MSA]vibhutva-jJAna
འབྱོར-དང-མཐུན-སྤྱོད-ཡེ-ཤེས	[MSA]vibhutvAnucara ... jJAna
འབྱོར-པར-གྱུར-ཅིག	[C]samRdhyate; [C]samRdyantAm
འབྱུང	[LCh]saMbhava; (pra √bhU): [MSA]prabhavati; [MSA]prodbhUti; [C]-prabhAva; [C]prabhavo; [C]prAdurbhAva; [MSA]saMbhUta; (√jan): [MV]jAyate; [C]jAto; [L]jJato; [C]udaya; [C]-udaya; [C]niSkrAmati (=abhiniSkrAmati); [C]prasuta; [C]samAgamati (=prAdurbhavanti); [MV]utpatti; [MSA]utthAna; yang dag 'byung = samudAgama; [MSA]samudbhava
འབྱུང-འགྱུར	[C]saMbhavati; [C]upapadyati; [C]vartate
འབྱུང-བ	pravRtti. bhUta. utpatti. utpanna. utpAda; [LCh,MSA]pravRtti. bhUta. utpatti. utpanna. utpAda; [C]abhutI; [C]sambhava; [C]bhavati; [MV]prabhavata; [C]upapadyati; [C]pravRtti. bhUta. utpatti. utpanna. utpAda; [MSA,MV]pravRtti. bhUta. utpatti. utpanna. utpAda; [MV]pravRtti. bhUta. utpatti. utpanna. utpAda; [C]prasUta; [C]naiSkramya; [C]nairyANika; [C]nirvRtti; (pra √vRt): [MV]pravartate; [MV]pravRtti. bhUta. utpatti. utpanna. utpAda; [L]pravRt-; [MV]anusAra (e.g.: sUtra-anusAra); [MSA]niHsAra; [MSA]abhyudaya; [MV,MSA]udaya; [MSA]uccaraNa; [MSA]upari-pAta; [MSA]gata (e.g.: akSa-gata); [MSA]janmatva (e.g.: buddha-janmantva); [MSA]nizcaraNa; [MSA]nirdiSTa; [MSA,MV]prasava; [MV]samudAcAra; [MSA]vAhitA; [MSA]vAhitva; samutpAda
འབྱུང-བར	[C]prasuta
འབྱུང-གནས	[MSA]Akara
འབྱུང-ཁུངས	[LCh]Akara
འབྱུང-པོ	bhUta; [MSA]bhUta
འབྱུང-སྟེ	[C]prAdurbhavati
འབྱུང-ཡོད	[C]sambhava
འབྱུང-བའི-བྱེ-བྲག	bhUta-vizeSa
འབྱུང-བའི-བྱེད-རྒྱུ	[MV]utpatti-kAraNa
འབྱུང-པོའི-གདོན	[C]bhUta-grahA; bhUta-graha
འབྱུང-འགྱུར-བ	[C]saMbhavati; [C]Agamu; [C]utpatti
འབྱུང-འགྱུར-གྱི-རེག-བྱ	bhauta-spraSTavya ; bhautika-spraSTavya
འབྱུང-བ-ཆེ	[MSA]mahodaya
འབྱུང-བ-ཡིན	[C]prAdurbhUta
འབྱུང-བ-ལྷག-མ-རྣམས	[MSA]zeSAni bhUtAni
འབྱུང-བ-མེད-པ	[C]aprAdurbhAva; [C]asaMbhava
འབྱུང-བ-མ-མཆིས-པ	[C]na utthAna
འབྱུང-བ-མཆིས-པ	[C]utthAna
འབྱུང-བ-ཆེན-པོ	mahAbhUta
འབྱུང-བ-ཆེན-པོ-བཞི-པོ-དག	[MSA]mahA-bhUtAni (catvAri-)
འབྱུང-པོ-རྣམས-ཀྱི-འཇིགས-པ-སྤང-བ	[MSA]bhaya-prahANa (bhUtAnAM-)
འབྱུང-བས-བྱས-པ	[MSA]bhUta-kRta
འབྱུང-བར-འགྱུར	[C]utpattito bhavati; [C]utpadyate; [C]niryAti; [C]prAdurbhavati; [C]pracarati
འབྱུང-བར-གྱུར-པའི-རེག-བྱ	bhUta-spraSTavya
འབྱུང-བར-འགྱུར-བ	[C]utpadyante; [C]bhavati
འཆའ	(pra √jJA): [MSA]prajJapyate
འཆའ-བར-མཛད-པ	[MSA]prajJApayati
འཆབ-པ	[C]mrakSa
འཆད	[MV]upadiz-; [MV]upadizyante; [MSA]dezanA; [C]bhASate (=abhasate); sUcatI (=sUcayati); [MV]prakAzana; so sor 'chad par byed pa = [MSA]pratidezaka
འཆད-བྱེད	dezika[MSA]
འཆད-པ	[C]bhASyati; [C]sUcanA; [L]samuccitti; [C]ucchinna; [MV]prakAzana; [MV]vaktR
འཆད-ཚེ	[C]bhASyamANa
འཆད-པར-བྱེད	[C]AcakSIta; ( √diz): [MSA]dezyate; [C]dezika
འཆག	[C]saMkramam
འཆག-པ	[C]saMkramam
འཆག-པ-ལ-དད-ཆེར-མི-འགྱུར	[C](na) caMkramaNa-zIla (bhavati)
འཆགས	vivarta; so sor 'chags pa = [MSA]pratidezanA
འཆགས-པ	vivarta
འཆགས-པའི-དུས	[MSA]vivarta-kAla
འཆགས-པར-བྱེད-པ	[C]pratidezayati (=gRhIta-bodhicitta-parityAgAt = pratyApatti-balAt = kRta-pApadezanAn)
འཆལ-པ	tshul khrims 'chal pa = [MSA]duHzIla
འཆལ-ཚུལ-རྩོམ-པའི-དྲི-བྲལ	[MSA]dauHzIlyAbhoga-vaimalaya
འཆལ-པའི-ཚུལ-ཁྲིམས	[MSA]dauHzIlya
འཆལ-པའི-ཤེས-རབ	[MSA]dauSprajJya
འཆལ-བའི-ཤེས-རབ	[C]dauSprajJA
འཆལ-བ-ཚུལ-ཁྲིམས	[L]dauHzIlya
འཆང-བ	[C]dhArayanti; [MSA]dhArana
འཆར-བ	[C]udayAti
འཆི	[C]mriyate
འཆི-འཕོ	cyuti; [C]cyuti; [C] cyavana
འཆི-བ	maraNa; [LCh,C,MSA,MV]maraNa; [C]mriyate; [C]mRtyu; [C]marana; [C]cyavate
འཆི-མེད	[C]amRta
འཆི-བའི-ཚེ	[MSA]maraNa-kAla
འཆི-བའི-དུས-བྱས-པ	[C]kAla-gata
འཆི-བའི-དུས-བྱས-པར-གྱུར-ན	[C]kAla-gata
འཆི-བའི-གནས-སྐབས-ཀྱི-བར-དུ	[C]maraNa-avasthA
འཆི-འཕོ-བ-ཡང-མ-ཡིན	[C]acyuti
འཆི-འཕོ-བ-དང-སྐྱེ-བ-དང-མི-སྐྱེ-བ	[C]cyuty-upapatty-anupattitA
འཆི-འཕོ-དང-སྐྱེ-བ	[C]cyutopapatti
འཆི-བ-མི-རྟག-པ	maraNAnitya
འཆི-བ-མེད-པའི-སྒོ	[C]amRtasya-dvAra
འཆིང-བ	bandhana; bandhana[LCh,C,MSA]
འཆིང-བར-འགྱུར	[C]badhyate
འཆོས	tshul 'chos = [MSA]kuhanA; legs par 'chos pa = [MSA]praNihita
འདའ	[C]atikrAmati
འདའ-བ	[C]vyativartate (=atikrAmati = vivardhate); [C]atikramaNa; [C]atikrAmati; [MSA]ativartana
འདའ-བར-འགྱུར	[C]atikrAmati
འདའ-བར-བྱེད	[C]atikrAmati
འདའ-བར-མི-བྱ-བ	[C]anuttaraNa
འདའ-བར-བྱ-བ	[C]uttaraNa
འདབ	[C]pattra (=parNa)
འདབ-ཆགས	[C]pakSin; [MSA]pakSa-vAta
འདབ-མ	[C]pattra; [C]palAza; [C]dala
འདབ-ཆགས-བྱ	[C]pakSin
འདབ-གཤོག-ཟད	[C]kSiNa-pakSo
འདམ-ལས	[C]paGka
འདམ-ལས-བརྒ-བ	[C]paGka
འདམ-ལ-ཆགས	[C]paGka-sakta
འདས	[C]atikrAmati; [MSA]atikrama; [C,MSA]atIta
འདས-ནས	[C]atikramya (=ullaNghya); [C]atyayena (=parinivANena)
འདས-པ	atIta; [C,MSA,MV]atikrama; [C,MV,MSA]atIta; [C]samuttIrNa
འདས-ཤིང	[C]atIta; [C]uttIrNatva
འདས-པ-དང-མ-འདས-པ-དང-ད-ལྟ-བྱུང-བ	[MSA]atItAnAgata-pratyutpanna
འདས-པ-དང-ད-ལྟར-བྱུང-བ	[MSA]atIta-pratyutpanna
འདས-པ-ལ-སོགས-པར-དབྱེ-བ	[MSA]atItAdibheda
འདས-བྱས-ནས	[C]atikramya
འདས-སྨྲ-བ	lokottara-vAdin
འདས-དུས-སྔོན-གྱི	[C]purimAdhvatIta
འདེའི-རིགས-ཅན	[C]taj-jAtikam
འདེབས-པ	[MV]ropaNa; [C]praharaNa; [MSA]praNidhAnaM kariSyanti; [MSA]smon lam 'debs pa = praNidadhAti
འདེགས-པ	[C]utkSipai
འདེས-པ	[C]pezala
འདི-དག	[C]ayu (=ayam)
འདི-ལ	[C]atas
འདི-ལས	[C]anu; [C]itu
འདི-ལྟར	tathA hi; [MV 2.14]tathA hi; [MV]yatas; [MV]yatas ... tatas; [MV 5.2]yad uta; [MV 1.4]yasmAt; [C]evaM pravRtta
འདི-སྙེད	[MSA]iyat
འདི-ལྟ-བུ	IdRza; [MSA]IdRza
འདི-ལྟ-སྟེ	yad uta; [L]tadyathA; [MV 2.14]ayam; [MV 1]yad uta
འདི-ལྟ-སྟེ-དཔེར-ན	[L]tadyathA
འདི-ལྟ-འདི-ལྟར-གྱུར-ཅིག	[MSA]evaM caivaM ca syAm
འདི-དག-ཕན-ཚུན	[L]anyonya
འདི-དག-གཞན-པ	[C]aihika-amutrika
འདི-དག-ཀུན-རྟོག-པ-ཙམ	[MSA]kalapanA-mAtraM sarvam etad
འདི-སྙམ-དུ-སེམས	evaM bhavati; [C]evaM bhavati
འདི-སྙེད-དུ-ཆེས-ལྕི-སྟེ	[C]tAvad-gurutara
འདི-ལྟར-འདས-པ	[C]ity-uktaka
འདིར	[MSA]iha
འདོད	[C]kAmatA; [C]spRhA; [C]spRhate; [C,MSA]mata; (√kAGkS): [MSA]kAGkSanti; [C]AkAGkSamAna; [C]AkAGkSati; [C]abhilASin; [MSA; Xyl: 'dor; 'dar](abhi √nand): abhinandati; [MV]iccha; [MV]iSTa; [MV 1.4]iSyate; [C]icchA; [MV]ruci; [MV]abhipreta; [C]abhipraya; [MSA](A √zaMs): AzaMsante
འདོད-ཆགས	rAga; [C,MV,MSA]rAga; tRSNA
འདོད-ཆུང	[C]alpecchatA
འདོད-དགུ	[MSA]kAma; [L]anukAma
འདོད-ཁམས	[LCh,]kAma-dhAtu
འདོད-ལྡན	[MSA]kAmin
འདོད-པ	kAma. spRhA. ruci. abhiprAya. abhipreta. abhilASa. arthika. arthitva. icchA. iSTa. eSin; [LCh,MSA,MV,C,L]kAma. spRhA. ruci. abhiprAya. abhipreta. abhilASa. arthika. arthitva. icchA. iSTa. eSin; [C]spRhatA; [C]spRhayate (=spRhet); [C,MSA]kAma. spRhA. ruci. abhiprAya. abhipreta. abhilASa. arthika. arthitva. icchA. iSTa. eSin; [C]chandikatA; [C,N]kAma. spRhA. ruci. abhiprAya. abhipreta. abhilASa. arthika. arthitva. icchA. iSTa. eSin; [C]icchati; [LCh,C,MSA]kAma. spRhA. ruci. abhiprAya. abhipreta. abhilASa. arthika. arthitva. icchA. iSTa. eSin; [C,N]iSyate; [MSA]eSitA; [MSA]kAma. spRhA. ruci. abhiprAya. abhipreta. abhilASa. arthika. arthitva. icchA. iSTa. eSin; [N]abhyupagama; (A √kAGkS): [MSA]AkAGkSati; [MSA]AkAGkSaNa; [C]AkAGkSamAna; [C]kAma. spRhA. ruci. abhiprAya. abhipreta. abhilASa. arthika. arthitva. icchA. iSTa. eSin; [MV]kAma. spRhA. ruci. abhiprAya. abhipreta. abhilASa. arthika. arthitva. icchA. iSTa. eSin; [MSA]prArthita; [C,N]abhimata; [C]kAma. spRhA. ruci. abhiprAya. abhipreta. abhilASa. arthika. arthitva. icchA. iSTa. eSin; [MSA]kAma. spRhA. ruci. abhiprAya. abhipreta. abhilASa. arthika. arthitva. icchA. iSTa. eSin; [MV,MSA,N]kAma. spRhA. ruci. abhiprAya. abhipreta. abhilASa. arthika. arthitva. icchA. iSTa. eSin; [MV]kAma. spRhA. ruci. abhiprAya. abhipreta. abhilASa. arthika. arthitva. icchA. iSTa. eSin
འདོད-རྒྱལ	[N]yAdRcchika
འདོད-ཡོན	[LCh]kAma-guNa
འདོད-པའི-ཁམས	kAma-dhAtu; [C,MSA]kAma-dhAtu
འདོད-པའི-ལས-ཅན	[C]iccha-karmAM
འདོད-པའི-རྒྱུ-ཉིད	[MSA]iSTa-hetutva
འདོད-པའི-ཡོན-ཏན	kAma-guNa; [LCh,C]kAma-guNa
འདོད-པའི-འབྲས-བུ-དོན-མི-གཉེར	[MSA]neSTaM phalaM prArthitaM; [MSA]iSTa phalaM prArthitaM
འདོད-པའི-འདོད-ཆགས	kAma-rAga; [MSA]kAma-rAga
འདོད-པ-བསྐྱེད	[C]spRheti
འདོད-པ-བཞིན	[C]nikAma
འདོད-པ-ཅན	kAmin; [MSA]kAmin
འདོད-པ-ཆུང	[C]alpeccha
འདོད-པ-མེད	[MSA]gata-spRha
འདོད-པ-ཉུང	[C]alpeccha
འདོད-པ-མ-མཆིས-པ	[C]aspRhaNata
འདོད-པ-གཞན-གྱི-དབང-ཉིད	[MV]iSTe pAratantryaM
འདོད-པ-དང-གཟུགས-དང-གཟུགས-མེད-པ-ན-སྤྱོད-པ	[MV]kAma-rUpArupyAvacara
འདོད-པ-ལ-མངོན-པར-ཆགས-པ	[C]kAma-abhiSvaGga (=abhiniveza)
འདོད-པ-ལ-འདུན-པ	kAmacchanda
འདོད-པ-ལ-ཡོངས-སུ-ལོངས-སྤྱོད-པ	[MSA]kAma-paribhoga
འདོད-པ-ལ-ལོག-པར-གཡེམ-པར-བྱེད	[C]kAmeSu mithyA-carati
འདོད-པ-ལ-ལོག-པར-གཡེམ-པར-མི-བྱེད	[C]na kAmeSu mithyA-carati
འདོད-པ-ཡིད-ལ-བྱེད-པ	[MSA]abhilASa-manaskAra
འདོད-པ-བཞིན-མ	[C]anikAma
འདོད-པ-བསྐྱེད-པ	[C]icchati
འདོད-པ-ཉུང-པ	[C]alpeccha
འདོད-པ-ཇི-ལྟ-བར	[MSA]yathAbhiprAyaM
འདོད-པ-ན-སྤྱོད-པ	[C]kAma-avacArA
འདོད-ཆགས-ཆེན-པོ	[C]mahA-rAga
འདོད-ཆགས-ཆོས-ལས-སྤྱོད-པ	[C]rAga-dharma-carita
འདོད-ཆགས-པར-བྱེད	[C]rajyate
འདོད-ཆགས-བྲལ-བ	[C]virAga; [C]vIta-rAga
འདོད-ཆགས-མེད-པ	arAga
འདོད-ཆགས-སྤྱོད-པ	rAga-carita; [MSA]rAga-carita; [MSA]rAge caritaM
འདོད-ཆགས-སྤྱོད-པའི-སྒྲིབ-པ	[MSA]rAga-carita ... AvaraNa
འདོད-ཆགས-དང-བྲལ-བ	virAga. vIta-rAga. vairAgya; [C,MSA]virAga. vIta-rAga. vairAgya; [C,MSA]virAga. vIta-rAga. vairAgya; [MSA]virAga. vIta-rAga. vairAgya
འདོད-ཆགས-དང-བྲལ-བར-བྱེད	[C]virajyate
འདོད-ཆགས-དང-བྲལ-བར-འགྱུར-བ	[C]virajyate
འདོད-ཆགས-དང-བྲལ-བར-བགྱི-བ	[C]virAga
འདོད-ཆགས-དང-བྲལ-བའི-ས	[C]vItarAga-bhUmi
འདོད-ཆགས-དང-བྲལ-བ-མེད-པ	[C]aviraktatA
འདོད-ཆགས-དང-མ-རིག-པ	[MSA]rAgAvidyA
འདོད-ཆགས-དང-མ-བྲལ-བ	[MSA]avIta-rAga
འདོད-ཆགས-ལ-སོགས-པ	[MSA]rAgAdi
འདོད-ཆགས-མང-བ	[MSA]bahu-rAgatva
འདོད-ཆགས-པ-མེད-ཅིང	[C]arakta
འདོད-བསྐྱེད-ན	[C]spRhAM janeti
འདོད-ཁམས-ཀྱི-ལྷ	kAma-dhAtu-deva
འདོད-པས-ལོག-པར-སྤྱོད-པ	[C]kAma-mithyA-cAra
འདོད-པས-ལོག-པར-གཡེམ-པ	kAma-mithyA-cAra; [C]kAma-mithyA-cAra; kAmamithyAcArA
འདོད-པར-བྱ	[C]icchati
འདོད-པར-སྐྱེ	[MSA]janma kAme
འདོད-པར-བྱ-བ	[C]spRhaNIya
འདོད-ལ-མ-ཆགས	[MSA]kAmeSv asaktaH
འདོད-དགུ-ཐོབ-པ	[MSA]iSTa-nikAma-labdha
འདོག-པ	[C]prakAzayati
འདོག-པར-མཛད	[C]vyAhRta
འདོགས	[MSA,L](pra √jJA): prajJApayati
འདོགས-པ	prajJapti; (pra √jJA): [MSA,L]prajJApayati; [MSA]prajJapti; prajJaptiH
འདོགས-པར-བྱེད	[MSA]prajJApayati (pra √jJA)
འདོགས-པར-མཛད-དོ	[C]prajJapayati (=eka-rUpeNa vyavasthApayati)
འདོགས-པར-མི-བྱེད	[C]aprajJApayan
འདོགས-པའི-ཚིག	prajJapti-vAda; [L]prajJapti-vAda
འདོམ	[C]vyAma
འདོམས	upastha
འདོམས-པ	avavAda; [MSA]avavadana; [MSA]avavAda; [MSA]upadeza
འདོམས-ཤིང	[C]avavadati
འདོམས-ཀྱི-སྦ-བ-ནུབ-པའི-མཆོག	[C]uttamavasti-guhya
འདོན	[L]uddezayanti; [MSA]arthopagamana; [MSA]upagamana
འདོན-པ	[MSA]arthopagamana; [MSA]upagamana; [L]uddezayanti
འདོན-པར-འདོད-པ	[C]uddhartu-kAma
འདོན-པར-ཡང-བྱེད	[L]uddezayanti
འདོར	[C]utsRjati; [C]tyajati; [C]ujjhati; [MSA](apa √nI): apanayati; (√ric): [MSA]riJcanti; [C]riJcati
འདོར-བ	[C]parityajati; [C]parimokSaNa; [C]niryUhika; (ut √sRj): [C]utsRjati; [MV]utsRjati; [MSA]nikSepaNa; [C]kSepaNa; [MSA]apagama
འདོར-ལེན	[MSA]tyAgAdAna
འདོར-བར-འགྱུར	[C]pratiniHsRjati (=AzrayabalAt); [C]riJcati
འདོར-བར-བྱེད	[C]takSati
འདོར-བར-བགྱིད-པ	[C]niryUhika
འདོར-བ-མེད-པ	[C]anavakAra
འདོར-བ-མེད-པ-སྟོང-པ-ཉིད	[C]anavakAra-zUnyatA
འདྲ	[MSA]sadRza; [C]tadvat; [C]tulya; [C]Abha; [MSA]iva; [MSA]prakhya; [MSA]saMnibha
འདྲ-བ	sadRza. sAdRzya; [MSA]aupamya; [MSA]kalpa; [MSA]tulya; [MSA]pratibimbaka; [MSA]yathA; [MSA]mi 'dra ba = vailakSaNya; sadRza. sAdRzya [GD:227];
འདྲ-བར	[C]tulya
འདྲ-བར-འགྱུར	[C]tulya
འདྲ-རིང-བར-འཚམ	[C]anupUrvatA
འདྲེ	pizAca
འདྲེ-བར	[C]saMkIrNa
འདྲེ-པ	[C]saMkIrNa
འདྲེ-བའི-བཟོ	[C]dAru-yantro
འདྲེ-བ-མེད-པ	[C]asaMkIrNa
འདྲེག	[C]utkSipati
འདྲེན	[MSA]AvAhana; [MSA](pari √kRS): parikRSyate
འདྲེན-པ	[C]nAyaka; [C]nAyika; [C]nara-nAyaka
འདྲེན-པའི-ཐབས	[MSA](ud √dhR) uddhartum upAyaH
