འབད-པ	compare: {རྩོལ་བ}, exertion; {བརྩོན་འགྲུས}, effort
འདོད-ཁམས	one of the three realms in Buddhist cosmology; the others are: form realm (gzugs khams, rUpa-dhAtu); and formless realm (gzugs med khams, arUpya-dhAtu)
འདོད-སེམས	i.e., a mind of a being in the desire realm ('dod khams)
འདོད-པའི-ཁམས	one of the three realms in Buddhist cosmology; the others are: the form realm (gzugs khams, rUpa-dhAtu) and the formless realm (gzugs med khams, arUpya-dhAtu)
འདོད-ཆགས-མེད-པ	Comment: This is one of the eleven virtuous mental factors (sems byung dge ba, kuzalacaitta): (1) faith (dad pa, zraddhA); (2) shame (ngo tsha shes pa, hrI); (3) embarrassment (khrel yod pa, apatrApya); (4) non-attachment (ma chags pa, alobha); (5) non-hatred (zhe sdang med pa, adveSa); (6) non-ignorance (gti mug med pa, amoha); (7) effort (brtson 'grus, vIrya); (8) pliancy (shin tu sbyangs pa, prasrabdhi); (9) conscientiousness (bag yod pa, apramAda); (10) equanimity (btang snyoms, upekSA); (11) non-harmfulness (rnam par mi 'tshe ba, avihiMsA).
འདོད-ཆགས-དང-བྲལ-བའི-ས	one of the eight grounds of the Lesser Vehicle ?? (T)
འདྲེས-མ	get ex from Ship 74a.7 SW added this entry
འདྲིལ-པ	see: {དྲིལ}
འདུ-ཤེས	one of the five omnipresent mental factors (kun 'gro lnga, paJca-sarvatraga); for others see: {ཀུན་འགྲོ}
འདུ-བྱེད-ཀྱི-ལས	the second of the twelve links of dependent-arising
འདུག-སྟངས	add "gz" as abbreviaton for Ship at beginningSW added this entry; needs Tib sort code
འདུལ-བ	one of the five main divisions of study in Tibetan Ge-luk-ba monasteries; the others are: valid cognition (tshad ma, pramANa); perfection of wisdom (phar phyin, prajJA-pAramitA); the middle way school (dbu ma, mAdhyamaka); and the Compendium of Knowledge (chos mngon mdzod, abhidharma-koza)
འདུལ-བའི-དབང-གིས	through the force of taming; Comment: Jik-may-dam-chö-gya-tso reports that D#ra-d#i Ge-s#hay Rin-chen-dön-drup (pra sti dge bshes rin chen don grub) interprets "through the force of taming" as "through the force of taming trainees having the lineage of the Middle Way School by means of the literal reading" (gdul bya dbu ma pa'i rigs can sgras zin des 'dul ba'i dbang gis). However, Jik-may-dam-chö-gya-tso points out that D#zong-ka-b#a himself in the section on the Consequence School of the Essence of Eloquence glosses "through the force of taming" with "through the force of trainees' thought" (gdul bya'i bsam pa'i dbang gis). It seems to me that both interpretations are suitable.
འདུན	see: {འདུན་པ}
འདུན-པ	one of the five determining factors (yul nges lnga, paJca-viSaya-pratiniyama); for others see: {ཡུལ་ངེས}
འདུས-བྱས	refers to a phenomenon which is produced in dependence upon an aggregation of causes
འདུས-པ	compare: tshog pa (collection) and bsags pa (composite)
འདུས-བྱས-ཐམས-ཅད-མི-རྟག-པ	one of the four seals (that determine whether a doctrine is Buddhist, the phyag rgya bzhi); for others see: {ཕྱག་རྒྱ}
འདུས-མ-བྱས	Comment: See 'dus ma byas kyi chos.
འཛག-པ	Tenses from Thumi, p.224 (T)
འཛམ-བུ-གླིང	'dzam bu gling; Comment: In Buddhist cosmology there are four large continents, each of which has two smaller continents (gling phran brgyad) next to it: In the center, is the monarch of mountains, ri rab (meru). The four continents and eight smaller continents are (1) shar lus 'phags po (videha), the eastern continent "land of [those with] superior/large bodies" with lus (deha) and lus 'phags (videha); (2) lho 'dzam bu gling (jambudvIpa), the southern continent "Jambu-tree land" with rnga yab (cAmara) and rnga yab gzhan (aparacAmara); (3) nub ba blang spyod (godanIya) the western continent "land of using cattle" with g.yo ldan (sAthA) and lam mchog 'gro (uttaramantriNa); (4) byang sgra mi snyan (kuru), the northern continent "land of unpleasant sound" with sgra mi snyan (kurava) and sgra mi snyan kyi zla (kaurava). Surrounding all of these is an outer rim of iron mountains.
འཛིན	another example is d;$r-zjZh]-s#n-p-[[-f*[! (bzung 'dzin rdzas tha dad med/) "subject and object do not exist as different substantial entities" (T)
འཛིན-རྣམ	definition of self-knower (rang rig)
འཛོམ	get ex. from Ship; Tshig SW added this record
འཛོམས-པ	get ex. from Ship; Tshig SW added this record
འཛུམ-དམུལ-སྣུལ	Check entry: snul (T)
འགལ-མེད-མྱུར-དུ-བསྐོར-བ-ལ-བརྟེན-ནས-འགལ-མེད-འཁོར-ལོར-སྣང-བའི-དབང-ཤེས	Comment: This is an illustration of non-conceptual counterfeit direct preception which is a sense consciousness and whose cause of error exists in the object (dbang shes su gyur pa'i 'khrul rgyu yul la yod pa'i rtog med mngon sum ltar snang).
འགལ-ཁྱབ-རྣལ-མ	Comment: One of the four types of normative Check Kathy pervasion (khyab pa rnal ma bzhi); an illustration of this type of reasoning is: Whatever is a definiendum is necessarily not permanent (mtshon bya yin na / rtag pa ma yin pas khyab pa).Check Kathy
འགལ-ཁྱབ-ཕྱིན-ཅི-ལོག	Comment: One of the four types of perverse pervasions (khyab pa phyin ci log bzhi); an illustration of this type of reasoning is: whatever is a definiendum is necessarily not not-permanent (mtshon bya yin na / rtag pa ma yin pa ma yin pas khyab pa).Check Kathy
འགོ	Comment: See mgo.
འགོ-བ	Comment: See mgo.
འགྲེལ-བཤད	Comment: For instance, JayAnanda's Explanatory Commentary on CandrakIrti's autocommentary to his Supplement to (NAgArjuna's) "Treatise on the Middle."
འགྲེལ-རྐང	Comment: As in the "one hundred and eight" bases of exposition in the Perfection of Wisdom SUtras.
འགྲེལ-པ-བུདདྷ-པཱ-ལི-ཏ	Comment: The author's name has come to be included in the title.
འགྲེལ-པ-དོན-གསལ	Comment: A commentary on Maitreya's AbhisamayAlaMkAra (Ornament for Clear Realization), which is a commentary on the ASTasAhasrikAprajJApAramitAsUtra (Eight Thousand Stanza Perfection of Wisdom SUtra).
འགྲོ-བ-མེད-དོ	check synonym (T); (PH) There is no corrsponding entry for (rnam par grol ba med do) ?without - liberation?\nJH: I'm lost; we are no longer doing syn. What is PH saying??
འགྲོང	check tenses
འགྲོས-གསུམ-པར-སྐྱེ-བ	production in three types; Comment: This is one of the three assertions concerning mental direct perceptions indicated on this occasion (skabs 'dir bstan gyi yid mngon): production only at the end of a continuum (rgyun mtha' kho nar skye ba); alternating production (spel mar skye ba); and production in three types ('gros gsum par skye ba).
འགྲུབ	See: grub, grub pa.
འི	Comment: One of five genitive particles—gi, kyi, gyi, 'i, yi.
འིས	instrumental; Comment: One of five instrumental particles—gis, kyis, gyis, 'is, yis.
འཇམ-མགོན	Comment: According to S#er-s#hül L#o-sang-pün-tsok, "smooth" ('jam, maJju) indicates that MaJjushrI is devoid of the roughness of the obstructions to liberation from cyclic existence and the roughness of the obstructions to omniscience. This is not the Bodhisattva MaJjushrI but the one that is the physical manifestation of the wisdom of all Buddhas.
འཇིག	Check Tenses (T)
འཇིག-པ	Comment: definition of compounded phenomenon ('dus byas)\nCheck tenses (T)
འཇིག-ཚོགས	See: {འཇིག་ལྟ}
འཇིག-ཚོགས-ལ-ལྟ-བའི-བག-ཆགས	Comment: In Mind-Only, these are predispositions causing generation of the afflicted intellect(nyon yid, kliSTamanas) viewing the mind-basis-of-all (kun shes rnam shes, Alayavijnana) and thinking, "I."
འཇིག-མེད-གནས	variant for 'jigs med gnas, or 'jigs med ri la gnas pa
འཇིག-རྟེན-ལ-གྲགས-པ	division of rags pa, also see: {བསྟན་བཅོས་ལ་གྲགས་པ}
འཇིག-རྟེན-ལས-འདས-པའི-སེམས-ཙམ	Comment: A syncretic system propounded by Dol-b#o-b#a S#hay-rap-gyel-tsen. Synonyms include Ultimate Mind-Only (don dam pa'i sems tsam), Final Mind-Only (mthar thug gi sems tsam), and Great Middle Way (dbu ma chen po).
འཇིགས-པ-ལྔ	These are: (1) fear of giving away all one has and becoming destitute; (2) fear of sacrificing one's reputation; (3) fear of sacrificing oneself because one is afraid of death; (4) fear of falling into evil; (5) fear of addressing an assembly, especially of men of high position\nShould these be put into divisions?? (T)
འཇིགས-པ-ལྔ-ལས-ཡང-དག-པར-འདས-པ	See previous entry
འཇོག-བྱེད-གཞན-ལ-མ-ལྟོས-པ	one of the three types of natural pervasion (rang bzhin khyab pa); for others see: rang bzhin khyab pa. Comment: This is one of the three attributes of inherent nature (rang bzhin khyad par gsum): (1) its entity is not produced by causes and conditions (ngo bo rgyu rkyen gyis ma bskyed pa); (2) it does not rely upon another means of positing it ('jog byed gzhan la ma ltos pa); (3) its state does not change into something else (gnas skabs gzhan du mi 'gyur ba).
འཇོམས	SW added "overcome" to Eng. definitions
འཇོམས-པ	SW added "overcome" to Eng. definitions
འཇུག	Other examples: snyoms par 'jug lang byed nus pa dang -- one is able to enter into and arise from ...(TGP 86); dkyil 'khor du bcug nas -- having ushered him into the maNDala,(Ship 62a.2); de'i shugs dang ldan par 'jug pa mi 'gal -- it is not contradictory that it operates within possessing the force of that(TGP 8); ldang 'jug gnas gsum kyi gdangs -- the tone of the three: exhalation, inhalation, and retention
འཇུག-སེམས	Compare: {སྨོན་སེམས}, aspirational mind of enlightenment
འཁོན	Comment: See next entry.
འཁོན-འཛིན	upanAha; resentment; Comment: This is one of the twenty secondary afflictions (nye nyon nyi shu, upakleza): (1) belligerence (khro ba, krodha); (2) upanAha ('khon 'dzin, upanAha); (3) concealment ('chab pa, mrakSa); (4) spite ('tshig pa, pradAsa); (5) jealousy (IrSyA); (6) miserliness (mAtsarya); (7) deceit (sgyu, mAyA); (8) dissimulation (g.yo, zAThya); (9) haughtiness (rgyags pa, mada); (10) harmfulness (rnam par 'tshe ba, vihiMsA); (11) non-shame (ngo tsha med pa, AhrIkya); (12) non-embarrassment (khrel med, anapatrApya); (13) lethargy (rmugs pa, styAna); (14) excitement (rgod pa, auddhatya); (15) non-faith (ma dad pa, Azraddhya); (16) laziness (le lo, kausIdya); (17) non-conscientiousness (bag med pa, pramAda); (18) forgetfulness (brjed nges pa, muSita-smRtitA); (19) non-introspection (shes bzhin ma yin pa, asaMprajanya); (20) distraction (rnam par g/yeng pa, vikSepya).
འཁོར-གསུམ	Comment: A logical term used when the opponent has been boxed in. The three are to have asserted either explicitly or implicitly (1) the entailment/pervasion (khyab pa khas blangs pa red), (2) the reason (rtags khas blangs pa red), and (3) the opposite of the predicate of the consequence (gsal ba'i zlogs phyogs khas blangs pa red). Spoken or shouted in debate by the challenger to indicate that the opponent cannot deny the reason or the pervasion, yet cannot accept the "thesis" of the consequence.
འཁོར-སྒྱུར	universal monarch; Comment: A universal monarch rules by way of a wheel.
འཁོར-ལོས-སྒྱུར-བ	universal monarch; Comment: A universal monarch rules by way of a wheel.
འཁོར-ལོ-སྒྱུར-བ	universal monarch; Comment: A universal monarch rules by way of a wheel.
འཁོར-བའི-མངོན-མཐོ	Comment: The term mngon mtho (abhyudaya) refers to elevated (ud) states, i.e., the happinesses, of humans and gods relative to animals, hungry ghosts, and hell-beings within the five types of lives in cyclic existence.
འཁྲུལ-བ-རྟོག-པ	Comment: An instance of this is a conceptual consciousness apprehending sound as permanent (sgra rtag 'dzin rtog pa). This is one of the seven types of facsimiles of direct perception (mngon sum ltar snang): mistaken conceptions ('khrul ba'i rtog pa), conventional conceptions (kun rdzob kyi rtog pa), inferential conceptions (rjes dpag gi rtog pa), conceptions arisen from inference (rjes dpag las byung ba'i rtog pa), memory conceptions (dran pa'i rtog pa), wishing conceptions (mngon 'dod kyi rtog pa), and non-conceptual facsimilies of direct perception (rtog med mngon sum ltar snang).
འཁྲུལ-རྒྱུ-རྟེན-ལ-ཡོད-པ	Comment: An instance of this is a sense consciousness to which, in dependence upon the eyes [which are the basis of an eye consciousness] being affected by opthamalia, one moon appears as two (mig rab rib kyis bslad pa la brten nas zla gcig zla gnyis su snang ba'i dbang shes). This is one of the seven types of facsimiles of direct perception (mngon sum ltar snang): mistaken conceptions ('khrul ba'i rtog pa), conventional conceptions (kun rdzob kyi rtog pa), inferential conceptions (rjes dpag gi rtog pa), conceptions arisen from inference (rjes dpag las byung ba'i rtog pa), memory conceptions (dran pa'i rtog pa), wishing conceptions (mngon 'dod kyi rtog pa), and non-conceptual facsimilies of direct perception (rtog med mngon sum ltar snang). Among these, this is one of the four non-conceptual facsimiles check Kathy: bogus/fake? of direct perception which are sense consciousnesses (dbang shes su gyur pa'i rtog med mngon sum ltar snang).
འཁྲུལ-རྒྱུ-གནས-ལ-ཡོད-པ	Comment: An instance of this is an eye consciousness which, in dependence upon one's abiding in a boat, sees trees as moving (grur zhugs pa la brten nas ljon shing 'gro bar snang ba'i dbang shes). This is one of the seven types of facsimiles of direct perception (mngon sum ltar snang): mistaken conceptions ('khrul ba'i rtog pa), conventional conceptions (kun rdzob kyi rtog pa), inferential conceptions (rjes dpag gi rtog pa), conceptions arisen from inference (rjes dpag las byung ba'i rtog pa), memory conceptions (dran pa'i rtog pa), wishing conceptions (mngon 'dod kyi rtog pa), and non-conceptual facsimilies of direct perception (rtog med mngon sum ltar snang). Among these, this is one of the four non-conceptual facsimiles check Kathy: bogus/fake? of direct perception which are sense consciousnesses (dbang shes su gyur pa'i rtog med mngon sum ltar snang).
འཁྲུལ-རྒྱུ-དེ-མ-ཐག-རྐྱེན-ལ-ཡོད-པ	Comment: An instance of this is a sense consciousness to which the area appears as red in dependence upon the mind's being disturbed by anger (yid zhe sdang gis dkrugs pa la brten nas sa gzhi dmar por snang ba'i dbang shes). This is one of the seven types of facsimiles of direct perception (mngon sum ltar snang): mistaken conceptions ('khrul ba'i rtog pa), conventional conceptions (kun rdzob kyi rtog pa), inferential conceptions (rjes dpag gi rtog pa), conceptions arisen from inference (rjes dpag las byung ba'i rtog pa), memory conceptions (dran pa'i rtog pa), wishing conceptions (mngon 'dod kyi rtog pa), and non-conceptual facsimilies of direct perception (rtog med mngon sum ltar snang). Among these, this is one of the four non-conceptual facsimiles check Kathy: bogus/fake? of direct perception which are sense consciousnesses (dbang shes su gyur pa'i rtog med mngon sum ltar snang).
འཁྲུལ-རྒྱུ-ཡུལ-ལ-ཡོད-པ	Comment: An instance of this is a consciousness to which a firebrand wheel appears in dependence upon quickly turning a fire brand ('gal med myur du skor ba la brten nas 'gal med 'khor lor snang ba'i dbang shes). This is one of the seven types of facsimiles of direct perception (mngon sum ltar snang): mistaken conceptions ('khrul ba'i rtog pa), conventional conceptions (kun rdzob kyi rtog pa), inferential conceptions (rjes dpag gi rtog pa), conceptions arisen from inference (rjes dpag las byung ba'i rtog pa), memory conceptions (dran pa'i rtog pa), wishing conceptions (mngon 'dod kyi rtog pa), and non-conceptual facsimilies of direct perception (rtog med mngon sum ltar snang). Among these, this is one of the four non-conceptual facsimiles check Kathy: bogus/fake? of direct perception which are sense consciousnesses (dbang shes su gyur pa'i rtog med mngon sum ltar snang).
འོ-བརྒྱལ	SW added this record
འོད-བྱེད	third of the ten Bodhisattva Superior grounds; for others see: {བྱང་སེམས་འཕགས་པའི་ས}
འོད-གསལ	Comment: This is the fifth of the six stages of the completion stage in the GuhyasamAja system of Highest Yoga Tanta: physical isolation (lus dben), verbal isolation (ngag dben), mental isolation (sems dben), illusory body (sgyus lus), clear light ('od gsal), union (zung 'jug).
འོད-འཕྲོ-བ	fourth of the ten Bodhisattva Superior grounds; for others see: {བྱང་སེམས་འཕགས་པའི་ས}
འོད-འཕྲོ-ཅན	fourth of the ten Bodhisattva Superior grounds; for others see: {བྱང་སེམས་འཕགས་པའི་ས}
འོད-འཕྲོ-བ-ཅན	fourth of the ten Bodhisattva Superior grounds; for others see: {བྱང་སེམས་འཕགས་པའི་ས}
འོད-བྱེད-པ	third of the ten Bodhisattva Superior grounds; for others see: {བྱང་སེམས་འཕགས་པའི་ས}
འོལ-པ	Comment: a big black bird that sweeps down on rabbits or small sheep and carries them away
འཕགས-པ	Comment: someone who has cognized emptiness directly and thus has risen above the state of a common being.
འཕགས-པའི-ལམ-ཡང-ལག-བརྒྱད-པ	These are: correct views, realization, speech, aims of actions, livelihood, effort, mindfulness, and meditative stabilization; they are attained with the path of meditation
འཕགས-པ-ལྷ	p.n. of the great MAdyamaka philosopher
འཕར-བ	Comment: a little bigger than a dog, has very bright fur, and moves in packs with the animals jumping back and forth over each other
འཕེན-བྱེད-ཀྱི-ལས	one of the two types of fruitional cause (rnam smin kyi rgyu); the other is completing karma (rdzogs byed kyi las)
འཕོ	Should "emission" (ex.4) be included in English? (T)
འཕོ-བར-སྨྲ-བ	one of the eighteen sub-schools of the VaibhAShikas; according to BhAvaviveka it is one of the seven SarvAstivadin schools; see Meditation on Emptiness, pp.339-340 (T)
འཕྲད	See: phrad\nEnglish for ex 2 ? Thumi, p.166, has phrad as an alternate for the future (T)
འཕྲལ	Thumi, p.166, has the above tenses listed as meaning: "to part; to separate; to keep or put apart" (T)
འཕྲོ	Check tenses. Thumi, p.168, has: 'phro / 'phro ('phros) / phro / phros (T)
འཕྲོ-བ	English and Others' entries were separated by a period by the latter had no source identification? See previous record about tenses (T)
འཕྲོད	Thumi, p.168, has: 'phrod / 'phrod / phrod / phrod as meaning "to receive; to be recognized; to be fit or suitable ..." (T)
འཕྲོས	See record 642, re: tenses (T) SW added Engl. "elaborate"; should the Tib Ex. be "rab phye" for "rab byed"?
འཕྲུལ-གྱི-རྐང-པ	bases of magical emanations; These are: (1) aspiration to the bases of magical emanations (chanda-Rddhi-pAda); (2) effort toward the bases of magical emanations (vIrya-Rddhi-pAda); (3) mental attention on the bases of magical emanations (citta-Rddhi-pAda, involving fixing one's mind in the position reached); and (4) analysis of the bases of magical emanations (mImaMsA-Rddhi-pAda); they are attained on the great path of accumulation
འཕྱ-བར-བྱེད	English is from Thumi, p.162 (T)
འཕྱག	to sweep; Thumi, p.162, has: phyag / 'phyag / phyags / 'phyags for the tenses of "to sweep" (T)
འཕྱགས	See previous entry's comment
འཕྱར	Thumi, p.162, has: phyar / 'phyar / phyard / phyord for the tenses of "to lift up, raise, hoist" (T)
འཕྱོགས	See record 622 (T)
འཐད-ལྡན	Where should the synonym/secondary title go??? (T)
འཐོབ	Thumi (p.122) lists 'thob as the present of thob ?? (T)
འཐུང	Tense originally had: btung / 'thung / bdungs / thungs ,changed to match Thumi p.110 (T)
འཚབ	SW added this record
འཚལ	see: {འཚོལ}
འཚམས	get Eng; "case; instance" is WRONG!
འཚང-རྒྱ-བ	compare: {སངས་རྒྱས་པ}, become Buddhified
འཚིག-པ	spite; Comment: This is one of the twenty secondary afflictions (nye nyon nyi shu, upakleza): (1) belligerence (khro ba, krodha); (2) resentment ('khon 'dzin, upanAha); (3) concealment ('chab pa, mrakSa); (4) spite ('tshig pa, pradAsa); (5) jealousy (IrSyA); (6) miserliness (mAtsarya); (7) deceit (sgyu, mAyA); (8) dissimulation (g.yo, zAThya); (9) haughtiness (rgyags pa, mada); (10) harmfulness (rnam par 'tshe ba, vihiMsA); (11) non-shame (ngo tsha med pa, AhrIkya); (12) non-embarrassment (khrel med, anapatrApya); (13) lethargy (rmugs pa, styAna); (14) excitement (rgod pa, auddhatya); (15) non-faith (ma dad pa, Azraddhya); (16) laziness (le lo, kausIdya); (17) non-conscientiousness (bag med pa, pramAda); (18) forgetfulness (brjed nges pa, muSita-smRtitA); (19) non-introspection (shes bzhin ma yin pa, asaMprajanya); (20) distraction (rnam par g/yeng pa, vikSepya).
འཚོད	get ex. from rDor 'grel (Ship?)
ཊཱི-ཀཱ	SW changed entry to TI kA from ti ka.
ཊི-ཀ	Check Tib entry (my interpretation) versus Wylie. (T)
ཊི-ཀཀ	Check spelling of Tibetan entry. (T)
ཨ-ལྦ	Check Tib. entry. I added second spelling (T)
ཨ-ནུ	see previous comment
ཨ-ཏི	atiyoga is the highest of the three divisions of Highest Yoga Tantra in N#ying-ma: mahAyoga, anuyoga, and atiyoga
ཨ-ཝ	Check Tib. entry. I added second spelling (T)
བྷ-ག	add ex. from Ship
བ-གླང	Need English for definition (T)
བ-ལང	See: {བ་གླང}
བ-ཉིད	cow-ness; Check entry—should it be "rnon ba"? (T)SW added Eng "cow-ness"
བ-སྤུ	body hair; ck sp. get ex. Is it only body hair?
བ-གླང-གནས-པ	one of the eighteen VaibhAShika sub-schools, a branch of the MahAsaMghikas; see Meditation on Emptiness, p.40 (T)
བ-ལང-སྤྱོད	Comment: In Buddhist cosmology there are four large continents, each of which has two smaller continents (gling phran brgyad) next to it: In the center, is the monarch of mountains, ri rab (meru). The four continents and eight smaller continents are (1) shar lus 'phags po (videha), the eastern continent "land of [those with] superior/large bodies" with lus (deha) and lus 'phags (videha); (2) lho 'dzam bu gling (jambudvIpa), the southern continent "Jambu-tree land" with rnga yab (cAmara) and rnga yab gzhan (aparacAmara); (3) nub ba blang spyod (godanIya) the western continent "land of using cattle" with g.yo ldan (sAthA) and lam mchog 'gro (uttaramantriNa); (4) byang sgra mi snyan (kuru), the northern continent "land of unpleasant sound" with sgra mi snyan (kurava) and sgra mi snyan kyi zla (kaurava). Surrounding all of these is an outer rim of iron mountains.
བད-ཀན	phlegm; Comment: This is one of the three problematics (nyes pa; doza), often mistranslated as "humours," but the "humours" are fluids as in the four elemental fluids of the body--blood, phlegm, black bile, and yellow bile. In Buddhist medicine the three problematics, which, when in balance, promote health and, when imbalanced, promote disease, are wind (rlung), bile (mkhris pa), and phlegm (pad kan).
བག-མེད	see: {བག་མེད་པ}
བག-ཡོད	See: {བག་ཡོད་པ}
བག-ཡོད-པ	Comment: This is one of the eleven virtuous mental factors (sems byung dge ba, kuzalacaitta): (1) faith (dad pa, zraddhA); (2) shame (ngo tsha shes pa, hrI); (3) embarrassment (khrel yod pa, apatrApya); (4) non-attachment (ma chags pa, alobha); (5) non-hatred (zhe sdang med pa, adveSa); (6) non-ignorance (gti mug med pa, amoha); (7) effort (brtson 'grus, vIrya); (8) pliancy (shin tu sbyangs pa, prasrabdhi); (9) conscientiousness (bag yod pa, apramAda); (10) equanimity (btang snyoms, upekSA); (11) non-harmfulness (rnam par mi 'tshe ba, avihiMsA).
བག-མེད-པ	Comment: This is one of the twenty secondary afflictions (nye nyon nyi shu, upakleza): (1) belligerence (khro ba, krodha); (2) resentment ('khon 'dzin, upanAha); (3) concealment ('chab pa, mrakSa); (4) spite ('tshig pa, pradAsa); (5) jealousy (IrSyA); (6) miserliness (mAtsarya); (7) deceit (sgyu, mAyA); (8) dissimulation (g.yo, zAThya); (9) haughtiness (rgyags pa, mada); (10) harmfulness (rnam par 'tshe ba, vihiMsA); (11) non-shame (ngo tsha med pa, AhrIkya); (12) non-embarrassment (khrel med, anapatrApya); (13) lethargy (rmugs pa, styAna); (14) excitement (rgod pa, auddhatya); (15) non-faith (ma dad pa, Azraddhya); (16) laziness (le lo, kausIdya); (17) non-conscientiousness (bag med pa, pramAda); (18) forgetfulness (brjed nges pa, muSita-smRtitA); (19) non-introspection (shes bzhin ma yin pa, asaMprajanya); (20) distraction (rnam par g/yeng pa, vikSepya).
བག-ཆགས-བརྟན-བྱུང	Comment: Saying "stable predispositions" distinguishes between consciousnesses polluted by a superficial cause of error and those which are not. Predispositions giving rise to direct perceptions are stable in the sense that their continuum will continue as long as does cyclic existence; those that give rise to wrong consciousnesses such as a sense consciousness seeing blue snow mountains or a conceptual consciousness apprehending sound as permanent are unstable in that their continuum can be adventitiously cut off.
བཻ-དུའ-རྱ	transliteration of Sanskrit word—vaidhurya\nNeed to fix Tibetan; Monier-Williams agrees with Conze—vaiDUrya (p.1021)
བཻ-དུའ-རྱ-འདུག-པ-ཡིན	Fix Tibetan
བམ-པོ	get ex from Ship SW added this entry
བང-ཆེན	SW added this record. Check Eng. "emissary", "ambassador" which we did not consider when we read this in Buddhaguhya's Letter of Advice
བཅའ	get examples: phyag rgya bca'; rkang pa sems dpa'i skyil krung du bca'; khrims su bcas pa. Also add to "bcas pa" and "'cha' ba".
བཅད-པ	See: {གཅོད་པ}
བཅད-ཤེས	one of the types of knowledge and awareness (blo rig) according to the sevenfold division; for others see: {བློ་རིག}
བཅངས	Tenses ?? (T)
བཅས	and; get examples: phyag rgya bca'; rkang pa sems dpa'i skyil krung du bca'; khrims su bcas pa: same as added to "bca' ba" and "'cha' ba"
བཅོམ-ལྡན	Comment: See bcom ldan 'das.
བཅོམ-ལྡན-འདས	Comment: This term is translated in accordance with the etymology favored in Tibet, where it is recognized that bhagavan also can be etymologized as "one who possesses the six goodnesses" (legs pa drug dang ldan pa), which seems to fit the more widely used translation as "Blessed One."
