ངན-སོང-སྤོང	Abandoner of Unfavorable Rebirths
ནམ-མཁའ-མཐའ-ཡས-སྐྱེ-མཆེད-བསྒྲུབས-ཏེ-གནས-པ	 One achieves and abides in the sense field of infinite space, thinking, ‘Space is infinite.’| One achieves and abides in the sense field of infinite space, thinking, ‘Space is infinite.’ |One achieves and abides in the sense field of infinite space, thinking, ‘Space is infinite.’ 
གནས-པ	Abiding
ཞི-གནས	 Calm abiding | Mental quiescence | Quiescence | Tranquility| Tranquility | Śamatha |Calm abiding 
མི-གནས-པ	 Non-abiding|Non-abiding 
གནས-པ-མེད-པ	 Non-abiding|Non-abiding 
རྡོ-རྗེ-དགྱེས-གནས-སྐྱོབ	 Vajra Joyfully Abiding Protector| Vajra Joyfully Abiding Protector |Vajra Joyfully Abiding Protector 
ཆོས-གནས-པ-ཉིད	 Abiding nature of phenomena| Abiding nature of phenomena |Abiding nature of phenomena 
རང-བཞིན-གནས-རིགས	 Naturally abiding buddha nature| Naturally abiding buddha nature |Naturally abiding buddha nature 
སེམས-མེད-པར-གནས-པ	 Abiding Without Mentation| Abiding Without Mentation |Abiding Without Mentation 
ཆོས-རྣམས-ཀྱི-ཆོས-གནས-པ-ཉིད	 Abiding nature of all things| Abiding nature of all things |Abiding nature of all things 
མི-གནས-པའི-ཚུལ-གྱིས	 In a non-abiding manner| In a non-abiding manner |In a non-abiding manner 
དེ-བཞིན-ཉིད-དུ-ཆོས-གནས-པ	 Abiding of phenomena in the real nature| Abiding of phenomena in the real nature |Abiding of phenomena in the real nature 
དེ-བཞིན-ཉིད-ལ-གནས-ཤིང-སེམས-མེད-པ	 Abiding in the Real Nature Without Mentation| Abiding in the Real Nature Without Mentation |Abiding in the Real Nature Without Mentation 
ཐུབ-པ	 Able One | Muni | Sage| Sage |Able One 
གནས-གཙང-མ	 Pure Abode | Śuddhāvāsa | Śuddhāvāsa realms| Śuddhāvāsa realms |Pure Abode 
གནས-གཙང-མའི-རིས	 Pure Abode | Pure realm| Pure realm |Pure Abode 
དགའ-ལྡན-གྱི-གནས	 Abode of Tuṣita| Abode of Tuṣita |Abode of Tuṣita 
གནས-ལ-རྟེན-པ-མེད-པ	 No Fixed Abode|No Fixed Abode 
མེ-ཏོག-སྣ-ཚོགས-གནས	 Abode of Myriad Flowers|Abode of Myriad Flowers 
ཐུབ-པའི-དྲང-སྲོང-རྣམས-ཀྱི-གནས	 Abode of the Sage’s hermits|Abode of the Sage’s hermits 
ཚངས-པའི-གནས	 Abodes of Brahmā| Abodes of Brahmā | Brahmavihāra |Abodes of Brahmā 
ཤུ-བ	Abscesses
སྨོན-པ-མེད-པ	 Absence of aspiration | Wishlessness | Without aspiration| Without aspiration |Absence of aspiration 
མཚན-མ-མ-མཆིས-པ	Absence of attributes
མཚན-མ-མེད-པ	 Absence of attributes | Signless | Signlessness| Signlessness |Absence of attributes 
ལྡོག-པ	Absence of distinguishing counterparts
མཆོག-ཏུ-འཛིན-པ-མེད-པ	 Free from dogmatic assumptions|Absence of dogmatic assumptions 
བདེ-བ-དང-སྡུག-བསྔལ-ཐམས-ཅད-ལ-མངོན-པར-དགའ-བ-མེད-པ	 Absence of Joy with Respect to All Happiness and Suffering| Absence of Joy with Respect to All Happiness and Suffering |Absence of Joy with Respect to All Happiness and Suffering 
བདག-མེད-པ	 Absence of self | Without a self | Without self| Without self |Absence of self 
བདག-མེད	 No self | No-self | Non-self | Selflessness|Non-self 
ཡང-དག-པར-ཡོངས-སུ-གྲུབ-པ	Absolutely existent
ཤིན-ཏུ-དབེན-པ	 Absolutely void|Absolutely void 
སྡུད-པར-བགྱིད	Absorb
ཏིང-ངེ-འཛིན	 Absorption | Concentration | Meditative concentration | Meditative stability | Samādhi | State of concentration| State of concentration |Absorption 
སྙོམ-འཇུག	 Absorption | Samāpatti| Samāpatti |Absorption 
སྒྱུ-མ-ལྟ-བུའི-ཏིང-ངེ-འཛིན	 Illusory absorption|Illusory absorption 
བསམ-གཏན	 Contemplation | Dhyāna | Meditation | Meditative absorption | Meditative concentration | Mental stability| Mental stability |Meditative absorption 
སྙོམས-པར-འཇུག-པ	 Meditative absorption| Meditative absorption |Meditative absorption 
སྒྲོལ-མ-འབྱུང-བའི-ཏིང-ངེ-འཛིན	 The Meditative Absorption of Tārā| The Meditative Absorption of Tārā |The Meditative Absorption of Tārā 
མཐར-གྱིས-གནས-པའི-སྙོམས-པར-འཇུག-པ-དགུ	 Absorptions into nine successive abodes | Nine serial steps of meditative equipoise | Nine successive attainments | Nine successive stages of meditative equipoise| Nine successive stages of meditative equipoise |Nine serial steps of meditative equipoise 
ཅི-ཡང-མེད-པའི-སྐྱེ-མཆེད-ཀྱི-སྙོམས-འཇུག	 Meditative absorption of the sense field of nothing-at-all| Meditative absorption of the sense field of nothing-at-all |Meditative absorption of the sense field of nothing-at-all 
འདུ-ཤེས-མེད-མིན-གྱི-སྙོམས-འཇུག	 Meditative absorption of neither perception nor non-perception| Meditative absorption of neither perception nor non-perception |Meditative absorption of neither perception nor non-perception 
ནམ-མཁའ-མཐའ-ཡས-སྐྱེ-མཆེད-ཀྱི-སྙོམས-འཇུག	 Meditative absorption of the sense field of infinite space| Meditative absorption of the sense field of infinite space |Meditative absorption of the sense field of infinite space 
རྣམ-ཤེས-མཐའ-ཡས-སྐྱེ-མཆེད-ཀྱི-སྙོམས-འཇུག	 Meditative absorption of the sense field of infinite consciousness| Meditative absorption of the sense field of infinite consciousness |Meditative absorption of the sense field of infinite consciousness 
དབང-པོ-དང-སྟོབས-དང-བྱང-ཆུབ-ཀྱི-ཡན-ལག-དང-རྣམ-པར-ཐར-པ-དང-བསམ-གཏན-དང-ཏིང-ངེ-འཛིན-དང-སྙོམས-པར-འཇུག-པའི-ཀུན-ནས-ཉོན-མོངས-པ-དང-རྣམ-པར-བྱང-བ-དང-ལྡང-པ-ཤེས-པ-ཡང-དག-པ-ཇི-ལྟ-བ-བཞིན-དུ-རབ-ཏུ-ཤེས-པ	 Definitive knowledge of all the afflicted and purified mental states and their emergence, with respect to the faculties, powers, branches of enlightenment, aspects of liberation, meditative concentrations, meditative stabilities, and formless absorption| Definitive knowledge of all the afflicted and purified mental states and their emergence, with respect to the faculties, powers, branches of enlightenment, aspects of liberation, meditative concentrations, meditative stabilities, and formless absorption |Definitive knowledge of all the afflicted and purified mental states and their emergence, with respect to the faculties, powers, branches of enlightenment, aspects of liberation, meditative concentrations, meditative stabilities, and formless absorption 
དབང-འབྱོར-པ	Abundant in splendor
མི-གཡོ-བ	 Acala | Immovable | Neutral | Unfluctuating | Unmoving | Unwavering| Unwavering |Unfluctuating 
མི-གཡོ-བ-ནག-པོ	 Black Acala|Black Acala 
མི-གཡོ-བ-ལྗང-གུ	 Green Acala|Green Acala 
མི-གཡོ-བ-དམར-པོ	 Red Acala|Red Acala 
མི-གཡོ-བ-གཀར-པོ	 White Acala|White Acala 
མི-གཡོ-བ-སེར-པོ	 Yellow Acala|Yellow Acala 
མི-གཡོ	 Unwavering|Unwavering 
མེ	 Acalā|Acalā 
བློ-གྲོས-མི-གྱོ-བ	 Acalamati|Acalamati 
སློབ-དཔོན	 Instructor | Master| Master | Ācārya |Instructor 
ཁས-ལེན	Accept
ཉེ-བར-གཞག-པ	 Accept charge of| Accept charge of |Accept charge of 
གཟུང-བ	 Accept charge of| Accept charge of | Apprehended |Accept charge of 
བཟོད-ལ-འདོད-པ	 Inclination to accept|Inclination to accept 
བཟོད-པ	 Acceptance | Clemency | Endurance | Patience | Tolerance| Tolerance |Tolerance 
ཡོངས-སུ-གཟུང-བ-མེད-པ	 Non-acceptance| Non-acceptance |Non-acceptance 
བརྒྱད-པའི-ས	 Level of eightfold acceptance|Level of eightfold acceptance 
མི-སྐྱེ-བའི-ཆོས-ལ-བཟོད-པ	 Acceptance of the non-arising of phenomena | Patient forbearance in seeing all phenomena as non-arising | Tolerance of the birthlessness of things | Tolerance of ultimate birthlessness| Tolerance of ultimate birthlessness |Acceptance of the non-arising of phenomena 
མི-སྐྱེ-པའི-ཆོས-ལ-བཟོད-པ	 Acceptance that phenomena are non-arising| Acceptance that phenomena are non-arising |Acceptance that phenomena are non-arising 
ཡོངས-སུ-ཟིན-པ	 Favored|Accepted 
གོ-འབྱེད	Accommodate
དངོས-གྲུབ	 Accomplishment | Siddhi | Spiritual accomplishment | Spiritual attainment| Spiritual attainment |Accomplishment 
གྲངས-དག-འདེབས	Account for
རྨད-བྱུང	Accounts of miracles
ཡོན-ཏན-ཐམས-ཅད-ཀྱི-ཚོགས-སུ-གྱུར-པ	Accumulation of All Attributes
སྨོན-ལམ-བསམ-གྱིས-མི-ཁྱབ-པ-ཁྱད-པར-དུ-འཕགས-པའི-རྒྱལ-པོ	 Acintya­praṇidhāna­viśeṣa­samudgata­rāja|Acintya­praṇidhāna­viśeṣa­samudgata­rāja 
ཆོས-ཉིད-ཀྱིས-ཐོབ-པ	 Acquire the precepts on the basis of actual reality|Acquire the precepts on the basis of actual reality 
ཀུན-ཏུ-འཛིན-པའི-སེམས	Acquisitiveness
ཡོངས-སུ-འཛིན-པ	Acquisitiveness
ལས	 Action | Karma | Past action| Past action |Act 
ནན-ཏུར-གྱི-ལས	 Disciplinary act|Disciplinary act 
བསྐྲད-པའི-ལས	 Act of expulsion|Act of expulsion 
བསྡིགས-པའི-ལས	 Act of censure|Act of censure 
གནས-ནས-དབྱུང-བའི-ལས	 Act of suspension|Act of suspension 
ཕྱིར-འགྱེད-པའི-ལས	 Act of reconciliation|Act of reconciliation 
སྨད-པའི-ལས	 Act of chastening|Act of chastening 
ལས-བརྗོད-པ	 Motion to act| Motion to act |Motion to act 
གསོལ-བ-འབའ-ཞིག-གི-ལས	 Act of motion alone| Act of motion alone |Act of motion alone 
གསོལ-བ-དང-གཉིས-ཀྱི-ལས	 Act whose second member is a motion| Act whose second member is a motion |Act whose second member is a motion 
གསོལ-བ-དང-བཞིའི-ལས	 Act whose fourth member is a motion| Act whose fourth member is a motion |Act whose fourth member is a motion 
ལས-ཀྱི-ཕྱག-རྒྱ	 Action seal| Action seal |Action seal 
ཡང-དག-པའི-ལས-ཀྱི-མཐའ	 Correct action| Correct action |Correct action 
བྱ-བ-གྲུབ-པའི-ཡེ-ཤེས	 Action-accomplishing wisdom | All-accomplishing wisdom| All-accomplishing wisdom |Action-accomplishing wisdom 
དགེ-བའི-རྩ-བ	 Roots of goodness | Roots of virtue | Roots of virtuous action|Roots of virtuous action 
ལས-གཅིག-པ	 Singular course of action|Singular course of action 
འཁོར-གསུམ	 Three aspects of the action | Three spheres [of subject, object, and their interaction]|Three aspects of the action 
ལས-ཁ-ན-མ-ཐོ-བ-དང-བཅས-པ	Actions (physical, verbal and mental) that are tainted with the inadmissible transgressions
བྱེད-པ-པོ	 Agent|Actor 
མཚམས-མེད-པ-ལྔ	 Five actions with immediate results | Five heinous deeds|Acts with immediate consequence 
སྐྱེ-བ	 Actual birth| Arising | Birth |Actual birth 
མངོན-སུམ-དུ-བྱེད	Actualize
མངོན-པར-གྲུབ	Actualize
འདུ-བྱེད-རྣམས-མངོན-པར-འདུ-བྱེད	 Actualize formative predispositions| Actualize formative predispositions |Actualize formative predispositions 
ལྕང-ལོ-ཅན	 Alakavatī| Alakavatī | Alakāvatī | Aḍakavatī |Aḍakavatī 
རྡོ-རྗེ-ལྟ-བུ	Adamantine
རྡོ-རྗེ-ལྟ-བུའི-ཏིང-ངེ-འཛིན	 Adamantine meditative stability | Diamond-like samādhi| Diamond-like samādhi |Adamantine meditative stability 
རྡོ-རྗེ-ལྟ-བུའི-ཡེ-ཤེས	 Adamantine pristine cognition| Adamantine pristine cognition |Adamantine pristine cognition 
རྡོ-རྗེ-ལྟ-བུའི-ཏིང-ངེ-འཛིན-སྐད-ཅིག-གཅིག-དང-ལྡན-པའི-ཤེས-རབ	 Wisdom that is instantaneously endowed with the adamantine meditative stability| Wisdom that is instantaneously endowed with the adamantine meditative stability |Wisdom that is instantaneously endowed with the adamantine meditative stability 
འབྲོག-གནས	 Guhyasthāna| Guhyasthāna | Āḍavaka |Āḍavaka 
ཆོས-རྨད-དུ-བྱུང-བ	 Adbhūtadharma|Adbhūtadharma 
རབ-ཏུ-སྙིང-རྗེ-ཅན	 Adhi­mātra­kāruṇika|Adhi­mātra­kāruṇika 
ཉི-མ	 Sun| Sun | Sūrya | Āditya |Āditya 
ཉི-མའི-འབྱུང	 Āditya­saṃbhava|Āditya­saṃbhava 
ཡང-དག-པ-བླང	Adopt the precepts
རིན-པོ-ཆེ-ཆེན-པོས-བརྒྱན-པ	Adorned by Great Jewels
རྒྱན	Adornment
དམ-ཆོས-ཡིད-བཞིན-ནོར-བུ-ཐར-པ-རིན-པོ-ཆེའི-རྒྱན	 An Adornment for the Precious Path to Liberation| An Adornment for the Precious Path to Liberation |An Adornment for the Precious Path to Liberation 
གནོན	Advance courageously
ཕན-ཡོན	Advantage
ཀུན-ནས-ཉོན-མོངས-པ	 Affliction | Totally afflicted| Totally afflicted |Afflicted 
ཉོན-མོངས	 Afflicted mental state | Affliction | Kleśa | Passion| Passion |Afflicted 
ཉོན-མོངས-པའི-ཡིད	 Afflicted mind| Afflicted mind |Afflicted mind 
ཀུན-ནས-ཉོང-མོངས-པ	 Afflicted mental state| Afflicted mental state |Afflicted mental state 
སེམས-ལས-བྱུང-བའི-ཉེ-བའི-ཉོན-མོངས-པ	 Afflicted mental state| Afflicted mental state |Afflicted mental state 
ཉོན-མོང-པ-ཟད-པ	 Whose afflicted mental states have ended|Whose afflicted mental states have ended 
ཉོན-མོངས-པ	 Affliction | Mental affliction| Mental affliction |Affliction 
ཉོན-མོངས-པ-མེད-པ-ཉོན-མོངས-པ-དང-བཅས-པ-ཐམས-ཅད-ཡང-དག-པར-འདུ-བ	 Convergence of All Mental Afflictions in Non-affliction|Convergence of All Mental Afflictions in Non-affliction 
དངང-ལ-དངང-པར-འགྱུར	 Afraid and terrified (be)| Afraid and terrified (be) |Afraid and terrified (be) 
དངང	Afraid (be)
དངང-བར-འགྱུར	 Afraid (will be)|Afraid (will be) 
ལུང	 Āgama|Āgama 
ཨ-ག-རུ	 Aloe wood | Aloeswood|Agarwood 
སྤྲ-བའི-མེ-ཏོག	Āgati flower
བྱེད-དུ-འཇུག-པ-པོ	Agent
བྱེད-པ-པོ-མེད-པ	 Non-agent|Non-agent 
ཕུང-པོ	 Aggregate | Psycho-physical aggregate | Skandha | Skandhas| Skandhas |Aggregate 
ཟག-བཅས-ཀྱི-ཕུང-པོ	 Contaminated aggregate|Contaminated aggregate 
ཚུལ-ཁྲིམས-ཀྱི-ཕུང-པོ	 Aggregate of correct conduct | Aggregate of discipline | Aggregate of ethical discipline| Aggregate of ethical discipline |Aggregate of correct conduct 
ཏིང-ངེ-འཛིན-གྱི-ཕུང-པོ	 Aggregate of meditative stability| Aggregate of meditative stability |Aggregate of meditative stability 
འདུ-བྱེད-ཀྱི-ཕུང-པོ	 Aggregate of formative predispositions| Aggregate of formative predispositions |Aggregate of formative predispositions 
འདུ-ཤེས-ཀྱི-ཕུང-པོ	 Aggregate of perceptions| Aggregate of perceptions |Aggregate of perceptions 
རྣམ-པར-གྲོལ-བའི-ཕུང-པོ	 Aggregate of liberation| Aggregate of liberation |Aggregate of liberation 
རྣམ-པར-ཤེས-པའི-ཕུང-པོ	 Aggregate of consciousness| Aggregate of consciousness |Aggregate of consciousness 
ཚོར-བའི-ཕུང-པོ	 Aggregate of feelings| Aggregate of feelings |Aggregate of feelings 
གཟུགས-ཀྱི-ཕུང-པོ	 Aggregate of physical forms|Aggregate of physical forms 
ཤེས-རབ-ཀྱི-ཕུང-པོ	 Aggregate of wisdom| Aggregate of wisdom |Aggregate of wisdom 
རྣམ-པར-གྲོལ-བའི-ཡེ-ཤེས-མཐོང-བའི-ཕུང-པོ	 Aggregate of the perception of liberating pristine cognition| Aggregate of the perception of liberating pristine cognition |Aggregate of the perception of liberating pristine cognition 
ཉེ-བར-ལེན-པའི-ཕུང-པོ	 Aggregates for appropriation | Aggregates of appropriation| Aggregates of appropriation |Aggregates for appropriation 
ཁྲོ-བ	 Anger|Aggression 
རྒ-ཤི	 Aging and death|Aging and death 
འཁྲུགས-པ	Agitation
རྒོད-པ	 Mental agitation|Mental agitation 
རྒོད-པ-དང-འགྱོད-པ	 Agitation and regret|Agitation and regret 
མེ-ལྷ	 Agni|Agni 
མེས-བྱིན	 Agnidatta|Agnidatta 
མེའི-རྫ-མ	 Agnighaṭa|Agnighaṭa 
མེ-ཡི-དབང-ཕྱུག	 Agnīśvara|Agnīśvara 
དྲག-པོའི-མཆེ-བ-ཅན	 Agradaṃṣṭraka|Agradaṃṣṭraka 
བྱང-ཆུབ-ཀྱི-ཕྱོགས-ཀྱི-ཆོས	 Aids to enlightenment | Factors of awakening|Aids to enlightenment 
བྱང-ཆུབ-ཀྱི-ཕྱོགས-སུམ-ཅུ-རྩ-བདུན-གྱི-ཆོས	 Thirty-seven aids to enlightenment| Thirty-seven aids to enlightenment |Thirty-seven aids to enlightenment 
ཨཱིར-བིར	 Ailavila|Ailavila 
ས-སྲུང-གི-བུ	 Airāvaṇa|Airāvaṇa 
གཞལ-མེད-ཁང	 Celestial palace|Airborne palace 
མ-སྐྱེས-དགྲ	 Ajātaśatru| Ajātaśatru |Ajātaśatru 
མི-ཕམ	 Ajita| Ajita |Ajita 
མི-ཕམ-པ	 Ajita|Ajita 
བྱམས-པ	 Loving kindness | Maitraka | Maitreya| Maitreya |Maitreya 
མ-ཕམ-པ	 Ajita|Ajita 
མི-ཕམ-སྐྲའི-ལ-བ-ཅན	 Ajita of the hair shawl| Ajita of the hair shawl |Ajita of the hair shawl 
མི-ཕམ-སྒྲའི-ལ-བ-ཅན	 Ajita Keśakambala| Ajita Keśakambala |Ajita Keśakambala 
ཀུན-ཏུ-འཚོ-བ-པ	 Ājīvika mendicant| Ājīvika mendicant |Ājīvika mendicant 
ཀུན-ཏུ-འཚོ-བའི-རིགས	 Ājīvika|Ājīvika 
ཀུན-ཤེས-ཀཽཎ-ཌི-ཉ	 Ājñātakauṇḍinya|Ājñātakauṇḍinya 
ཀུན-ཤེས-ཀཽ-ཎྜི-ཉ	 Ājñāta­kauṇḍinya|Ājñāta­kauṇḍinya 
ཀུན-ཤེས-ཀཽཎྜིནྱ	 Ājñāta­kauṇḍinya| Ājñāta­kauṇḍinya |Ājñāta­kauṇḍinya 
ཀུན-ཤེས-ཀཽཎཌི-ཉ	 Ājñāta­kauṇḍinya|Ājñāta­kauṇḍinya 
ཅང-ཤེས-ཀཽཎྜི-ནྱ	 Ājñāta­kauṇḍinya|Ājñāta­kauṇḍinya 
ལ-ཕུག	Ajowan
འོག-མིན	 Akaniṣṭha | Highest Heaven|Highest Heaven 
ནམ-མཁའི-སྙིང-པོ	 Ākāśagarbha| Ākāśagarbha |Ākāśagarbha 
ནམ-མཁའ-སྙིང-པོ	 Ākāśagarbha|Ākāśagarbha 
ནམ-མཁའ-ལ-གནས-པ	 Ākāśa­pratiṣṭhita|Ākāśa­pratiṣṭhita 
མི-ཕྱེད-པ	 Ākhaṇḍala|Ākhaṇḍala 
མི-རྡུང	 Ākoṭā|Ākoṭā 
བློ-གྲོས-མི-ཟད-པ	 Akṣayamati| Akṣayamati |Akṣayamati 
མི-བསྐྱོད-པ	 Akṣobhya| Akṣobhya |Akṣobhya 
མི-འཁྲུགས-པ	 Akṣobhya | A­kṣobhya| A­kṣobhya |Akṣobhya 
མི-འཁྲུགས-རྒྱལ	 Akṣobhyarāja|Akṣobhyarāja 
རྣ-ཆ	 Alambuśā|Alambuśā 
ཤེས-བཞིན-ཅན	Alert
ཤེས-བཞིན	Alertness
ཤེས-བཞིན-དུ-སྤྱོད	 Maintain alertness|Maintain alertness 
ཨཱ-ལི-ཀཱ-ལི	 Āli kāli|Āli kāli 
འགྱེས-པ	Alien
སེམས-གཞན-དུ-འགྱུར	Alienated (be)
གཞན-ཉིད-དུ-འགྱུར	Alienated (be)
སོམ-ཉི-ཐམས-ཅད-མགུ-བྱེད	 All Doubts Diminished|All Doubts Diminished 
རིག-བྱེད	 All forms of knowledge| All forms of knowledge | Veda |All forms of knowledge 
ཀུན-ཏུ-འོད	 All Luminous|All Luminous 
ཡོན-ཏན-ཐམས-ཅད	All qualities
ལུས-ཀྱི-ལས-ཐམས-ཅད-ཡེ-ཤེས-སྔོན-དུ-འགྲོ-ཞིང-ཡེ-ཤེས-ཀྱི-རྗེས-སུ-འབྲང-བ	 All the activities of their bodies are preceded by pristine cognition and followed by pristine cognition| All the activities of their bodies are preceded by pristine cognition and followed by pristine cognition |All the activities of their bodies are preceded by pristine cognition and followed by pristine cognition 
ཡིད-ཀྱི-ལས-ཐམས-ཅད-ཡེ-ཤེས-སྔོན-དུ-འགྲོ-ཞིང-ཡེ-ཤེས-ཀྱི-རྗེས-སུ-འབྲང-བ	 All the activities of their minds are preceded by pristine cognition and followed by pristine cognition| All the activities of their minds are preceded by pristine cognition and followed by pristine cognition |All the activities of their minds are preceded by pristine cognition and followed by pristine cognition 
ངག-གི-ལས-ཐམས-ཅད-ཡེ-ཤེས-སྔོན-དུ-འགྲོ-ཞིང-ཡེ-ཤེས-ཀྱི-རྗེས-སུ-འབྲང-བ	 All the activities of their speech are preceded by pristine cognition and followed by pristine cognition| All the activities of their speech are preceded by pristine cognition and followed by pristine cognition |All the activities of their speech are preceded by pristine cognition and followed by pristine cognition 
ཀུན-གཞི	 All-ground | Basis-of-all | Subconsciousness|All-basis 
འགོད-པ	 Allocations|Allocations 
རབ-ཏུ-དབྱུང-བ	 Allow someone to go forth| Allow someone to go forth |Allow someone to go forth 
དཔུང-གཉེན	Ally
བསོད-སྙོམས-ཀྱི-ཟས	Alms
ལྷུང-བཟེད	 Alms bowl| Alms bowl |Alms bowl 
ཏ-ར-ནི	Aloe flower
གཞོན-ནུ-མ	Aloe vera
ཨ-ཀ-རུ	Aloe wood
ཨ-ག-རུ-ནག-པོ	 Black agar wood | Black aloe wood|Black aloe wood 
སྣང-བ-མ	 Ālokakarā|Ālokakarā 
ལྟ-བྱེད-མ	 Ālokinī|Ālokinī 
ཕྱིས	Already
གཞན-དུ-འགྱུར-བ	Alteration
རྟག-ཏུ-མྱོས	 Ever Ecstatic | Sadāmatta| Sadāmatta |Always Insane 
ཨ-རུ-ར	 Harītakī | Myrobalan | Yellow myrobalan| Yellow myrobalan |Myrobalan 
སྐྱུ-རུ-ར	 Emblic myrobalan| Emblic myrobalan | Gooseberry | Āmalakī |Āmalakī 
ཀུ-ར-བ-ཀ	Amaranth
རྨད-གྲགས	Amazing Renown
བདུད-རྩི	 Ambrosia | Amrita | Amṛta | Amṛtabindu| Amṛtabindu |Ambrosia 
འོད-དཔག-མེད	 Amitābha| Amitābha |Amitābha 
སྣང-བ-མཐའ-ཡས	 Amitābha| Amitābha |Amitābha 
འོད-དཔག-མད	 Amitābha|Amitābha 
འོད-དཔག-ཏུ-མེད-པ	 Amitābha|Amitābha 
རྒྱལ-མསཐན-དཔག-མེད	 Amitadhvaja|Amitadhvaja 
ཕུང-པོ-དཔག-མེད	 Amitaskandha|Amitaskandha 
ཚེ-དཔག-མེད	 Amitāyus| Amitāyus |Amitāyus 
དོན-ཡོད-མཐོང	 Amoghadarśin|Amoghadarśin 
མཐོང-བ-དོན-ཡོད	 Amoghadarśin | A­mogha­darśin | Sarvārthadarśa| Sarvārthadarśa |Amoghadarśin 
མཐོང-ན-དོན-ཡོད	 Amoghadarśin|Amoghadarśin 
དོན-ཡོད-རྒྱལ-པོ	 Amogharāja| Amogharāja |Amogharāja 
དོན-གྲུབ	 Amoghasiddhi | Siddhārtha| Siddhārtha |Amoghasiddhi 
དོན-ཡོད-གྲུབ-པ	 Amoghasiddhi| Amoghasiddhi |Amoghasiddhi 
སྒེག-བྱེད	Amorous sentiment
དཔུང-མགོ-ཤིན-ཏུ-ཟླུམ-པོ	 Amply curved shoulders|Amply curved shoulders 
ཨ-མྲ-སྲུང-བ	 Āmrapālī|Āmrapālī 
ཨ-མྲས-བསྲུངས-པ	 Āmrapālī|Āmrapālī 
ཨ-མྲས-བསྲུངས-པའི-ཚལ-ཆེན-པོ	 Āmrapālī’s great grove|Āmrapālī’s great grove 
ཨཱ-མྲས-བསྲུངས-བའི-ཚལ	 Āmrapālī’s Grove|Āmrapālī’s Grove 
ཨཱཎཱ	 Āṇā|Āṇā 
ཟིལ-གནོན	 Anābhibhū|Anābhibhū 
བཀྲེས-ངབ	Anal fistula
ཙན-ད-ལྟར	 Anāla|Anāla 
བརྩོན-འགྲུས-མཐའ-ཡས	 Anaṃtavīrya|Anaṃtavīrya 
ཀུན-དགའ-བོ	 Ānanda| Ānanda |Ānanda 
ཀུན-དགའ	 Ānanda|Ānanda 
དགའ-བ	 Empathetic joy | Joy | Nanda | Sūrata| Sūrata |Joy 
དགའ-བའི-དཔལ	 Glory of Joy| Glory of Joy | Ānandaśrī |Ānandaśrī 
ཀུན-ཏུ-དགའ-བྱེད	 Ānandita|Ānandita 
མཐའ-ཡས	 Ananta | Anantaka| Anantaka |Anantaka 
སྤྱོད-པ-མཐའ-ཡས	 Anantacāritra|Anantacāritra 
མཐའ-ཡས-དབྱངས	 Anantaghoṣa|Anantaghoṣa 
མཐའ-ཡས-བློ-གྲོས	 Anantamati|Anantamati 
བློ-གྲོས-མཐའ-ཡས	 Anantamati|Anantamati 
མུ-ཁྱུད-མཐའ-ཡས	 Anantanemi|Anantanemi 
མཐའ-ཡས-སྤྱན	 Anantanetra|Anantanetra 
མཐའ-ཡས-གནོན	 Anantavikrāmiṇ|Anantavikrāmiṇ 
