བྲས-བུ	resultant level
བྱ-རྫོགས-ཀྱི-སྐད-ཅིག-མ	instant that is the final moment or phase when an action is completed
བྱམས-པ	love
བྱམས-པ-ཆེན-པོ	great love
བྱང-ཆུབ	purified state
བྱང-ཆུབ-སེམས-དཔའ	bodhisattva
བྱང-ཆུབ-གྱི-སེམས	bodhichitta
བྱང-གཏེར	Nyingma Northern Treasure Text Lineage
བྱང-སེམས-འཕགས-པ	arya bodhisattva
བྱང-སེམས-སྡོམ-པ	bodhisattva vows
བྱེ-བྲག	individual
བྱེ-བྲག-སྨྲ-བ	Vaibhashika
བྱེད-པ-རྒྱུ-མཐུན-གྱི-འབྲས-བུ	result that corresponds to its cause in one's behavior
བྱེད-པ-པོ	agent
བྱེད-རྒྱུ	acting cause
བྱིན-གྱིས-རླབས	inspiration
བྱིན-གྱིས-རླབས-པའ-ཨི-བཀའ	enlightening words inspired by Buddha
བྱིན-རླབས	resolution
བྱིང-བ	mental dullness
བྱོར-བ	enrichment
བཟོད-པ	patience
ཆད-ཅིང-འཇུག-པའི-ཡིད-བྱེད	restoring attention
ཆད-མེད-རྒྱུད	unbroken continuity
ཆགས-པ	 sticky attachment|attachment 
ཆགས-པ-མེད-པ	detachment
ཆེད-དུ-བརྗོད-པ	special verses
ཆོད	chod
ཆོས	 phenomenon | preventive measures | thing|dharma 
ཆོས-ལམ-དུ-འགྲོ-བ	having the Dharma function as a pathway mind
ཆོས-ཅན	property-possessor
ཆོས-དབྱིངས	sphere of reality
ཆོས-དབྱིངས-ཡེ-ཤེས	deep awareness of reality
ཆོས-ཀྱི-བདག	impossible "soul" of all phenomenon
ཆོས-ཀྱི-བདག-མེད	lack of an impossible "soul" of all phenomena
ཆོས-ཀྱི-སྡོམ-པ-བཞི	four hallmarks of the Dharma
ཆོས-ཀྱི-སྐྱེ-མཆེད	cognitive stimulators that are (all) phenomena
ཆོས-ཀྱི-སྐྱེ-མཆེད-པའི-གཟུགས	forms of physical phenomena included (only) among the cognitive stimulators that are (all) phenomena
ཆོས-ཀྱི-སྤྱན	extrasensory eye of the Dharma
ཆོས-ཉིད	actual nature
ཆོས-སྐུ	Corpus Encompassing Everything
ཆོས-སྐྱོང	Dharma-protector
ཆུ-གཏེར-འཁྲོག-པའི-སྐད	 ocean-rolling voice|ocean-crashing voice 
ཅིག-ཅར-བ	those for whom it happens all at once
ད-ལྟ-བ	present-happening
དད-པ	believing a fact to be true
དག-པའི-སྣང-བ	pure appearance
དག-སྣང-ཟབ-བརྒྱུད	profound lineage of pure visions
དག-ཞིང	pure lands
དལ-བ	respite
དམ-པ	hallowed
དམ-རྫས	bonding substances
དམ-ཚིག	bonding practice
དབང	empowerment
དབང-བཞི-པ	fourth empowerment
དབང-འབྱོར-པའི-གཟུགས	forms of physical phenomena arising from gaining control over the elements
དབང-གི-འབྲས-བུ	commanding results
དབང-པོ	cognitive sensor
དབུ-མ	Madhyamaka
དབུ-མ-རང-རྒྱུད-པ	Svatantrika Madhyamaka
དབུ-མ-ཐལ-འགྱུར-བ	Prasangika Madhyamaka
དབུ-མ-པ	Madhyamika
དབུ-མའི-ལྟ-ཁྲིད	discursive madhyamaka view
དབུས-གནས-ཉིད	even-minded
དབྱངས-ཀྱིས-བསྙད-པ	melodic verses
དབྱེར-མེད	inseparable
དབྱིབས	shape
དབྱིངས	cognitive sphere
དེ-བཞིན-གཤེགས-པ	Thusly Gone One
དེ-བཞིན-ཉིད	accordant nature
དེ-ཁོ-ན-ཉིད-གྱི-ཚངས-སྤྱོད	celibate behavior of reality
དེ-ཁོ-ན-ཉིད	very nature of reality
དེ-ཁོ-ན-ཉིད-མཆོད-པ	offering of the very nature of reality
དེ-ཁོ-ན-ཉིད-ཀྱི-དཀྱིལ-འཁོར	mandala of the very nature of reality, thusness mandala
དེ-ལྟ-བུ-བྱུང-བ	ancient narratives
དེ-མ-ཐག-རཁྱེན	immediately preceding condition
དེ-ཉིད	how things are
དགའ-ལྡན	Pure Land of Joy
དགའ-བ	joyful awareness
དགའ-བ-བཞི	four gradations of joyful awareness
དགའ-བྱེད	make one ecstatic
དགག-བྱ	object to be negated
དགག-པ	negation phenomenon
དགེ-འདུན	Sangha
དགེ-འདུན-ཕལ-ཆེན-པོ	Mahasanghika
དགེ-བ	constructive
དགེ-བའི-བཤེས-གཉེན	spiritual mentor
དགེ-བའི-རྩ-བ	roots of positive force
དགེ-བཤེས	geshe
དགེ-ལུགས	Gelug
དགེ-ལུགས-པ	Gelugpa
དགེ-རྩ	roots of constructive force
དགྲ-བཅོམ-པ	arhat
དཀར-པོ-ཆིག-ཐུབ	singular sufficient white panacea
དཀར-པོའི-ཆོས-བཞི	four types of glowing behaviour
དཀོན-མཆོག-གསུམ	Three Rare and Supreme Gems
དཀོན-མཆོག-གསུམ-ལ-སྐྱབས-སུ-འགྲོ	take safe direction from the Three Gems
དཀྱིལ-འཁོར	mandala
དམིགས-གཏད	focal support
དམིགས-མེད	without a referent aim
དམིགས-མེད-སྙིང-རྗེ	compassion regarding no object
དམིགས-རྐྱེན	focal condition
དམིགས-ཡུལ	focal object
དངོས-འགལ	dichotomy
དངོས-གྲུབ	actual attainment
དངོས-གཞི	 actual state|actual fundamental part 
དངོས-མེད	nonfunctional phenomenon
དངོས-པོ	functional phenomenon
དངོས-པོ-བརྒྱད	eight sets of realizations
དངོས-རྒྱུ	direct cause
དངོས-སུ-བཅད-པ	explicitly preclude
དངོས-སུ-རིག-པ	directly cognize
དངོས-སུ-རྟོགས-པ	explicit apprehension
དངོས-སུ-ཤེས-པ	direct cognition
དོན-རང-མཚན-གྱི-གཞན-སེལ	individually characterized object exclusions of something else
དོན-དམ	deepest
དོན-དམ-བདེན-པ	 deepest truth|deepest true phenomenon 
དོན-དམ-བྱང-སེམས-ཀྱི-དཀྱིལ-འཁོར	mandala of deepest bodhichitta
དོན-དམ-པ	deepest level
དོན-དམ-པའི-བྱང-ཆུབ-གྱི-སེམས	deepest bodhichitta
དོན-དམ-པའི-ཆོས-དཀོན-མཆོག	deepest Dharma Gem
དོན-དམ-པའི-དགེ-འདུན-དཀོན-མཆོག	deepest Sangha Gem
དོན-དམ-པའི-དཀོན-མཆོག	deepest level Precious Gems
དོན-དམ-པའི-སངས-རྒྱས-དཀོན-མཆོག	deepest Buddha Gem
དོན-གཅིག	totally pervasive
དོན-གྱི-འོད-གསལ	actual clear light mind
དོན-ལྡོག	conceptually isolated meaning
དོན-སྤྱི	 meaning/object category | object category | object mental synthesis|meaning category 
དཔའ-བོ	vira
དཔའ-མོ	virini
དཔེའི-འོད-གསལ	model clear light mind
དཔྱད-སྒོམ	discerning meditation
དཔྱོད-པ	subtle discernment
དྲག-པོ	forceful
དྲན-པ	mindfulness
དྲན-པ-ཉེར-བཞག-བཞི	four close placements of mindfulness
དྲང-དོན	 interpretable teaching | scriptures of interpretable meaning|explicit suggestive meaning 
དྲི	smells
དྲི-མ	stain
དྲི-ཟ	those who sustain themselves on fragrances
དྲིན	kindness
དྲིན-དྲན	remembering kindness
དྲིན-གསོ	repaying kindness
དུན-པ-ཚད-མེད	immeasurable intention
དུས	time
དུས-ཀྱི-ཀུན-སློང	contemporaneous motivating aim
དུས-མཐའི-སྐད-ཅིག-མ	instant that is the smallest unit of time
དབ༹ང-བའི-དད-པ	clearheaded belief in a fact
དབ༹ངས	lucidity
ཛག-བདེ	bliss of orgasmic emission
གའུ-མ	amulet box tradition
གང-ཟག	person
གང-ཟག-ཀྱི-བདག	impossible "soul" of a person
གང-ཟག-ཀྱི-བདག-མེད	lack of an impossible soul of a person
གཅེས-ཞིང-ཕམ-པའི-བྱམས-པ	cherishing concerned love
གཅིག	monad
གཅོད	cutting-off (tradition)
གདགས-གཞི	basis for labeling
གདམས-ངག	guideline instructions
གླེང-བཞི	ethical narratives
གློ-བུར-གྱི-དྲི-མ	fleeting stain
གནད	key points
གནས-ཆ	mental abiding
གནས-ལུགས	abiding nature
གནས-སྐབས-ཀྱི-སྐྱབས-གནས	provisional source of safe direction
གནོད-སེམས	ill-will
གཉེན-པོ-བཞི	four opponent forces
གཉིད	sleepiness
གཉིས-མེད	nondual
གཉིས-མེད-རྒྱུད	nondual tantra
གཉིས-སྣང	 dualistic appearances|dualistic appearance-making 
གཉིས-ཚོགས-ཀྱི-སྒོ-ནས-བསྙེན-པར-རྫོགས-པ	dual sangha ordination
གཉུག-མ	primordial state
གཉུག-སེམས	primordial mind
གོ-ཆའི-བརྩོན-འགྲུས	armor-like joyful perseverance
གོལ-ས	deviation
གོང-མའི-སྤྱི	vertical mental synthesis
གྲུབ-མཐའ	tenet system
གྲུབ-ཐོབ-ཆེན-པོ	greatly accomplished tantric practitioner
གསལ	clarity
གསལ-བ	 vividness|in focus 
གསལ-སྣང-ཟུང-འཇུག	clarity and appearances, unified pair of
གསང-བ	enigmatic
གསང-བའི-དཀྱིལ-འཁོར	secret mandala
གསང-དབང	secret empowerment
གསང-མཆོད	hidden offering
གསང-སྒྲུབ	Hiddenly Actualized
གསང-སྔགས	hidden mantra
གསར	fresh
གསར-མ	Sarma
གསེར-སྐྱེམས	golden libation
གསོལ-འདེབས	requests
གསོས-འདེབས	 arouse|activate 
གསུང-རབ	scriptural teaching
གསུང-རབ-ཡན-ལག-བཅུ-གཉིས	twelve scriptural categories
གསུངས-གིས-བྱིན-གྱིས-རླབས-པའི-བཀ	enlightening words inspired by Buddha's speech
གཏད-པ-བཞི	four trusting acceptances
གཏན-ལ-དབབ-པ	ascertainment
གཏན-ལ-ཕབ-པ	decisive explications
གཏེར-མ	treasure text
གཏེར-མ-ཉེ-བརྒྱུད	near lineage of treasure texts
གཏེར-སྟོན	revealer of treasure texts
གཏི-མུག	naivety
གཏི-མུག-མེད-པ	lack of naivety
གཏོར-མ	torma
གཙོ-བོ	primal matter
གཙོ-སེམས	principal awareness
གཙུག-ཏོར	crown-protrusion
གཏུམ-མོ	tummo
གུས-པ	appreciation
གྱ-ནོམ-པ	superior state
གཞལ-བྱ	comprehensible phenomena
གཞལ-བྱའི-གནས-གསུམ	three types of comprehensible phenomena
གཞལ-ཡས-ཁང	immeasurably magnificent palace
གཞན-གཅེས-པར-འཛིན-པ	cherishing others
གཞན-དབང	dependent phenomenon
གཞན-སེལ	exclusions of something else
གཞན-སེམས-ཤེས-པའི-མངོན-ཤེས	advanced awareness of knowing other's minds
གཞན-སྟོང	other-voidness
གཞི	basis level
གཞི-ལྡོག	bases for conceptually isolated items
གཞི-མཐུན	common locus
གཞི-ཤེས	basis or fundamental realized awareness
གཞི-སྣང-གི-རིག-པ	appearance-making basis rigpa
གཞིའི-རིག-པ	basis rigpa
གཟུགས	 sights|forms of physical phenomena 
གཟུགས-བསྙན	mental derivative
གཟུགས-ཁམས	 realm of ethereal forms|plane of ethereal forms 
གཟུགས-ཀྱི-ཕུང-པོ	aggregate of forms of physical phenomena
གཟུགས-ཀྱི-སྐྱེ-མཆེད	cognitive stimulators that are sights
གཟུགས-མེད-ཁམས	plane of formless beings
གཟུགས-སྐུ	Corpus of Forms
གཟུང-འཛིན	consciousness that takes objects and objects taken by consciousness
ཀ-དག	primal purity
ཀར-མ-བཀའ-བརྒྱུད	Karma Kagyu
ཁ-འདོན	recitation practice
ཁ-ན-མ-ཐོ-བ	unspeakable action
ཁམས	plane
ཁམས-བཅུ-བརྒྱད	eighteen sources
ཁམས-དེ-བཞིན-སྙིང-པོ	Buddha-nature factors
ཁམས-གསུམ	three planes of samsaric existence
ཁོང-ཁྲོ	anger
ཁྲིད	discourse
ཁྲོ-བོ	forceful deity
ཁྱབ	pervasive
ཁྱབ-པ	pervasion
ཁྱབ-པའི-དམིགས-པ	pervasive object of focus
ཁྱབ-པར-འདུ-བྱེད-ཀྱི-སྡུག-བསྔལ	all-pervasively affecting suffering
ཀློང	cognitive open space
ཀློང-སྡེ	 open space division|longdey 
ཀུན-འབྱུང	origin
ཀུན-འབྱུང-བདེན-པ	true origin
ཀུན-འགྲོ	ever-functioning subsidiary awareness
ཀུན-འགྲོའི-རྒྱུ	driving cause
ཀུན-བཏགས	totally conceptional phenomena
ཀུན-བཏགས-པའི-གཟུགས	totally imaginary forms of physical phenomena
ཀུན-ད	jasmine flower drops
ཀུན-དཀྲིས-བཞི	four binding factors
ཀུན-གཞི	basis for all
ཀུན-གཞི-རྣམ-ཤེས	all-encompassing foundation consciousness
ཀུན-གཞི-ཡེ-ཤེས	deep awareness alaya
ཀུན-མཁྱེན	omniscient awareness
ཀུན-མཁྱེན-ཡིག-ཆ	Kunkyen textbooks
ཀུན-རྫོབ	superficial
ཀུན-རྫོབ-བདེན-པ	 superficial truth|superficial true phenomenon 
ཀུན-རྫོབ-བྱང-སེམས-ཀྱི-དཀྱིལ-ཁོར	mandala of relative bodhichitta
ཀུན-རྫོབ-གྱི-བྱང-ཆུབ-གྱི-སེམས	conventional bodhichitta
ཀུན-རྫོབ-པའི-ཆོས-དཀོན-མཆོག	apparent Dharma Gem
ཀུན-རྫོབ-པའི-དགེ-འདུན-དཀོན-མཆོག	apparent Sangha Gem
ཀུན-རྫོབ-པའི-དཀོན-མཆོག	apparent level Precious Gems
ཀུན-རྫོབ-པའི-སངས-རྒྱས-དཀོན-མཆོག	apparent Buddha Gem
ཀུན-ཤེས-རྣམ-ཤེས	specific-awareness alaya
ཀུན-སློང	motivating aim
ལམ	 pathway mind|pathway level 
ལམ-འཁྲུལ-བ-སེལ-བ	having the pathway minds eliminate confusion
ལམ-འབྲས	lamdray
ལམ-བདེན	true pathway mind
ལམ-གཙོ-རྣམ-གསུམ	three principal pathway minds
ལམ-ལྔ	five bodhisattva pathway minds
ལམ-རིམ	lam-rim
ལམ-རིམ-པ	those who progress through stages
ལམ-ཤེས	pathway realized awareness
ལས	 karma|impulsive behavior 
ལས-འབྲས	behavioral cause and effect
ལས-ཀྱི-ཕྱག-རྒྱ	sealing partner for physical actions
ལས-ཀྱི-རླུང	winds of karma
ལས-རུང	serviceability retreat
ལྕི-བའི-ཆོས	eight weighty restrictions
ལྡན-མིན-འདུ-བྱེད	noncongruent affecting variable
ལྡན-པའི-འདུ-བྱེད	congruent affecting variables
ལྡོག-པ	conceptually isolated item
ལེན-པ	obtainer
ལྷ	divine being
ལྷ-མ-ཡིན	would-be divine
ལྷ-ཡུལ	divine realm
ལྷའི-མིག-གི-མངོན-ཤེས	advanced awareness of the divine eye
ལྷའི-རྣ-བའི-མངོན-ཤེས	advanced awareness of the divine ear
ལྷའི-སྤྱན	extrasensory divine eye
ལྷག-བཅས-ཀྱི-མྱ-ངན-འདས	nirvana with residue
ལྷག-བསམ	 exceptional sincerity|exceptional resolve 
ལྷག-གེ	 vividly and distinctly|distinctly 
ལྷག-མེད-མྱ-ངན-འདས	nirvana without residue
ལྷག-མཐོང	exceptionally perceptive state of mind
ལྷན-ཅིག-འབྱུང-བའི-རྒྱུ	 simultaneously arising causes|simultaneously arising cause 
ལྷན-ཅིག-བྱེད-པའི-རྐྱེན	simultaneously acting condition
ལྷན-ཅིག-སྐྱེས-སྦྱོར	simultaneously arising as merged
ལྷན-སྐྱེས	 co-arising | simultaneously arising|automatically arising 
ལྷན-སྐྱེས-བདེ-བ-ཆེན-པོ	simultaneously arising greatly blissful awareness
ལྷོ-གཏེར	Nyingma Southern Treasure Text Lineage
ལྷུན-གྲུབ	spontaneously establishing appearances
ལྷུན-གྲུབ-སྦུབས-ཀྱི-རིག-པ	rigpa of all-embracing spontaneous presence
ལྐོག-ན-མོ	hidden
ལྐོག-གྱུར	obscure phenomenon
ལྔ-ལྡན	possessing five tradition
ལོ-གསུམ-ཕྱོགས-གསུམ	three years and three phases of the moon
ལོ-ཙ-བ	eye-opening
ལོག-འཚོ	wrong livelihood
ལོག-ལྟ	 distorted outlook|distorted antagonistic thinking 
ལོག-ཤེས	distorted cognition
ལོངས-སྤྱོད-རྫོགས-པའི-སྐུ	Corpus of Full Use
ལྟ-བ	 view|outlook 
ལྟ-བ-བཀའ-བཏགས-གྱི-ཕྱག-རྒྱ-བཞི	four sealing points for labeling an outlook as being based on enlightening words
ལྟ-བ-མཆོག-ཏུ-འཛིན-པ	holding a deluded outlook as supreme
ལྟ-བ-ངན-པ-དྲུག-ཅུ-རེ-གཉིས	sixty-two wrong views
ལྟ-བ-ཉེ-བར-ལེན-པ	obtainer deluded outlook
ལྟ-བ-ཉོན-མོངས-ཅན	deluded outlook
ལྟ-མིན-ཉོན-མོངས	disturbing emotions without an outlook on life
ལྟ-སྒོམ-སྤྱོད-གསུམ	view of reality, way of meditating, and way of behaving
ལུགས-འབྱུང	progressive sequence
ལུགས-ལྡོག	reversal sequence
ལུང	oral transmission
ལུང-མ-བསྟན	unspecified phenomenon
ལུང-བསྟན-པ	revelatory accounts
ལུང-གི-རྗེས-འབྲང	Follower of Scripture
ལུས-ཕྲ-མོ	subtle body
ལུས-ཤིན-ཏུ-ཕྲ-མོ	subtlest body
ལུས-ཅན	embodied being
ལུས-དཀྱིལ	body mandala
ལུས-ཀྱི-རྣམ-ཤེས	body consciousness
མ-འོང-པ	not-yet-happening
མ-བཅོས-པའི-སེམས	noncontriving mind
མ-བསྒྲིབས-པའི-ལུང-མ-བསྟན	nonobstructive unspecified phenomenon
མ-དག	unpurified
མ-དག-པའི-སྣང-བ	impure appearance
མ-ཧ-ཡོ-ག	mahayoga
མ-རྒྱུད	mother tantra
མ-རིག-ཀུན-བརྟགས	doctrinally based unawareness
མ-རིག-པ	unawareness
མ-རིག-པའི-ཡན-ལག	link of unawareness
མ-རིགས-ལྷན-སྐྱེས	automatically arising unawareness
མ-ཡིན-དགག	implicative negation phenomenon
མ-ཡིན-པ-ལས-ལོག-པ	nothing-other-than
མན-ངག	quintessence teachings
མན-ངག-སྡེ	quintessence teachings division
མན-ངག-ལས-འབྱུང-བའི-བསླབས-བྱ	training specified from guideline instructions
མར-ཤེས	mother-awareness
མཆེད	light diffusion
མཆོད-པ	 offering ritual|offering 
མཆོད-རྟེན	stupa
མདོ	sutra
མདོ-སྡེ-སྤྱོད-པའི-དབུ-མ-རང-རྒྱུད-པ	Sautrantika-Svatantrika
མདོ-སྡེ-པ	Sautrantika
མདོའི-གསང-ལམ	hidden path of sutra
མདོའི-ཕྱག-ཆེན	sutra mahamudra
མདུན-བསྐྱེད	front-generation
མཛད-པ	enlightening deeds
མེ-ལོང-ལྟ-བུའི-ཡེ-ཤེས	mirror-like deep awareness
མེད-དགག	nonimplicative negation phenomenon
མེད-དགག-གི-གཞན-སེལ	nonimplicative negation exclusions of something else
མེད-པ	nonexistents
མེད-སྣང	 appearances of non-true existence|appearance-making of non-true existence 
མགོན-པོ	guardian
མི-འགྱུར-རྡོ-རྗེའི-སྐུ	Immutable Vajra Corpus
མི-འགྱུར-བའི-བདེ-བ	unchanging bliss
མི-བདེ-བ	unhappiness
མི-བསླུ-བ	nonfallacious
མི-དགེ-བ	destructive
མི-གཡོ-བ-གསུམ	three immovables
མི-གནས-པའི-མྱ-ངན-འདས	nonabiding nirvana
མི-རྟག-པ	 nonstatic phenomenon|nonstaticness 
མི-རྟག-པ-ཕྲ-མོ	subtle impermanence
མི-རྟག-པ-རགས-པ	gross impermanence
མི-ཤེས-སྒྲིབ	obscurations of not knowing
མི-སློབ-ལམ	pathway mind needing no further training
མི-སྲིད-པ	invalid phenomenon
