འམ	[C]vā; [C]athavā-api
འབྲལ-བ-ལ-སྒྲིབ-པ	[MV]viśleṣa-apagama
འབྲལ-བ-མེད	[C]avisaṃyoga
འབྲལ-བའི-བྱེད-རྒྱུ	[MV]viśleṣa-apagama
འབྲལ-བར-འགྱུར-རོ	[C]prativinodayati (=sarvathā-apanayanāt)
འབྲལ-བར-བྱེད-དེ	[C]vivecayati (=vivekayati = paribāheti)
འབྲལ-བར-བྱེད-པ	[C]vivecanatā; [C]vivecayati
འབྲལ-བར-བྱེད-པའི-ཚིག-རྣམས	[C]viveka-padāni
འབྲལ-བར-མི-བྱེད-པ	[C]avirahita
འབྲས	phala
འབྲས-བུ	[C,L,MSA,MV]phala; [MSA]phalatva
འབྲས-བུ-འབྱིན	[MSA](√phal): phalasi
འབྲས-བུ-འབྱོར-བ	[MSA]phala-samṛddhi
འབྲས-བུ-འབྱུང-བ	[MSA]phalodaya
འབྲས-བུ-འཛིན-པའི-ཡོན-ཏན	[MSA]phala-parigraha-guṇa
འབྲས-བུ-འཕེལ-བ	[MSA]phala-vṛddhi
འབྲས-བུ-བྱང-ཆུབ-ཆེན-པོ	[MSA]mahā-bodhi-phala
འབྲས-བུ-ཆེ	vṛhatphala; bṛhatphala
འབྲས-བུ-ཆེ-བ	[MV]mahā-phala; vṛhatphala
འབྲས-བུ-ཆེན-པོ	[MSA]mahā-phala
འབྲས-བུ-ཆོས-སྐུ	*phaladharmakāya
འབྲས-བུ-ལ-གནས-པ	[N]phala-sthita
འབྲས-བུ-ལ-ཞུགས-པ	[N]phala-pratipannaka
འབྲས-བུ-ལྔ	[MV]pañca-phala
འབྲས-བུ-ལྔ-བསྟན-པ	[MSA]pañca-phala-saṃdarśana
འབྲས-བུ-ལྟར-འཚོ-བར	[C]phalopajīvya
འབྲས-བུ-མ-ཐོབ	[MV]aprāpte-phala
འབྲས-བུ-མེད-པ	[MV]niṣphala
འབྲས-བུ-མངོན-པར-འགྲུབ-པ	[MSA]phalābhinirvartana (e.g.: buddhatva-phalābhinirvartana)
འབྲས-བུ-མྱོང	[MSA]phalānubhūti
འབྲས-བུ-རྣམ-པ-བཞིའི-སྒྲིབ-པ	[MSA]phalāvaraṇa (catur-vidha-)
འབྲས-བུ-སངས-རྒྱས-ཉིད-མངོན-པར-འགྲུབ-པ	[MSA]buddhatva-phalābhinirvartana
འབྲས-བུ-སྐྱེ-བ	[MSA]phalodaya
འབྲས-བུ-སྐྱེ-བའི-སྙོམས-འཇུག	*kāryasamāpatti
འབྲས-བུ-ཐོབ	[C]phala-prāpta
འབྲས-བུ-ཐོབ-པའི-ཁྱད-པར	[MSA]phala-prāpti-viśeṣa
འབྲས-བུ-ཐུན-མོང-འདོད-པ-ཡིད-ལ-བྱེད	[MSA]sādhāraṇa-phalecchā-manasikāra
འབྲས-བུ-ཡང-དག-པར-འགྲུབ-པ	[MSA]phala-samudāgama
འབྲས-བུ-ཡོད-པ	[MSA]abandhya
འབྲས-བུ-ཡོད-པར	[C]amogha(m); [C]avandhya
འབྲས-བུའི-དངོས-པོར-མེད	[MSA]phala-bhāvenāsat
འབྲས-བུའི-དོན	[MSA]phalārtha
འབྲས-བུའི-གཏན-ཚིགས	[GD:278] kāryahetu
འབྲས-བུའི-ངོ-མཚར-ཆེ-བ	[MSA]phalāścarya
འབྲས-བུའི-སྒོ-ནས-རིགས-ཁྱད-པར-བྱ-བ	[MSA]phalato gotra-viśeṣaṇaṃ
འབྲས-བུའི-ཐེག-པ	phala-yāna
འབྲས-གནས	phala-stha; phala-sthita
འབྲས-མ-དམིགས-པ	kārya-anupalabdhi
འབྲས-མཆོག	[MSA]agra-phala
འབྲས-མཆོག-ལྡན-པ	[MSA]parama-phalāḍhya
འབྲས-པུ	phala
འབྲས-ཡོད	[C]avandhya
འབྲས-ཡུམ-ལ-ཉེ-བའི-གཞི-ཤེས	phalamūtamāturāsannıbhūtaṃ vastujñānam
འབྲས-ཡུམ-ལ-རིང-བའི-གཞི-ཤེས	phalamūtamāturdūrībhūtaṃ vastujñānam
འབྲེལ-བ	[L]saṃbaddha; [C]anubaddha; [C]avanaddha; [C]baddha; [C]saṃbandha; [C]pinaddha
འབྲེལ-བ-བརྟག-པའི-རབ-ཏུ-བྱེད-པ	saṃbandha-parīkṣā-vṛtti
འབྲེལ-བ-མེད-པའི-དོན	asamgatārtha
འབྲེལ-བར-མ-ཡིན-པ	[C]asaṃbandha
འབྲེལ-པ	[LCh,MSA,MV]saṃbandha; [C]pratibandha; [MSA]abhisaṃbandha; [MSA]lalitā; [MSA]śliṣṭa(tva); [MSA]saṃbaddha; [MSA]sahita; [MV]saṃyoga
འབྲེལ-པའི-དབང	[MSA]saṃbandha-vaśa
འབྲེལ-པས-སྡུག-བསྔལ-ཉིད	[MV]saṃbandha-duḥkhatā
འབྲེལ-ཡུལ	*saṃbandha-viṣaya
འབྲི	[MSA]vyaya; ūnatva; nyūna
འབྲི-བ	[MSA]ūnatva; [MSA]nyūna
འབྲི-བ-ལ-བརྟེན-པ	[C]hīna-bhāgīya
འབྲི-བར-མི-འགྱུར	[MSA]na ... avahīyate
འབྲི-དང-འཕེལ	[MV]hānivṛddhi
འབྲི-ཞིང-འཕེལ-བ	[MV]hānivṛddhi
འབྲིང	 dman pa/ 'bring/ mchog/ [MSA]hīna ... madhya ... uttama|[LCh,C,L,MSA]madhya; [MSA]vimadhyama 
འབྲིང-བ	[MSA]madhya
འབྲིང-གི-འབྲིང	madhyamadhya
འབྲིང-གི-ཆེན-པོ	madhyādhimātra
འབྲིང-གི-ཆུང-ངུ	madhyamṛdu
འབྲིང-པོ	[MSA]madhya
འབྲོག-དགོན-པ	[C]aṭavī-kāntāra
འབྲོག-དཀོན-པ	[C]aṭavī-kāntāra
འབྲོག-མེ-ཤོར-བའི-གནོད-པ	[C]agnidāhe vartamāne
འབྲུ	[C]dhānya; [C]yavā
འབྲུ-མར	[L]taila
འབྲུག-གི	[C]jūmūta
འབྲུག-གི-སྒྲ-དབྱངས	[MSA]megha-svara-ghoṣā
འབུ-ཅན-གྱི	[C]niruttamaka (=vipaḍumaka); [C]vidhūtaka
འབུལ	(upa √gam): [MSA]upagamayati; [MSA]upagama
འབུམ	[L]śata-sahasra
འབུམ-ཕྲག	[L]śata-sahasra; [MSA]śata-sāhasrika
འབྱེད-པ	[N]racayati
འབྱེད-པར-བྱེད-པར-འགྱུར-ཏེ	[C]bhedaṃ prakṣipati
འབྱིན	'bras bu 'byin = (√phal): [MSA]phalasi
འབྱིན-པ	[C]uddharati; [C]janayitrī; [MSA]udbheda (e.g.: udaka-dhāraṇa-udbheda); [MV]dāna; [MSA]tshig ... 'byin pa = vacana
འབྱིན-པ-པོ	[PU] sraṣṭā 
འབྱིན-པར-འགྱུར-རོ	[C]uddharati
འབྱོར	vibhutā
འབྱོར-འབྲེལ	yoga
འབྱོར-བ	[LCh]saṃpanna; [MSA]saṃpatti; [C,MSA]samṛddhi; [MSA]vibhutva; [MSA]vibhūti; [MSA]śliṣṭa; [MSA]aupayika; saṃpad
འབྱོར-བའི-དུས	[MSA]saṃpatti-kāla
འབྱོར-བའི-ཡེ-ཤེས	[MSA]vibhutva-jñāna
འབྱོར-དང-མཐུན-སྤྱོད-ཡེ-ཤེས	[MSA]vibhutvānucara ... jñāna
འབྱོར-པ	[MSA]vibhutva; [MSA]vibhūti; [MSA]aupayika; [MSA,MV]samṛddhi; [MSA]saṃpatti; [MSA]śliṣṭa; [C]samṛdhyayati; saṃpad
འབྱོར-པར-གྱུར-ཅིག	[C]samṛdhyate; [C]samṛdyantām
འབྱོར-རྒྱུ	[MSA]vibhutā-hetu
འབྱུང	[LCh]saṃbhava; (pra √bhū): [MSA]prabhavati; [MSA]prodbhūti; [C]-prabhāva; [C]prabhavo; [C]prādurbhāva; [MSA]saṃbhūta; (√jan): [MV]jāyate; [C]jāto; [L]jñato; [C]udaya; [C]-udaya; [C]niṣkrāmati (=abhiniṣkrāmati); [C]prasuta; [C]samāgamati (=prādurbhavanti);
འབྱུང-འགྱུར	[C]saṃbhavati; [C]upapadyati; [C]vartate
འབྱུང-འགྱུར-བ	[C]saṃbhavati; [C]āgamu; [C]utpatti
འབྱུང-འགྱུར-གྱི-རེག-བྱ	bhauta-spraṣṭavya ; bhautika-spraṣṭavya
འབྱུང-བ	[LCh,MSA]bhūta; [C]abhutī; [C]sambhava; [C]bhavati; [MV]prabhavata; [C]upapadyati; [C]utpanna; [MSA,MV]utpāda; [MV]utpatti; [C]prasūta; [C]naiṣkramya; [C]nairyāṇika; [C]nirvṛtti; (pra √vṛt): [MV]pravartate; [MV]pravṛtti; [L]pravṛt-; [MV]anusāra (e.g.: sūt)
འབྱུང-བ-ཆེ	[MSA]mahodaya
འབྱུང-བ-ཆེན-པོ	mahābhūta
འབྱུང-བ-ཆེན-པོ-བཞི-པོ-དག	[MSA]mahā-bhūtāni (catvāri-)
འབྱུང-བ-ལྷག-མ-རྣམས	[MSA]śeṣāni bhūtāni
འབྱུང-བ-མ-མཆིས-པ	[C]na utthāna
འབྱུང-བ-མཆིས-པ	[C]utthāna
འབྱུང-བ-མེད-པ	[C]aprādurbhāva; [C]asaṃbhava
འབྱུང-བ-ཡིན	[C]prādurbhūta
འབྱུང-བའི-བྱེ-བྲག	bhūta-viśeṣa
འབྱུང-བའི-བྱེད-རྒྱུ	[MV]utpatti-kāraṇa
འབྱུང-བའི-གནས	[MSA] ākara
འབྱུང-བར	[C]prasuta
འབྱུང-བར-འགྱུར	[C]utpattito bhavati; [C]utpadyate; [C]niryāti; [C]prādurbhavati; [C]pracarati
འབྱུང-བར-འགྱུར-བ	[C]utpadyante; [C]bhavati
འབྱུང-བར-གྱུར-པའི-རེག-བྱ	bhūta-spraṣṭavya
འབྱུང-བས-བྱས-པ	[MSA]bhūta-kṛta
འབྱུང-གནས	[MSA]ākara
འབྱུང-ཁུངས	[LCh]ākara
འབྱུང-པོ	[MSA]bhūta
འབྱུང-པོ-རྣམས-ཀྱི-འཇིགས-པ-སྤང-བ	[MSA]bhaya-prahāṇa (bhūtānāṃ-)
འབྱུང-པོའི-གདོན	[C]bhūta-grahā; bhūta-graha
འབྱུང-སྟེ	[C]prādurbhavati
འབྱུང-ཡོད	[C]sambhava
འཆའ	(pra √jñā): [MSA]prajñapyate
འཆའ-བར-མཛད-པ	[MSA]prajñāpayati
འཆབ	[C]mrakṣa
འཆབ-པ	[C]mrakṣa
འཆད	[MV]upadiś-; [MV]upadiśyante; [MSA]deśanā; [C]bhāṣate (=abhasate); sūcatī (=sūcayati); [MV]prakāśana; so sor 'chad par byed pa = [MSA]pratideśaka
འཆད-བྱེད	deśika[MSA]
འཆད-པ	[C]bhāṣyati; [C]sūcanā; [L]samuccitti; [C]ucchinna; [MV]prakāśana; [MV]vaktṛ
འཆད-པར-བྱེད	[C]ācakṣīta; ( √diś): [MSA]deśyate; [C]deśika
འཆད-ཚེ	[C]bhāṣyamāṇa
འཆག	[C]saṃkramam
འཆག-པ	[C]saṃkramam
འཆག-པ-ལ-དད-ཆེར-མི-འགྱུར	[C](na) caṃkramaṇa-śīla (bhavati)
འཆགས	vivarta; so sor 'chags pa = [MSA]pratideśanā
འཆགས-པ	vivarta
འཆགས-པའི-དུས	[MSA]vivarta-kāla
འཆགས-པར-བྱེད-པ	[C]pratideśayati (=gṛhīta-bodhicitta-parityāgāt = pratyāpatti-balāt = kṛta-pāpadeśanān)
འཆལ-བ-ཚུལ-ཁྲིམས	[L]dauḥśīlya
འཆལ-བའི-ཤེས-རབ	[C]dauṣprajñā
འཆལ-པ	tshul khrims 'chal pa = [MSA]duḥśīla
འཆལ-པའི-ཤེས-རབ	[MSA]dauṣprajñya
འཆལ-པའི-ཚུལ-ཁྲིམས	[MSA]dauḥśīlya
འཆལ-ཚུལ-རྩོམ-པའི-དྲི-བྲལ	[MSA]dauḥśīlyābhoga-vaimalaya
འཆང-བ	[C]dhārayanti; [MSA]dhārana
འཆར-བ	[C]udayāti
འཆར-བྱེད	[Negi] udayana
འཆི	[C]mriyate
འཆི-འཕོ	[C]cyuti; [C] cyavana
འཆི-འཕོ-བ-དང-སྐྱེ-བ-དང-མི-སྐྱེ-བ	[C]cyuty-upapatty-anupattitā
འཆི-འཕོ-བ-ཡང-མ-ཡིན	[C]acyuti
འཆི-འཕོ-དང-སྐྱེ-བ	[C]cyutopapatti
འཆི-བ	[LCh,C,MSA,MV]maraṇa; [C]mriyate; [C]mṛtyu; [C]marana; [C]cyavate
འཆི-བ-མེད-པའི-སྒོ	[C]amṛtasya-dvāra
འཆི-བ-མི-རྟག-པ	maraṇānitya
འཆི-བའི-དུས-བྱས-པ	[C]kāla-gata
འཆི-བའི-དུས-བྱས-པར-གྱུར-ན	[C]kāla-gata
འཆི-བའི-གནས-སྐབས-ཀྱི-བར-དུ	[C]maraṇa-avasthā
འཆི-བའི-ཚེ	[MSA]maraṇa-kāla
འཆི-མེད	[C]amṛta
འཆིང-བ	bandhana[LCh,C,MSA]
འཆིང-བར-འགྱུར	[C]badhyate
འཆོས	tshul 'chos = [MSA]kuhanā; legs par 'chos pa = [MSA]praṇihita
འདའ	[C]atikrāmati
འདའ-བ	[C]vyativartate (=atikrāmati = vivardhate); [C]atikramaṇa; [C]atikrāmati; [MSA]ativartana
འདའ-བར-འགྱུར	[C]atikrāmati
འདའ-བར-བྱ-བ	[C]uttaraṇa
འདའ-བར-བྱེད	[C]atikrāmati
འདའ-བར-མི-བྱ-བ	[C]anuttaraṇa
འདབ	[C]pattra (=parṇa)
འདབ-ཆགས	[C]pakṣin; [MSA]pakṣa-vāta
འདབ-ཆགས-བྱ	[C]pakṣin
འདབ-གཤོག-ཟད	[C]kṣiṇa-pakṣo
འདབ-མ	[C]pattra; [C]palāśa; [C]dala
འདམ-ལ-ཆགས	[C]paṅka-sakta
འདམ-ལས	[C]paṅka
འདམ-ལས-བརྒ-བ	[C]paṅka
འདས	[C]atikrāmati; [MSA]atikrama; [C,MSA]atīta
འདས-བྱས-ནས	[C]atikramya
འདས-དུས-སྔོན-གྱི	[C]purimādhvatīta
འདས-ནས	[C]atikramya (=ullaṇghya); [C]atyayena (=parinivāṇena)
འདས-པ	[C,MSA,MV]atikrama; [C,MV,MSA]atīta; [C]samuttīrṇa
འདས-པ-དང-ད-ལྟར-བྱུང-བ	[MSA]atīta-pratyutpanna
འདས-པ-དང-མ-འདས-པ-དང-ད-ལྟ-བྱུང-བ	[MSA]atītānāgata-pratyutpanna
འདས-པ-ལ-སོགས-པར-དབྱེ-བ	[MSA]atītādibheda
འདས-ཤིང	[C]atīta; [C]uttīrṇatva
འདས-སྨྲ-བ	lokottara-vādin
འདེའི-རིགས-ཅན	[C]taj-jātikam
འདེབས-པ	[MV]ropaṇa; [C]praharaṇa; [MSA]praṇidhānaṃ kariṣyanti; [MSA]smon lam 'debs pa = praṇidadhāti
འདེགས-པ	[C]utkṣipai
འདེས-པ	[C]peśala
འདི-དག	[C]ayu (=ayam)
འདི-དག-གཞན-པ	[C]aihika-amutrika
འདི-དག-ཀུན-རྟོག-པ-ཙམ	[MSA]kalapanā-mātraṃ sarvam etad
འདི-དག-ཕན-ཚུན	[L]anyonya
འདི-ལ	[C]atas
འདི-ལས	[C]anu; [C]itu
འདི-ལྟ-འདི-ལྟར-གྱུར-ཅིག	[MSA]evaṃ caivaṃ ca syām
འདི-ལྟ-བུ	[MSA]īdṛśa
འདི-ལྟ-སྟེ	[L]tadyathā; [MV 2.14]ayam; [MV 1]yad uta
འདི-ལྟ-སྟེ-དཔེར-ན	[L]tadyathā
འདི-ལྟར	[MV 2.14]tathā hi; [MV]yatas; [MV]yatas ... tatas; [MV 5.2]yad uta; [MV 1.4]yasmāt; [C]evaṃ pravṛtta
འདི-ལྟར-འདས-པ	[C]ity-uktaka
འདི-ཕྱིར-ཕན-ཡོན-ཆེ-བའི-ཐེག-ཆེན-མཐོང-ལམ	mahānuśaṃso mahāyānadarśanamārgaḥ
འདི-སྙམ-དུ-སེམས	[C]evaṃ bhavati
འདི-སྙེད	[MSA]iyat
འདི-སྙེད-དུ-ཆེས-ལྕི-སྟེ	[C]tāvad-gurutara
འདིར	[MSA]iha
འདོད	[C]kāmatā; [C]spṛhā; [C]spṛhate; [C,MSA]mata; (√kāṅkṣ): [MSA]kāṅkṣanti; [C]ākāṅkṣamāna; [C]ākāṅkṣati; [C]abhilāṣin; [MSA; Xyl: 'dor; 'dar](abhi √nand): abhinandati; [MV]iccha; [MV]iṣṭa; [MV 1.4]iṣyate; [C]icchā; [MV]ruci; [MV]abhipreta; [C]abhipraya
འདོད-བསྐྱེད-ན	[C]spṛhāṃ janeti
འདོད-བྱ	[C] spṛhaṇīya
འདོད-ཆགས	[C,MV,MSA]rāga; tṛṣṇā
འདོད-ཆགས-བྲལ-བ	[C]virāga; [C]vīta-rāga
འདོད-ཆགས-ཆེན-པོ	[C]mahā-rāga
འདོད-ཆགས-ཆོས-ལས-སྤྱོད-པ	[C]rāga-dharma-carita
འདོད-ཆགས-དང-བྲལ-བ	[C,MSA]virāga; [C,MSA]vīta-rāga; [MSA]vairāgya
འདོད-ཆགས-དང-བྲལ-བ-མེད-པ	[C]aviraktatā
འདོད-ཆགས-དང-བྲལ-བའི-ས	[C]vītarāga-bhūmi
འདོད-ཆགས-དང-བྲལ-བར-འགྱུར-བ	[C]virajyate
འདོད-ཆགས-དང-བྲལ-བར-བགྱི-བ	[C]virāga
འདོད-ཆགས-དང-བྲལ-བར-བྱེད	[C]virajyate
འདོད-ཆགས-དང-མ-བྲལ-བ	[MSA]avīta-rāga
འདོད-ཆགས-དང-མ-རིག-པ	[MSA]rāgāvidyā
འདོད-ཆགས-ལ-སོགས-པ	[MSA]rāgādi
འདོད-ཆགས-མང-བ	[MSA]bahu-rāgatva
འདོད-ཆགས-མེད-པ	arāga
འདོད-ཆགས-པ-མེད-ཅིང	[C]arakta
འདོད-ཆགས-པར-བྱེད	[C]rajyate
འདོད-ཆགས-སྤྱོད-པ	[MSA]rāga-carita; [MSA]rāge caritaṃ
འདོད-ཆགས-སྤྱོད-པའི-སྒྲིབ-པ	[MSA]rāga-carita ... āvaraṇa
འདོད-ཆུང	[C]alpecchatā
འདོད-དགུ	[MSA]kāma; [L]anukāma
འདོད-དགུ-ཐོབ-པ	[MSA]iṣṭa-nikāma-labdha
འདོད-ཁམས	[LCh,]kāma-dhātu
འདོད-ཁམས-ཀྱི-ལྷ	kāma-dhātu-deva
འདོད-ལ-མ-ཆགས	[MSA]kāmeṣv asaktaḥ
འདོད-ལྡན	[MSA]kāmin
འདོད-ལྷ	kāmadeva
འདོད-པ	[LCh,MSA,MV,C,L]kāma; [C]spṛhatā; [C]spṛhayate (=spṛhet); [C,MSA]spṛhā; [C]chandikatā; [C,N]icchā; [C]icchati; [LCh,C,MSA]iṣṭa; [C,N]iṣyate; [MSA]eṣitā; [MSA]eṣin; [N]abhyupagama; (ā √kāṅkṣ): [MSA]ākāṅkṣati; [MSA]ākāṅkṣaṇa; [C]ākāṅkṣamāna; [C]arthika;
འདོད-པ-བསྐྱེད	[C]spṛheti
འདོད-པ-བསྐྱེད-པ	[C]icchati
འདོད-པ-བཞིན	[C]nikāma
འདོད-པ-བཞིན-མ	[C]anikāma
འདོད-པ-ཅན	[MSA]kāmin
འདོད-པ-ཆུང	[C]alpeccha
འདོད-པ-དང-གཟུགས-དང-གཟུགས-མེད-པ-ན-སྤྱོད-པ	[MV]kāma-rūpārupyāvacara
འདོད-པ-གཞན-གྱི-དབང-ཉིད	[MV]iṣṭe pāratantryaṃ
འདོད-པ-ཇི-ལྟ-བར	[MSA]yathābhiprāyaṃ
འདོད-པ-ལ-འདུན-པ	kāmacchanda
འདོད-པ-ལ-ལོག-པར-གཡེམ-པར-བྱེད	[C]kāmeṣu mithyā-carati
འདོད-པ-ལ-ལོག-པར-གཡེམ-པར-མི-བྱེད	[C]na kāmeṣu mithyā-carati
འདོད-པ-ལ-མངོན-པར-ཆགས-པ	[C]kāma-abhiṣvaṅga (=abhiniveśa)
འདོད-པ-ལ-ཡོངས-སུ-ལོངས-སྤྱོད-པ	[MSA]kāma-paribhoga
འདོད-པ-མ-མཆིས-པ	[C]aspṛhaṇata
འདོད-པ-མེད	[MSA]gata-spṛha
འདོད-པ-ན-སྤྱོད-པ	[C]kāma-avacārā
འདོད-པ-ཉུང	[C]alpeccha
འདོད-པ-ཉུང-པ	[C]alpeccha
འདོད-པ-ཡིད-ལ-བྱེད-པ	[MSA]abhilāṣa-manaskāra
འདོད-པའི-འབྲས-བུ-དོན-མི-གཉེར	[MSA]neṣṭaṃ phalaṃ prārthitaṃ; [MSA]iṣṭa phalaṃ prārthitaṃ
འདོད-པའི-འདོད-ཆགས	[MSA]kāma-rāga
འདོད-པའི-ཁམས	[C,MSA]kāma-dhātu
འདོད-པའི-ལས-ཅན	[C]iccha-karmāṃ
འདོད-པའི-རྒྱུ-ཉིད	[MSA]iṣṭa-hetutva
འདོད-པའི-ཡོན-ཏན	[LCh,C]kāma-guṇa
འདོད-པར-བྱ	[C]icchati
འདོད-པར-བྱ-བ	[C]spṛhaṇīya
འདོད-པར-སྐྱེ	[MSA]janma kāme
འདོད-པས-ལོག-པར-གཡེམ-པ	[C]kāma-mithyā-cāra; kāmamithyācārā
འདོད-པས-ལོག-པར-སྤྱོད-པ	[C]kāma-mithyā-cāra
འདོད-རྒྱལ	[N]yādṛcchika
འདོད-ཡོན	[LCh]kāma-guṇa
འདོག-པ	[C]prakāśayati
འདོག-པར-མཛད	[C]vyāhṛta
འདོགས	[MSA,L](pra √jñā): prajñāpayati
འདོགས-པ	(pra √jñā): [MSA,L]prajñāpayati; [MSA]prajñapti; prajñaptiḥ
འདོགས-པའི-ཚིག	prajñaptivāda
འདོགས-པར-བྱེད	[MSA]prajñāpayati (pra √jñā)
འདོགས-པར-མཛད-དོ	[C]prajñapayati (=eka-rūpeṇa vyavasthāpayati)
འདོགས-པར-མི-བྱེད	[C]aprajñāpayan
འདོམ	[C]vyāma
འདོམས	upastha
འདོམས-ཀྱི-སྦ-བ-ནུབ-པའི-མཆོག	[C]uttamavasti-guhya
འདོམས-པ	[MSA]avavadana; [MSA]avavāda; [MSA]upadeśa
འདོམས-ཤིང	[C]avavadati
འདོན	[L]uddeśayanti; [MSA]arthopagamana; [MSA]upagamana
འདོན-པ	[MSA]arthopagamana; [MSA]upagamana; [L]uddeśayanti
འདོན-པར-འདོད-པ	[C]uddhartu-kāma
འདོན-པར-ཡང-བྱེད	[L]uddeśayanti
འདོར	[C]utsṛjati; [C]tyajati; [C]ujjhati; [MSA](apa √nī): apanayati; (√ric): [MSA]riñcanti; [C]riñcati
འདོར-བ	[C]parityajati; [C]parimokṣaṇa; [C]niryūhika; (ut √sṛj): [C]utsṛjati; [MV]utsṛjati; [MSA]nikṣepaṇa; [C]kṣepaṇa; [MSA]apagama
འདོར-བ-མེད-པ	[C]anavakāra
འདོར-བ-མེད-པ-སྟོང-པ-ཉིད	[C]anavakāra-śūnyatā
འདོར-བར-འགྱུར	[C]pratiniḥsṛjati (=āśrayabalāt); [C]riñcati
འདོར-བར-བགྱིད-པ	[C]niryūhika
འདོར-བར-བྱེད	[C]takṣati
འདོར-ལེན	[MSA]tyāgādāna
འདྲ	[MSA]sadṛśa; [C]tadvat; [C]tulya; [C]ābha; [MSA]iva; [MSA]prakhya; [MSA]saṃnibha
འདྲ-བ	sadṛśa; [MSA]aupamya; [MSA]kalpa; [MSA]tulya; [MSA]pratibimbaka; [MSA]yathā; [MSA]mi 'dra ba = vailakṣaṇya; sādṛśya [GD:227];
འདྲ-བར	[C]tulya
འདྲ-བར-འགྱུར	[C]tulya
འདྲ-རིང-བར-འཚམ	[C]anupūrvatā
འདྲེ	piśāca
འདྲེ-བ-མེད-པ	[C]asaṃkīrṇa
འདྲེ-བའི-བཟོ	[C]dāru-yantro
འདྲེ-བར	[C]saṃkīrṇa
འདྲེ-པ	[C]saṃkīrṇa
འདྲེག	[C]utkṣipati
འདྲེན	[MSA]āvāhana; [MSA](pari √kṛṣ): parikṛṣyate
འདྲེན-པ	[C]nāyaka; [C]nāyika; [C]nara-nāyaka
འདྲེན-པའི-ཐབས	[MSA](ud √dhṛ) uddhartum upāyaḥ
འདྲེས-མར-མ-གྱུར-པ	[L]akalmaṣa
འདྲེས-པ	[LCh]saṃsṛṣṭa; [C]miśra; [C,L]saṃkīrṇa; [MV,MSA]vyavakiraṇa; [MSA]vyavakīrṇa; [MSA]ākrānta; [MSA]viṣākrānta; [MSA]parijaya; [MSA]ma 'dres pa = vibhinna
འདྲེས-པར-འགྱུར	[L]miśra-bhūta
འདྲེས-པར-གནས	[C]vyavakīrṇa-vihāra
འདྲེས-པར-གནས-པ	[C]vyavakīrṇa-vihāra; [C]saṃkīrṇa-vihāra
འདྲི	[C]paripṛcchati
འདྲི-བ	[C]paripṛcchati; [C]praśna
འདྲི-བའི-གཞི	[C]ādhāra
འདྲི-བར-བྱ	[C]paripṛcchati
འདྲི-ཞིང	[C]likhati
འདྲིས	[C,MV]saṃstava
འདྲིས-བ	[C]paripṛcchati; [C]praśna
འདྲིས-བྱེད	[C]saṃstava
འདྲིས-པ	[C,MV]saṃstava; [MSA]ucita; [MSA]aparijaya
འདྲིས-པ-ཤེས-པ	[C]parijaya-jñāna (= parijaya-saṃjñānam)
འདྲིས-པ-ཡེ-ཤེས	[C]parijaya-jñāna (=parijaya-saṃjñānam)
འདྲིས-པར-བྱེད-ལ	[C]paricayaṃ karoti (=parijayam?)
འདུ	[C]āya
འདུ-འཛི	vyapakarṣa; [C]saṃsarga; [MSA]ākīrṇa
