སངས-རྒྱས	buddhaḥ
རྣམ-པར-གྲོལ-བའི-ཡེ-ཤེས-མཐོང-བའི-ཕུང-པོ	vimuktijñānadarśanaskandhaḥ
ཡེ-ཤེས-བཞི	pañcajñānāni
ཆོས-ཀྱི-དབྱིངས-རྣམ-པར-དག-པ	dharmadhātuviśuddhiḥ
མེ-ལོང-ལྟ-བུའི-ཡེ-ཤེས	ādarśajñānam
མཉམ-པ-ཉིད-ཀྱི-ཡེ-ཤེས	samatājñānam
སོ-སོར-རྟོག-པའི-ཡེ-ཤེས	pratyavekṣaṇājñānam
བྱ-བ-ནན-ཏན-དུ-གྲུབ-པའི-ཡེ-ཤེས	kṛtyānusthānajñānam
སྐུ-གསུམ-ལ	trikāyāḥ
ཆོས-ཀྱི-སྐུ	dharmakāyaḥ
ལོངས-སྤྱོད-རྫོགས-པའི-སྐུ	sambhogakāyaḥ
སྤྲུལ-པའི-སྐུ	nirmāṇakāyaḥ
དེ-བཞིན-གཤེགས-པའི-སྟོབས-བཅུའི-མིང-ལ	daśatathāgatabalāni
གནས-དང-གནས-མ-ཡིན-པ-མཁྱེན-པའི-སྟོབས	sthānāsthānajñānabalam
ལས-ཀྱི-རྣམ-པར-སྨིན-པ-མཁྱེན-པའི-སྟོབས	karmavipākajñānabalam
མོས-པ-སྣ-ཚོགས-མཁྱེན-པའི-སྟོབས	nānādhimuktijñānabalam
ཁམས-སྣ-ཚོགས-མཁྱེན-པའི-སྟོབས	nānādhātujñānabalam
དབང-པོ-མཆོག-དང-མཆོག-མ-ཡིན-པ-མཁྱེན-པའི-སྟོབས	indriyavarāvarajñānabalam
ཐམས-ཅད-དུ-འགྲོ-བའི-ལམ-མཁྱེན-པའི-སྟོབས	sarvatragāmanīpratipaj(pratipat)jñāna
བསམ-གཏན-དང-རྣམ-པར-ཐར-པ-དང-ཏིང-ངེ-འཛིན-དང-སྙོམས-པར-འཇུག-པ-དང-ཀུན-ནས-ཉོན-མོངས-པ-དང-རྣམ-པར-བྱང-བ-དང-ལྡན-བ-ཐམས-ཅད-མཁྱེན-པའི-སྟོབས	sarvadhyānavimoksasamādhi samāpattisaṃkleśavyavadānavyutthānajñānabalam
སྔོན-གྱི-གནས-རྗེས-སུ-དྲན-པ-མཁྱེན-པའི-སྟོབས	pūrvanivāsānusmṛtijñānabalam
འཆི-འཕོ-བ-དང-སྐྱེ-བ-མཁྱེན-པའི-སྟོབས	cyutyutpattijñānabalam
ཟག-པ-ཟད-པ-མཁྱེན-པའི-སྟོབས	āśravakṣayabalam
དེ-བཞིན-གཤེགས-པའི-མི-འཇིགས-པ-བཞིའི-མིང-ལ	catvāri tathāgatasya vaiśāradyāni (viśārada+ya)
ཆོས-ཐམས-ཅད-མངོན-པར-རྫོགས-པར-བྱང-ཆུབ-པ-ལ-མི-འཇིགས-པ	sarvadharmābhisaṃbodhivaiśāradyam
ཟག-པ-ཟད-པ-ཐམས-ཅད-མཁྱེན-པ-ལ-མི-འཇིགས-པ	sarvāśravakṣayajñānavaiśāradyam
བར-དུ-གཅོད-པའི-ཆོས-རྣམས-གཞན-དུ-མི-འགྱུར-བར-ངེས-པའི-ལུང-བསྟང-པ-ལ-མི-འཇིགས-པ	antarāyikadharmānanyathātvaniścitavyākaraṇavaiśāradyam
ཕུན-སུམ-ཚོགས-པ-ཐམས-ཅད-འཐོབ-པར-འགྱུར-བར-ངེས-པར-འབྱུང-བའི-ལམ-དེ-བཞིན-དུ-འགྱུར-བ-ལ-མི-འཇིགས-པ	sarvasaṃpadadhigamāyanairyāṇika pratipattathātvavaiśāradyam
སངས-རྒྱས-ཀྱི-ཆོས-མ-འདྲེས-པ-བཅུ-བརྒྱད-ཀྱི-མིང-ལ	aṣṭādaśāveṇikabuddhadharmāḥ
དེ-བཞིན-གཤེགས-པ-ལ-འཁྲུལ-བ-མེད-པ	nāsti tathāgatasya skhalitam
ཅ-ཅོ-མེད-པ	nāsti ravitam
བསྙེལ-བ-མེད-པ	nāstimuṣitasmṛtitā (smṛtiḥ)
སེམས-མཉམ-པར-མ-གཞག-པ-མེད-པ	nāsty asamāhitacittam
ཐ-དད-པའི-འདུ-ཤེས-མེད-པ	nāsti nānātvasamjñā
སོ-སོར-མ-རྟོགས-པའི-བཏང-སྙོམས-མེད-པ	nāsty apratisaṃkhyāyopekṣā
འདུན-པ-ཉམས-པ-མེད-པ	nāsty cchandasya hāniḥ
བརྩོན-འགྲུས-ཉམས-པ-མེད-པ	nāsti vīryasya hāṇiḥ
དྲན-པ-ཉམས-པ-མེད-པ	nāsti smṛtihāniḥ
ཏིང-ངེ-འཛིན-ཉམས-པ-མེད-པ	 acyutasamādhiḥ|nāsti samādhihāniḥ 
ཤེས-རབ-ཉམས-པ-མེད-པ	nāsti prajñāyā hāniḥ
རྣམ-པར-གྲོལ-བ-ཉམས-པ-མེད-པ	nāsti vimuktihāniḥ
ལུས-ཀྱི-ལས-ཐམས-ཅད-ཡེ-ཤེས-ཀྱི-སྔོན-དུ-འགྲོ-ཞིང-ཡེ-ཤེས-ཀྱི-རྗེས-སུ-འབྲང-བ	sarvakāyakarma jñānapurvaṃgamaṃ jñānānuparivarti
ངག-གི-ལས-ཐམས-ཅད-ཡེ-ཤེས-ཀྱི-སྔོན-དུ-འགྲོ-ཞིང-ཡེ-ཤེས-ཀྱི-རྗེས-སུ-འབྲང-བ	sarvavākkarma jñānapūrvaṃgamam jñānānuparivarti
ཡིད-ཀྱི-ལས-ཐམས-ཅད-ཡེ-ཤེས-ཀྱི-སྔོན-དུ-འགྲོ-ཞིན-ཡེ-ཤེས-ཀྱི-རྗེས-སུ-འབྲང-བ	sarvamanaḥkarma jñānapūrvaṃgamam jñānānuparivarti
འདས-པའི-དུས-ལ-མ-ཆགས-མ-ཐོགས-པའི-ཡེ-ཤེས-མཐོང-བ-འཇུག-པ	atīte 'dhvany asaṅgam apratihataṃ jñānadarśanaṃ pravartate
མ-འོངས-པའི-དུས-ལ-མ-ཆགས-མ-ཐོགས-པའི-ཡེ-ཤེས-མཐོང-བ-འཇུག-པ	anāgate 'dhvany asaṅgam apratihataṃ jñānadarśanaṃ pravartate
ད-ལྟར-གྱི-དུས-ལ-མ-ཆགས-མ-ཐོགས-པའི-ཡེ-ཤེས-མཐོང-བ-འཇུག-པ	pratyutpanne 'dhvany asaṅgam apratihatam jñānadarśanaṃ pravartate
དེ-བཞིན-གཤེགས-པའི-ཐུགས-རྗེ-ཆེན-པོ-སུམ-ཅུ-རྩ-གཉིས-ཀྱི-མིང-ལ	dvātriṃśattathāgatasya mahākaruṇāḥ
ཆོས-ཐམས-ཅད-ནི-བདག-མེད-པ-ཡིན-ན-སེམས-ཅན-རྣམས-བདག-མེད-པ-ལ-མ-མོས-པས-དེའི-ཕྱིར-སེམས-ཅན-རྣམས-ལ-དེ-བཞིན-གཤེགས-པའི-ཐུགས-རྗེ-ཆེན-པོ-སྐྱེའོ	nairātmyāḥ sarva dharmāḥ sattvāś ca nairātmyaṃ nādhimucyante. atas tathāgatasya sattveṣu mahākaruṇotpadyate
ཆོས-ཐམས-ཅད-ནི-སེམས-ཅན-མེད-པ	niḥsattvāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-སྲོག-མེད-པ	nirjivāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-གང-ཟག-མེད-པ	niḥpudgalāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-རང-བཞིན-མེད-པ	abhāvāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-གནས-མེད-པ	aniketāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-གཞི-མེད-པ	anālayāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-ང-ཡིར-བྱར-མེད-པ	amamāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-བདག-པོ-མེད-པ	asvāmikāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-དངོས-པོ-མེད-པ	avastukāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-མ-སྐྱེས-པ	ajātāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-འཆི-འཕོ-བ-མེད-ཅིང-མ-སྐྱེས-པ	acyutānutpannāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-ཀུན-ནས-ཉོན-མོངས-པ-ཅན-མ-ཡིན-པ	asaṃkliṣtāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-འདོད-ཆགས-དང-བྲལ-བ	vigatarāgāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-ཞེ-སྡང-དང-བྲལ-བ	vigatadveṣāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-གཏི-མུག-དང-བྲལ-བ	vigatamohāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-འོང-བ-མེད-པ	anāgatikāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-འགྲོ-བ-མེད-པ	agatikāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-མངོན-པར-འདུ-བྱེད-པ-མེད-པ	anabhisamskārāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-སྤྲོས-པ-མེད-པ	aprapañcāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-སྟོང-པ	śūnyāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-མཚན-མ-མེད-པ	animittāḥ sarvadharmāḥ
ཆོས-ཐམས-ཅད-ནི-སྨོན-པ-མེད-པ	apraṇihitāḥ sarvadharmāḥ
ཀྱེ-མ-འཇིག-རྟེན-གནས-པ-འདི-ནི-ཕན-ཚུན-རྩོད-པས-ཡོངས-སུ-ཟིན-ཅིང-གནོད-སེམས-ཀྱིས-ཐ-བ-དང-ཞེ-སྡང-ལ-ཞུགས-པར-གཟིགས	anyonyavivādasaṃgṛhīto vatāyaṃ lokasaṃniveśo vyapādakhiladveṣapratipanna iti saṃpaśyan
ཀྱེ-མ-འཇིག-རྟེན-གནས-པ-འདི-ནི-ཕྱིན-ཅི-ལོག-དང-ལྡན-ཞིང-ལམ-ཉམ-ང-བར-ཞུགས-པ-ལམ-གོལ-བ-ལ-གནས-པ	viparyāsasaṃprayukto vatāyaṃ lokasaṃniveśo viṣamamārgaprayātaprapātautpathamārgasthāyi
ཀྱེ-མ-འཇིག-རྟེན-གནས-པ-འདི-ནི-བརྐམ-ཞིང-འདོད-པས-ཟིལ-གྱིས-ནོན-པ-སྟེ-ཆོག-མི-ཤེས-ཤིང-གཞན-གྱི-ནོར-ལ-འཕྲོག-པ	lubdho lobhābhibhūto vatāyaṃ lokasaṃniveśo 'tṛptaḥ paravittāpahārī
ཀྱེ-མ-སེམས-ཅན-འདི-རྣམས-ནི-ནོར-དང-འབྲུ-དང-ཁྱིམ-དང-བུ-དང-ཆུང-མ-ལ-སྲེད-པས-འཁོལ-བ-སྟེ-སྙིང-པོ-མེད-པ-ལ-སྙིང-པོར-འདུ-ཤེས-པ	dhanadhānyagṛhaputrabhāryatṛṣṇādāsā vateme sattvā asāre sārasaṃjñinaḥ
ཀྱེ-མ-སེམས-ཅན-འདི-དག-ནི-མི-རིགས-པས-འཚོ-བ-སྟེ-གཅིག-ལ-གཅིག-འདྲིད-པར-གནས-པ	viṣamājīvā vateme sattvā anyonyaparivañcanopasthitāḥ
ཀྱེ-མ-སེམས-ཅན-འདི-དག-ནི-ཆོག-མི-ཤེས-པ-སྟེ-རྙེད-པ-དང-བཀུར-སྟི-དང-ཚིགས-སུ-བཅད-པ-ལ-སྤྱོད-ཀྱང-བདག-ཅག-ནི-ཆོག-ཤེས-པའོ-སྙམ-དུ-འཛིན-པ	atṛptā vateme sattvā lābhasatkāraślokopacaritās tṛptāḥ sma iti pratijānante
ཀྱེ-མ-སེམས-ཅན-འདི-དག-ནི-ཁྱིམ-གི-གནས-ནས-སྡུག-བསྔལ-གྱི-སྣོད-ཀུན-ནས-ཉོན-མོངས-པ-ཅན-རྟག-ཏུ-དགའ-བ	nityābhiratā vateme sattvā ekāntakliṣṭā duḥkhabhājane gṛhāvāse
ཆོས-ཐམས-ཅད-ནི-རྒྱུས-ཉེ-བར-འགྲོ-བ-སྟེ-བསྒྲུབ-པས-ཉེ-བར-གནས-པའི-མཚན-ཉིད	kāraṇopagāḥ punaḥ sarvadharmā vidhāpanapratyupasthānalakṣaṇāḥ (kāraṇopagāḥ punaḥ sarvadharmā vidhāpanaviṭhāpanaviṣṭhāpanapratyupasthānalakṣaṇāḥ)
སེམས-ཅན-རྣམས-ནི-ཆགས-པ-མེད-པའི-ཡེ-ཤེས-དམ-པ-ཁྱད-པར-དུ-འཕགས-པ-ཡོངས-སུ-མྱ-ངན-ལས-འདས-པའི-འདི-བཏབ-ཞིང-གང-འདི-ཉན-ཐོས-ཀྱི-ཐེག-པ-དང-རང-སངས-རྒྱས-ཀྱི-ཐེག-པ-དམན-པ-ཚོལ-བ-ཡིན-གྱིས-དེ-དག-ལ-གང-འདི-སངས-རྒྱས-ཀྱི-ཡེ-ཤེས-པ-ལ-དམིགས-པར-བྱ-བའི-ཕིར-རྒྱ-ཆེན-པོ-ལ-བློས-མོས-པར-བྱའོ-ཤེས-སེམས-ཅན-རྣམས-ལ-དེ-བཞིན-གཤེགས-པའི-ཐུགས-རྗེ-ཆེན-པོ-སྐྱེའོ	idaṃ punar agram asaṅga jñānam utsṛjya viśiṣṭaparinirvāṇatām (viśiṣṭaparinirvāṇārtham)sattvā hīnayānaṃ prārthayante yad idam śrāvakapratyekabuddhayānaṃ tebhya uttaramatiṃ rocayisyāmītī yad idaṃ buddhajñānādhyālambanatāyai iti tathāgatasya sattveṣu mahākaruṇopadyate
མ-དྲེས-པའི-དྲན-པ-ཉེ-བར-གཞག-པ-གསུམ-གྱི-མིང-ལ	trīṇyāvenikāni smṛtyupasthānāni nāmāni
གུས-པར-ཉན-པ-རྣམས-ལ-སེམས-སྙོམས-པ	śuśrūṣamāṇeṣu samacittatā
གུས-པར-མི-ཉན-པ-རྣམས-ལ-སེམས-སྙོམས-པ	aśuśrūṣamāṇeṣu samacittatā
གུས-པར-ཉན-པ-དང-གུས-པར-མི-ཉན-པ-རྣམས-ལ-སེམས-སྙོམས-པ	śuśrūṣamāṇāśuśrūṣamāṇeṣu samacittatā
བསྲུང-བ-མེད-པ-བཞིའི-མིང-ལ	catvāry arakṣyāṇi
དེ-བཞིན-གཤེགས-པའི-སྐུའི-ཕྲིན-ལས-ཀྱི-སྤྱོད-པ-ཡོངས-སུ-དག-པ-སྟེ-དེ-བཞིན-གཤེགས-པ-ལ-སྐུའི-ཕྲིན-ལས-ཀྱི-སྤྱོད-པ-ཡོངས-སུ-མ-དག-པ-མེད-པའོ	pariśuddhakāyasamudācāras tathāgataḥ. nāsti tathāgatasyāpariśuddhakāyasamudācāratā
དེ-བཞིན-གཤེགས-པའི-གསུང-གི-འཕྲིན-ལས-ཀྱི-སྤྱོད-པ-ཡོངས-སུ-དག-པ-སྟེ-དེ-བཞིན-གཤེགས-པ-ལ-གསུང-གི-འཕྲིན-ལས-ཀྱི-སྤྱོད-པ-ཡོངས-སུ-མ-དག-པ-མེད-པའོ	pariśuddhavāksamudācāras tathāgataḥ. nāsti tathāgatasyāpariśuddhavāksamudācāratā
དེ-བཞིན-གཤེགས-པ-ལ-ཐུགས-ཀྱི-འཕྲིན-ལས-ཀྱི-སྤྱོད-པ-ཡོངས-སུ-དག-པ-སྟེ-དེ-བཞིན-གཞེགས-པ-ལ-ཐུགས-ཀྱི-འཕྲིན-ལས-ཀྱི-སྤྱོད-པ-ཡོངས-སུ-མ-དག-པ-མེད-པའོ	pariśuddhamanaḥsamudācāras tathāgataḥ. nāsti tathāgatasyāpariśuddhamanaḥsamudācaratā
དེ-བཞིན-གཤེགས-པ-ལ-འཚོ-བ-ཡོངས-སུ-དག-པ-སྟེ-དེ-བཞིན-གཤེགས-པ-ལ-འཚོ-བ-ཡོངས-སུ-མ-དག-པ-མེད-པའོ	pariśuddhajīvas tathāgataḥ. nāsti tathāgatasyāpariśuddhajīvatā
སོ-སོ-ཡང-དག-པར-རིག-པ-བཞིའི-མིང-ལ	catvāri (catvāraḥ) pratisaṃvidaḥ
ཆོས-སོ-སོ-ཡང-དག-པར-རིག-པ	dharmapratisaṃvit
དོན-སོ-སོ-ཡང-དག-པར-རིག-པ	arthapratisaṃvit
ངེས-པའི-ཚིག-སོ-སོ-ཡང-དག-པར-རིག-པ	niruktipratisaṃvit
སྤོབས-པ-སོ-སོ-ཡང-དག-པར-རིག-པ	pratibhānapratisaṃvit
མངོན-པར-ཤེས-པ-དྲུག-གི-མིང-ལ	ṣaḍabhijñānāmāni
ལྷའི-མིག	divyaṃ cakṣuḥ
ལྷའི-སྤྱན	divyaṃ cakṣuḥ
ལྷའི-རྣ-བ	divyaṃ śrotraṃ
ལྷའི-སྙན	divyaṃ śrotraṃ
ཕ-རོལ-གྱི-སེམས-ཤེས-པ	 paracittajñānam|[a]paracittajñānam 
སེམས-ཀྱི-རྣམ-གྲངས-ཤེས-པ	[b]cetaḥparyāyajñānaṃ (cetaḥcittaparyāyajñānaṃ)
སྔོན-གྱི-གནས-རྗེས-སུ-དྲན-པ-ཤེས-པ	pūrvanivāsānusmṛtijñānam
རྫུ-འཕྲུལ-གྱི-བྱ-བ-ཤེས-པ	ṛddhividhijñānam
ཟག-པ-ཟད-པ-ཤེས-པ	āśravakṣayajñānam
མངོན-པར-ཤེས-པ-དྲུག-གི-སྐབས-ནས-འབྱུང-བའི-མིང	abhijñākarmāṇi
ཇི-ལྟར-སེམས-མཉམ-པར-གཞག-པ-བཞིན-དུ-བདག-གི-སྟན-གྱི-སྟེང-དུ-མི-སྣང-བར-འགྱུར	yathā samāhite citte svīya āsane 'ntarhitaḥ (yathā samāhite citte svaye āsane 'ntarhitaḥ)
ནམ-མཁའ-ལ-མངོན-པར-འཕགས-ཏེ-སྤྱོད-ལམ-རྣམ-པ-བཞི-བྱེད	vihāyasābhyudgamya caturvidham īryāpathaṃ kalpayati
ནམ-མཁའ-ལ-མངོན-དུ-འཕགས-པ-སྟེ-སྤྱོད-ལམ-རྣམ-པ-བཞི-བྱེད	vihāyasābhyudgamya caturvidham īryāpathaṃ kalpayati
ལུས-ཀྱི-སྟོད-ནས-མེ-འབར	uparimaḥ kāyaḥ prajvalati
ལུས-ཀྱི-སྨད-ནས-ཆུ-གྲང-མོའི-རྒྱུན-འབབ	adhaḥkāyāc chītalā vāridhārāḥ syandante
རྫུ-འཕྲུལ-གྱི-ཡུལ-རྣམ-པ-མང-པོ-མྱོང-བར-བྱེད-པ-ཡིན	anekavidham ṛddhiviṣayaṃ pratyanubhavati
གཅིག-ཏུ-གྱུར-ནས-མང-པོར-འགྱུར	eko bhūtvā bahudhā bhavati
མང-པོར-གྱུར-ནས-གཅིག-འགྱུར	bahudhā bhūtvaiko bhavati
སྣང-བར-འགྱུར-ཅིང-མི-སྣང-བར-ཡང-འགྱུར	āvir bhavati tirobhāvam api pratyanubhavati
རྩིག-པ-ལ-ཡང-ཐད-ཀར-འགྲོ-ར-བ-ལ-ཡང-ཐད-ཀར-འགྲོ	tiraḥ kuḍyam tiraḥ prākāram
རི-ལ-ཡང-མ-ཐོགས-པར-འགྲོ	parvatam apy asajjamāno gacchati
ནམ-མཁའ-ལ-ཡང-འགྲོ-སྟེ-དཔེར-ན-འདབ-ཆགས-བྱ-བཞིན-ནོ	ākāśe vikramate, tadyathā paksī śakuniḥ
ས-ལ-ཡང-སྟེང-དུ-འབྱུང-བ-དང-བྱེའི-ཟུལ-བྱེད-དེ-དཔེར-ན-ཆུ-ལ-བྱ-བ-བཞིན-ནོ	pṛthivyām unmajjananimajjanaṃ karoti, tadyathāpi nāmodake
ཆུ-ལ-ཡང-མི-ནུབ-པར-འགྲོ-སྟེ-དཔེར-ན-ས-ཆེན-པོ-ལ-བྱ-བ-བཞིན-ནོ	udake 'py abhidyamāno gacchati tad yathāpi nāma mahāpṛthivyām
དུ-བ-འཐུལ-བར-ཡང-བྱེད-འབར-བར-ཡང-བྱེད-དེ-དཔེར-ན-མེའི-ཕུང-པོ-ཆེན-པོ-བཞིན-ནོ	dhūmayaty api prajvalaty api tad yathāpī nāma mahān agniskandhaḥ
བདག-གི-ལུས-ལས-ཀྱང-ཆུའི-རྒྱུན-ཆེན-པོ-འབྱིན-ཏེ-དཔེར-ན-སྤྲིན-ཆེན-པོ-བཞིན-ནོ	svakāyād api mahāvāridhārā utsṛjati tad yathāpi nāma mahāmeghaḥ
